16/02/2023,11.49,11.49,11.49,11.49,7,80,4.45%
06/02/2023,11.00,11.00,11.01,11.00,43,473,-0.09%
01/02/2023,11.01,11.01,11.01,11.01,114,1 255,0.00%
31/01/2023,11.01,11.01,11.01,10.60,1 438,15 538,3.87%
30/01/2023,10.60,10.60,10.60,10.55,280,2 961,0.47%
27/01/2023,10.55,10.55,11.00,10.55,3 000,32 325,-4.09%
05/01/2023,11.00,11.00,11.00,11.00,50,550,0.00%
04/01/2023,11.00,11.00,11.00,10.96,239,2 624,0.36%
30/12/2022,10.96,10.96,11.47,10.96,500,5 608,-4.45%
26/12/2022,11.47,11.47,11.47,11.47,10,115,4.46%
15/12/2022,10.98,10.98,10.98,10.89,10,109,0.83%
13/12/2022,10.89,10.89,10.89,10.43,10,107,9.01%
09/12/2022,9.99,9.99,9.99,9.99,75,749,0.00%
08/12/2022,9.99,9.99,9.99,9.56,1,10,-0.20%
06/12/2022,10.01,10.01,10.03,10.01,14,140,-8.92%
24/11/2022,10.99,10.99,10.99,10.99,4,44,0.00%
16/11/2022,10.99,10.99,10.99,10.99,3,33,0.00%
15/11/2022,10.99,10.99,10.99,10.93,8,88,9.79%
24/10/2022,10.01,10.01,10.01,10.01,19,190,0.00%
20/10/2022,10.01,10.01,10.10,10.01,10,101,-0.89%
19/10/2022,10.10,10.10,10.10,10.10,65,657,0.00%
18/10/2022,10.10,10.10,10.52,10.10,50,515,-8.27%
13/10/2022,11.01,11.01,11.01,11.01,2,22,0.00%
12/10/2022,11.01,11.01,11.51,11.01,18,203,-4.34%
10/10/2022,11.51,11.51,11.51,11.51,11,127,0.00%
07/10/2022,11.51,11.51,12.01,11.51,103,1 211,-4.16%
03/10/2022,12.01,12.01,12.01,12.01,3,36,0.00%
30/09/2022,12.01,12.01,12.01,12.01,15,180,0.00%
28/09/2022,12.01,12.01,12.25,12.01,33,400,-1.96%
26/09/2022,12.25,12.25,12.30,12.25,220,2 701,-0.41%
23/09/2022,12.30,12.30,12.30,12.30,200,2 460,0.00%
20/09/2022,12.30,12.30,12.50,12.30,220,2 728,-1.60%
09/09/2022,12.50,12.50,12.50,12.50,3,38,0.00%
08/09/2022,12.50,12.50,12.50,12.49,353,4 411,0.08%
07/09/2022,12.49,12.49,12.49,12.35,217,2 695,1.13%
05/09/2022,12.35,12.35,12.35,12.35,488,6 027,0.00%
02/09/2022,12.35,12.35,12.35,12.32,810,9 991,0.24%
01/09/2022,12.32,12.32,12.32,12.32,700,8 624,-4.50%
26/08/2022,12.90,12.90,12.90,12.59,100,1 275,2.46%
10/08/2022,12.05,12.05,12.05,12.03,100,1 204,0.17%
08/08/2022,12.03,12.03,12.49,12.03,100,1 226,-3.68%
05/08/2022,12.49,12.49,12.49,12.49,660,8 243,0.00%
03/08/2022,12.49,12.49,12.49,12.49,18,225,0.00%
01/08/2022,12.49,12.49,12.49,12.49,78,974,0.00%
28/07/2022,12.49,12.49,12.97,12.49,250,3 183,0.56%
26/07/2022,12.42,12.42,13.00,12.42,2,25,-4.46%
22/07/2022,13.00,13.00,13.50,13.00,200,2 650,-3.70%
21/07/2022,13.50,13.50,13.50,13.03,1,13,3.61%
19/07/2022,13.03,13.03,13.03,13.03,103,1 342,0.00%
14/07/2022,13.03,13.03,13.03,13.03,540,7 036,0.00%
13/07/2022,13.03,13.03,13.03,13.03,3,39,0.00%
11/07/2022,13.03,13.03,13.03,13.03,3,39,0.00%
08/07/2022,13.03,13.03,13.03,13.03,50,652,0.00%
07/07/2022,13.03,13.03,13.59,13.03,72,958,-4.12%
04/07/2022,13.59,13.59,13.59,13.01,1,13,4.46%
01/07/2022,13.01,13.01,13.50,13.01,588,7 794,-7.07%
29/06/2022,14.00,14.00,14.60,14.00,203,2 903,-4.11%
24/06/2022,14.60,14.60,15.28,14.60,200,2 988,2.60%
06/06/2022,14.23,14.23,14.23,14.22,10,142,0.07%
03/06/2022,14.22,14.22,14.22,14.22,7,100,-0.07%
27/05/2022,14.23,14.23,14.23,13.62,9,125,9.04%
25/05/2022,13.05,13.05,13.05,12.54,1,13,4.07%
10/05/2022,12.00,12.00,12.00,11.90,100,1 195,0.84%
27/04/2022,11.90,11.90,11.90,11.64,87,1 024,6.82%
25/04/2022,11.14,11.14,11.14,11.14,213,2 373,0.00%
20/04/2022,11.14,11.14,11.66,11.14,8,91,-4.46%
19/04/2022,11.66,11.66,12.00,11.66,203,2 401,-2.83%
15/04/2022,12.00,12.00,12.00,12.00,166,1 992,0.00%
14/04/2022,12.00,12.00,12.00,12.00,3,36,0.00%
13/04/2022,12.00,12.00,12.43,12.00,6,73,-3.46%
08/04/2022,12.43,12.43,12.43,12.43,306,3 804,0.00%
06/04/2022,12.43,12.43,12.43,12.43,305,3 791,0.00%
23/03/2022,12.43,12.43,12.97,12.43,345,4 382,-4.38%
17/03/2022,13.00,13.00,13.00,13.00,1 000,13 000,0.00%
16/03/2022,13.00,13.00,13.00,13.00,60,780,0.00%
11/03/2022,13.00,13.00,13.00,13.00,50,650,0.00%
10/03/2022,13.00,13.00,13.38,13.00,444,5 856,-2.84%
17/02/2022,13.38,13.38,13.38,13.38,4,54,0.00%
16/02/2022,13.38,13.38,14.00,13.38,57,780,-4.43%
10/02/2022,14.00,14.00,14.33,14.00,172,2 436,-2.30%
07/02/2022,14.33,14.33,15.00,14.33,684,10 031,-4.47%
03/02/2022,15.00,15.00,15.00,15.00,30,450,0.00%
02/02/2022,15.00,15.00,15.13,15.00,807,12 157,-5.30%
31/01/2022,15.84,15.84,15.84,15.84,130,2 059,-4.46%
17/01/2022,16.58,16.58,16.63,16.58,10,166,-0.30%
30/12/2021,16.63,16.63,16.63,16.63,75,1 247,0.00%
29/12/2021,16.63,16.63,16.65,16.63,745,12 397,-0.12%
21/12/2021,16.65,16.65,16.72,16.65,15,250,-0.42%
03/12/2021,16.72,16.72,16.72,16.00,810,13 252,4.50%
16/11/2021,15.40,15.40,15.40,15.40,103,1 586,0.00%
15/11/2021,15.40,15.40,15.50,15.40,10,155,-0.65%
05/11/2021,15.50,15.50,15.90,15.50,40,628,-2.52%
28/10/2021,15.90,15.90,16.00,15.90,3,48,-0.62%
20/10/2021,16.00,16.00,16.00,16.00,25,400,0.00%
19/10/2021,16.00,16.00,16.52,16.00,5,81,-3.15%
14/10/2021,16.52,16.52,17.00,16.52,3,50,-2.82%
01/10/2021,17.00,17.00,17.00,17.00,1,17,0.00%
30/09/2021,17.00,17.00,17.00,17.00,3,51,0.00%
29/09/2021,17.00,17.00,17.00,17.00,25,425,-2.86%
16/09/2021,17.50,17.50,17.50,17.50,4 830,84 525,2.94%
09/08/2021,18.00,18.00,18.00,18.00,250,4 500,0.00%
06/08/2021,18.00,18.00,18.00,18.00,43 307,779 526,0.00%
05/08/2021,18.00,18.00,18.00,18.00,50,900,0.00%
28/07/2021,18.00,18.00,18.00,18.00,473,8 514,0.00%
27/07/2021,18.00,18.00,18.00,18.00,4 732,85 176,-2.70%
14/07/2021,18.50,18.50,18.50,18.50,100,1 850,0.00%
13/07/2021,18.50,18.50,18.50,18.50,30,555,2.78%
12/07/2021,18.00,18.00,18.00,18.00,1 580,28 440,-0.11%
09/07/2021,18.02,18.02,18.02,18.02,997,17 966,0.06%
08/07/2021,18.01,18.00,18.01,18.00,1 708,30 753,0.06%
07/07/2021,18.00,18.00,18.00,18.00,11 066,199 188,-0.06%
06/07/2021,18.01,18.00,18.01,18.00,7 659,137 900,0.00%
02/07/2021,18.01,18.01,18.01,18.01,590,10 626,0.06%
01/07/2021,18.00,18.00,18.00,18.00,2 050,36 900,0.00%
30/06/2021,18.00,18.00,18.00,18.00,500,9 000,0.00%
29/06/2021,18.00,18.00,18.00,18.00,2 209,39 762,0.00%
28/06/2021,18.00,18.00,18.00,18.00,55,990,0.00%
25/06/2021,18.00,18.00,18.00,18.00,1 300,23 400,0.00%
24/06/2021,18.00,18.00,18.00,18.00,8,144,0.00%
23/06/2021,18.00,17.51,18.00,17.51,10 019,177 887,2.80%
22/06/2021,17.51,17.50,17.51,17.50,10 303,180 354,3.00%
21/06/2021,17.00,17.00,17.00,17.00,18 070,307 190,0.00%
16/06/2021,17.00,17.00,17.00,17.00,595,10 115,3.03%
11/06/2021,16.50,16.50,16.50,16.50,3 432,56 628,0.00%
10/06/2021,16.50,16.50,16.50,16.50,1 890,31 185,1.79%
09/06/2021,16.21,16.21,16.21,16.21,80,1 297,-1.70%
04/06/2021,16.49,16.49,16.49,16.49,27,445,-3.06%
03/06/2021,17.01,17.01,17.01,17.01,3,51,-2.52%
02/06/2021,17.45,17.45,17.45,17.45,3 749,65 420,-1.41%
01/06/2021,17.70,17.70,17.70,17.70,395,6 992,-0.56%
20/05/2021,18.32,18.32,18.32,18.32,23,421,2.92%
17/05/2021,17.80,17.70,17.80,17.70,188,3 337,0.56%
29/04/2021,17.70,17.70,17.70,17.70,40,708,0.00%
26/04/2021,17.70,17.70,17.70,17.70,1 000,17 700,0.00%
21/04/2021,17.70,17.70,17.70,17.70,7,124,0.23%
19/04/2021,17.66,17.66,17.66,17.66,139,2 455,0.00%
16/04/2021,17.66,17.66,17.66,17.66,310,5 475,-4.49%
13/04/2021,18.49,18.49,18.49,18.49,800,14 792,2.78%
08/04/2021,17.99,17.99,17.99,17.99,4 310,77 537,1.93%
07/04/2021,17.65,17.65,17.65,17.65,376,6 636,0.00%
06/04/2021,17.65,17.65,17.65,17.65,130,2 295,0.23%
31/03/2021,17.61,17.61,17.61,17.61,151,2 659,-0.79%
30/03/2021,17.75,17.75,17.75,17.75,500,8 875,0.00%
26/03/2021,17.75,17.75,17.75,17.75,68,1 207,-2.95%
25/03/2021,18.29,18.29,18.29,18.29,20,366,-0.05%
24/03/2021,18.30,18.50,18.50,18.30,118,2 171,-1.08%
23/03/2021,18.50,18.50,18.50,18.50,3 210,59 385,1.15%
19/03/2021,18.29,18.29,18.29,18.29,162,2 963,-0.05%
18/03/2021,18.30,18.30,18.30,18.30,90,1 647,0.00%
17/03/2021,18.30,18.30,18.30,18.30,110,2 013,0.00%
16/03/2021,18.30,18.30,18.30,18.30,800,14 640,0.00%
11/03/2021,18.30,18.30,18.30,18.30,808,14 786,0.00%
10/03/2021,18.30,18.30,18.30,18.30,192,3 514,0.00%
09/03/2021,18.30,18.30,18.30,18.30,504,9 223,0.00%
05/03/2021,18.30,18.30,18.30,18.30,500,9 150,0.88%
18/02/2021,18.70,18.70,18.70,18.70,227,4 245,1.63%
