16/02/2023,4.80,4.80,4.80,4.70,2 331,11 072,1.91%
15/02/2023,4.71,4.71,4.71,4.70,3 021,14 214,0.21%
14/02/2023,4.70,4.70,4.80,4.70,5 306,25 204,-1.88%
13/02/2023,4.79,4.79,4.84,4.70,4 522,21 570,-0.21%
10/02/2023,4.80,4.80,4.84,4.71,1 126,5 377,-0.83%
09/02/2023,4.84,4.84,4.84,4.77,4 000,19 220,1.04%
08/02/2023,4.79,4.79,4.84,4.70,3 885,18 531,-1.03%
07/02/2023,4.84,4.84,4.85,4.70,18 763,89 593,1.89%
06/02/2023,4.75,4.75,4.80,4.72,473,2 251,0.64%
03/02/2023,4.72,4.72,4.74,4.72,299,1 414,-0.42%
02/02/2023,4.74,4.74,4.80,4.74,1 228,5 858,0.00%
01/02/2023,4.74,4.74,4.83,4.74,186,890,0.00%
31/01/2023,4.74,4.74,4.83,4.74,785,3 756,-1.25%
30/01/2023,4.80,4.80,4.85,4.70,8 172,39 021,-0.62%
27/01/2023,4.83,4.83,4.85,4.70,4 501,21 492,-0.41%
26/01/2023,4.85,4.85,4.86,4.70,4 801,22 949,0.00%
25/01/2023,4.85,4.85,4.89,4.70,7 245,34 740,-0.41%
24/01/2023,4.87,4.87,4.87,4.72,5 314,25 481,0.00%
23/01/2023,4.87,4.87,4.89,4.75,7 943,38 285,-1.02%
20/01/2023,4.92,4.92,4.92,4.86,12,59,1.23%
19/01/2023,4.86,4.86,4.97,4.75,3 909,18 998,0.21%
18/01/2023,4.85,4.85,4.95,4.66,11 846,56 920,-2.02%
17/01/2023,4.95,4.95,5.02,4.90,16 959,84 117,-0.60%
16/01/2023,4.98,4.98,5.00,4.81,7 343,36 017,1.43%
13/01/2023,4.91,4.91,5.03,4.91,3 364,16 719,-2.39%
12/01/2023,5.03,5.03,5.07,4.92,1 911,9 545,-0.79%
11/01/2023,5.07,5.07,5.07,4.93,1 711,8 555,1.40%
10/01/2023,5.00,5.00,5.00,4.94,63,313,0.00%
09/01/2023,5.00,5.00,5.00,4.99,381,1 903,0.00%
06/01/2023,5.00,5.00,5.09,4.93,7 777,38 963,1.42%
05/01/2023,4.93,4.93,5.11,4.93,22 823,114 571,-1.40%
04/01/2023,5.00,5.00,5.11,5.00,1 321,6 678,-1.77%
03/01/2023,5.09,5.09,5.12,5.00,3 368,17 042,1.80%
02/01/2023,5.00,5.00,5.12,5.00,9 109,46 092,-2.34%
30/12/2022,5.12,5.12,5.12,5.01,22 054,111 704,0.00%
29/12/2022,5.12,5.12,5.12,5.02,17 757,90 028,0.00%
28/12/2022,5.12,5.12,5.22,5.05,7 426,38 133,0.39%
27/12/2022,5.10,5.10,5.13,5.03,9 665,49 098,0.20%
26/12/2022,5.09,5.09,5.09,5.07,187,950,0.39%
23/12/2022,5.07,5.07,5.11,4.99,2 149,10 852,1.40%
22/12/2022,5.00,5.00,5.12,5.00,353,1 786,-1.38%
21/12/2022,5.07,5.07,5.15,5.00,2 467,12 520,-1.36%
20/12/2022,5.14,5.14,5.15,5.04,1 029,5 243,1.58%
19/12/2022,5.06,5.06,5.15,5.06,174,888,-1.75%
16/12/2022,5.15,5.15,5.15,5.00,5 494,27 882,0.98%
15/12/2022,5.10,5.10,5.10,5.00,36,182,0.99%
14/12/2022,5.05,5.05,5.10,5.00,12 869,64 988,-0.59%
13/12/2022,5.08,5.08,5.11,5.00,15 636,79 040,-0.39%
12/12/2022,5.10,5.10,5.10,4.96,2 628,13 219,2.62%
09/12/2022,4.97,4.97,5.10,4.97,3 107,15 644,0.40%
08/12/2022,4.95,4.95,5.06,4.95,1 088,5 445,-1.79%
07/12/2022,5.04,5.04,5.04,4.91,20 500,101 987,1.20%
