16/02/2023,"0,43","0,43","0,45","0,43",7 025,3 021,"-4,44%"
15/02/2023,"0,45","0,45","0,45","0,45",14 542,6 544,"0,00%"
14/02/2023,"0,45","0,45","0,45","0,45",104,47,"0,00%"
13/02/2023,"0,45","0,45","0,45","0,45",5 094,2 292,"0,00%"
10/02/2023,"0,45","0,45","0,45","0,45",23 540,10 593,"0,00%"
09/02/2023,"0,45","0,45","0,45","0,45",8 010,3 605,"0,00%"
08/02/2023,"0,45","0,45","0,45","0,45",10 070,4 532,"0,00%"
07/02/2023,"0,45","0,44","0,45","0,45",101,45,"2,27%"
06/02/2023,"0,44","0,44","0,44","0,44",2 200,968,"0,00%"
03/02/2023,"0,44","0,43","0,44","0,44",5 970,2 627,"2,33%"
02/02/2023,"0,43","0,43","0,44","0,43",3 500,1 505,"-2,27%"
01/02/2023,"0,44","0,44","0,44","0,44",27 740,12 206,"0,00%"
31/01/2023,"0,44","0,44","0,44","0,44",5 117,2 251,"0,00%"
30/01/2023,"0,44","0,43","0,44","0,44",6 460,2 842,"2,33%"
27/01/2023,"0,43","0,43","0,43","0,43",67 398,28 981,"0,00%"
26/01/2023,"0,43","0,43","0,43","0,43",7 020,3 019,"0,00%"
25/01/2023,"0,43","0,42","0,43","0,43",9 000,3 870,"2,38%"
24/01/2023,"0,42","0,42","0,43","0,42",19 729,8 286,"-2,33%"
23/01/2023,"0,43","0,42","0,43","0,43",392,169,"2,38%"
20/01/2023,"0,42","0,42","0,43","0,42",34 864,14 643,"-2,33%"
19/01/2023,"0,43","0,42","0,43","0,43",22 894,9 844,"2,38%"
18/01/2023,"0,42","0,42","0,43","0,42",42 412,17 813,"-2,33%"
17/01/2023,"0,43","0,43","0,44","0,43",13 304,5 721,"-2,27%"
16/01/2023,"0,44","0,44","0,44","0,44",65 331,28 746,"0,00%"
13/01/2023,"0,44","0,44","0,46","0,44",35 104,15 446,"-4,35%"
12/01/2023,"0,46","0,46","0,46","0,46",19 567,9 001,"0,00%"
11/01/2023,"0,46","0,46","0,47","0,46",49 600,22 816,"-2,13%"
10/01/2023,"0,47","0,47","0,48","0,47",18 055,8 486,"-2,08%"
09/01/2023,"0,48","0,48","0,48","0,48",18 035,8 657,"0,00%"
06/01/2023,"0,48","0,46","0,48","0,48",9,4,"4,35%"
05/01/2023,"0,46","0,46","0,47","0,46",10 218,4 700,"-2,13%"
04/01/2023,"0,47","0,46","0,47","0,47",3 545,1 666,"2,17%"
03/01/2023,"0,46","0,46","0,46","0,46",5 560,2 558,"0,00%"
02/01/2023,"0,46","0,46","0,48","0,46",9 547,4 392,"-4,17%"
30/12/2022,"0,48","0,47","0,48","0,48",3 568,1 713,"2,13%"
