16/02/2023,7.18,7.18,7.19,7.18,85,611,-0.14%
13/02/2023,7.19,7.19,7.19,7.19,37,266,0.00%
10/02/2023,7.19,7.19,7.19,7.19,3 650,26 244,0.00%
09/02/2023,7.19,7.19,7.19,7.19,101,726,0.00%
08/02/2023,7.19,7.19,7.19,7.19,125,899,0.00%
07/02/2023,7.19,7.19,7.29,7.19,350,2 534,-1.37%
31/01/2023,7.29,7.29,7.29,7.20,5,36,1.25%
30/01/2023,7.20,7.20,7.20,7.20,28,202,0.00%
27/01/2023,7.20,7.20,7.20,7.19,1 972,14 189,0.14%
23/01/2023,7.19,7.19,7.20,7.19,2 490,17 916,-0.14%
19/01/2023,7.20,7.20,7.20,7.20,200,1 440,0.00%
18/01/2023,7.20,7.20,7.20,7.20,508,3 658,0.00%
13/01/2023,7.20,7.20,7.20,7.20,16 315,117 468,0.00%
05/01/2023,7.20,7.20,7.39,7.20,146 000,1 065 070,-2.57%
03/01/2023,7.39,7.39,7.39,7.39,1 293,9 555,0.00%
02/01/2023,7.39,7.39,7.40,7.39,1 580,11 684,-0.14%
30/12/2022,7.40,7.40,7.40,7.30,2 975,21 866,1.37%
29/12/2022,7.30,7.30,7.30,7.21,13 519,98 080,1.25%
28/12/2022,7.21,7.21,7.21,7.20,400,2 882,0.14%
27/12/2022,7.20,7.20,7.20,7.20,500,3 600,0.00%
26/12/2022,7.20,7.20,7.20,7.19,20,144,0.14%
23/12/2022,7.19,7.19,7.19,7.19,1 316,9 462,0.00%
22/12/2022,7.19,7.19,7.20,7.19,1 302,9 368,-0.14%
20/12/2022,7.20,7.20,7.20,7.00,25,178,2.86%
19/12/2022,7.00,7.00,7.20,7.00,555,3 941,-2.78%
16/12/2022,7.20,7.20,7.20,7.20,9,65,0.00%
12/12/2022,7.20,7.20,7.20,7.05,200,1 425,2.13%
09/12/2022,7.05,7.05,7.20,6.88,181 545,1 278 077,-2.08%
02/12/2022,7.20,7.20,7.21,7.20,6 300,45 392,-0.14%
30/11/2022,7.21,7.21,7.21,7.05,375,2 674,2.27%
29/11/2022,7.05,7.05,7.05,6.81,7 025,48 683,3.52%
28/11/2022,6.81,6.81,7.00,6.81,399,2 755,-2.71%
25/11/2022,7.00,7.00,7.00,7.00,80,560,0.00%
24/11/2022,7.00,7.00,7.00,7.00,150,1 050,0.00%
17/11/2022,7.00,7.00,7.00,7.00,7 000,49 000,2.79%
15/11/2022,6.81,6.81,7.00,6.81,1 174,8 106,-2.71%
08/11/2022,7.00,7.00,7.00,6.80,1 842,12 710,2.94%
07/11/2022,6.80,6.80,6.95,6.80,422 901,2 907 444,-2.16%
03/11/2022,6.95,6.95,6.99,6.95,50,349,-0.57%
01/11/2022,6.99,6.99,7.00,6.99,11 100,77 645,-0.14%
31/10/2022,7.00,7.00,7.00,6.78,5,34,3.24%
28/10/2022,6.78,6.78,6.78,6.74,30 720,207 667,0.59%
27/10/2022,6.74,6.74,6.74,6.69,49 400,331 721,0.75%
26/10/2022,6.69,6.69,7.00,6.69,562 500,3 850 313,-4.43%
25/10/2022,7.00,7.00,7.00,6.96,152 070,1 061 449,0.57%
19/10/2022,6.96,6.96,6.96,6.82,36 549,251 823,2.05%
17/10/2022,6.82,6.82,6.97,6.82,899 750,6 203 776,-2.15%
14/10/2022,6.97,6.97,6.97,6.70,200,1 367,4.03%
13/10/2022,6.70,6.70,6.70,6.70,310,2 077,0.00%
12/10/2022,6.70,6.70,6.98,6.70,582,3 981,-4.01%
05/10/2022,6.98,6.98,6.98,6.98,100,698,0.00%
04/10/2022,6.98,6.98,6.98,6.69,555,3 793,4.33%
30/09/2022,6.69,6.69,6.69,6.69,1 248,8 349,0.00%
29/09/2022,6.69,6.69,6.70,6.69,100,670,-0.15%
27/09/2022,6.70,6.70,6.70,6.70,130,871,0.00%
22/09/2022,6.70,6.70,6.75,6.70,60,404,-0.74%
21/09/2022,6.75,6.75,6.75,6.46,180,1 189,0.00%
16/09/2022,6.75,6.75,6.75,6.75,300,2 025,0.00%
12/09/2022,6.75,6.75,6.75,6.50,96,636,3.85%
09/09/2022,6.50,6.50,6.75,6.50,750,4 969,-3.70%
08/09/2022,6.75,6.75,6.75,6.75,407,2 747,0.00%
07/09/2022,6.75,6.75,7.05,6.75,805,5 555,-4.26%
26/08/2022,7.05,7.05,7.05,7.05,5,35,0.00%
10/08/2022,7.05,7.05,7.05,6.75,10,69,4.44%
09/08/2022,6.75,6.75,6.80,6.75,500,3 388,-0.74%
08/08/2022,6.80,6.80,7.10,6.80,120,834,-4.23%
05/08/2022,7.10,7.10,7.10,7.10,75,533,0.00%
04/08/2022,7.10,7.10,7.10,7.10,10,71,0.00%
02/08/2022,7.10,7.10,7.10,6.93,10,70,2.45%
01/08/2022,6.93,6.93,6.94,6.93,3 000,20 805,-0.14%
29/07/2022,6.94,6.94,6.94,6.94,70,486,0.00%
19/07/2022,6.94,6.94,6.94,6.94,100,694,0.00%
18/07/2022,6.94,6.94,6.94,6.94,40,278,0.00%
15/07/2022,6.94,6.94,6.94,6.94,562,3 900,0.00%
13/07/2022,6.94,6.94,6.94,6.94,637,4 421,0.00%
12/07/2022,6.94,6.94,6.95,6.94,75,521,-0.14%
06/07/2022,6.95,6.95,6.95,6.69,25,171,3.89%
05/07/2022,6.69,6.69,6.99,6.69,95,650,-4.29%
30/06/2022,6.99,6.99,6.99,6.89,25,174,4.48%
27/06/2022,6.69,6.69,6.70,6.69,1 000,6 695,-7.47%
13/06/2022,7.23,7.23,7.27,7.23,879,6 373,-0.55%
06/06/2022,7.27,7.27,7.27,6.97,1 148,8 174,8.67%
26/05/2022,6.69,6.69,6.98,6.69,5 000,34 175,-4.15%
11/05/2022,6.60,6.60,6.60,6.60,52 125,344 025,0.00%
29/04/2022,6.60,6.60,6.60,6.60,350,2 310,0.00%
28/04/2022,6.60,6.60,6.89,6.60,100 202,675 862,-4.21%
27/04/2022,6.89,6.89,6.89,6.60,2,13,4.39%
26/04/2022,6.60,6.60,6.60,6.60,154 860,1 022 076,0.00%
25/04/2022,6.60,6.60,6.60,6.60,354 209,2 337 779,0.00%
22/04/2022,6.60,6.60,6.60,6.60,100,660,0.00%
21/04/2022,6.60,6.60,6.60,6.58,2 000,13 180,0.30%
20/04/2022,6.58,6.58,6.58,6.58,17 740,116 729,0.00%
19/04/2022,6.58,6.58,6.58,6.58,1 500,9 870,0.00%
18/04/2022,6.58,6.58,6.59,6.58,3 000,19 755,-0.15%
15/04/2022,6.59,6.59,6.59,6.59,200,1 318,0.00%
14/04/2022,6.59,6.59,6.60,6.59,100,660,-0.15%
12/04/2022,6.60,6.60,6.60,6.32,301,1 944,0.00%
11/04/2022,6.60,6.60,6.60,6.60,235,1 551,0.00%
08/04/2022,6.60,6.60,6.60,6.60,100,660,0.00%
06/04/2022,6.60,6.60,6.60,6.60,25,165,0.00%
25/03/2022,6.60,6.60,6.60,6.60,500,3 300,0.00%
24/03/2022,6.60,6.60,6.60,6.60,100,660,0.00%
23/03/2022,6.60,6.60,6.60,6.60,107,706,0.00%
22/03/2022,6.60,6.60,6.60,6.60,126,832,0.00%
21/03/2022,6.60,6.60,6.60,6.60,100,660,0.00%
09/03/2022,6.60,6.60,6.60,6.60,67,442,0.00%
07/03/2022,6.60,6.60,6.60,6.60,620,4 092,0.00%
04/03/2022,6.60,6.60,6.80,6.60,1 800,12 060,-2.94%
01/03/2022,6.80,6.80,6.80,6.80,105,714,0.00%
24/02/2022,6.80,6.80,6.80,6.80,2 621,17 823,0.00%
23/02/2022,6.80,6.80,6.80,6.60,100,670,3.03%
22/02/2022,6.60,6.60,6.60,6.60,200 000,1 320 000,0.00%
21/02/2022,6.60,6.60,6.83,6.60,550 000,3 693 250,-3.37%
17/02/2022,6.83,6.83,6.85,6.60,500 002,3 362 513,-0.29%
16/02/2022,6.85,6.85,6.85,6.60,2,13,3.79%
15/02/2022,6.60,6.60,6.60,6.60,500,3 300,0.00%
11/02/2022,6.60,6.60,6.60,6.60,2 185,14 421,0.00%
10/02/2022,6.60,6.60,6.60,6.60,1 713 676,11 310 262,0.00%
09/02/2022,6.60,6.60,6.60,6.60,357 238,2 357 771,0.00%
07/02/2022,6.60,6.60,6.60,6.60,1 057 216,6 977 626,0.00%
04/02/2022,6.60,6.60,6.60,6.58,62,409,0.30%
03/02/2022,6.58,6.58,6.60,6.58,300,1 977,-0.30%
01/02/2022,6.60,6.60,6.61,6.60,430,2 840,-0.15%
27/01/2022,6.61,6.61,6.61,6.60,15 000,99 075,0.15%
21/01/2022,6.60,6.60,6.60,6.58,600,3 954,0.30%
19/01/2022,6.58,6.58,6.58,6.58,1 000,6 580,0.00%
18/01/2022,6.58,6.58,6.58,6.58,664,4 369,0.00%
17/01/2022,6.58,6.58,6.71,6.58,1 410,9 369,-1.94%
13/01/2022,6.71,6.71,6.71,6.68,785,5 256,0.45%
12/01/2022,6.68,6.68,6.69,6.68,320,2 139,-0.15%
11/01/2022,6.69,6.69,6.96,6.68,570,3 887,-3.88%
10/01/2022,6.96,6.96,6.96,6.67,2 000,13 630,4.35%
07/01/2022,6.67,6.67,6.67,6.67,2 900,19 343,0.00%
06/01/2022,6.67,6.67,6.67,6.67,1 670,11 139,0.00%
05/01/2022,6.67,6.67,6.67,6.67,3 540,23 612,0.00%
04/01/2022,6.67,6.67,6.98,6.67,680,4 641,-4.44%
03/01/2022,6.98,6.98,7.30,6.98,500,3 570,-4.38%
29/12/2021,7.30,7.30,7.30,7.00,520,3 718,4.29%
28/12/2021,7.00,7.00,7.00,6.70,1 844,12 631,4.48%
27/12/2021,6.70,6.70,6.70,6.70,346,2 318,0.00%
22/12/2021,6.70,6.70,7.00,6.70,40,274,-4.29%
21/12/2021,7.00,7.00,7.30,7.00,200,1 430,-4.11%
15/11/2021,7.25,7.25,7.30,7.25,350,2 546,-0.68%
10/11/2021,7.30,7.30,7.30,7.03,1,7,3.84%
04/11/2021,7.03,7.03,7.03,7.00,200,1 403,0.43%
26/10/2021,7.00,7.00,7.00,7.00,55,385,0.00%
22/10/2021,7.00,7.00,7.00,7.00,200,1 400,0.00%
21/10/2021,7.00,7.00,7.31,7.00,295,2 111,-4.24%
07/10/2021,7.31,7.31,7.31,7.31,500,3 655,0.00%
05/10/2021,7.31,7.31,7.31,7.30,500,3 653,0.14%
04/10/2021,7.30,7.30,7.30,7.30,626,4 570,0.00%
08/09/2021,7.30,7.30,7.30,7.30,2,15,3.69%
04/08/2021,7.25,7.25,7.25,7.25,60,435,0.00%
02/08/2021,7.25,7.25,7.25,7.25,60,435,0.69%
30/07/2021,7.20,7.20,7.20,7.20,1 000,7 200,1.41%
29/07/2021,7.10,7.10,7.10,7.10,1 000,7 100,0.00%
27/07/2021,7.10,7.10,7.10,7.10,2 440,17 324,0.28%
23/07/2021,7.08,7.08,7.08,7.08,810,5 735,1.29%
22/07/2021,6.99,6.99,6.99,6.99,500,3 495,-0.14%
29/06/2021,7.00,7.00,7.00,7.00,4,28,0.72%
28/06/2021,6.95,6.95,6.95,6.95,462,3 211,-0.14%
25/06/2021,6.96,6.96,6.96,6.96,200,1 392,-0.57%
15/06/2021,7.00,7.00,7.00,7.00,1,7,0.72%
09/06/2021,6.95,6.95,6.95,6.95,75,521,-0.29%
04/06/2021,6.97,6.95,6.97,6.95,364,2 533,0.00%
03/06/2021,6.97,6.97,6.97,6.97,1 000,6 970,0.00%
02/06/2021,6.97,6.97,6.97,6.97,1 100,7 667,0.00%
01/06/2021,6.97,6.97,6.97,6.97,550,3 834,0.00%
31/05/2021,6.97,6.97,6.97,6.97,300,2 091,0.00%
28/05/2021,6.97,6.97,6.97,6.97,346,2 412,0.00%
27/05/2021,6.97,6.97,6.97,6.97,500,3 485,0.00%
26/05/2021,6.97,6.97,6.97,6.97,145,1 011,0.14%
25/05/2021,6.96,6.97,6.97,6.96,14 400,100 296,-0.14%
24/05/2021,6.97,6.95,6.97,6.95,209,1 455,0.29%
20/05/2021,6.95,6.95,6.95,6.95,10,70,0.00%
