"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","33,00","32,01","33,45","31,60","8,83K","2,17%"
"28/03/2023","32,30","32,30","32,79","32,30","1,58K","0,00%"
"27/03/2023","32,30","32,00","32,30","31,65","8,25K","0,94%"
"24/03/2023","32,00","31,45","32,19","31,00","18,42K","3,23%"
"23/03/2023","31,00","31,69","31,69","30,20","11,00K","-1,77%"
"22/03/2023","31,56","31,60","31,60","31,33","5,14K","-0,28%"
"21/03/2023","31,65","31,50","32,15","31,20","8,77K","0,48%"
"17/03/2023","31,50","31,50","31,59","31,09","13,40K","1,29%"
"16/03/2023","31,10","31,60","31,70","31,09","6,53K","0,03%"
"15/03/2023","31,09","32,50","32,50","31,09","9,82K","-2,84%"
"14/03/2023","32,00","31,50","32,00","31,00","16,17K","1,59%"
"13/03/2023","31,50","31,90","31,90","31,21","11,64K","0,32%"
"10/03/2023","31,40","31,98","31,98","31,30","24,75K","0,64%"
"09/03/2023","31,20","31,59","32,00","31,00","19,90K","0,65%"
"08/03/2023","31,00","30,30","31,00","29,90","58,35K","2,31%"
"07/03/2023","30,30","30,25","30,55","29,81","44,04K","0,00%"
"06/03/2023","30,30","29,90","30,40","29,90","22,01K","1,00%"
"03/03/2023","30,00","30,55","30,55","29,50","46,03K","0,00%"
"02/03/2023","30,00","29,80","30,50","29,50","31,61K","0,67%"
"01/03/2023","29,80","28,70","29,99","28,70","37,58K","4,49%"
"28/02/2023","28,52","27,60","29,00","27,60","9,80K","3,48%"
"27/02/2023","27,56","25,00","27,56","25,00","532,96K","6,00%"
"24/02/2023","26,00","27,00","27,40","26,00","1,24K","0,00%"
"23/02/2023","26,00","27,00","27,00","26,00","1,46K","-3,70%"
"22/02/2023","27,00","27,70","27,90","27,00","6,46K","-3,23%"
"21/02/2023","27,90","27,89","27,90","27,89","0,26K","0,00%"
"20/02/2023","27,90","27,90","28,00","27,90","1,23K","-0,36%"
"17/02/2023","28,00","27,70","28,00","27,70","0,54K","0,00%"
"16/02/2023","28,00","27,70","28,00","27,70","1,77K","0,00%"
