"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"21/03/2023","0,70","0,70","0,70","0,70","0,02K","-7,89%"
"13/03/2023","0,76","0,75","0,76","0,75","0,51K","-1,30%"
"17/02/2023","0,77","0,77","0,77","0,77","0,04K","0,00%"
"10/02/2023","0,77","0,77","0,77","0,77","0,00K","0,00%"
"02/02/2023","0,77","0,77","0,77","0,77","0,02K","-7,23%"
"17/01/2023","0,83","0,83","0,83","0,83","0,00K","1,22%"
"11/01/2023","0,82","0,82","0,82","0,82","0,00K","0,00%"
"04/01/2023","0,82","0,82","0,82","0,82","1,02K","0,00%"
"28/12/2022","0,82","0,82","0,82","0,82","9,67K","0,00%"
"23/12/2022","0,82","0,82","0,82","0,82","7,01K","-2,38%"
"16/12/2022","0,84","0,84","0,84","0,84","0,00K","0,00%"
"14/12/2022","0,84","0,84","0,84","0,84","1,08K","-2,33%"
"13/12/2022","0,86","0,86","0,86","0,86","0,01K","-4,44%"
"08/12/2022","0,90","0,90","0,90","0,90","0,01K","5,88%"
"22/11/2022","0,85","0,85","0,85","0,85","0,01K","-4,49%"
"18/11/2022","0,89","0,89","0,89","0,89","0,16K","4,71%"
"09/11/2022","0,85","0,85","0,85","0,85","0,00K","3,66%"
"31/10/2022","0,82","0,82","0,82","0,82","1,20K","-5,75%"
"25/10/2022","0,87","0,87","0,87","0,87","0,00K","0,00%"
"24/10/2022","0,87","0,87","0,87","0,87","0,34K","0,00%"
"20/10/2022","0,87","0,87","0,87","0,87","0,05K","0,00%"
"19/10/2022","0,87","0,87","0,87","0,87","0,04K","-1,14%"
"18/10/2022","0,88","0,88","0,88","0,88","0,02K","-4,35%"
"11/10/2022","0,92","0,92","0,92","0,92","0,04K","-1,08%"
"10/10/2022","0,93","0,93","0,93","0,93","0,11K","1,09%"
"07/10/2022","0,92","0,92","0,92","0,92","0,11K","2,22%"
"06/10/2022","0,90","0,90","0,90","0,90","0,34K","1,12%"
"05/10/2022","0,89","0,89","0,89","0,89","0,14K","3,49%"
"04/10/2022","0,86","0,88","0,88","0,86","0,18K","0,00%"
"30/09/2022","0,86","0,86","0,86","0,86","0,11K","3,61%"
"29/09/2022","0,83","0,83","0,83","0,83","0,91K","0,00%"
"28/09/2022","0,83","0,83","0,83","0,83","1,50K","0,00%"
"23/09/2022","0,83","0,83","0,83","0,83","0,97K","0,00%"
"16/09/2022","0,83","0,83","0,83","0,83","0,62K","0,00%"
"12/09/2022","0,83","0,83","0,83","0,83","0,56K","0,00%"
"06/09/2022","0,83","0,83","0,83","0,83","0,18K","1,22%"
"05/09/2022","0,82","0,82","0,82","0,82","0,78K","0,00%"
"01/09/2022","0,82","0,82","0,82","0,82","1,94K","-2,38%"
"29/08/2022","0,84","0,82","0,84","0,82","0,18K","-3,45%"
"25/08/2022","0,87","0,87","0,87","0,87","0,24K","3,57%"
"23/08/2022","0,84","0,84","0,84","0,84","0,20K","0,00%"
"19/08/2022","0,84","0,84","0,84","0,84","0,22K","5,00%"
"16/08/2022","0,80","0,80","0,80","0,80","0,08K","-9,09%"
"09/08/2022","0,88","0,91","0,91","0,88","0,04K","0,00%"
"05/08/2022","0,88","0,88","0,88","0,88","0,03K","-4,35%"
"03/08/2022","0,92","0,92","0,92","0,92","0,01K","-1,08%"
"02/08/2022","0,93","0,93","0,93","0,93","0,10K","-1,06%"
"29/07/2022","0,94","0,90","0,94","0,90","0,02K","2,17%"
"28/07/2022","0,92","0,92","0,92","0,92","2,37K","0,00%"
"27/07/2022","0,92","0,94","0,94","0,92","10,07K","-2,13%"
"26/07/2022","0,94","0,94","0,94","0,94","0,02K","2,17%"
"19/07/2022","0,92","0,92","0,92","0,92","2,00K","-2,13%"
"18/07/2022","0,94","0,94","0,94","0,94","0,10K","0,00%"
"15/07/2022","0,94","0,92","0,94","0,92","5,66K","-6,00%"
"13/07/2022","1,00","1,00","1,00","1,00","0,07K","0,00%"
"07/07/2022","1,00","1,00","1,00","1,00","0,04K","4,17%"
"06/07/2022","0,96","0,96","0,96","0,96","0,02K","4,35%"
"01/07/2022","0,92","0,92","0,92","0,92","5,00K","0,00%"
"30/06/2022","0,92","0,93","0,93","0,92","3,24K","0,00%"
"29/06/2022","0,92","0,92","0,92","0,92","11,41K","0,00%"
"28/06/2022","0,92","0,92","0,92","0,92","6,46K","-1,08%"
"22/06/2022","0,93","0,93","0,93","0,93","0,10K","1,09%"
"21/06/2022","0,92","0,92","0,92","0,92","6,05K","-6,12%"
"08/06/2022","0,98","0,98","0,98","0,98","0,01K","-2,00%"
