"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/03/2023","87,00","87,00","87,00","87,00","0,11K","-1,14%"
"24/03/2023","88,00","88,00","88,00","88,00","0,00K","1,72%"
"22/03/2023","86,51","86,51","86,51","86,51","0,03K","0,00%"
"21/03/2023","86,51","86,51","86,51","86,51","0,17K","3,48%"
"15/03/2023","83,60","83,60","83,60","83,60","0,13K","-4,46%"
"14/03/2023","87,50","87,50","87,50","87,50","0,10K","0,00%"
"06/03/2023","87,50","87,50","87,50","87,50","0,32K","-0,56%"
"24/02/2023","87,99","87,99","87,99","87,99","0,25K","-0,01%"
"22/02/2023","88,00","88,00","88,00","88,00","0,20K","0,00%"
"17/02/2023","88,00","88,00","88,00","88,00","0,12K","1,15%"
"16/02/2023","87,00","87,00","87,00","87,00","0,01K","-1,14%"
"14/02/2023","88,00","88,00","88,00","88,00","0,10K","0,00%"
"10/02/2023","88,00","88,00","88,00","88,00","0,10K","0,00%"
"08/02/2023","88,00","88,00","88,00","88,00","0,10K","0,00%"
"07/02/2023","88,00","88,00","88,00","88,00","0,10K","0,11%"
"02/02/2023","87,90","87,90","87,90","87,90","0,01K","0,00%"
"27/01/2023","87,90","87,90","87,90","87,90","0,05K","-0,11%"
"23/01/2023","88,00","87,00","88,00","87,00","0,31K","1,15%"
"20/01/2023","87,00","87,00","87,00","87,00","0,01K","-1,14%"
"19/01/2023","88,00","88,00","88,00","88,00","0,02K","0,00%"
"17/01/2023","88,00","88,00","88,00","88,00","0,01K","2,33%"
"12/01/2023","86,00","86,00","86,00","86,00","0,01K","-0,01%"
"11/01/2023","86,01","86,01","86,01","86,01","0,01K","-2,25%"
"10/01/2023","87,99","87,99","87,99","87,99","0,03K","-0,01%"
"09/01/2023","88,00","88,00","88,00","88,00","0,01K","0,01%"
"05/01/2023","87,99","87,99","87,99","87,99","0,04K","-0,01%"
"04/01/2023","88,00","88,00","88,00","88,00","0,09K","0,00%"
"29/12/2022","88,00","88,00","88,00","88,00","0,07K","3,53%"
"28/12/2022","85,00","85,00","85,00","85,00","0,15K","-3,41%"
"27/12/2022","88,00","87,99","88,00","87,99","0,07K","0,00%"
"26/12/2022","88,00","88,00","88,00","88,00","0,00K","3,53%"
"23/12/2022","85,00","85,00","85,00","85,00","0,11K","-3,40%"
"15/12/2022","87,99","87,99","87,99","87,99","0,01K","0,00%"
"14/12/2022","87,99","87,99","87,99","87,99","0,07K","0,00%"
"13/12/2022","87,99","87,99","87,99","87,99","0,00K","0,00%"
"12/12/2022","87,99","87,99","87,99","87,99","0,05K","-2,23%"
"08/12/2022","90,00","90,00","90,00","90,00","0,07K","0,00%"
