"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","0,87","0,87","0,87","0,87","0,08K","0,00%"
"28/03/2023","0,87","0,87","0,87","0,87","0,20K","0,00%"
"27/03/2023","0,87","0,87","0,87","0,87","1,11K","2,35%"
"24/03/2023","0,85","0,85","0,85","0,85","0,21K","0,00%"
"23/03/2023","0,85","0,85","0,85","0,85","0,10K","0,00%"
"22/03/2023","0,85","0,85","0,85","0,85","0,14K","0,00%"
"21/03/2023","0,85","0,85","0,85","0,85","1,00K","-1,16%"
"16/03/2023","0,86","0,86","0,86","0,86","0,22K","0,00%"
"15/03/2023","0,86","0,86","0,86","0,86","0,19K","1,18%"
"14/03/2023","0,85","0,85","0,85","0,85","2,79K","-1,16%"
"13/03/2023","0,86","0,86","0,86","0,86","0,38K","-4,44%"
"10/03/2023","0,90","0,90","0,90","0,90","0,80K","1,12%"
"07/03/2023","0,89","0,89","0,89","0,89","0,11K","0,00%"
"06/03/2023","0,89","0,89","0,89","0,89","0,29K","3,49%"
"03/03/2023","0,86","0,86","0,86","0,86","0,22K","-4,44%"
"28/02/2023","0,90","0,90","0,90","0,90","0,82K","5,88%"
"23/02/2023","0,85","0,85","0,85","0,85","0,14K","0,00%"
"22/02/2023","0,85","0,85","0,85","0,85","0,11K","-4,49%"
"21/02/2023","0,89","0,89","0,89","0,89","0,13K","0,00%"
"20/02/2023","0,89","0,89","0,89","0,89","0,13K","0,00%"
"17/02/2023","0,89","0,89","0,89","0,89","0,33K","4,71%"
"15/02/2023","0,85","0,85","0,85","0,85","0,35K","0,00%"
"14/02/2023","0,85","0,85","0,85","0,85","0,15K","0,00%"
"13/02/2023","0,85","0,85","0,85","0,85","0,07K","-3,41%"
"10/02/2023","0,88","0,88","0,88","0,88","0,06K","0,00%"
"09/02/2023","0,88","0,88","0,88","0,88","0,30K","-2,22%"
"08/02/2023","0,90","0,90","0,90","0,90","0,18K","0,00%"
"07/02/2023","0,90","0,90","0,90","0,90","0,10K","0,00%"
"06/02/2023","0,90","0,90","0,90","0,90","0,86K","1,12%"
"03/02/2023","0,89","0,89","0,89","0,89","0,05K","-1,11%"
"02/02/2023","0,90","0,90","0,90","0,90","0,05K","0,00%"
"01/02/2023","0,90","0,90","0,90","0,90","0,54K","0,00%"
"31/01/2023","0,90","0,90","0,90","0,90","0,23K","-1,10%"
"20/01/2023","0,91","0,91","0,91","0,91","0,01K","-1,09%"
"17/01/2023","0,92","0,92","0,92","0,92","0,08K","0,00%"
"13/01/2023","0,92","0,92","0,92","0,92","0,23K","0,00%"
"12/01/2023","0,92","0,92","0,92","0,92","0,00K","4,55%"
"02/01/2023","0,88","0,88","0,88","0,88","0,04K","0,00%"
"30/12/2022","0,88","0,88","0,88","0,88","0,06K","3,53%"
"29/12/2022","0,85","0,85","0,85","0,85","0,53K","-3,41%"
"28/12/2022","0,88","0,88","0,88","0,88","1,26K","-3,30%"
"26/12/2022","0,91","0,91","0,91","0,91","0,26K","-4,21%"
"23/12/2022","0,95","0,95","0,95","0,95","0,00K","3,26%"
"21/12/2022","0,92","0,92","0,92","0,92","0,03K","-3,16%"
"16/12/2022","0,95","0,95","0,95","0,95","11,45K","3,26%"
"15/12/2022","0,92","0,92","0,92","0,92","2,00K","1,10%"
"14/12/2022","0,91","0,91","0,91","0,91","1,72K","-1,09%"
"13/12/2022","0,92","0,92","0,92","0,92","0,10K","-3,16%"
"12/12/2022","0,95","0,95","0,95","0,95","1,11K","7,95%"
"08/12/2022","0,88","0,88","0,88","0,88","0,52K","3,53%"
"07/12/2022","0,85","0,85","0,85","0,85","0,67K","-4,49%"
"06/12/2022","0,89","0,89","0,89","0,89","0,05K","2,30%"
"05/12/2022","0,87","0,87","0,87","0,87","0,57K","0,00%"
"01/12/2022","0,87","0,87","0,87","0,87","1,00K","-2,25%"
"29/11/2022","0,89","0,89","0,89","0,89","0,06K","-4,30%"
"28/11/2022","0,93","0,93","0,93","0,93","0,04K","0,00%"
"24/11/2022","0,93","0,93","0,93","0,93","0,04K","3,33%"
"23/11/2022","0,90","0,90","0,90","0,90","0,20K","0,00%"
"22/11/2022","0,90","0,90","0,90","0,90","1,86K","-4,26%"
"21/11/2022","0,94","0,94","0,94","0,94","0,02K","-1,05%"
"17/11/2022","0,95","0,95","0,95","0,95","0,26K","4,40%"
"16/11/2022","0,91","0,91","0,91","0,91","0,25K","-4,21%"
"15/11/2022","0,95","0,95","0,95","0,95","0,10K","0,00%"
"14/11/2022","0,95","0,95","0,95","0,95","2,69K","0,00%"
"11/11/2022","0,95","0,95","0,95","0,95","0,91K","4,40%"
"10/11/2022","0,91","0,91","0,91","0,91","0,08K","-3,19%"
"09/11/2022","0,94","0,94","0,94","0,94","0,05K","-1,05%"
"08/11/2022","0,95","0,95","0,95","0,95","0,70K","0,00%"
"07/11/2022","0,95","0,95","0,95","0,95","1,29K","5,56%"
"03/11/2022","0,90","0,90","0,90","0,90","0,01K","-1,10%"
"02/11/2022","0,91","0,91","0,91","0,91","0,49K","-4,21%"
"01/11/2022","0,95","0,95","0,95","0,95","0,51K","0,00%"
"31/10/2022","0,95","0,95","0,95","0,95","0,80K","4,40%"
"27/10/2022","0,91","0,91","0,91","0,91","0,50K","0,00%"
"26/10/2022","0,91","0,91","0,91","0,91","0,55K","-4,21%"
"25/10/2022","0,95","0,95","0,95","0,95","2,08K","2,15%"
"24/10/2022","0,93","0,93","0,93","0,93","0,45K","0,00%"
"21/10/2022","0,93","0,93","0,93","0,93","0,38K","0,00%"
"20/10/2022","0,93","0,93","0,93","0,93","1,51K","-1,06%"
"19/10/2022","0,94","0,94","0,94","0,94","0,56K","0,00%"
"18/10/2022","0,94","0,94","0,94","0,94","1,13K","0,00%"
"17/10/2022","0,94","0,94","0,94","0,94","0,60K","0,00%"
"14/10/2022","0,94","0,94","0,94","0,94","0,31K","0,00%"
"13/10/2022","0,94","0,94","0,94","0,94","0,53K","0,00%"
"12/10/2022","0,94","0,94","0,94","0,94","0,20K","-1,05%"
"11/10/2022","0,95","0,95","0,95","0,95","0,61K","-2,06%"
"10/10/2022","0,97","0,97","0,97","0,97","0,13K","-2,02%"
"07/10/2022","0,99","0,99","0,99","0,99","0,13K","0,00%"
"06/10/2022","0,99","0,99","0,99","0,99","1,09K","-1,00%"
"05/10/2022","1,00","1,00","1,00","1,00","0,65K","-3,85%"
"04/10/2022","1,04","1,04","1,04","1,04","0,19K","-3,70%"
"03/10/2022","1,08","1,08","1,08","1,08","0,31K","2,86%"
"30/09/2022","1,05","1,05","1,05","1,05","1,52K","-0,94%"
"29/09/2022","1,06","1,06","1,06","1,06","1,07K","3,92%"
"28/09/2022","1,02","1,02","1,02","1,02","1,21K","4,08%"
"27/09/2022","0,98","0,98","0,98","0,98","2,57K","-3,92%"
"23/09/2022","1,02","1,02","1,02","1,02","1,88K","0,00%"
"22/09/2022","1,02","1,02","1,02","1,02","3,11K","0,00%"
"20/09/2022","1,02","1,02","1,02","1,02","0,35K","-3,77%"
"19/09/2022","1,06","1,06","1,06","1,06","1,11K","-0,93%"
"16/09/2022","1,07","1,07","1,07","1,07","0,55K","-10,08%"
"13/09/2022","1,19","1,19","1,19","1,19","0,19K","-4,80%"
"08/09/2022","1,25","1,25","1,25","1,25","0,39K","-0,79%"
"07/09/2022","1,26","1,26","1,26","1,26","2,66K","-3,82%"
"02/09/2022","1,31","1,31","1,31","1,31","0,71K","2,34%"
"01/09/2022","1,28","1,28","1,28","1,28","2,08K","0,79%"
"31/08/2022","1,27","1,27","1,27","1,27","2,27K","4,10%"
"26/08/2022","1,22","1,22","1,22","1,22","7,28K","7,96%"
"24/08/2022","1,13","1,13","1,13","1,13","3,00K","1,80%"
"23/08/2022","1,11","1,11","1,11","1,11","4,71K","0,00%"
"22/08/2022","1,11","1,11","1,11","1,11","7,01K","0,00%"
"18/08/2022","1,11","1,11","1,11","1,11","0,44K","0,00%"
"17/08/2022","1,11","1,11","1,11","1,11","1,12K","0,00%"
"16/08/2022","1,11","1,11","1,11","1,11","0,21K","0,00%"
"15/08/2022","1,11","1,11","1,11","1,11","0,11K","0,00%"
"12/08/2022","1,11","1,11","1,11","1,11","0,06K","0,00%"
"11/08/2022","1,11","1,11","1,11","1,11","0,15K","0,00%"
"10/08/2022","1,11","1,11","1,11","1,11","0,29K","0,00%"
"05/08/2022","1,11","1,11","1,11","1,11","0,62K","0,00%"
"04/08/2022","1,11","1,11","1,11","1,11","0,06K","0,91%"
"03/08/2022","1,10","1,10","1,10","1,10","0,78K","-0,90%"
"02/08/2022","1,11","1,11","1,11","1,11","2,32K","-10,48%"
"28/07/2022","1,24","1,24","1,24","1,24","1,00K","12,73%"
"22/07/2022","1,10","1,10","1,10","1,10","3,21K","-6,78%"
"20/07/2022","1,18","1,18","1,18","1,18","0,20K","-9,23%"
"15/07/2022","1,30","1,30","1,30","1,30","0,25K","-7,14%"
"07/07/2022","1,40","1,40","1,40","1,40","3,42K","0,00%"
"05/07/2022","1,40","1,40","1,40","1,40","0,33K","1,45%"
"04/07/2022","1,38","1,38","1,38","1,38","0,03K","0,00%"
"01/07/2022","1,38","1,38","1,38","1,38","3,06K","2,22%"
"29/06/2022","1,35","1,35","1,35","1,35","1,96K","1,50%"
"28/06/2022","1,33","1,33","1,33","1,33","0,25K","3,10%"
"27/06/2022","1,29","1,29","1,29","1,29","0,64K","2,38%"
"24/06/2022","1,26","1,26","1,26","1,26","1,18K","0,00%"
"23/06/2022","1,26","1,26","1,26","1,26","0,90K","-3,82%"
"21/06/2022","1,31","1,31","1,31","1,31","1,70K","-0,76%"
"15/06/2022","1,32","1,32","1,32","1,32","4,14K","0,00%"
"14/06/2022","1,32","1,32","1,32","1,32","2,62K","0,00%"
"13/06/2022","1,32","1,32","1,32","1,32","0,04K","0,00%"
"10/06/2022","1,32","1,32","1,32","1,32","0,02K","2,33%"
"08/06/2022","1,29","1,29","1,29","1,29","0,14K","0,00%"
"07/06/2022","1,29","1,29","1,29","1,29","0,74K","3,20%"
"06/06/2022","1,25","1,25","1,25","1,25","0,01K","4,17%"
"03/06/2022","1,20","1,20","1,20","1,20","2,47K","-4,00%"
"02/06/2022","1,25","1,25","1,25","1,25","1,37K","-3,85%"
"01/06/2022","1,30","1,30","1,30","1,30","16,03K","8,33%"
"27/05/2022","1,20","1,20","1,20","1,20","4,40K","4,35%"
"26/05/2022","1,15","1,15","1,15","1,15","0,30K","-4,17%"
"25/05/2022","1,20","1,20","1,20","1,20","1,34K","0,00%"
"24/05/2022","1,20","1,20","1,20","1,20","0,40K","-1,64%"
"23/05/2022","1,22","1,22","1,22","1,22","2,02K","1,67%"
"20/05/2022","1,20","1,20","1,20","1,20","2,17K","4,35%"
"19/05/2022","1,15","1,15","1,15","1,15","3,54K","11,65%"
"16/05/2022","1,03","1,03","1,03","1,03","3,55K","17,05%"
"10/05/2022","0,88","0,88","0,88","0,88","0,32K","-7,37%"
"06/05/2022","0,95","0,95","0,95","0,95","3,78K","-4,04%"
"05/05/2022","0,99","0,99","0,99","0,99","1,60K","-3,88%"
"29/04/2022","1,03","1,03","1,03","1,03","5,13K","-3,74%"
"28/04/2022","1,07","1,07","1,07","1,07","0,62K","-7,76%"
"26/04/2022","1,16","1,16","1,16","1,16","0,12K","-4,13%"
"25/04/2022","1,21","1,21","1,21","1,21","4,00K","0,83%"
"22/04/2022","1,20","1,20","1,20","1,20","6,66K","-1,64%"
"21/04/2022","1,22","1,22","1,22","1,22","5,80K","-2,40%"
"20/04/2022","1,25","1,25","1,25","1,25","4,36K","-3,85%"
"18/04/2022","1,30","1,30","1,30","1,30","0,89K","4,00%"
"15/04/2022","1,25","1,25","1,25","1,25","1,32K","0,00%"
"14/04/2022","1,25","1,25","1,25","1,25","1,08K","4,17%"
"13/04/2022","1,20","1,20","1,20","1,20","1,35K","0,00%"
"12/04/2022","1,20","1,20","1,20","1,20","3,59K","0,00%"
"11/04/2022","1,20","1,20","1,20","1,20","2,27K","0,00%"
"08/04/2022","1,20","1,20","1,20","1,20","0,25K","0,00%"
"07/04/2022","1,20","1,20","1,20","1,20","0,41K","0,84%"
"06/04/2022","1,19","1,19","1,19","1,19","0,09K","-0,83%"
"05/04/2022","1,20","1,20","1,20","1,20","0,07K","0,00%"
"04/04/2022","1,20","1,20","1,20","1,20","0,08K","0,84%"
"01/04/2022","1,19","1,19","1,19","1,19","2,31K","0,00%"
"31/03/2022","1,19","1,19","1,19","1,19","9,09K","8,18%"
"29/03/2022","1,10","1,10","1,10","1,10","0,96K","-4,35%"
"28/03/2022","1,15","1,15","1,15","1,15","0,85K","-2,54%"
"24/03/2022","1,18","1,18","1,18","1,18","0,25K","0,00%"
"22/03/2022","1,18","1,18","1,18","1,18","0,99K","-0,84%"
"21/03/2022","1,19","1,19","1,19","1,19","0,72K","8,18%"
"17/03/2022","1,10","1,10","1,10","1,10","1,06K","3,77%"
"16/03/2022","1,06","1,06","1,06","1,06","5,48K","3,92%"
"15/03/2022","1,02","1,02","1,02","1,02","4,77K","0,00%"
"14/03/2022","1,02","1,02","1,02","1,02","0,17K","0,99%"
"11/03/2022","1,01","1,01","1,01","1,01","1,02K","-0,98%"
"10/03/2022","1,02","1,02","1,02","1,02","1,10K","0,00%"
"09/03/2022","1,02","1,02","1,02","1,02","1,90K","0,00%"
"08/03/2022","1,02","1,02","1,02","1,02","2,31K","0,00%"
"07/03/2022","1,02","1,02","1,02","1,02","1,10K","2,00%"
"04/03/2022","1,00","1,00","1,00","1,00","1,11K","0,00%"
"03/03/2022","1,00","1,00","1,00","1,00","0,65K","1,01%"
"02/03/2022","0,99","0,99","0,99","0,99","1,89K","0,00%"
