"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","2,56","2,42","2,59","2,42","44,38K","4,07%"
"28/03/2023","2,46","2,46","2,46","2,46","3,02K","-1,20%"
"27/03/2023","2,49","2,49","2,49","2,49","0,20K","0,00%"
"24/03/2023","2,49","2,45","2,49","2,45","0,46K","-0,40%"
"23/03/2023","2,50","2,48","2,50","2,48","15,12K","0,40%"
"22/03/2023","2,49","2,46","2,49","2,46","5,76K","1,22%"
"17/03/2023","2,46","2,46","2,46","2,46","0,03K","0,00%"
"16/03/2023","2,46","2,45","2,47","2,45","1,02K","0,41%"
"15/03/2023","2,45","2,45","2,45","2,45","0,10K","0,82%"
"14/03/2023","2,43","2,37","2,43","2,37","1,89K","-0,41%"
"13/03/2023","2,44","2,44","2,47","2,44","0,33K","0,00%"
"10/03/2023","2,44","2,40","2,44","2,39","6,34K","0,00%"
"09/03/2023","2,44","2,40","2,44","2,40","2,82K","1,67%"
"08/03/2023","2,40","2,41","2,41","2,39","13,89K","0,00%"
"07/03/2023","2,40","2,41","2,44","2,40","0,92K","-0,41%"
"06/03/2023","2,41","2,37","2,41","2,37","0,57K","0,00%"
"03/03/2023","2,41","2,40","2,41","2,40","2,02K","0,00%"
"02/03/2023","2,41","2,40","2,41","2,40","11,08K","0,42%"
"01/03/2023","2,40","2,42","2,43","2,40","3,91K","-1,23%"
"28/02/2023","2,43","2,37","2,43","2,36","0,42K","1,25%"
"27/02/2023","2,40","2,37","2,40","2,36","11,62K","0,00%"
"24/02/2023","2,40","2,39","2,40","2,38","0,48K","0,00%"
"23/02/2023","2,40","2,40","2,40","2,37","0,89K","0,00%"
"22/02/2023","2,40","2,43","2,43","2,36","1,57K","-1,23%"
"21/02/2023","2,43","2,39","2,43","2,39","22,94K","-0,82%"
"20/02/2023","2,45","2,41","2,50","2,40","12,26K","-2,00%"
"17/02/2023","2,50","2,46","2,50","2,45","13,31K","0,00%"
"16/02/2023","2,50","2,45","2,50","2,45","3,33K","2,04%"
"15/02/2023","2,45","2,48","2,48","2,45","0,02K","-3,54%"
"14/02/2023","2,54","2,45","2,54","2,36","83,95K","2,01%"
"13/02/2023","2,49","2,45","2,49","2,43","36,67K","-3,49%"
"10/02/2023","2,58","2,54","2,58","2,54","0,23K","1,57%"
"09/02/2023","2,54","2,52","2,55","2,48","11,99K","-0,78%"
"08/02/2023","2,56","2,55","2,56","2,55","1,15K","-1,54%"
"07/02/2023","2,60","2,63","2,63","2,55","8,39K","-1,52%"
"06/02/2023","2,64","2,56","2,64","2,56","7,87K","0,00%"
"03/02/2023","2,64","2,57","2,64","2,56","0,59K","2,33%"
"02/02/2023","2,58","2,63","2,63","2,58","0,20K","-3,73%"
"01/02/2023","2,68","2,68","2,68","2,68","0,80K","2,68%"
"31/01/2023","2,61","2,61","2,68","2,60","2,55K","0,00%"
"30/01/2023","2,61","2,71","2,71","2,60","0,49K","-2,97%"
"27/01/2023","2,69","2,64","2,70","2,55","8,15K","2,67%"
"26/01/2023","2,62","2,64","2,64","2,62","0,31K","0,00%"
"25/01/2023","2,62","2,63","2,63","2,60","4,25K","0,00%"
"24/01/2023","2,62","2,62","2,62","2,62","1,92K","4,38%"
"23/01/2023","2,51","2,51","2,57","2,51","3,24K","0,00%"
"20/01/2023","2,51","2,60","2,60","2,50","20,90K","-2,33%"
"19/01/2023","2,57","2,60","2,60","2,56","48,23K","0,39%"
"18/01/2023","2,56","2,60","2,60","2,56","8,21K","-4,83%"
"17/01/2023","2,69","2,73","2,73","2,60","15,05K","-2,18%"
"16/01/2023","2,75","2,69","2,76","2,65","11,87K","2,23%"
"13/01/2023","2,69","2,69","2,69","2,64","2,84K","0,00%"
"12/01/2023","2,69","2,60","2,74","2,55","23,18K","3,46%"
"11/01/2023","2,60","2,65","2,66","2,55","9,06K","-2,26%"
"10/01/2023","2,66","2,76","2,85","2,62","63,66K","-1,85%"
"09/01/2023","2,71","2,72","2,72","2,60","95,66K","-0,37%"
"06/01/2023","2,72","2,77","2,78","2,71","10,25K","-2,16%"
"05/01/2023","2,78","2,80","2,80","2,78","12,59K","-0,71%"
"04/01/2023","2,80","2,83","2,85","2,80","8,00K","-1,75%"
"03/01/2023","2,85","2,86","2,86","2,85","4,36K","-1,04%"
"02/01/2023","2,88","2,89","2,89","2,85","13,07K","-0,35%"
"30/12/2022","2,89","2,85","2,89","2,85","0,21K","0,00%"
"29/12/2022","2,89","2,87","2,89","2,87","5,00K","0,00%"
"28/12/2022","2,89","2,85","2,89","2,85","2,01K","0,70%"
"27/12/2022","2,87","2,75","2,87","2,75","1,06K","-1,03%"
"26/12/2022","2,90","2,97","2,98","2,82","12,12K","2,84%"
"23/12/2022","2,82","2,85","2,90","2,82","24,87K","-5,69%"
"22/12/2022","2,99","2,99","2,99","2,85","39,73K","-0,33%"
"21/12/2022","3,00","2,99","3,00","2,90","38,49K","0,00%"
"20/12/2022","3,00","3,00","3,00","2,94","23,71K","-1,96%"
"19/12/2022","3,06","3,06","3,06","3,06","0,43K","0,00%"
"16/12/2022","3,06","3,06","3,07","3,06","0,91K","-0,33%"
"15/12/2022","3,07","3,00","3,07","3,00","6,43K","-0,65%"
"14/12/2022","3,09","3,09","3,09","3,09","1,90K","0,00%"
"13/12/2022","3,09","3,09","3,09","3,09","0,01K","0,00%"
"12/12/2022","3,09","3,08","3,09","3,08","8,24K","0,32%"
"09/12/2022","3,08","3,08","3,08","3,08","0,01K","0,00%"
"08/12/2022","3,08","3,00","3,08","3,00","0,05K","-0,32%"
"07/12/2022","3,09","3,05","3,09","3,05","3,50K","3,00%"
"06/12/2022","3,00","3,00","3,09","3,00","10,84K","-2,91%"
"05/12/2022","3,09","3,00","3,09","3,00","7,21K","0,00%"
"02/12/2022","3,09","3,00","3,09","3,00","0,04K","0,00%"
"01/12/2022","3,09","3,07","3,09","3,07","2,03K","0,65%"
"30/11/2022","3,07","3,07","3,07","3,01","4,04K","-0,65%"
"29/11/2022","3,09","3,06","3,09","3,00","6,18K","-0,32%"
"25/11/2022","3,10","3,08","3,10","3,07","2,07K","0,32%"
"23/11/2022","3,09","3,07","3,09","3,06","12,59K","-0,32%"
"22/11/2022","3,10","3,10","3,10","3,10","0,02K","0,00%"
"18/11/2022","3,10","3,02","3,11","3,02","8,40K","0,00%"
"17/11/2022","3,10","3,10","3,10","3,10","3,38K","0,00%"
"16/11/2022","3,10","3,12","3,12","3,06","8,07K","-0,96%"
"15/11/2022","3,13","3,07","3,13","3,07","0,12K","0,00%"
"11/11/2022","3,13","3,09","3,13","3,09","1,03K","-0,63%"
"08/11/2022","3,15","3,11","3,15","3,11","6,59K","1,29%"
"07/11/2022","3,11","3,09","3,11","3,09","13,58K","0,32%"
"04/11/2022","3,10","3,05","3,10","3,05","0,04K","0,00%"
"03/11/2022","3,10","3,00","3,10","3,00","6,26K","0,00%"
"02/11/2022","3,10","3,08","3,11","3,08","18,11K","-0,32%"
"01/11/2022","3,11","3,11","3,11","3,11","0,20K","-0,32%"
