"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/03/2023","2,200","2,200","2,200","2,200","0,01K","0,00%"
"15/03/2023","2,200","2,200","2,200","2,200","0,12K","0,00%"
"21/02/2023","2,200","2,200","2,200","2,200","0,00K","0,00%"
"17/02/2023","2,200","2,200","2,200","2,200","5,90K","0,00%"
"16/02/2023","2,200","2,200","2,200","2,200","2,10K","0,00%"
"15/02/2023","2,200","2,200","2,200","2,200","2,35K","0,00%"
"14/02/2023","2,200","2,200","2,200","2,200","3,16K","0,00%"
"09/02/2023","2,200","2,200","2,200","2,200","5,20K","0,00%"
"03/02/2023","2,200","2,200","2,200","2,200","4,15K","-2,65%"
"02/02/2023","2,260","2,260","2,260","2,260","5,40K","2,73%"
"24/01/2023","2,200","2,200","2,200","2,200","23,13K","0,00%"
"20/01/2023","2,200","2,330","2,330","2,200","3,27K","-1,79%"
"19/01/2023","2,240","2,240","2,240","2,240","1,23K","-4,27%"
"17/01/2023","2,340","2,340","2,340","2,340","0,40K","0,43%"
"13/01/2023","2,330","2,350","2,350","2,330","2,80K","-0,43%"
"12/01/2023","2,340","2,340","2,340","2,340","2,00K","-1,68%"
"05/01/2023","2,380","2,380","2,380","2,380","0,03K","4,39%"
"03/01/2023","2,280","2,280","2,280","2,280","0,20K","0,00%"
"29/12/2022","2,280","2,280","2,280","2,280","0,05K","8,06%"
"19/12/2022","2,110","2,110","2,110","2,110","0,02K","-7,86%"
"24/11/2022","2,290","2,290","2,290","2,290","0,00K","-2,97%"
"17/11/2022","2,360","2,360","2,360","2,360","0,01K","0,00%"
"16/11/2022","2,360","2,360","2,360","2,360","0,00K","0,00%"
"15/11/2022","2,360","2,360","2,360","2,360","0,00K","0,00%"
"03/11/2022","2,360","2,360","2,360","2,360","0,20K","4,42%"
"28/10/2022","2,260","2,260","2,260","2,260","0,01K","-0,44%"
"11/10/2022","2,270","2,270","2,270","2,270","0,30K","0,00%"
"04/10/2022","2,270","2,270","2,270","2,270","7,80K","-12,36%"
"23/09/2022","2,590","2,590","2,590","2,590","0,00K","-4,78%"
"29/08/2022","2,720","2,720","2,720","2,720","0,02K","2,26%"
"26/08/2022","2,660","2,660","2,660","2,660","0,01K","4,31%"
"25/08/2022","2,550","2,550","2,550","2,550","0,02K","2,41%"
"24/08/2022","2,490","2,490","2,490","2,490","0,01K","4,18%"
"23/08/2022","2,390","2,390","2,390","2,390","0,41K","0,00%"
"22/08/2022","2,390","2,390","2,390","2,390","0,01K","3,91%"
"19/08/2022","2,300","2,300","2,300","2,300","0,01K","4,07%"
"18/08/2022","2,210","2,210","2,210","2,210","0,51K","0,00%"
"12/08/2022","2,210","2,210","2,210","2,210","0,03K","4,25%"
"08/08/2022","2,120","2,120","2,120","2,120","0,31K","0,00%"
"05/08/2022","2,120","2,120","2,120","2,120","0,05K","-3,20%"
"19/07/2022","2,190","2,190","2,190","2,190","0,06K","-0,45%"
"07/07/2022","2,200","2,200","2,200","2,200","0,14K","0,00%"
"01/07/2022","2,200","2,200","2,200","2,200","0,00K","0,00%"
"25/05/2022","2,200","2,200","2,200","2,200","0,05K","3,29%"
"23/05/2022","2,130","2,130","2,130","2,130","0,05K","-4,48%"
"06/05/2022","2,230","2,230","2,230","2,230","0,10K","-1,33%"
"29/04/2022","2,260","2,260","2,260","2,260","0,10K","-0,44%"
"28/04/2022","2,270","2,270","2,270","2,270","17,49K","0,00%"
"27/04/2022","2,270","2,270","2,270","2,270","48,47K","0,00%"
"22/04/2022","2,270","2,270","2,270","2,270","0,30K","0,00%"
"18/04/2022","2,270","2,270","2,270","2,270","0,70K","0,44%"
"09/03/2022","2,260","2,260","2,260","2,260","0,20K","-0,88%"
"22/02/2022","2,280","2,280","2,280","2,280","0,10K","0,00%"
"18/02/2022","2,280","2,280","2,280","2,280","8,05K","0,00%"
"07/02/2022","2,280","2,280","2,280","2,280","0,87K","0,00%"
"04/02/2022","2,280","2,280","2,280","2,280","3,17K","-0,44%"
"03/02/2022","2,290","2,290","2,290","2,290","3,97K","0,44%"
"02/02/2022","2,280","2,280","2,280","2,280","0,18K","-0,44%"
"01/02/2022","2,290","2,290","2,290","2,290","2,20K","4,09%"
"31/01/2022","2,200","2,200","2,200","2,200","0,75K","-3,51%"
"28/01/2022","2,280","2,280","2,280","2,280","1,00K","-0,44%"
"26/01/2022","2,290","2,290","2,290","2,290","1,00K","2,23%"
"20/01/2022","2,240","2,240","2,240","2,240","1,75K","0,00%"
"18/01/2022","2,240","2,240","2,240","2,240","1,60K","0,00%"
"17/01/2022","2,240","2,240","2,240","2,240","0,65K","0,00%"
"14/01/2022","2,240","2,240","2,240","2,240","0,50K","0,00%"
"13/01/2022","2,240","2,240","2,240","2,240","0,50K","3,23%"
"07/01/2022","2,170","2,170","2,170","2,170","0,10K","-8,82%"
"27/12/2021","2,380","2,380","2,380","2,380","0,20K","0,00%"
"24/12/2021","2,380","2,380","2,380","2,380","0,20K","4,39%"
"23/12/2021","2,280","2,280","2,280","2,280","0,20K","0,00%"
"22/12/2021","2,280","2,280","2,280","2,280","0,10K","4,11%"
"21/12/2021","2,190","2,190","2,190","2,190","0,20K","13,47%"
"17/11/2021","1,930","1,930","1,930","1,930","0,05K","0,00%"
"05/11/2021","1,930","1,930","1,930","1,930","1,00K","0,00%"
"04/11/2021","1,930","1,930","1,930","1,930","0,05K","0,00%"
"02/11/2021","1,930","1,930","1,930","1,930","0,01K","0,52%"
"29/10/2021","1,920","1,920","1,920","1,920","0,01K","0,00%"
"28/10/2021","1,920","1,920","1,920","1,920","0,01K","0,00%"
"22/10/2021","1,920","1,920","1,920","1,920","0,18K","0,00%"
"21/10/2021","1,920","1,920","1,920","1,920","0,11K","0,52%"
"14/09/2021","1,910","1,910","1,910","1,910","0,20K","0,53%"
"08/09/2021","1,900","1,900","1,900","1,900","1,00K","0,00%"
"06/09/2021","1,900","1,900","1,900","1,900","0,88K","-0,52%"
"17/08/2021","1,910","1,910","1,910","1,910","0,77K","-2,55%"
"06/08/2021","1,960","1,960","1,960","1,960","0,10K","-2,00%"
"18/06/2021","2,000","2,000","2,000","2,000","1,59K","0,50%"
"16/06/2021","1,990","1,990","1,990","1,990","0,28K","2,05%"
"15/06/2021","1,950","1,950","1,950","1,950","0,20K","-2,50%"
"08/06/2021","2,000","2,000","2,000","2,000","0,60K","3,63%"
"04/06/2021","1,930","1,930","1,930","1,930","0,51K","0,00%"
"03/06/2021","1,930","1,930","1,930","1,930","2,00K","0,00%"
"02/06/2021","1,930","1,940","1,940","1,930","2,58K","-0,52%"
"01/06/2021","1,940","1,940","1,940","1,940","0,20K","-7,18%"
"10/05/2021","2,090","2,090","2,090","2,090","1,31K","-2,79%"
"29/04/2021","2,150","2,150","2,150","2,150","0,10K","2,87%"
"28/04/2021","2,090","2,090","2,090","2,090","0,20K","4,50%"
"26/04/2021","2,000","2,000","2,000","2,000","0,90K","2,56%"
"23/04/2021","1,950","1,950","1,950","1,950","0,20K","3,17%"
"21/04/2021","1,890","1,890","1,890","1,890","1,00K","0,00%"
"14/04/2021","1,890","1,890","1,890","1,890","0,14K","0,53%"
"08/04/2021","1,880","1,880","1,880","1,880","0,52K","0,00%"
"07/04/2021","1,880","1,870","1,880","1,870","4,80K","0,53%"
"06/04/2021","1,870","1,870","1,870","1,870","6,98K","-2,60%"
"05/04/2021","1,920","1,920","1,920","1,920","1,05K","2,67%"
"02/04/2021","1,870","1,870","1,870","1,870","4,50K","-2,60%"
"01/04/2021","1,920","1,930","1,930","1,920","3,70K","0,00%"
"31/03/2021","1,920","1,920","1,920","1,920","1,00K","2,13%"
"19/03/2021","1,880","1,880","1,880","1,880","0,29K","2,73%"
"04/03/2021","1,830","1,830","1,830","1,830","1,00K","0,00%"
"03/03/2021","1,830","1,830","1,830","1,830","0,10K","0,00%"
"01/03/2021","1,830","1,830","1,830","1,830","16,58K","0,00%"
"12/02/2021","1,830","1,830","1,830","1,830","0,78K","1,10%"
"02/02/2021","1,810","1,810","1,810","1,810","0,02K","-0,55%"
"21/01/2021","1,820","1,820","1,820","1,820","0,23K","-5,21%"
"18/01/2021","1,920","1,920","1,920","1,920","1,80K","2,67%"
"12/01/2021","1,870","1,870","1,870","1,870","0,00K","2,75%"
"04/01/2021","1,820","1,820","1,820","1,820","59,50K","1,11%"
"31/12/2020","1,800","1,800","1,800","1,800","27,45K","1,12%"
"29/12/2020","1,780","1,780","1,780","1,780","23,96K","0,56%"
"23/12/2020","1,770","1,770","1,770","1,770","2,12K","0,00%"
"15/12/2020","1,770","1,770","1,770","1,770","0,00K","0,00%"
"07/12/2020","1,770","1,770","1,770","1,770","0,21K","0,00%"
"04/12/2020","1,770","1,770","1,770","1,770","0,02K","0,00%"
"02/12/2020","1,770","1,770","1,770","1,770","2,15K","0,00%"
"30/11/2020","1,770","1,770","1,770","1,770","0,30K","2,91%"
"18/11/2020","1,720","1,720","1,720","1,720","0,01K","0,00%"
"17/11/2020","1,720","1,720","1,720","1,720","0,01K","0,00%"
"06/10/2020","1,720","1,720","1,720","1,720","1,48K","0,00%"
"05/10/2020","1,720","1,720","1,720","1,720","0,90K","0,00%"
"01/10/2020","1,720","1,720","1,720","1,720","0,10K","1,18%"
"30/09/2020","1,700","1,700","1,700","1,700","0,50K","0,00%"
"29/09/2020","1,700","1,700","1,700","1,700","1,00K","0,00%"
"28/08/2020","1,700","1,700","1,700","1,700","0,10K","0,00%"
"19/08/2020","1,700","1,700","1,700","1,700","2,62K","-2,86%"
"18/08/2020","1,750","1,750","1,750","1,750","2,61K","-2,78%"
"25/06/2020","1,800","1,800","1,800","1,800","0,06K","2,86%"
"11/06/2020","1,750","1,750","1,750","1,750","0,62K","2,94%"
"19/05/2020","1,700","1,700","1,700","1,700","0,20K","0,00%"
"04/05/2020","1,700","1,700","1,700","1,700","0,12K","-2,86%"
"13/04/2020","1,750","1,750","1,750","1,750","0,07K","-2,78%"
"07/04/2020","1,800","1,800","1,800","1,800","5,38K","-2,70%"
"02/04/2020","1,850","1,850","1,850","1,850","0,03K","0,00%"
"13/03/2020","1,850","1,850","1,850","1,850","0,25K","0,00%"
"04/03/2020","1,850","1,850","1,850","1,850","0,50K","1,09%"
"03/03/2020","1,830","1,830","1,830","1,830","20,00K","-1,61%"
"26/02/2020","1,860","1,850","1,860","1,850","1,16K","0,54%"
"04/02/2020","1,850","1,850","1,850","1,850","1,81K","0,00%"
"24/01/2020","1,850","1,850","1,850","1,850","7,39K","0,00%"
"20/01/2020","1,850","1,850","1,850","1,850","38,57K","0,00%"
"17/01/2020","1,850","1,850","1,850","1,850","6,03K","0,00%"
"07/01/2020","1,850","1,850","1,850","1,850","1,92K","0,00%"
"06/01/2020","1,850","1,850","1,850","1,850","5,08K","0,54%"
"03/01/2020","1,840","1,850","1,850","1,840","3,10K","-0,54%"
"31/12/2019","1,850","1,850","1,850","1,850","0,10K","0,00%"
"27/12/2019","1,850","1,850","1,850","1,850","0,10K","0,00%"
"19/12/2019","1,850","1,850","1,850","1,850","46,09K","0,00%"
"18/12/2019","1,850","1,850","1,850","1,850","0,74K","0,00%"
"16/12/2019","1,850","1,850","1,850","1,850","0,21K","0,00%"
"13/12/2019","1,850","1,850","1,850","1,850","0,12K","0,00%"
"10/12/2019","1,850","1,850","1,850","1,850","0,07K","0,00%"
"31/10/2019","1,850","1,850","1,850","1,850","3,64K","-2,63%"
"22/10/2019","1,900","1,900","1,900","1,900","0,05K","0,00%"
"10/10/2019","1,900","1,900","1,900","1,900","0,01K","-1,55%"
"04/10/2019","1,930","1,930","1,930","1,930","0,12K","0,00%"
"02/10/2019","1,930","1,930","1,930","1,930","0,05K","0,00%"
"01/10/2019","1,930","1,930","1,930","1,930","0,50K","0,00%"
"27/09/2019","1,930","1,930","1,930","1,930","0,50K","0,00%"
"26/09/2019","1,930","1,930","1,930","1,930","0,50K","1,58%"
"19/09/2019","1,900","1,900","1,900","1,900","0,23K","4,97%"
"31/07/2019","1,810","1,810","1,810","1,810","0,02K","0,00%"
"24/07/2019","1,810","1,810","1,810","1,810","1,98K","2,26%"
"17/07/2019","1,770","1,770","1,770","1,770","0,40K","-4,32%"
"05/07/2019","1,850","1,850","1,850","1,850","0,05K","0,00%"
"14/06/2019","1,850","1,850","1,850","1,850","6,70K","0,00%"
"13/06/2019","1,850","1,850","1,850","1,850","3,59K","0,00%"
"12/06/2019","1,850","1,850","1,850","1,850","0,25K","0,00%"
"07/06/2019","1,850","1,850","1,850","1,850","1,16K","0,00%"
"10/05/2019","1,850","1,850","1,850","1,850","0,28K","0,00%"
"08/05/2019","1,850","1,850","1,850","1,850","2,23K","0,00%"
"07/05/2019","1,850","1,850","1,850","1,850","5,00K","0,00%"
"30/04/2019","1,850","1,850","1,850","1,850","7,00K","0,00%"
"25/04/2019","1,850","1,850","1,850","1,850","1,73K","0,00%"
"24/04/2019","1,850","1,850","1,850","1,850","0,75K","0,00%"
"23/04/2019","1,850","1,850","1,850","1,850","0,54K","0,00%"
"16/04/2019","1,850","1,850","1,850","1,850","0,05K","0,00%"
"15/04/2019","1,850","1,850","1,850","1,850","0,91K","0,00%"
"11/04/2019","1,850","1,850","1,850","1,850","0,01K","0,00%"
"10/04/2019","1,850","1,850","1,850","1,850","5,05K","-2,12%"
"25/03/2019","1,890","1,890","1,890","1,890","0,10K","2,16%"
"21/03/2019","1,850","1,850","1,850","1,850","1,07K","0,00%"
"08/03/2019","1,850","1,850","1,850","1,850","4,85K","0,00%"
"07/03/2019","1,850","1,850","1,850","1,850","5,00K","0,00%"
"28/02/2019","1,850","1,850","1,850","1,850","0,38K","2,78%"
"20/02/2019","1,800","1,800","1,800","1,800","0,75K","0,00%"
"12/02/2019","1,800","1,800","1,800","1,800","0,20K","0,00%"
"11/02/2019","1,800","1,800","1,800","1,800","9,00K","0,00%"
"31/01/2019","1,800","1,800","1,800","1,800","1,50K","0,00%"
"29/01/2019","1,800","1,800","1,800","1,800","0,50K","0,00%"
"25/01/2019","1,800","1,800","1,800","1,800","0,75K","0,00%"
"21/01/2019","1,800","1,800","1,800","1,800","4,91K","0,00%"
"18/01/2019","1,800","1,800","1,800","1,800","6,23K","0,00%"
"11/01/2019","1,800","1,800","1,800","1,800","0,09K","0,00%"
"08/01/2019","1,800","1,800","1,800","1,800","0,02K","0,00%"
"04/01/2019","1,800","1,800","1,800","1,800","18,28K","0,00%"
