"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","38,00","38,00","38,00","37,65","0,57K","0,00%"
"28/03/2023","38,00","38,00","38,00","37,60","1,28K","0,00%"
"27/03/2023","38,00","37,31","38,19","37,31","0,52K","0,00%"
"24/03/2023","38,00","38,18","38,20","37,00","30,37K","-0,47%"
"23/03/2023","38,18","38,00","38,19","38,00","0,44K","1,54%"
"22/03/2023","37,60","37,50","38,19","37,50","0,78K","-1,54%"
"21/03/2023","38,19","38,20","38,20","37,50","1,08K","0,50%"
"17/03/2023","38,00","38,20","38,20","38,00","14,97K","-0,52%"
"16/03/2023","38,20","38,30","38,30","37,80","0,70K","0,53%"
"15/03/2023","38,00","38,30","38,30","37,56","0,98K","0,13%"
"14/03/2023","37,95","38,10","38,35","37,12","2,53K","-1,07%"
"13/03/2023","38,36","38,04","38,36","38,02","0,39K","0,00%"
"10/03/2023","38,36","38,38","38,39","38,03","0,81K","-0,10%"
"09/03/2023","38,40","38,00","38,89","38,00","0,37K","2,26%"
"08/03/2023","37,55","38,00","38,90","37,50","4,71K","-2,47%"
"07/03/2023","38,50","38,90","38,90","38,49","2,12K","-1,03%"
"06/03/2023","38,90","39,00","39,00","38,80","0,39K","0,00%"
"03/03/2023","38,90","38,90","38,90","38,60","0,92K","-0,26%"
"02/03/2023","39,00","38,90","39,00","38,60","2,04K","0,03%"
"01/03/2023","38,99","38,50","39,00","38,50","2,34K","1,27%"
"28/02/2023","38,50","38,20","38,50","37,99","2,08K","2,26%"
"27/02/2023","37,65","37,14","38,38","37,14","163,15K","-2,13%"
"24/02/2023","38,47","38,48","38,48","38,00","3,19K","-0,03%"
"23/02/2023","38,48","38,70","38,70","37,00","43,71K","-1,28%"
"22/02/2023","38,98","39,70","39,89","38,01","7,50K","-2,31%"
"21/02/2023","39,90","39,90","39,90","39,80","2,99K","0,00%"
"20/02/2023","39,90","39,90","39,98","39,80","5,42K","-0,25%"
"17/02/2023","40,00","40,00","40,00","39,80","6,96K","0,00%"
"16/02/2023","40,00","40,00","40,09","39,61","7,07K","0,00%"
"15/02/2023","40,00","40,00","40,00","40,00","0,26K","-0,32%"
"14/02/2023","40,13","40,00","40,14","39,80","6,75K","0,83%"
"13/02/2023","39,80","40,00","40,00","39,00","1,86K","-0,72%"
"10/02/2023","40,09","39,99","40,10","39,40","0,50K","0,25%"
"09/02/2023","39,99","39,74","40,13","39,13","0,49K","-0,37%"
"08/02/2023","40,14","40,17","40,38","40,00","1,35K","-0,15%"
"07/02/2023","40,20","40,64","40,64","40,20","0,96K","-1,08%"
"06/02/2023","40,64","41,00","41,00","40,15","6,99K","0,35%"
"03/02/2023","40,50","40,50","40,50","40,10","0,47K","1,00%"
"02/02/2023","40,10","40,51","40,51","40,10","1,43K","-0,99%"
"01/02/2023","40,50","40,29","41,00","40,20","3,49K","0,52%"
"31/01/2023","40,29","40,30","40,35","40,21","3,65K","-0,02%"
"30/01/2023","40,30","41,00","41,00","40,21","2,94K","-1,71%"
"27/01/2023","41,00","41,54","41,54","40,80","1,96K","0,00%"
"26/01/2023","41,00","41,54","41,54","41,00","2,88K","-1,30%"
"25/01/2023","41,54","41,55","41,62","41,30","2,31K","-0,17%"
"24/01/2023","41,61","41,43","41,97","41,30","2,82K","0,75%"
"23/01/2023","41,30","41,20","41,59","41,20","5,84K","-0,96%"
"20/01/2023","41,70","41,12","41,70","41,12","1,40K","0,55%"
"19/01/2023","41,47","41,13","41,50","41,13","2,68K","-1,03%"
"18/01/2023","41,90","42,55","42,55","41,10","5,85K","-1,53%"
"17/01/2023","42,55","42,80","42,81","42,30","9,08K","-0,56%"
"16/01/2023","42,79","42,80","43,10","42,40","6,19K","0,45%"
"13/01/2023","42,60","42,00","43,00","42,00","6,14K","2,50%"
"12/01/2023","41,56","39,99","42,10","39,99","13,29K","3,93%"
"11/01/2023","39,99","39,58","39,99","39,58","9,30K","1,01%"
"10/01/2023","39,59","38,82","39,59","38,82","16,73K","2,04%"
"09/01/2023","38,80","39,00","39,00","38,13","5,37K","-0,51%"
"06/01/2023","39,00","37,75","39,25","37,69","4,41K","3,17%"
"05/01/2023","37,80","37,88","37,88","37,25","2,60K","-0,21%"
"04/01/2023","37,88","36,51","37,90","36,51","2,99K","2,38%"
"03/01/2023","37,00","37,10","37,10","36,20","2,20K","-1,07%"
"02/01/2023","37,40","37,00","37,50","37,00","1,16K","1,08%"
"30/12/2022","37,00","37,00","37,00","36,50","3,74K","0,00%"
"29/12/2022","37,00","35,60","37,70","35,45","6,04K","3,93%"
"28/12/2022","35,60","35,90","35,90","35,60","0,70K","-0,81%"
"27/12/2022","35,89","35,89","35,90","35,30","16,16K","0,00%"
"26/12/2022","35,89","35,96","35,98","35,50","2,96K","-0,19%"
"23/12/2022","35,96","35,51","35,96","35,51","3,54K","-0,06%"
"22/12/2022","35,98","35,99","35,99","35,55","4,00K","-0,03%"
"21/12/2022","35,99","36,10","36,34","35,80","14,80K","-0,85%"
"20/12/2022","36,30","36,33","36,34","36,13","4,60K","-0,11%"
"19/12/2022","36,34","36,34","36,34","36,31","0,64K","0,00%"
"16/12/2022","36,34","36,29","36,34","36,29","3,66K","0,11%"
"15/12/2022","36,30","36,34","36,34","36,13","11,89K","-0,41%"
"14/12/2022","36,45","36,30","36,45","36,13","1,66K","-0,14%"
"13/12/2022","36,50","36,49","36,50","36,30","1,45K","0,00%"
"12/12/2022","36,50","36,30","36,50","36,30","0,46K","0,55%"
"09/12/2022","36,30","36,38","36,38","36,30","0,82K","-0,55%"
"08/12/2022","36,50","36,69","36,69","36,35","2,14K","-0,82%"
"07/12/2022","36,80","36,70","36,85","36,35","4,69K","-0,22%"
"06/12/2022","36,88","36,90","36,90","36,40","1,52K","-0,05%"
"05/12/2022","36,90","37,00","37,00","36,40","7,86K","-0,27%"
"02/12/2022","37,00","36,90","37,00","36,90","0,76K","0,00%"
"01/12/2022","37,00","37,00","37,10","37,00","6,58K","-0,54%"
"30/11/2022","37,20","37,10","37,20","36,99","3,26K","0,27%"
"29/11/2022","37,10","37,00","37,10","36,90","9,87K","-0,70%"
"28/11/2022","37,36","37,37","37,37","37,02","3,30K","-0,05%"
"25/11/2022","37,38","37,40","37,40","37,38","1,27K","-0,05%"
"24/11/2022","37,40","37,60","37,60","37,10","0,53K","0,00%"
"23/11/2022","37,40","37,50","37,50","37,01","2,70K","-0,27%"
"22/11/2022","37,50","37,65","37,65","37,10","5,49K","0,00%"
"21/11/2022","37,50","36,80","37,60","36,50","4,36K","-0,40%"
"18/11/2022","37,65","37,50","37,70","37,05","2,10K","-0,40%"
"17/11/2022","37,80","37,90","37,90","37,50","1,70K","2,13%"
"16/11/2022","37,01","37,50","37,90","37,00","2,15K","-1,31%"
"15/11/2022","37,50","37,70","38,00","37,50","2,77K","-1,32%"
"14/11/2022","38,00","38,49","38,49","37,83","2,93K","-0,24%"
"11/11/2022","38,09","38,57","38,57","37,83","1,35K","-0,55%"
"10/11/2022","38,30","38,59","38,59","38,30","1,84K","-0,75%"
