"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","5,68","5,68","5,68","5,68","0,08K","-0,18%"
"27/03/2023","5,69","5,68","5,69","5,68","0,61K","-0,35%"
"23/03/2023","5,71","5,71","5,71","5,71","0,02K","0,18%"
"22/03/2023","5,70","5,70","5,70","5,70","0,02K","-0,18%"
"21/03/2023","5,71","5,71","5,71","5,71","0,20K","4,39%"
"17/03/2023","5,47","5,47","5,47","5,47","0,04K","-4,37%"
"16/03/2023","5,72","5,72","5,72","5,72","0,01K","-4,35%"
"15/03/2023","5,98","5,98","5,98","5,98","0,03K","0,00%"
"14/03/2023","5,98","5,48","5,98","5,48","0,11K","-0,33%"
"08/03/2023","6,00","6,00","6,00","6,00","0,12K","0,00%"
"01/03/2023","6,00","6,00","6,00","6,00","0,05K","4,35%"
"28/02/2023","5,75","6,00","6,00","5,75","0,01K","-4,17%"
"27/02/2023","6,00","5,75","6,00","5,75","0,01K","0,00%"
"22/02/2023","6,00","6,00","6,00","6,00","0,03K","0,50%"
"20/02/2023","5,97","5,97","5,97","5,97","0,03K","4,37%"
"17/02/2023","5,72","5,72","5,72","5,72","0,01K","-3,05%"
"15/02/2023","5,90","5,90","5,90","5,90","0,67K","-2,48%"
"09/02/2023","6,05","6,05","6,05","6,05","0,02K","-0,66%"
"07/02/2023","6,09","6,09","6,09","6,09","0,02K","1,16%"
"06/02/2023","6,02","6,02","6,02","6,02","0,01K","3,44%"
"02/02/2023","5,82","5,82","5,82","5,82","0,03K","0,00%"
"01/02/2023","5,82","5,82","5,82","5,82","0,05K","0,00%"
"31/01/2023","5,82","5,82","5,82","5,82","0,05K","0,00%"
"30/01/2023","5,82","5,82","5,82","5,82","0,00K","-4,43%"
"26/01/2023","6,09","6,09","6,09","6,09","1,22K","0,00%"
"23/01/2023","6,09","6,09","6,09","6,09","0,08K","-0,16%"
"16/01/2023","6,10","6,10","6,10","6,10","0,02K","3,39%"
"11/01/2023","5,90","5,90","5,90","5,90","0,51K","0,00%"
"10/01/2023","5,90","5,91","5,91","5,90","2,11K","-0,17%"
"09/01/2023","5,91","5,91","5,91","5,91","0,00K","-2,96%"
"04/01/2023","6,09","6,09","6,09","6,09","2,86K","-0,16%"
"02/01/2023","6,10","6,10","6,10","6,10","1,98K","-3,94%"
"30/12/2022","6,35","6,35","6,35","6,35","3,50K","0,47%"
"29/12/2022","6,32","6,32","6,32","6,32","0,03K","-0,16%"
"26/12/2022","6,33","6,33","6,33","6,33","7,80K","-0,31%"
"23/12/2022","6,35","6,35","6,35","6,35","0,10K","4,10%"
"21/12/2022","6,10","6,10","6,10","6,10","0,40K","0,00%"
"19/12/2022","6,10","6,34","6,34","6,10","0,23K","0,00%"
"16/12/2022","6,10","6,35","6,35","6,10","1,51K","0,00%"
"15/12/2022","6,10","6,10","6,10","6,10","0,03K","-4,09%"
"14/12/2022","6,36","6,36","6,36","6,36","0,20K","0,00%"
