"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","11,40","11,50","11,50","11,40","0,50K","-0,87%"
"28/03/2023","11,50","11,35","11,50","11,20","12,31K","1,41%"
"27/03/2023","11,34","11,30","11,35","11,30","1,43K","0,35%"
"24/03/2023","11,30","11,30","11,30","11,30","0,10K","0,00%"
"23/03/2023","11,30","11,30","11,35","11,30","0,71K","0,00%"
"22/03/2023","11,30","11,25","11,30","11,25","3,27K","0,44%"
"21/03/2023","11,25","11,20","11,25","11,20","0,79K","0,45%"
"17/03/2023","11,20","11,18","11,20","11,18","0,40K","0,18%"
"16/03/2023","11,18","11,18","11,18","11,18","0,21K","0,00%"
"15/03/2023","11,18","11,18","11,18","11,18","0,00K","0,00%"
"14/03/2023","11,18","11,18","11,18","11,00","0,20K","0,00%"
"13/03/2023","11,18","11,20","11,20","11,10","0,40K","-0,18%"
"10/03/2023","11,20","11,20","11,20","11,00","0,20K","0,00%"
"09/03/2023","11,20","11,20","11,20","11,20","0,53K","0,00%"
"08/03/2023","11,20","11,20","11,20","11,18","3,64K","0,00%"
"07/03/2023","11,20","10,95","11,20","10,95","0,11K","-0,44%"
"06/03/2023","11,25","10,89","11,25","10,89","1,40K","3,21%"
"03/03/2023","10,90","10,52","10,90","10,52","0,66K","0,18%"
"02/03/2023","10,88","10,89","10,89","10,51","0,21K","0,00%"
"01/03/2023","10,88","10,89","10,89","10,50","0,21K","-0,18%"
"28/02/2023","10,90","10,89","10,90","10,89","0,02K","0,09%"
"27/02/2023","10,89","10,90","10,90","10,89","0,01K","-0,09%"
"24/02/2023","10,90","10,90","10,90","10,90","0,00K","0,09%"
"23/02/2023","10,89","10,89","10,89","10,89","0,02K","0,09%"
"22/02/2023","10,88","10,80","10,88","10,70","0,91K","0,74%"
"21/02/2023","10,80","10,80","10,80","10,80","0,26K","0,00%"
"20/02/2023","10,80","10,80","10,80","10,80","0,01K","0,00%"
"17/02/2023","10,80","10,80","10,80","10,80","0,00K","0,09%"
"16/02/2023","10,79","10,79","10,79","10,70","0,26K","0,00%"
"15/02/2023","10,79","10,79","10,79","10,79","1,00K","0,00%"
"14/02/2023","10,79","10,70","10,80","10,21","0,71K","-0,09%"
"13/02/2023","10,80","10,80","10,80","10,80","0,00K","0,93%"
"10/02/2023","10,70","10,75","10,75","10,60","2,96K","-0,47%"
"08/02/2023","10,75","10,74","10,75","10,74","0,01K","0,47%"
"07/02/2023","10,70","10,20","10,75","10,20","0,07K","-0,93%"
"06/02/2023","10,80","10,80","10,80","10,80","0,00K","0,09%"
"03/02/2023","10,79","10,80","10,80","10,70","0,21K","-0,09%"
"02/02/2023","10,80","10,80","10,80","10,75","0,25K","0,00%"
"01/02/2023","10,80","10,25","10,80","10,25","0,12K","-0,83%"
"31/01/2023","10,89","10,89","10,89","10,89","0,00K","0,00%"
"30/01/2023","10,89","10,75","10,89","10,75","0,06K","1,30%"
"26/01/2023","10,75","10,75","10,75","10,75","0,01K","0,56%"
"25/01/2023","10,69","10,75","10,75","10,50","4,95K","-0,56%"
"24/01/2023","10,75","10,75","10,75","10,75","0,01K","-0,46%"
"23/01/2023","10,80","10,80","10,90","10,50","6,66K","0,00%"
"20/01/2023","10,80","10,90","10,90","10,50","9,17K","1,89%"
"19/01/2023","10,60","10,60","10,89","10,60","9,51K","-2,39%"
"18/01/2023","10,86","10,70","10,86","10,50","5,15K","2,45%"
"17/01/2023","10,60","10,87","10,87","10,60","1,33K","0,00%"
"16/01/2023","10,60","10,85","10,85","10,60","0,04K","0,00%"
"13/01/2023","10,60","10,60","10,60","10,60","0,03K","-2,57%"
"12/01/2023","10,88","10,87","10,88","10,87","0,00K","2,16%"
"11/01/2023","10,65","10,69","10,97","10,50","0,34K","0,47%"
"10/01/2023","10,60","10,50","10,60","10,20","3,85K","-0,84%"
"09/01/2023","10,69","10,55","10,69","10,55","0,39K","-2,55%"
"06/01/2023","10,97","10,58","10,98","10,55","3,49K","0,64%"
"05/01/2023","10,90","10,90","10,90","10,75","2,45K","0,00%"
"04/01/2023","10,90","10,50","10,90","10,50","0,02K","-0,73%"
"03/01/2023","10,98","10,95","10,98","10,95","0,01K","0,73%"
"02/01/2023","10,90","10,98","10,98","10,70","0,24K","1,87%"
"30/12/2022","10,70","10,70","10,70","10,70","0,29K","0,00%"
"29/12/2022","10,70","10,70","10,70","10,50","0,29K","0,47%"
"28/12/2022","10,65","10,65","10,65","10,64","0,59K","0,09%"
"27/12/2022","10,64","10,64","10,64","10,64","0,00K","0,00%"
"26/12/2022","10,64","10,64","10,65","10,23","0,07K","1,33%"
"23/12/2022","10,50","10,60","10,65","10,30","0,77K","-1,87%"
"21/12/2022","10,70","10,60","10,70","10,60","0,51K","0,00%"
"20/12/2022","10,70","10,50","10,70","10,50","0,44K","1,90%"
"19/12/2022","10,50","10,50","10,50","10,50","0,10K","0,19%"
"16/12/2022","10,48","10,50","10,50","10,40","1,34K","-0,19%"
"15/12/2022","10,50","10,50","10,50","10,40","1,83K","0,29%"
"14/12/2022","10,47","10,40","10,50","10,40","1,30K","-0,29%"
"13/12/2022","10,50","10,50","10,50","10,50","0,28K","0,00%"
"12/12/2022","10,50","10,50","10,50","10,35","0,03K","0,67%"
"09/12/2022","10,43","10,45","10,45","10,40","0,85K","0,29%"
"08/12/2022","10,40","10,29","10,50","10,29","1,64K","1,46%"
"07/12/2022","10,25","10,30","10,30","10,20","2,10K","-0,49%"
"06/12/2022","10,30","10,50","10,50","10,30","0,54K","0,49%"
