"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","0,450","0,450","0,450","0,450","0,12K","2,27%"
"27/03/2023","0,440","0,440","0,440","0,440","0,11K","2,33%"
"24/03/2023","0,430","0,430","0,430","0,430","0,70K","-8,51%"
"10/03/2023","0,470","0,470","0,470","0,470","0,20K","2,17%"
"09/03/2023","0,460","0,460","0,460","0,460","0,34K","-2,13%"
"08/03/2023","0,470","0,470","0,470","0,470","0,19K","0,00%"
"07/03/2023","0,470","0,470","0,470","0,470","0,66K","-4,08%"
"02/03/2023","0,490","0,490","0,490","0,490","0,33K","-3,92%"
"01/03/2023","0,510","0,510","0,510","0,510","0,01K","4,08%"
"28/02/2023","0,490","0,490","0,490","0,490","0,53K","-2,00%"
"27/02/2023","0,500","0,500","0,500","0,500","0,53K","0,00%"
"24/02/2023","0,500","0,500","0,500","0,500","0,10K","4,17%"
"23/02/2023","0,480","0,480","0,480","0,480","0,20K","0,00%"
"22/02/2023","0,480","0,480","0,480","0,480","0,50K","-2,04%"
"21/02/2023","0,490","0,490","0,490","0,490","0,37K","-2,00%"
"20/02/2023","0,500","0,500","0,500","0,500","0,41K","-1,96%"
"17/02/2023","0,510","0,510","0,510","0,510","0,34K","0,00%"
"16/02/2023","0,510","0,510","0,510","0,510","1,06K","-16,39%"
"09/02/2023","0,610","0,610","0,610","0,610","0,70K","-3,17%"
"08/02/2023","0,630","0,630","0,630","0,630","0,79K","10,53%"
"03/02/2023","0,570","0,570","0,570","0,570","0,68K","7,55%"
"01/02/2023","0,530","0,530","0,530","0,530","2,02K","3,92%"
"31/01/2023","0,510","0,510","0,510","0,510","2,72K","6,25%"
"27/01/2023","0,480","0,480","0,480","0,480","5,58K","4,35%"
"26/01/2023","0,460","0,460","0,460","0,460","0,34K","2,22%"
"25/01/2023","0,450","0,450","0,450","0,450","0,34K","2,27%"
"24/01/2023","0,440","0,440","0,440","0,440","5,08K","2,33%"
"23/01/2023","0,430","0,430","0,430","0,430","0,30K","2,38%"
"20/01/2023","0,420","0,420","0,420","0,420","2,88K","2,44%"
"19/01/2023","0,410","0,410","0,410","0,410","1,00K","17,14%"
"11/01/2023","0,350","0,350","0,350","0,350","1,99K","9,38%"
"06/01/2023","0,320","0,320","0,320","0,320","3,52K","3,23%"
"05/01/2023","0,310","0,310","0,310","0,310","0,13K","3,33%"
"04/01/2023","0,300","0,300","0,300","0,300","1,50K","3,45%"
"02/01/2023","0,290","0,290","0,290","0,290","0,33K","0,00%"
"29/12/2022","0,290","0,290","0,290","0,290","1,20K","0,00%"
"28/12/2022","0,290","0,290","0,290","0,290","3,31K","11,54%"
"23/12/2022","0,260","0,260","0,260","0,260","0,33K","0,00%"
"15/12/2022","0,260","0,260","0,260","0,260","0,08K","0,00%"
"14/12/2022","0,260","0,260","0,260","0,260","0,92K","0,00%"
"13/12/2022","0,260","0,260","0,260","0,260","0,50K","-7,14%"
"06/12/2022","0,280","0,280","0,280","0,280","0,01K","0,00%"
"02/12/2022","0,280","0,280","0,280","0,280","0,50K","-3,45%"
"30/11/2022","0,290","0,290","0,290","0,290","1,20K","-3,33%"
"23/11/2022","0,300","0,300","0,300","0,300","3,00K","0,00%"
"22/11/2022","0,300","0,300","0,300","0,300","8,00K","0,00%"
"21/11/2022","0,300","0,300","0,300","0,300","1,95K","0,00%"
"15/11/2022","0,300","0,300","0,300","0,300","13,12K","0,00%"
"14/11/2022","0,300","0,300","0,300","0,300","0,60K","0,00%"
"11/11/2022","0,300","0,300","0,300","0,300","3,53K","-3,23%"
"09/11/2022","0,310","0,310","0,310","0,310","13,53K","0,00%"
"08/11/2022","0,310","0,310","0,310","0,310","7,51K","-3,12%"
"04/11/2022","0,320","0,320","0,320","0,320","4,50K","3,23%"
"02/11/2022","0,310","0,310","0,310","0,310","5,20K","-22,50%"
"20/10/2022","0,400","0,400","0,400","0,400","6,10K","2,56%"
"19/10/2022","0,390","0,390","0,390","0,390","8,33K","-27,78%"
"03/10/2022","0,540","0,540","0,540","0,540","0,60K","-1,82%"
"27/09/2022","0,550","0,550","0,550","0,550","2,03K","-1,79%"
"26/09/2022","0,560","0,560","0,560","0,560","2,00K","-3,45%"
"23/09/2022","0,580","0,580","0,580","0,580","0,01K","0,00%"
"21/09/2022","0,580","0,580","0,580","0,580","3,00K","-1,69%"
"20/09/2022","0,590","0,590","0,590","0,590","3,00K","-3,28%"
"19/09/2022","0,610","0,610","0,610","0,610","0,03K","0,00%"
"16/09/2022","0,610","0,610","0,610","0,610","4,55K","-1,61%"
"15/09/2022","0,620","0,620","0,620","0,620","7,12K","0,00%"
"14/09/2022","0,620","0,620","0,620","0,620","1,00K","0,00%"
"12/09/2022","0,620","0,620","0,620","0,620","2,57K","0,00%"
