"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/02/2023","0,16","0,16","0,16","0,16","0,01K","6,67%"
"03/02/2023","0,15","0,15","0,15","0,15","1,48K","0,00%"
"02/02/2023","0,15","0,15","0,15","0,15","1,11K","0,00%"
"26/01/2023","0,15","0,15","0,15","0,15","0,01K","0,00%"
"24/01/2023","0,15","0,15","0,15","0,15","0,15K","0,00%"
"23/01/2023","0,15","0,15","0,15","0,15","0,07K","25,00%"
"18/01/2023","0,12","0,12","0,12","0,12","0,50K","9,09%"
"17/01/2023","0,11","0,11","0,11","0,11","10,00K","-8,33%"
"05/01/2023","0,12","0,12","0,12","0,12","1,36K","0,00%"
"29/12/2022","0,12","0,12","0,12","0,12","10,25K","-7,69%"
"26/12/2022","0,13","0,13","0,13","0,13","2,00K","0,00%"
"23/12/2022","0,13","0,13","0,13","0,13","1,00K","0,00%"
"21/12/2022","0,13","0,13","0,13","0,13","5,00K","-13,33%"
"07/12/2022","0,15","0,15","0,15","0,15","3,00K","-11,76%"
"21/11/2022","0,17","0,17","0,17","0,17","0,14K","0,00%"
"16/11/2022","0,17","0,17","0,17","0,17","0,08K","0,00%"
"08/11/2022","0,17","0,17","0,17","0,17","0,28K","0,00%"
"07/11/2022","0,17","0,17","0,17","0,17","0,27K","0,00%"
"04/11/2022","0,17","0,17","0,17","0,17","9,01K","6,25%"
"03/11/2022","0,16","0,16","0,16","0,16","0,23K","6,67%"
"02/11/2022","0,15","0,15","0,15","0,15","20,00K","7,14%"
"01/11/2022","0,14","0,14","0,14","0,14","5,45K","0,00%"
"31/10/2022","0,14","0,14","0,14","0,14","0,42K","-6,67%"
"24/10/2022","0,15","0,15","0,15","0,15","3,32K","-6,25%"
"19/10/2022","0,16","0,16","0,16","0,16","10,00K","6,67%"
"14/10/2022","0,15","0,15","0,15","0,15","0,75K","0,00%"
"13/10/2022","0,15","0,15","0,15","0,15","1,10K","-6,25%"
"12/10/2022","0,16","0,16","0,16","0,16","1,12K","-5,88%"
