"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","5,80","5,80","5,80","5,80","0,18K","0,00%"
"27/03/2023","5,80","5,80","5,80","5,80","0,52K","-1,19%"
"24/03/2023","5,87","5,40","5,87","5,40","7,17K","5,77%"
"23/03/2023","5,55","5,55","5,55","5,55","0,84K","-1,77%"
"21/03/2023","5,65","5,65","5,65","5,65","0,00K","1,62%"
"17/03/2023","5,56","5,46","5,56","5,46","3,02K","-4,14%"
"16/03/2023","5,80","5,50","5,80","5,50","0,82K","5,65%"
"15/03/2023","5,49","5,20","5,49","5,20","0,15K","5,37%"
"14/03/2023","5,21","5,50","5,50","5,21","0,87K","-2,80%"
"13/03/2023","5,36","5,41","5,41","5,30","0,61K","-4,80%"
"10/03/2023","5,63","5,22","5,63","5,22","0,61K","1,44%"
"09/03/2023","5,55","5,67","5,67","5,55","0,41K","-5,93%"
"01/03/2023","5,90","5,76","5,90","5,76","0,55K","-1,50%"
"28/02/2023","5,99","5,99","5,99","5,99","0,00K","2,39%"
"27/02/2023","5,85","5,85","5,85","5,85","0,01K","-2,50%"
"24/02/2023","6,00","5,98","6,00","5,98","2,25K","0,17%"
"23/02/2023","5,99","6,00","6,00","5,99","3,20K","0,17%"
"22/02/2023","5,98","5,70","5,98","5,70","0,25K","0,00%"
