"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","4,18","4,16","4,18","4,16","0,28K","0,00%"
"28/03/2023","4,18","4,18","4,18","4,15","19,25K","-0,71%"
"27/03/2023","4,21","4,21","4,21","4,21","1,39K","-0,94%"
"24/03/2023","4,25","4,18","4,25","4,18","0,60K","1,67%"
"22/03/2023","4,18","4,19","4,19","4,18","1,90K","-0,24%"
"21/03/2023","4,19","4,19","4,19","4,19","1,00K","-2,56%"
"17/03/2023","4,30","4,30","4,30","4,30","0,04K","0,47%"
"16/03/2023","4,28","4,28","4,28","4,28","0,00K","0,71%"
"15/03/2023","4,25","4,25","4,25","4,25","0,20K","-0,47%"
"10/03/2023","4,27","4,27","4,27","4,27","6,90K","1,67%"
"09/03/2023","4,20","4,20","4,20","4,20","0,20K","-3,45%"
"08/03/2023","4,35","4,30","4,38","4,21","3,78K","-0,68%"
"07/03/2023","4,38","4,32","4,38","4,30","1,37K","1,15%"
"06/03/2023","4,33","4,27","4,33","4,27","0,80K","-0,46%"
"03/03/2023","4,35","4,20","4,35","4,20","1,03K","0,00%"
"02/03/2023","4,35","4,20","4,35","4,13","0,76K","-0,46%"
"01/03/2023","4,37","4,13","4,37","4,13","0,18K","-0,23%"
"27/02/2023","4,38","4,38","4,38","4,38","0,01K","-0,45%"
"24/02/2023","4,40","4,11","4,40","4,11","3,21K","4,76%"
"23/02/2023","4,20","4,10","4,20","4,10","0,20K","2,94%"
"22/02/2023","4,08","4,09","4,09","4,08","7,82K","-1,92%"
"20/02/2023","4,16","4,15","4,16","4,05","3,48K","-0,48%"
"16/02/2023","4,18","4,30","4,37","4,13","0,54K","-0,48%"
"15/02/2023","4,20","4,20","4,20","4,20","0,01K","2,44%"
"14/02/2023","4,10","4,02","4,10","4,00","0,88K","0,00%"
"13/02/2023","4,10","4,10","4,10","4,10","0,10K","0,00%"
"10/02/2023","4,10","4,10","4,10","4,10","0,01K","2,50%"
"09/02/2023","4,00","4,00","4,00","4,00","3,22K","-2,44%"
"07/02/2023","4,10","4,10","4,10","4,10","0,50K","0,00%"
"06/02/2023","4,10","4,10","4,10","4,01","0,81K","0,00%"
"03/02/2023","4,10","4,10","4,10","4,10","0,69K","-1,20%"
"02/02/2023","4,15","4,15","4,18","4,15","1,96K","-5,68%"
"01/02/2023","4,40","4,40","4,40","4,40","0,00K","0,00%"
"30/01/2023","4,40","4,07","4,40","4,07","2,10K","4,02%"
"27/01/2023","4,23","4,30","4,30","4,22","0,45K","-0,47%"
"26/01/2023","4,25","4,32","4,32","4,25","0,54K","-3,41%"
"25/01/2023","4,40","4,40","4,40","4,40","0,86K","-1,12%"
"24/01/2023","4,45","4,45","4,45","4,40","1,68K","-1,11%"
"23/01/2023","4,50","4,50","4,50","4,50","0,10K","-0,88%"
"20/01/2023","4,54","4,54","4,54","4,46","1,71K","0,00%"
"19/01/2023","4,54","4,54","4,54","4,54","0,22K","0,44%"
"18/01/2023","4,52","4,41","4,54","4,41","1,34K","2,49%"
"17/01/2023","4,41","4,45","4,45","4,41","0,42K","-2,86%"
"16/01/2023","4,54","4,50","4,54","4,50","14,30K","0,89%"
"13/01/2023","4,50","4,41","4,54","4,41","14,24K","-0,88%"
"12/01/2023","4,54","4,55","4,55","4,41","0,61K","-2,16%"
"11/01/2023","4,64","4,47","4,64","4,47","22,09K","1,98%"
"10/01/2023","4,55","4,56","4,56","4,54","11,07K","0,00%"
"09/01/2023","4,55","4,55","4,55","4,55","2,39K","-1,09%"
"06/01/2023","4,60","4,54","4,60","4,52","0,69K","0,00%"
"05/01/2023","4,60","4,60","4,60","4,60","0,10K","-1,92%"
"04/01/2023","4,69","4,69","4,69","4,69","6,58K","0,00%"
"03/01/2023","4,69","4,69","4,69","4,69","0,00K","-1,26%"
"02/01/2023","4,75","4,75","4,75","4,75","6,50K","0,00%"
"30/12/2022","4,75","4,75","4,75","4,75","0,20K","-0,84%"
"29/12/2022","4,79","4,50","4,85","4,50","24,10K","1,91%"
"20/12/2022","4,70","4,50","4,70","4,43","18,79K","5,62%"
"19/12/2022","4,45","4,49","4,49","4,45","2,00K","-1,33%"
"16/12/2022","4,51","4,80","4,80","4,50","6,36K","-1,96%"
"15/12/2022","4,60","4,80","4,80","4,60","0,84K","-4,17%"
"14/12/2022","4,80","4,78","4,80","4,78","4,02K","-0,21%"
"13/12/2022","4,81","4,81","4,81","4,81","0,01K","1,91%"
"12/12/2022","4,72","4,80","4,80","4,72","93,65K","-1,67%"
"08/12/2022","4,80","4,80","4,80","4,80","0,20K","-2,04%"
"07/12/2022","4,90","4,73","4,90","4,67","1,42K","3,59%"
"06/12/2022","4,73","4,64","4,73","4,64","0,32K","2,83%"
"05/12/2022","4,60","4,60","4,60","4,60","0,41K","-0,86%"
"02/12/2022","4,64","4,64","4,64","4,64","0,01K","0,00%"
"01/12/2022","4,64","4,64","4,64","4,64","0,00K","2,88%"
"30/11/2022","4,51","4,59","4,59","4,51","15,86K","-3,01%"
"29/11/2022","4,65","4,65","4,70","4,65","0,09K","2,88%"
"28/11/2022","4,52","4,42","4,64","4,42","24,28K","2,26%"
"25/11/2022","4,42","4,42","4,42","4,42","0,04K","0,00%"
"24/11/2022","4,42","4,42","4,42","4,42","0,02K","-2,64%"
"23/11/2022","4,54","4,55","4,55","4,42","0,35K","2,02%"
"22/11/2022","4,45","4,45","4,45","4,45","0,06K","0,00%"
"21/11/2022","4,45","4,43","4,45","4,43","48,22K","-1,11%"
"18/11/2022","4,50","4,58","4,58","4,49","52,14K","-1,96%"
"17/11/2022","4,59","4,42","4,59","4,42","0,77K","4,08%"
"16/11/2022","4,41","4,41","4,41","4,41","1,07K","-5,16%"
"10/11/2022","4,65","4,65","4,65","4,65","0,00K","5,44%"
"08/11/2022","4,41","4,41","4,41","4,41","4,59K","0,00%"
"07/11/2022","4,41","4,46","4,46","4,41","4,90K","-2,00%"
"03/11/2022","4,50","4,50","4,50","4,49","1,01K","0,00%"
"02/11/2022","4,50","4,50","4,51","4,50","2,88K","-4,86%"
"26/10/2022","4,73","4,50","4,73","4,50","2,69K","3,73%"
"25/10/2022","4,56","4,50","4,56","4,50","15,89K","1,33%"
"24/10/2022","4,50","4,57","4,57","4,50","13,17K","-1,75%"
"21/10/2022","4,58","4,75","4,75","4,52","21,16K","-3,38%"
"20/10/2022","4,74","4,75","4,75","4,74","0,18K","-1,25%"
"19/10/2022","4,80","4,80","4,80","4,80","0,00K","0,21%"
"18/10/2022","4,79","4,79","4,79","4,79","0,10K","-0,21%"
"17/10/2022","4,80","4,80","4,81","4,80","1,98K","0,00%"
"14/10/2022","4,80","4,80","4,80","4,80","0,20K","-0,41%"
"13/10/2022","4,82","4,82","4,82","4,82","1,00K","0,42%"
"12/10/2022","4,80","4,80","4,81","4,80","7,14K","-0,62%"
"10/10/2022","4,83","4,80","4,83","4,80","1,04K","0,00%"
"07/10/2022","4,83","4,80","4,83","4,75","0,27K","0,62%"
"06/10/2022","4,80","4,83","4,83","4,80","0,63K","0,00%"
"05/10/2022","4,80","4,82","4,82","4,80","1,04K","0,00%"
"04/10/2022","4,80","4,80","4,80","4,80","1,02K","-2,04%"
"30/09/2022","4,90","4,90","4,90","4,90","0,14K","1,03%"
"29/09/2022","4,85","4,78","4,85","4,75","26,51K","1,04%"
"28/09/2022","4,80","4,92","4,92","4,80","0,06K","0,00%"
"27/09/2022","4,80","4,89","4,89","4,80","3,90K","-1,23%"
"26/09/2022","4,86","4,86","4,86","4,86","0,20K","-1,62%"
"21/09/2022","4,94","4,85","4,94","4,85","0,32K","2,92%"
"20/09/2022","4,80","4,80","4,80","4,80","0,54K","0,00%"
"19/09/2022","4,80","4,85","4,85","4,80","0,87K","-1,23%"
"16/09/2022","4,86","4,90","4,90","4,86","0,49K","-0,82%"
"15/09/2022","4,90","4,90","4,90","4,90","0,30K","-0,20%"
"14/09/2022","4,91","4,90","4,95","4,90","71,58K","2,29%"
"13/09/2022","4,80","4,90","4,90","4,80","2,88K","-2,04%"
"12/09/2022","4,90","4,87","4,90","4,85","1,65K","0,00%"
"09/09/2022","4,90","5,04","5,04","4,90","1,92K","-1,80%"
"08/09/2022","4,99","5,00","5,00","4,85","3,21K","-1,38%"
"05/09/2022","5,06","5,02","5,10","5,02","0,55K","4,33%"
"02/09/2022","4,85","4,79","5,02","4,79","6,83K","1,46%"
"01/09/2022","4,78","4,78","4,78","4,70","0,42K","-0,42%"
"31/08/2022","4,80","4,80","4,80","4,80","0,00K","0,21%"
"30/08/2022","4,79","4,79","4,79","4,79","0,03K","-0,21%"
"29/08/2022","4,80","4,80","4,80","4,80","0,04K","0,00%"
"26/08/2022","4,80","4,65","4,84","4,65","1,05K","0,42%"
"25/08/2022","4,78","4,78","4,78","4,78","0,01K","-0,21%"
"24/08/2022","4,79","4,64","4,79","4,64","0,01K","-0,21%"
"23/08/2022","4,80","4,80","4,80","4,80","0,13K","-0,83%"
"22/08/2022","4,84","4,82","4,84","4,80","44,73K","0,21%"
"18/08/2022","4,83","4,80","4,83","4,80","1,63K","-0,21%"
"17/08/2022","4,84","4,84","4,84","4,84","0,01K","0,83%"
"16/08/2022","4,80","4,83","4,84","4,80","0,18K","0,00%"
"15/08/2022","4,80","4,80","4,80","4,79","0,32K","-0,83%"
"12/08/2022","4,84","4,76","4,84","4,76","1,06K","1,68%"
"11/08/2022","4,76","4,74","4,84","4,74","15,07K","0,42%"
"10/08/2022","4,74","4,60","4,74","4,60","0,13K","3,04%"
"09/08/2022","4,60","4,62","4,62","4,60","4,96K","-3,16%"
"08/08/2022","4,75","4,60","4,75","4,60","0,86K","0,21%"
"05/08/2022","4,74","4,62","4,74","4,62","0,19K","-0,21%"
"04/08/2022","4,75","4,75","4,75","4,75","0,01K","1,06%"
"03/08/2022","4,70","4,75","4,75","4,60","2,36K","-0,21%"
"02/08/2022","4,71","4,60","4,71","4,56","2,44K","0,21%"
"01/08/2022","4,70","4,63","4,71","4,55","2,18K","2,17%"
"29/07/2022","4,60","4,69","4,69","4,60","0,20K","0,00%"
"28/07/2022","4,60","4,73","4,73","4,60","0,24K","-2,95%"
"26/07/2022","4,74","4,74","4,74","4,74","1,70K","-0,21%"
"21/07/2022","4,75","4,75","4,75","4,75","0,53K","0,00%"
"19/07/2022","4,75","4,75","4,75","4,75","0,01K","-0,42%"
"18/07/2022","4,77","4,77","4,77","4,77","0,00K","1,49%"
"15/07/2022","4,70","4,70","4,70","4,70","0,05K","1,08%"
"14/07/2022","4,65","4,65","4,65","4,65","0,32K","0,00%"
"13/07/2022","4,65","4,65","4,65","4,65","0,00K","1,53%"
"12/07/2022","4,58","4,58","4,58","4,58","1,35K","-1,29%"
"11/07/2022","4,64","4,50","4,64","4,50","4,78K","1,53%"
"07/07/2022","4,57","4,57","4,57","4,31","0,16K","-0,22%"
"06/07/2022","4,58","4,58","4,58","4,58","2,00K","-1,51%"
"05/07/2022","4,65","4,65","4,65","4,65","0,25K","5,92%"
"01/07/2022","4,39","4,20","4,39","4,18","1,77K","1,15%"
"30/06/2022","4,34","4,34","4,34","4,34","0,00K","0,00%"
"29/06/2022","4,34","4,28","4,34","4,28","1,06K","0,93%"
"28/06/2022","4,30","4,30","4,30","4,15","0,92K","0,00%"
"27/06/2022","4,30","4,30","4,30","4,30","0,51K","0,00%"
"24/06/2022","4,30","4,32","4,32","4,30","0,60K","-0,23%"
"23/06/2022","4,31","4,33","4,33","4,31","0,53K","-2,49%"
"22/06/2022","4,42","4,26","4,42","4,26","0,21K","0,00%"
"21/06/2022","4,42","4,22","4,42","4,22","1,48K","0,23%"
"20/06/2022","4,41","4,41","4,41","4,41","0,20K","-2,00%"
"17/06/2022","4,50","4,50","4,50","4,50","1,38K","-1,53%"
"15/06/2022","4,57","4,57","4,57","4,57","0,01K","5,79%"
"14/06/2022","4,32","4,32","4,32","4,32","0,02K","-5,88%"
"13/06/2022","4,59","4,40","4,60","4,31","220,73K","4,32%"
"10/06/2022","4,40","4,45","4,45","4,40","0,41K","-1,12%"
"09/06/2022","4,45","4,45","4,60","4,45","0,49K","0,00%"
"08/06/2022","4,45","4,38","4,45","4,35","5,84K","1,60%"
"07/06/2022","4,38","4,45","4,45","4,38","1,67K","-1,57%"
"06/06/2022","4,45","4,43","4,45","4,42","0,02K","-2,84%"
"31/05/2022","4,58","4,50","4,58","4,50","4,00K","0,00%"
"27/05/2022","4,58","4,58","4,58","4,58","0,01K","1,78%"
"26/05/2022","4,50","4,60","4,60","4,50","6,03K","-1,96%"
"24/05/2022","4,59","4,59","4,59","4,59","0,19K","0,00%"
"23/05/2022","4,59","4,50","4,59","4,50","0,36K","0,00%"
"20/05/2022","4,59","4,58","4,59","4,50","0,06K","0,00%"
"18/05/2022","4,59","4,50","4,59","4,50","0,45K","0,00%"
"17/05/2022","4,59","4,42","4,59","4,42","0,87K","4,08%"
"16/05/2022","4,41","4,38","4,59","4,38","1,13K","0,68%"
"13/05/2022","4,38","4,50","4,57","4,38","1,26K","-4,78%"
"12/05/2022","4,60","4,64","4,64","4,60","0,11K","4,07%"
"11/05/2022","4,42","4,64","4,64","4,42","2,18K","-1,78%"
"10/05/2022","4,50","4,42","4,50","4,42","4,99K","1,81%"
"09/05/2022","4,42","4,65","4,65","4,42","4,03K","-5,96%"
"05/05/2022","4,70","4,70","4,70","4,70","0,05K","0,00%"
"04/05/2022","4,70","4,70","4,70","4,70","0,01K","0,86%"
"27/04/2022","4,66","4,50","4,66","4,50","17,07K","3,56%"
"26/04/2022","4,50","4,50","4,52","4,40","2,66K","-1,96%"
"22/04/2022","4,59","4,60","4,60","4,50","0,37K","-0,22%"
"21/04/2022","4,60","4,66","4,66","4,60","0,53K","-1,29%"
"19/04/2022","4,66","4,49","4,66","4,49","0,00K","1,53%"
"18/04/2022","4,59","4,59","4,59","4,59","5,50K","-0,22%"
"15/04/2022","4,60","4,66","4,66","4,60","1,15K","-1,29%"
"14/04/2022","4,66","4,55","4,66","4,55","0,72K","0,00%"
"13/04/2022","4,66","4,66","4,66","4,66","0,01K","0,00%"
"08/04/2022","4,66","4,74","4,74","4,66","0,58K","-1,89%"
"07/04/2022","4,75","4,85","4,85","4,75","0,02K","-4,04%"
"04/04/2022","4,95","4,95","4,95","4,95","0,01K","1,02%"
"01/04/2022","4,90","4,90","4,90","4,90","0,50K","-1,01%"
"24/03/2022","4,95","4,85","4,95","4,85","0,11K","0,20%"
"18/03/2022","4,94","4,94","4,94","4,94","0,39K","-0,20%"
"16/03/2022","4,95","4,79","4,95","4,79","1,00K","-0,80%"
"15/03/2022","4,99","4,80","4,99","4,80","1,17K","0,20%"
"14/03/2022","4,98","4,85","4,98","4,85","0,36K","1,84%"
