"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","11,50","11,50","11,50","11,50","0,19K","0,00%"
"27/03/2023","11,50","11,50","11,50","11,50","0,19K","0,00%"
"24/03/2023","11,50","11,50","11,50","11,50","0,30K","0,00%"
"22/03/2023","11,50","11,50","11,50","11,50","0,01K","0,09%"
"21/03/2023","11,49","11,49","11,49","11,49","0,56K","0,00%"
"17/03/2023","11,49","11,49","11,49","11,49","0,20K","-0,09%"
"16/03/2023","11,50","11,50","11,50","11,50","1,50K","0,09%"
"14/03/2023","11,49","11,49","11,49","11,49","0,10K","0,52%"
"13/03/2023","11,43","11,43","11,43","11,43","0,75K","-0,61%"
"09/03/2023","11,50","11,50","11,50","11,50","0,25K","0,44%"
"08/03/2023","11,45","11,40","11,45","11,40","0,50K","0,00%"
"06/03/2023","11,45","11,44","11,45","11,44","0,20K","0,09%"
"03/03/2023","11,44","11,50","11,50","11,44","0,42K","-0,26%"
"02/03/2023","11,47","11,50","11,50","11,00","2,77K","-0,26%"
"01/03/2023","11,50","11,50","11,50","11,50","0,05K","0,09%"
"28/02/2023","11,49","11,49","11,49","11,49","0,20K","-0,09%"
"27/02/2023","11,50","11,50","11,50","11,49","0,48K","0,00%"
"24/02/2023","11,50","11,50","11,50","11,50","0,15K","0,00%"
"22/02/2023","11,50","11,50","11,50","11,50","0,20K","0,00%"
"21/02/2023","11,50","11,50","11,50","11,50","0,05K","0,00%"
"20/02/2023","11,50","11,50","11,50","11,49","0,97K","-0,69%"
"17/02/2023","11,58","11,50","11,58","11,50","0,40K","0,17%"
"15/02/2023","11,56","11,56","11,56","11,56","0,10K","-0,34%"
"09/02/2023","11,60","11,01","11,60","11,01","0,56K","-0,85%"
"07/02/2023","11,70","11,70","11,70","11,70","0,20K","-0,68%"
"02/02/2023","11,78","11,78","11,78","11,78","0,00K","0,26%"
"01/02/2023","11,75","11,79","11,79","11,74","0,41K","-1,09%"
"30/01/2023","11,88","11,00","11,88","11,00","0,27K","1,54%"
"27/01/2023","11,70","11,80","11,80","11,70","0,01K","-0,76%"
"26/01/2023","11,79","11,79","11,79","11,79","0,00K","-0,84%"
"24/01/2023","11,89","11,65","11,89","11,65","0,76K","2,59%"
"23/01/2023","11,59","11,59","11,59","11,59","0,10K","-0,52%"
"17/01/2023","11,65","11,65","11,65","11,65","0,01K","-5,28%"
"11/01/2023","12,30","12,06","12,30","12,06","0,05K","1,99%"
"10/01/2023","12,06","12,30","12,30","12,06","0,21K","-1,95%"
"09/01/2023","12,30","12,29","12,30","12,29","0,07K","0,00%"
"06/01/2023","12,30","12,30","12,30","12,30","0,39K","-1,44%"
"05/01/2023","12,48","12,39","12,48","12,39","1,08K","-0,95%"
"03/01/2023","12,60","12,70","12,70","12,60","0,08K","0,48%"
"02/01/2023","12,54","12,54","12,54","12,54","0,05K","0,00%"
"30/12/2022","12,54","12,54","12,54","12,54","1,01K","4,50%"
"29/12/2022","12,00","12,00","12,00","12,00","11,05K","1,69%"
"27/12/2022","11,80","11,80","11,80","11,80","7,00K","1,29%"
"09/12/2022","11,65","11,65","11,65","11,65","0,77K","-0,43%"
"06/12/2022","11,70","11,70","11,70","11,70","2,50K","1,74%"
"02/12/2022","11,50","11,50","11,50","11,50","0,20K","0,00%"
"01/12/2022","11,50","11,50","11,50","11,50","0,33K","1,32%"
"30/11/2022","11,35","11,35","11,35","11,35","0,00K","2,25%"
"29/11/2022","11,10","11,35","11,35","11,10","0,05K","-2,20%"
"28/11/2022","11,35","11,35","11,35","11,35","0,02K","2,62%"
"25/11/2022","11,06","11,06","11,06","11,06","0,04K","-2,56%"
"24/11/2022","11,35","11,35","11,35","11,35","0,20K","0,00%"
"21/11/2022","11,35","11,35","11,35","11,35","0,01K","0,89%"
"18/11/2022","11,25","11,25","11,25","11,25","0,30K","-0,88%"
"17/11/2022","11,35","11,00","11,35","11,00","0,20K","-0,35%"
"14/11/2022","11,39","11,39","11,39","11,39","0,01K","3,55%"
"11/11/2022","11,00","11,38","11,38","11,00","0,91K","-3,34%"
"10/11/2022","11,38","11,38","11,38","11,38","0,01K","2,52%"
"09/11/2022","11,10","11,10","11,10","11,10","0,06K","0,00%"
