"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","42,10","42,10","42,10","42,10","0,33K","0,00%"
"13/03/2023","42,10","42,10","42,10","42,10","0,10K","-0,02%"
"16/11/2022","42,11","42,11","42,11","42,11","0,75K","0,00%"
"27/07/2022","42,11","42,11","42,11","42,11","0,44K","0,00%"
"24/06/2022","42,11","42,11","42,11","42,11","0,05K","0,00%"
"09/06/2022","42,11","42,11","42,11","42,11","9,00K","0,00%"
"08/06/2022","42,11","42,11","42,11","42,11","0,08K","-8,48%"
"25/05/2022","46,01","46,01","46,01","46,01","0,04K","0,00%"
"27/04/2022","46,01","46,01","46,01","46,01","0,03K","0,00%"
"20/04/2022","46,01","46,01","46,01","46,01","0,03K","4,19%"
"05/04/2022","44,16","44,16","44,16","44,16","0,03K","0,05%"
"14/02/2022","44,14","44,14","44,14","44,14","0,00K","0,00%"
"10/01/2022","44,14","44,14","44,14","44,14","0,02K","0,00%"
"15/12/2021","44,14","44,14","44,14","44,14","0,16K","4,50%"
"05/11/2021","42,24","42,24","42,24","42,24","1,42K","0,00%"
"01/11/2021","42,24","42,24","42,24","42,24","2,00K","0,00%"
"25/06/2021","42,24","42,24","42,24","42,24","0,08K","0,00%"
"23/06/2021","42,24","42,24","42,24","42,24","2,44K","0,02%"
"22/06/2021","42,23","42,23","42,23","42,23","0,01K","3,00%"
"04/05/2021","41,00","41,00","41,00","41,00","0,05K","-1,39%"
"20/04/2021","41,58","41,58","41,58","41,58","8,00K","-8,78%"
"25/02/2021","45,58","45,58","45,58","45,58","0,00K","0,00%"
"05/02/2021","45,58","45,58","45,58","45,58","1,00K","-2,98%"
"29/01/2021","46,98","46,98","46,98","46,98","0,01K","6,05%"
"06/11/2020","44,30","44,30","44,30","44,30","0,30K","0,00%"
"03/11/2020","44,30","44,30","44,30","44,30","0,05K","0,00%"
"09/10/2020","44,30","44,30","44,30","44,30","0,10K","0,00%"
"16/07/2020","44,30","44,30","44,30","44,30","0,65K","-4,73%"
"24/02/2020","46,50","46,50","46,50","46,50","0,40K","0,00%"
"28/01/2020","46,50","46,50","46,50","46,50","0,00K","0,00%"
"22/01/2020","46,50","46,50","46,50","46,50","0,01K","0,00%"
"15/01/2020","46,50","46,50","46,50","46,50","0,30K","0,00%"
"21/11/2019","46,50","46,50","46,50","46,50","0,00K","6,90%"
"29/10/2019","43,50","43,50","43,50","43,50","0,10K","0,00%"
"23/10/2019","43,50","43,50","43,50","43,50","0,01K","3,57%"
"10/05/2019","42,00","42,00","42,00","42,00","1,20K","0,00%"
"05/04/2019","42,00","42,00","42,00","42,00","0,15K","0,00%"
"01/04/2019","42,00","42,00","42,00","42,00","0,22K","-6,10%"
"08/03/2019","44,73","44,73","44,73","44,73","0,50K","0,00%"
"06/03/2019","44,73","44,73","44,73","44,73","0,20K","0,00%"
"21/01/2019","44,73","44,73","44,73","44,73","0,02K","-2,99%"
"24/12/2018","46,11","46,11","46,11","46,11","0,00K","12,46%"
"10/12/2018","41,00","41,00","41,00","41,00","0,00K","0,00%"
"21/05/2018","41,00","41,00","41,00","41,00","0,90K","0,00%"
"09/05/2018","41,00","41,00","41,00","41,00","1,00K","-3,12%"
"11/04/2018","42,32","42,32","42,32","42,32","0,05K","2,99%"
"27/03/2018","41,09","41,03","41,09","41,03","0,13K","0,15%"
"31/01/2018","41,03","41,03","41,03","41,03","0,02K","0,54%"
"22/01/2018","40,81","40,81","40,81","40,81","0,08K","0,12%"
"16/01/2018","40,76","40,71","40,76","40,71","0,15K","0,12%"
"05/01/2018","40,71","40,71","40,71","40,71","0,01K","0,00%"
"28/12/2017","40,71","40,71","40,71","40,71","0,33K","14,03%"
"12/10/2017","35,70","35,70","35,70","35,70","0,10K","-3,51%"
"12/09/2017","37,00","37,00","37,00","37,00","0,10K","2,75%"
"19/06/2017","36,01","36,01","36,01","36,01","0,01K","0,87%"
"11/04/2017","35,70","35,70","35,70","35,70","0,30K","-3,51%"
"10/04/2017","37,00","37,00","37,00","37,00","0,01K","-5,13%"
"15/02/2017","39,00","39,00","39,00","39,00","0,07K","0,00%"
"09/02/2017","39,00","39,00","39,00","39,00","0,03K","0,00%"
"20/01/2017","39,00","39,00","39,00","39,00","0,14K","0,00%"
"05/01/2017","39,00","39,00","39,00","39,00","0,00K","0,00%"
"03/01/2017","39,00","39,00","39,00","39,00","0,00K","0,00%"
"13/12/2016","39,00","39,00","39,00","39,00","0,01K","0,00%"
"07/11/2016","39,00","39,00","39,00","39,00","0,00K","-0,08%"
"04/08/2016","39,03","39,03","39,03","39,03","0,00K","0,00%"
"20/05/2016","39,03","39,03","39,03","39,03","1,36K","0,00%"
"17/05/2016","39,03","39,03","39,03","39,03","0,01K","-4,87%"
"11/02/2016","41,03","41,03","41,03","41,03","0,16K","0,00%"
"09/02/2016","41,03","41,03","41,03","41,03","0,01K","-2,98%"
"08/02/2016","42,29","42,29","42,29","42,29","0,01K","-2,98%"
"03/02/2016","43,59","43,59","43,59","43,59","0,00K","1,37%"
"06/01/2016","43,00","43,00","43,00","43,00","0,03K","0,00%"
"03/11/2015","43,00","43,00","43,00","43,00","0,15K","0,00%"
"22/07/2015","43,00","43,00","43,00","43,00","0,10K","-2,93%"
"09/06/2015","44,30","44,30","44,30","44,30","0,01K","0,00%"
"08/06/2015","44,30","44,30","44,30","44,30","0,01K","-4,73%"
"24/04/2015","46,50","46,50","46,50","46,50","0,05K","-2,98%"
"21/04/2015","47,93","47,93","47,93","47,93","0,14K","0,00%"
"30/03/2015","47,93","47,93","47,93","47,93","0,00K","-3,00%"
"27/03/2015","49,41","49,41","49,41","49,41","0,00K","-2,93%"
"26/03/2015","50,90","50,90","50,90","50,90","0,01K","0,00%"
"19/03/2015","50,90","50,90","50,90","50,90","0,00K","1,39%"
"11/02/2015","50,20","50,20","50,20","50,20","0,00K","9,18%"
"31/12/2014","45,98","45,98","45,98","45,98","0,22K","2,98%"
"22/12/2014","44,65","44,65","44,65","44,65","0,00K","-2,93%"
"04/12/2014","46,00","46,00","46,00","46,00","0,20K","-2,91%"
"03/11/2014","47,38","47,38","47,38","47,38","0,00K","3,00%"
"25/09/2014","46,00","46,00","46,00","46,00","0,20K","0,88%"
"27/08/2014","45,60","45,60","45,60","45,60","0,05K","2,96%"
"08/08/2014","44,29","44,29","44,29","44,29","0,20K","0,00%"
"20/06/2014","44,29","44,29","44,29","44,29","0,15K","3,00%"
"06/06/2014","43,00","43,00","43,00","43,00","1,60K","-4,44%"
"21/05/2014","45,00","45,00","45,00","45,00","0,01K","2,65%"
"20/05/2014","43,84","43,84","43,84","43,84","0,01K","0,02%"
"15/05/2014","43,83","43,83","43,83","43,83","0,01K","0,00%"
"30/04/2014","43,83","43,83","43,83","43,83","0,01K","0,00%"
"28/04/2014","43,83","43,83","43,83","43,83","0,00K","0,00%"
"15/04/2014","43,83","43,83","43,83","43,83","0,01K","2,98%"
"14/04/2014","42,56","42,56","42,56","42,56","0,34K","0,00%"
"04/04/2014","42,56","42,56","42,56","42,56","0,00K","2,98%"
"21/03/2014","41,33","41,33","41,33","41,33","0,10K","0,00%"
"18/03/2014","41,33","41,33","41,33","41,33","0,00K","-2,98%"
"14/03/2014","42,60","42,60","42,60","42,60","0,50K","0,00%"
"05/03/2014","42,60","42,60","42,60","42,60","0,34K","0,00%"
"03/02/2014","42,60","42,60","42,60","42,60","0,01K","-2,96%"
"03/01/2014","43,90","43,90","43,90","43,90","0,01K","-2,92%"
"23/12/2013","45,22","45,22","45,22","45,22","0,40K","-2,96%"
"14/11/2013","46,60","46,60","46,60","46,60","0,20K","-2,92%"
"08/11/2013","48,00","48,00","48,00","48,00","0,40K","-1,94%"
"29/10/2013","48,95","48,95","48,95","48,95","0,27K","-2,95%"
"16/09/2013","50,44","50,44","50,44","50,44","0,80K","-3,00%"
"13/09/2013","52,00","52,37","52,37","52,00","0,02K","-3,67%"
"12/09/2013","53,98","53,98","53,98","53,98","0,01K","-4,46%"
"31/07/2013","56,50","56,50","56,50","56,50","0,01K","2,99%"
"27/06/2013","54,86","55,00","55,00","54,86","1,15K","0,00%"
"26/06/2013","54,86","55,85","55,85","54,86","1,90K","-10,70%"
"04/06/2013","61,43","61,43","61,43","61,43","0,00K","2,98%"
"03/06/2013","59,65","59,65","59,65","59,65","0,00K","2,99%"
"27/05/2013","57,92","57,92","57,92","57,92","0,07K","4,49%"
"23/05/2013","55,43","55,43","55,43","55,43","0,02K","2,99%"
"22/05/2013","53,82","53,82","53,82","53,82","0,02K","0,00%"
"16/05/2013","53,82","53,82","53,82","53,82","0,00K","-2,99%"
"13/05/2013","55,48","55,48","55,48","55,48","0,10K","0,00%"
"10/05/2013","55,48","55,48","55,48","55,48","0,00K","0,00%"
"09/05/2013","55,48","55,47","55,48","55,47","1,50K","0,04%"
"08/05/2013","55,46","55,46","55,46","55,46","0,00K","0,00%"
"07/05/2013","55,46","55,46","55,46","55,46","0,01K","2,99%"
"06/05/2013","53,85","53,85","53,85","53,85","0,00K","2,96%"
"02/05/2013","52,30","52,30","52,30","52,30","0,04K","4,58%"
"25/04/2013","50,01","50,01","50,01","50,01","0,20K","0,02%"
"24/04/2013","50,00","50,80","50,80","50,00","7,51K","-1,57%"
"23/04/2013","50,80","50,80","50,80","50,80","0,01K","-2,68%"
"22/04/2013","52,20","52,20","52,20","52,20","1,23K","-2,99%"
"03/04/2013","53,81","53,81","53,81","53,81","0,01K","7,62%"
"29/03/2013","50,00","50,00","50,00","50,00","1,60K","5,91%"
"27/03/2013","47,21","47,21","47,21","47,21","0,00K","2,99%"
"25/03/2013","45,84","45,84","45,84","45,84","0,63K","0,00%"
"18/02/2013","45,84","45,84","45,84","45,84","0,01K","2,99%"
"12/02/2013","44,51","44,51","44,51","44,51","0,15K","0,59%"
"31/01/2013","44,25","44,25","44,25","44,25","0,01K","-2,96%"
"18/01/2013","45,60","45,60","45,60","45,60","0,01K","-2,98%"
"15/01/2013","47,00","47,00","47,00","47,00","0,22K","2,17%"
"11/01/2013","46,00","46,00","46,00","46,00","0,08K","0,00%"
"26/12/2012","46,00","46,00","46,00","46,00","1,40K","0,00%"
"18/12/2012","46,00","46,00","46,00","46,00","0,05K","0,00%"
"14/12/2012","46,00","46,00","46,00","46,00","0,80K","4,07%"
"12/12/2012","44,20","44,20","44,20","44,20","0,02K","-2,86%"
"07/12/2012","45,50","45,50","45,50","45,50","0,01K","0,00%"
"05/12/2012","45,50","45,50","45,50","45,50","0,01K","1,11%"
"03/12/2012","45,00","45,00","45,00","45,00","0,01K","2,97%"
"28/11/2012","43,70","43,70","43,70","43,70","0,01K","-1,91%"
"22/10/2012","44,55","44,55","44,55","44,55","","2,91%"
"26/09/2012","43,29","43,29","43,29","43,29","0,01K","3,00%"
"24/09/2012","42,03","42,03","42,03","42,03","0,82K","0,07%"
"21/09/2012","42,00","42,00","42,00","42,00","0,01K","-1,18%"
"18/09/2012","42,50","42,50","42,50","42,50","0,01K","-2,97%"
"17/09/2012","43,80","43,80","43,80","43,80","0,23K","0,00%"
"11/09/2012","43,80","43,80","43,80","43,80","0,05K","0,00%"
"06/09/2012","43,80","43,80","43,80","43,80","0,88K","-0,02%"
"27/08/2012","43,81","43,81","43,81","43,81","0,40K","0,02%"
"16/08/2012","43,80","43,80","43,80","43,80","0,10K","-2,69%"
"14/08/2012","45,01","45,01","45,01","45,01","0,01K","2,93%"
"10/08/2012","43,73","43,73","43,73","43,73","0,01K","2,99%"
"09/07/2012","42,46","42,46","42,46","42,46","0,17K","-2,99%"
"22/06/2012","43,77","43,77","43,77","43,77","0,01K","2,99%"
"21/06/2012","42,50","42,43","42,50","42,43","0,22K","3,16%"
"20/06/2012","41,20","41,20","41,20","41,20","0,01K","2,92%"
"04/06/2012","40,03","40,03","40,03","40,03","0,45K","0,05%"
"29/05/2012","40,01","40,01","40,01","40,01","0,01K","-2,41%"
"25/05/2012","41,00","41,00","41,00","41,00","0,01K","-2,36%"
"24/05/2012","41,99","41,99","41,99","41,99","1,50K","0,00%"
"16/05/2012","41,99","41,99","41,99","41,99","0,01K","-0,02%"
"11/05/2012","42,00","42,00","42,00","42,00","0,02K","-1,57%"
"03/05/2012","42,67","42,67","42,67","42,67","0,06K","0,00%"
"26/04/2012","42,67","42,67","42,67","42,67","0,02K","-2,96%"
"25/04/2012","43,97","43,97","43,97","43,97","0,01K","-2,98%"
"24/04/2012","45,32","45,32","45,32","45,32","0,00K","-1,31%"
"23/04/2012","45,92","45,92","45,92","45,92","0,02K","2,98%"
"13/04/2012","44,59","44,59","44,59","44,59","0,00K","2,98%"
"10/04/2012","43,30","43,30","43,30","43,30","0,01K","-1,39%"
"06/04/2012","43,91","43,91","43,91","43,91","0,82K","2,98%"
"27/03/2012","42,64","41,59","42,64","41,59","0,77K","8,75%"
"07/03/2012","39,21","39,21","39,21","39,21","0,02K","-2,95%"
"06/03/2012","40,40","40,40","40,40","40,40","0,00K","-2,42%"
"05/03/2012","41,40","41,40","41,40","41,40","0,16K","2,99%"
"29/02/2012","40,20","40,20","40,20","40,20","0,01K","-2,66%"
"24/02/2012","41,30","41,30","41,30","41,30","0,02K","2,86%"
"22/02/2012","40,15","40,15","40,15","40,15","0,01K","2,92%"
"09/02/2012","39,01","39,01","39,01","39,01","0,30K","0,00%"
"07/02/2012","39,01","39,01","39,01","39,01","0,02K","-1,49%"
"03/02/2012","39,60","39,60","39,60","39,60","0,10K","0,00%"
"27/01/2012","39,60","39,60","39,60","39,60","0,30K","0,00%"
"24/01/2012","39,60","39,60","39,60","39,60","0,75K","0,00%"
"18/01/2012","39,60","39,60","39,60","39,60","0,03K","2,83%"
"16/01/2012","38,51","38,51","38,51","38,51","0,02K","-2,46%"
"09/01/2012","39,48","39,48","39,48","39,48","1,07K","-3,00%"
"26/12/2011","40,70","40,70","40,70","40,70","0,02K","0,00%"
"20/12/2011","40,70","40,70","40,70","40,70","0,01K","2,78%"
"15/12/2011","39,60","39,60","39,60","39,60","0,01K","2,78%"
"02/12/2011","38,53","38,53","38,53","38,53","0,70K","0,03%"
"28/11/2011","38,52","38,52","38,52","38,52","0,30K","0,00%"
"25/11/2011","38,52","38,52","38,52","38,52","0,10K","0,03%"
"24/11/2011","38,51","38,51","38,51","38,51","0,23K","0,00%"
"18/11/2011","38,51","38,51","38,51","38,51","0,30K","0,65%"
"09/11/2011","38,26","38,26","38,26","38,26","0,61K","0,13%"
"27/10/2011","38,21","38,21","38,21","38,21","0,10K","0,03%"
"20/10/2011","38,20","38,20","38,20","38,20","0,10K","-1,19%"
"04/10/2011","38,66","38,66","38,66","38,66","0,01K","-2,99%"
"23/09/2011","39,85","39,85","39,85","39,85","0,08K","0,00%"
"07/09/2011","39,85","39,85","39,85","39,85","0,02K","4,29%"
"16/08/2011","38,21","38,21","38,21","38,21","0,02K","0,55%"
"11/08/2011","38,00","37,00","38,00","37,00","0,02K","4,97%"
"10/08/2011","36,20","36,20","36,20","36,20","0,01K","2,84%"
"27/07/2011","35,20","35,20","35,20","35,20","0,01K","-2,49%"
"20/07/2011","36,10","37,21","37,21","36,10","6,22K","-7,44%"
"28/04/2011","39,00","39,00","39,00","39,00","0,50K","1,56%"
"27/04/2011","38,40","38,40","38,40","38,40","0,03K","0,00%"
"28/03/2011","38,40","38,40","38,40","38,40","0,10K","0,00%"
"15/03/2011","38,40","38,40","38,40","38,40","0,01K","2,89%"
"10/03/2011","37,32","37,32","37,32","37,32","0,02K","2,95%"
"09/03/2011","36,25","36,25","36,25","36,25","0,01K","2,98%"
"08/03/2011","35,20","35,20","35,20","35,20","0,01K","-2,92%"
"17/02/2011","36,26","36,26","36,26","36,26","0,01K","-4,48%"
"08/02/2011","37,96","37,96","37,96","37,96","0,01K","2,98%"
"03/02/2011","36,86","36,86","36,86","36,86","0,01K","-3,00%"
"13/01/2011","38,00","38,00","38,00","38,00","0,61K","0,00%"
"11/01/2011","38,00","38,00","38,00","38,00","0,01K","-1,30%"
"10/01/2011","38,50","38,50","38,50","38,50","1,38K","-0,03%"
"04/01/2011","38,51","38,51","38,51","38,51","0,01K","-4,30%"
"30/12/2010","40,24","40,24","40,24","40,24","0,01K","4,49%"
"27/12/2010","38,51","38,51","38,51","38,51","4,58K","0,03%"
"24/12/2010","38,50","38,50","38,50","38,50","0,01K","-2,90%"
"21/12/2010","39,65","39,65","39,65","39,65","0,07K","0,00%"
"03/12/2010","39,65","39,65","39,65","39,65","0,02K","2,99%"
"26/11/2010","38,50","38,50","38,50","38,50","0,00K","0,00%"
