"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","3,35","3,35","3,35","3,35","0,03K","0,00%"
"27/03/2023","3,35","3,34","3,35","3,34","0,11K","0,00%"
"21/03/2023","3,35","3,35","3,35","3,35","0,04K","0,00%"
"17/03/2023","3,35","3,34","3,35","3,29","1,22K","0,00%"
"15/03/2023","3,35","3,36","3,36","3,27","0,66K","-0,59%"
"14/03/2023","3,37","3,37","3,37","3,37","0,10K","0,00%"
"13/03/2023","3,37","3,39","3,39","3,37","0,48K","-0,88%"
"10/03/2023","3,40","3,40","3,40","3,40","0,10K","1,49%"
"09/03/2023","3,35","3,30","3,40","3,30","0,98K","0,30%"
"08/03/2023","3,34","3,29","3,34","3,29","4,10K","0,00%"
"07/03/2023","3,34","3,29","3,34","3,29","12,50K","-0,30%"
"06/03/2023","3,35","3,35","3,35","3,34","0,59K","0,00%"
"03/03/2023","3,35","3,35","3,35","3,30","0,41K","1,21%"
"02/03/2023","3,31","3,30","3,39","3,30","7,47K","0,30%"
"01/03/2023","3,30","3,33","3,35","3,30","8,34K","-1,79%"
"28/02/2023","3,36","3,36","3,40","3,36","3,04K","-1,18%"
"24/02/2023","3,40","3,35","3,40","3,35","2,34K","1,49%"
"23/02/2023","3,35","3,35","3,35","3,33","0,13K","0,60%"
"22/02/2023","3,33","3,33","3,33","3,26","1,68K","-0,89%"
"21/02/2023","3,36","3,36","3,36","3,36","0,06K","-0,30%"
"20/02/2023","3,37","3,35","3,37","3,35","0,58K","0,00%"
"17/02/2023","3,37","3,30","3,37","3,26","78,46K","1,51%"
"16/02/2023","3,32","3,33","3,35","3,30","12,87K","-0,90%"
"15/02/2023","3,35","3,37","3,38","3,35","28,88K","0,00%"
"14/02/2023","3,35","3,36","3,36","3,35","1,30K","-0,59%"
"13/02/2023","3,37","3,43","3,46","3,36","1,25K","-1,46%"
"10/02/2023","3,42","3,44","3,44","3,40","0,30K","0,00%"
"09/02/2023","3,42","3,43","3,43","3,41","3,38K","-0,29%"
"08/02/2023","3,43","3,36","3,43","3,36","1,85K","0,88%"
"07/02/2023","3,40","3,40","3,40","3,37","0,81K","-0,87%"
"06/02/2023","3,43","3,42","3,43","3,42","0,03K","0,29%"
"03/02/2023","3,42","3,36","3,44","3,36","2,06K","0,59%"
"02/02/2023","3,40","3,43","3,43","3,40","3,51K","-1,45%"
"01/02/2023","3,45","3,45","3,45","3,45","0,86K","-1,71%"
"31/01/2023","3,51","3,53","3,53","3,45","1,07K","-0,28%"
"30/01/2023","3,52","3,54","3,59","3,45","4,02K","-0,56%"
"27/01/2023","3,54","3,55","3,59","3,53","2,58K","-0,28%"
"26/01/2023","3,55","3,45","3,55","3,42","1,80K","2,31%"
"25/01/2023","3,47","3,38","3,47","3,27","7,25K","3,89%"
"24/01/2023","3,34","3,38","3,45","3,31","25,68K","-1,18%"
"23/01/2023","3,38","3,48","3,59","3,38","15,96K","-5,85%"
"20/01/2023","3,59","3,48","3,59","3,48","2,29K","0,56%"
"19/01/2023","3,57","3,57","3,57","3,50","4,25K","0,28%"
"18/01/2023","3,56","3,60","3,60","3,50","2,62K","-0,84%"
"17/01/2023","3,59","3,51","3,59","3,51","2,53K","-0,28%"
"16/01/2023","3,60","3,61","3,61","3,52","5,49K","1,41%"
"13/01/2023","3,55","3,55","3,60","3,55","0,68K","-1,39%"
"12/01/2023","3,60","3,53","3,61","3,53","0,13K","0,00%"
"11/01/2023","3,60","3,60","3,60","3,52","2,62K","0,00%"
"10/01/2023","3,60","3,56","3,62","3,52","7,58K","-2,17%"
"09/01/2023","3,68","3,69","3,69","3,65","1,34K","-0,27%"
"06/01/2023","3,69","3,70","3,70","3,60","4,86K","0,00%"
"05/01/2023","3,69","3,67","3,70","3,66","0,84K","-1,34%"
"04/01/2023","3,74","3,74","3,74","3,74","2,07K","-0,27%"
"03/01/2023","3,75","3,74","3,75","3,74","2,51K","-0,53%"
"02/01/2023","3,77","3,84","3,84","3,68","4,33K","-1,57%"
"30/12/2022","3,83","3,83","3,83","3,71","3,27K","0,00%"
"29/12/2022","3,83","3,79","3,85","3,76","17,49K","1,32%"
"28/12/2022","3,78","3,79","3,79","3,70","6,87K","0,80%"
"27/12/2022","3,75","3,66","3,83","3,66","14,95K","2,46%"
"26/12/2022","3,66","3,51","3,67","3,51","1,64K","-0,54%"
"23/12/2022","3,68","3,60","3,68","3,60","1,63K","0,00%"
"22/12/2022","3,68","3,68","3,68","3,67","1,57K","0,00%"
"21/12/2022","3,68","3,68","3,68","3,67","0,64K","0,27%"
"20/12/2022","3,67","3,67","3,67","3,66","3,08K","0,00%"
"19/12/2022","3,67","3,64","3,67","3,64","0,23K","-0,27%"
"16/12/2022","3,68","3,70","3,70","3,63","3,13K","-0,27%"
"15/12/2022","3,69","3,70","3,70","3,69","5,15K","-0,27%"
"14/12/2022","3,70","3,63","3,70","3,63","2,11K","0,00%"
"13/12/2022","3,70","3,70","3,70","3,70","0,50K","0,00%"
"12/12/2022","3,70","3,70","3,70","3,61","2,48K","0,00%"
"09/12/2022","3,70","3,70","3,70","3,69","343,10K","0,00%"
"07/12/2022","3,70","3,66","3,70","3,66","0,33K","-0,80%"
"06/12/2022","3,73","3,58","3,73","3,58","9,50K","0,81%"
"05/12/2022","3,70","3,74","3,74","3,69","4,01K","0,00%"
"02/12/2022","3,70","3,70","3,70","3,70","0,20K","0,00%"
"01/12/2022","3,70","3,70","3,75","3,63","3,29K","-1,33%"
"30/11/2022","3,75","3,74","3,75","3,74","3,55K","0,00%"
"29/11/2022","3,75","3,70","3,75","3,70","5,10K","0,00%"
"28/11/2022","3,75","3,78","3,78","3,73","5,95K","-1,06%"
"25/11/2022","3,79","3,70","3,79","3,70","1,14K","0,53%"
"24/11/2022","3,77","3,79","3,79","3,75","0,37K","-0,53%"
"23/11/2022","3,79","3,79","3,79","3,75","2,55K","0,00%"
"22/11/2022","3,79","3,60","3,80","3,60","159,53K","5,28%"
"21/11/2022","3,60","3,60","3,65","3,60","4,76K","0,00%"
"18/11/2022","3,60","3,58","3,60","3,58","7,07K","0,28%"
"17/11/2022","3,59","3,57","3,59","3,50","1,84K","0,28%"
"16/11/2022","3,58","3,58","3,58","3,58","0,27K","0,00%"
"14/11/2022","3,58","3,46","3,58","3,46","1,03K","0,28%"
"11/11/2022","3,57","3,57","3,59","3,54","1,09K","0,00%"
"10/11/2022","3,57","3,59","3,59","3,57","3,00K","-0,83%"
"08/11/2022","3,60","3,60","3,60","3,60","1,00K","0,00%"
"07/11/2022","3,60","3,60","3,64","3,60","7,35K","-0,55%"
"01/11/2022","3,62","3,64","3,64","3,62","20,76K","-0,82%"
"31/10/2022","3,65","3,65","3,65","3,65","45,26K","0,00%"
"28/10/2022","3,65","3,65","3,65","3,60","0,82K","0,00%"
"27/10/2022","3,65","3,64","3,65","3,64","0,81K","0,00%"
"26/10/2022","3,65","3,58","3,69","3,57","699,11K","4,29%"
"25/10/2022","3,50","3,46","3,50","3,44","5,16K","0,00%"
"24/10/2022","3,50","3,50","3,55","3,50","2,08K","-1,41%"
"21/10/2022","3,55","3,62","3,62","3,51","1,00K","-2,74%"
"20/10/2022","3,65","3,66","3,67","3,60","1,85K","-0,54%"
"18/10/2022","3,67","3,65","3,68","3,60","3,64K","-0,27%"
"17/10/2022","3,68","3,68","3,68","3,68","579,75K","-0,54%"
"14/10/2022","3,70","3,68","3,70","3,68","0,14K","0,00%"
"13/10/2022","3,70","3,69","3,70","3,69","0,66K","0,00%"
"12/10/2022","3,70","3,70","3,70","3,69","0,73K","0,00%"
"11/10/2022","3,70","3,70","3,70","3,70","0,02K","0,00%"
"10/10/2022","3,70","3,70","3,70","3,68","1,09K","0,00%"
"07/10/2022","3,70","3,69","3,70","3,69","0,56K","-1,33%"
"06/10/2022","3,75","3,75","3,81","3,75","1,00K","-1,57%"
"05/10/2022","3,81","3,81","3,83","3,80","8,43K","0,00%"
"04/10/2022","3,81","3,68","3,85","3,62","8,32K","2,70%"
"03/10/2022","3,71","3,45","3,71","3,44","367,29K","6,00%"
