"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","3,35","3,35","3,35","3,35","0,02K","-4,29%"
"22/03/2023","3,50","3,50","3,50","3,50","0,04K","-12,72%"
"10/03/2023","4,01","4,01","4,01","4,01","0,10K","-5,65%"
"07/03/2023","4,25","4,25","4,25","4,25","0,05K","-2,30%"
"02/03/2023","4,35","4,35","4,35","4,35","0,05K","-15,37%"
"20/02/2023","5,14","5,14","5,14","5,14","0,01K","-0,19%"
"17/02/2023","5,15","5,15","5,15","5,15","0,02K","-4,28%"
"14/02/2023","5,38","5,38","5,38","5,38","0,01K","0,00%"
"10/02/2023","5,38","5,38","5,38","5,38","0,01K","4,47%"
"09/02/2023","5,15","5,15","5,15","5,15","0,22K","3,00%"
"07/02/2023","5,00","5,00","5,00","5,00","0,01K","-3,85%"
"06/02/2023","5,20","5,20","5,20","5,20","0,01K","4,00%"
"03/02/2023","5,00","5,00","5,00","5,00","0,02K","3,73%"
"02/02/2023","4,82","4,82","4,82","4,82","0,21K","1,90%"
"01/02/2023","4,73","4,73","4,73","4,73","0,01K","2,38%"
"31/01/2023","4,62","4,62","4,62","4,62","0,01K","2,21%"
"30/01/2023","4,52","4,52","4,52","4,52","0,02K","0,44%"
"27/01/2023","4,50","4,50","4,50","4,50","0,01K","4,41%"
"26/01/2023","4,31","4,31","4,31","4,31","0,35K","0,23%"
"25/01/2023","4,30","4,30","4,30","4,30","0,11K","2,38%"
"24/01/2023","4,20","4,20","4,20","4,20","0,10K","1,94%"
"23/01/2023","4,12","4,12","4,12","4,12","0,10K","0,00%"
"11/01/2023","4,12","4,12","4,12","4,12","0,01K","0,24%"
"02/01/2023","4,11","4,11","4,11","4,11","0,10K","0,00%"
"30/11/2022","4,11","4,11","4,11","4,11","0,01K","-4,42%"
"26/10/2022","4,30","4,30","4,30","4,30","0,34K","-0,92%"
"24/10/2022","4,34","4,34","4,34","4,34","0,06K","0,93%"
"21/10/2022","4,30","4,30","4,30","4,30","0,49K","0,47%"
"20/10/2022","4,28","4,28","4,28","4,28","0,10K","4,39%"
"18/10/2022","4,10","4,10","4,10","4,10","0,06K","0,00%"
"14/10/2022","4,10","4,10","4,10","4,10","0,01K","0,00%"
"12/10/2022","4,10","4,10","4,10","4,10","0,05K","4,33%"
"11/10/2022","3,93","3,93","3,93","3,93","0,01K","0,00%"
"06/10/2022","3,93","3,93","3,93","3,93","0,01K","0,00%"
"03/10/2022","3,93","3,93","3,93","3,93","0,01K","-4,38%"
"15/09/2022","4,11","4,11","4,11","4,11","0,03K","0,24%"
"14/09/2022","4,10","4,10","4,10","4,10","0,08K","1,49%"
"13/09/2022","4,04","4,04","4,04","4,04","0,52K","-0,49%"
"12/09/2022","4,06","4,06","4,06","4,06","0,06K","4,37%"
"09/09/2022","3,89","3,89","3,89","3,89","0,01K","0,00%"
"08/09/2022","3,89","3,89","3,89","3,89","0,03K","8,36%"
"06/09/2022","3,59","3,59","3,59","3,59","0,28K","11,15%"
"01/09/2022","3,23","3,23","3,23","3,23","0,01K","0,31%"
"30/08/2022","3,22","3,22","3,22","3,22","0,03K","-0,31%"
"29/08/2022","3,23","3,23","3,23","3,23","0,03K","-1,52%"
"26/08/2022","3,28","3,28","3,28","3,28","0,06K","-8,64%"
"20/06/2022","3,59","3,59","3,59","3,59","0,17K","-1,64%"
"17/06/2022","3,65","3,65","3,65","3,65","1,35K","-4,20%"
"15/06/2022","3,81","3,81","3,81","3,81","0,15K","0,00%"
"13/06/2022","3,81","3,81","3,81","3,81","0,06K","4,38%"
"10/06/2022","3,65","3,65","3,65","3,65","0,02K","0,83%"
"09/06/2022","3,62","3,62","3,62","3,62","0,10K","3,72%"
"07/06/2022","3,49","3,49","3,49","3,49","0,01K","-4,38%"
"03/06/2022","3,65","3,65","3,65","3,65","0,03K","-8,75%"
"17/05/2022","4,00","4,00","4,00","4,00","0,02K","1,27%"
"09/05/2022","3,95","3,95","3,95","3,95","0,15K","1,28%"
"06/05/2022","3,90","3,90","3,90","3,90","0,01K","0,00%"
"05/05/2022","3,90","3,90","3,90","3,90","0,03K","4,28%"
"04/05/2022","3,74","3,74","3,74","3,74","0,00K","4,47%"
"28/04/2022","3,58","3,58","3,58","3,58","0,05K","1,42%"
"21/04/2022","3,53","3,53","3,53","3,53","0,55K","-0,28%"
"21/03/2022","3,54","3,54","3,54","3,54","0,10K","8,92%"
"11/03/2022","3,25","3,25","3,25","3,25","0,10K","1,56%"
"10/03/2022","3,20","3,20","3,20","3,20","0,03K","0,00%"
"09/03/2022","3,20","3,20","3,20","3,20","0,21K","-1,54%"
"28/02/2022","3,25","3,25","3,25","3,25","1,55K","-4,41%"
"23/02/2022","3,40","3,40","3,40","3,40","0,05K","-7,86%"
"14/02/2022","3,69","3,69","3,69","3,69","0,08K","0,27%"
"11/02/2022","3,68","3,68","3,68","3,68","0,08K","-5,64%"
"04/02/2022","3,90","3,90","3,90","3,90","0,02K","0,00%"
"31/01/2022","3,90","3,90","3,90","3,90","0,01K","-30,36%"
"14/12/2021","5,60","5,60","5,60","5,60","0,02K","0,00%"
"15/11/2021","5,60","5,60","5,60","5,60","0,01K","-0,18%"
"11/11/2021","5,61","5,61","5,61","5,61","0,10K","0,00%"
"09/11/2021","5,61","5,61","5,61","5,61","0,02K","-8,33%"
"20/10/2021","6,12","6,12","6,12","6,12","0,80K","0,00%"
