"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/03/2023","2,150","2,150","2,150","2,150","1,40M","-1,38%"
"07/03/2023","2,180","2,180","2,180","2,180","0,05K","0,00%"
"03/03/2023","2,180","2,180","2,180","2,180","0,02K","2,83%"
"01/03/2023","2,120","2,120","2,120","2,120","0,15K","4,43%"
"22/02/2023","2,030","2,030","2,030","2,030","0,05K","3,57%"
"20/02/2023","1,960","1,960","1,960","1,960","0,05K","2,62%"
"17/02/2023","1,910","1,910","1,910","1,910","0,02K","2,14%"
"16/02/2023","1,870","1,820","1,870","1,820","1,10K","2,75%"
"15/02/2023","1,820","1,820","1,820","1,820","0,02K","2,82%"
"10/02/2023","1,770","1,770","1,770","1,770","0,97K","4,12%"
"31/01/2023","1,700","1,700","1,700","1,700","0,02K","0,59%"
"30/01/2023","1,690","1,690","1,690","1,690","8,01K","-0,59%"
"17/01/2023","1,700","1,700","1,700","1,700","0,10K","0,00%"
"16/01/2023","1,700","1,700","1,700","1,700","0,27K","4,29%"
"12/01/2023","1,630","1,630","1,630","1,630","21,25K","8,67%"
"09/01/2023","1,500","1,500","1,500","1,500","0,27K","0,00%"
"06/01/2023","1,500","1,500","1,500","1,500","0,06K","-0,66%"
"05/01/2023","1,510","1,500","1,510","1,500","1,10K","-6,21%"
"03/01/2023","1,610","1,610","1,610","1,610","0,07K","-5,85%"
"22/12/2022","1,710","1,710","1,710","1,710","0,01K","8,92%"
"14/12/2022","1,570","1,570","1,570","1,570","0,43K","-4,27%"
"08/12/2022","1,640","1,640","1,640","1,640","0,25K","-4,09%"
"07/12/2022","1,710","1,710","1,710","1,710","0,12K","-2,29%"
"06/12/2022","1,750","1,900","1,900","1,750","0,45K","-4,37%"
"05/12/2022","1,830","1,830","1,830","1,830","0,12K","-8,04%"
"06/10/2022","1,990","1,990","1,990","1,990","0,01K","2,58%"
"05/10/2022","1,940","1,940","1,940","1,940","0,01K","4,30%"
"03/10/2022","1,860","1,860","1,860","1,860","3,77K","-0,53%"
"21/09/2022","1,870","1,870","1,870","1,870","0,01K","4,47%"
"14/09/2022","1,790","1,790","1,790","1,790","0,91K","-5,79%"
"12/09/2022","1,900","1,900","1,900","1,900","0,60K","-4,04%"
"16/08/2022","1,980","1,980","1,980","1,980","0,01K","4,21%"
"15/08/2022","1,900","1,900","1,900","1,900","0,05K","3,83%"
"11/08/2022","1,830","1,830","1,830","1,830","0,03K","-12,02%"
"28/07/2022","2,080","2,080","2,080","2,080","0,00K","-4,59%"
"21/06/2022","2,180","2,180","2,180","2,180","1,80K","-0,91%"
"17/06/2022","2,200","2,200","2,200","2,200","9,43K","0,46%"
"16/06/2022","2,190","2,190","2,190","2,190","0,01K","0,00%"
"10/06/2022","2,190","2,200","2,200","2,190","0,60K","0,00%"
"09/06/2022","2,190","2,190","2,190","2,190","9,00K","-0,90%"
"02/06/2022","2,210","2,210","2,210","2,210","0,01K","0,00%"
"31/05/2022","2,210","2,210","2,210","2,210","0,00K","0,00%"
"20/05/2022","2,210","2,210","2,210","2,210","3,86K","-4,33%"
"13/05/2022","2,310","2,310","2,310","2,310","0,02K","4,05%"
"05/05/2022","2,220","2,220","2,220","2,220","0,04K","-7,11%"
"26/04/2022","2,390","2,390","2,390","2,390","0,04K","0,84%"
"01/04/2022","2,370","2,370","2,370","2,370","0,02K","8,72%"
"29/03/2022","2,180","2,180","2,180","2,180","1,60K","-4,39%"
