"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/03/2023","13,50","13,50","13,50","13,50","0,00K","7,66%"
"08/03/2023","12,54","12,54","12,54","12,54","0,00K","0,00%"
"07/03/2023","12,54","12,54","12,54","12,54","0,00K","4,50%"
"20/02/2023","12,00","12,00","12,00","12,00","0,01K","4,44%"
"16/02/2023","11,49","11,49","11,49","11,49","0,01K","4,45%"
"06/02/2023","11,00","11,00","11,00","11,00","0,04K","-0,09%"
"01/02/2023","11,01","11,01","11,01","11,01","0,11K","0,00%"
"31/01/2023","11,01","11,00","11,01","11,00","1,44K","3,87%"
"30/01/2023","10,60","10,60","10,60","10,60","0,28K","0,47%"
"27/01/2023","10,55","10,55","10,55","10,55","3,00K","-4,09%"
"05/01/2023","11,00","11,00","11,00","11,00","0,30K","0,00%"
"04/01/2023","11,00","11,00","11,00","11,00","0,24K","0,36%"
"30/12/2022","10,96","10,96","10,96","10,96","0,50K","-4,45%"
"26/12/2022","11,47","11,47","11,47","11,47","0,01K","0,00%"
"21/12/2022","11,47","11,47","11,47","11,47","0,05K","4,46%"
"15/12/2022","10,98","10,98","10,98","10,98","0,01K","0,83%"
"13/12/2022","10,89","10,89","10,89","10,89","0,01K","9,01%"
"09/12/2022","9,99","9,99","9,99","9,99","0,08K","0,00%"
"08/12/2022","9,99","9,99","9,99","9,99","0,00K","-0,20%"
"06/12/2022","10,01","10,01","10,01","10,01","0,01K","-8,92%"
"24/11/2022","10,99","10,99","10,99","10,99","0,00K","0,00%"
"22/11/2022","10,99","10,99","10,99","10,99","0,07K","0,00%"
"16/11/2022","10,99","10,99","10,99","10,99","0,00K","0,00%"
"15/11/2022","10,99","10,99","10,99","10,99","0,01K","9,79%"
"24/10/2022","10,01","10,01","10,01","10,01","0,02K","0,00%"
"20/10/2022","10,01","10,01","10,01","10,01","0,01K","-0,89%"
"19/10/2022","10,10","10,10","10,10","10,10","0,07K","0,00%"
"18/10/2022","10,10","10,10","10,10","10,10","0,05K","-8,27%"
"13/10/2022","11,01","11,01","11,01","11,01","0,00K","0,00%"
"12/10/2022","11,01","11,01","11,01","11,01","0,02K","-4,34%"
"10/10/2022","11,51","11,51","11,51","11,51","0,01K","0,00%"
"07/10/2022","11,51","11,51","11,51","11,51","0,10K","-4,16%"
"03/10/2022","12,01","12,01","12,01","12,01","0,00K","0,00%"
"30/09/2022","12,01","12,01","12,01","12,01","0,02K","0,00%"
"28/09/2022","12,01","12,01","12,01","12,01","0,03K","-1,96%"
"26/09/2022","12,25","12,25","12,25","12,25","0,22K","-0,41%"
"23/09/2022","12,30","12,30","12,30","12,30","0,20K","0,00%"
"20/09/2022","12,30","12,30","12,30","12,30","0,22K","-1,60%"
"09/09/2022","12,50","12,50","12,50","12,50","0,00K","0,00%"
"08/09/2022","12,50","12,50","12,50","12,50","0,35K","0,08%"
"07/09/2022","12,49","12,49","12,49","12,49","0,22K","1,13%"
"05/09/2022","12,35","12,35","12,35","12,35","0,49K","0,00%"
"02/09/2022","12,35","12,35","12,35","12,35","0,81K","0,24%"
"01/09/2022","12,32","12,32","12,32","12,32","0,70K","-4,50%"
"26/08/2022","12,90","12,90","12,90","12,90","0,10K","2,46%"
"19/08/2022","12,59","12,59","12,59","12,59","0,00K","4,48%"
"10/08/2022","12,05","12,05","12,05","12,05","0,10K","0,17%"
"08/08/2022","12,03","12,03","12,03","12,03","0,10K","-3,68%"
"05/08/2022","12,49","12,49","12,49","12,49","0,66K","0,00%"
"03/08/2022","12,49","12,49","12,49","12,49","0,02K","0,00%"
"01/08/2022","12,49","12,49","12,49","12,49","0,08K","0,00%"
"28/07/2022","12,49","12,49","12,49","12,49","0,25K","0,56%"
"26/07/2022","12,42","12,42","12,42","12,42","0,00K","-4,46%"
"22/07/2022","13,00","13,00","13,00","13,00","0,20K","-3,70%"
"21/07/2022","13,50","13,50","13,50","13,50","0,00K","3,61%"
"19/07/2022","13,03","13,03","13,03","13,03","0,10K","0,00%"
"14/07/2022","13,03","13,03","13,03","13,03","0,54K","0,00%"
"13/07/2022","13,03","13,03","13,03","13,03","0,00K","0,00%"
"11/07/2022","13,03","13,03","13,03","13,03","0,00K","0,00%"
"08/07/2022","13,03","13,03","13,03","13,03","0,05K","0,00%"
"07/07/2022","13,03","13,03","13,03","13,03","0,07K","-4,12%"
"04/07/2022","13,59","13,59","13,59","13,59","0,00K","4,46%"
"01/07/2022","13,01","13,50","13,50","13,01","0,59K","-3,56%"
"30/06/2022","13,49","13,49","13,49","13,49","0,20K","-3,64%"
"29/06/2022","14,00","14,00","14,00","14,00","0,20K","-8,38%"
"24/06/2022","15,28","14,60","15,28","14,60","0,20K","-4,50%"
"20/06/2022","16,00","16,00","16,00","16,00","0,00K","-1,36%"
"09/06/2022","16,22","16,22","16,22","16,22","0,01K","4,44%"
"08/06/2022","15,53","15,53","15,53","15,53","0,00K","4,44%"
"07/06/2022","14,87","14,87","14,87","14,87","0,20K","4,50%"
"06/06/2022","14,23","14,23","14,23","14,23","0,01K","0,07%"
"03/06/2022","14,22","14,22","14,22","14,22","0,49K","0,00%"
"31/05/2022","14,22","14,22","14,22","14,22","0,01K","-0,07%"
"27/05/2022","14,23","14,23","14,23","14,23","0,01K","4,48%"
"26/05/2022","13,62","13,62","13,62","13,62","0,20K","4,37%"
"25/05/2022","13,05","13,05","13,05","13,05","0,00K","4,07%"
"24/05/2022","12,54","12,54","12,54","12,54","0,00K","4,50%"
"23/05/2022","12,00","12,00","12,00","12,00","0,35K","0,00%"
"19/05/2022","12,00","12,00","12,00","12,00","0,10K","0,00%"
"13/05/2022","12,00","12,00","12,00","12,00","0,10K","0,00%"
"10/05/2022","12,00","12,00","12,00","12,00","0,20K","0,84%"
"27/04/2022","11,90","11,90","11,90","11,90","0,09K","6,82%"
"25/04/2022","11,14","11,14","11,14","11,14","0,21K","0,00%"
"20/04/2022","11,14","11,14","11,14","11,14","0,01K","-4,46%"
"19/04/2022","11,66","11,66","11,66","11,66","0,20K","-2,83%"
"15/04/2022","12,00","12,00","12,00","12,00","0,17K","0,00%"
"14/04/2022","12,00","12,00","12,00","12,00","0,00K","0,00%"
"13/04/2022","12,00","12,00","12,00","12,00","0,01K","-3,46%"
"08/04/2022","12,43","12,43","12,43","12,43","0,31K","0,00%"
"06/04/2022","12,43","12,43","12,43","12,43","0,31K","0,00%"
"23/03/2022","12,43","12,43","12,43","12,43","0,35K","-4,38%"
"17/03/2022","13,00","13,00","13,00","13,00","1,00K","0,00%"
"16/03/2022","13,00","13,00","13,00","13,00","0,06K","0,00%"
"11/03/2022","13,00","13,00","13,00","13,00","0,05K","0,00%"
"10/03/2022","13,00","13,00","13,00","13,00","0,44K","-2,84%"
"18/02/2022","13,38","13,38","13,38","13,38","0,03K","0,00%"
"17/02/2022","13,38","13,38","13,38","13,38","0,00K","0,00%"
"16/02/2022","13,38","13,38","13,38","13,38","0,06K","-4,43%"
"10/02/2022","14,00","14,00","14,00","14,00","0,17K","-2,30%"
"07/02/2022","14,33","15,00","15,00","14,33","0,68K","-4,47%"
"03/02/2022","15,00","15,00","15,00","15,00","0,03K","0,00%"
"02/02/2022","15,00","15,00","15,00","15,00","0,81K","-5,30%"
"31/01/2022","15,84","15,84","15,84","15,84","0,13K","-6,82%"
"22/01/2022","17,00","17,00","17,00","17,00","","2,53%"
"17/01/2022","16,58","16,58","16,58","16,58","0,01K","-0,30%"
"30/12/2021","16,63","16,63","16,63","16,63","0,08K","0,00%"
"29/12/2021","16,63","16,64","16,64","16,63","0,75K","-0,12%"
"21/12/2021","16,65","16,65","16,65","16,65","0,02K","-0,42%"
"03/12/2021","16,72","16,72","16,72","16,72","0,81K","4,50%"
"22/11/2021","16,00","16,00","16,00","16,00","0,03K","3,90%"
"16/11/2021","15,40","15,40","15,40","15,40","0,10K","0,00%"
"15/11/2021","15,40","15,40","15,40","15,40","0,01K","-0,65%"
"05/11/2021","15,50","15,50","15,50","15,50","0,04K","-2,52%"
"28/10/2021","15,90","15,90","15,90","15,90","0,00K","-0,63%"
"20/10/2021","16,00","16,00","16,00","16,00","0,03K","0,00%"
"19/10/2021","16,00","16,00","16,00","16,00","0,01K","-3,15%"
"14/10/2021","16,52","16,52","16,52","16,52","0,00K","-2,82%"
"01/10/2021","17,00","17,00","17,00","17,00","0,00K","0,00%"
"30/09/2021","17,00","17,00","17,00","17,00","0,00K","0,00%"
"29/09/2021","17,00","17,00","17,00","17,00","0,03K","0,00%"
"28/09/2021","17,00","17,00","17,00","17,00","0,03K","-2,86%"
"27/09/2021","17,50","17,50","17,50","17,50","0,10K","0,00%"
"16/09/2021","17,50","17,50","17,50","17,50","4,83K","2,94%"
"09/09/2021","17,00","17,00","17,00","17,00","0,03K","-5,56%"
"09/08/2021","18,00","18,00","18,00","18,00","0,25K","0,00%"
"06/08/2021","18,00","18,00","18,00","18,00","43,31K","0,00%"
"05/08/2021","18,00","18,00","18,00","18,00","0,05K","0,00%"
"28/07/2021","18,00","18,00","18,00","18,00","0,47K","0,00%"
"27/07/2021","18,00","18,00","18,00","18,00","4,73K","-2,70%"
"14/07/2021","18,50","18,50","18,50","18,50","0,10K","0,00%"
"13/07/2021","18,50","18,50","18,50","18,50","0,03K","2,78%"
"12/07/2021","18,00","18,00","18,00","18,00","1,58K","-0,11%"
