"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","1,440","1,440","1,440","1,440","0,10K","0,70%"
"27/03/2023","1,430","1,430","1,430","1,430","0,02K","0,00%"
"24/03/2023","1,430","1,430","1,430","1,430","15,06K","-0,69%"
"23/03/2023","1,440","1,440","1,440","1,440","0,09K","0,00%"
"22/03/2023","1,440","1,440","1,440","1,440","23,70K","-0,69%"
"17/03/2023","1,450","1,450","1,450","1,450","11,87K","-3,33%"
"15/03/2023","1,500","1,500","1,500","1,500","0,05K","4,17%"
"14/03/2023","1,440","1,450","1,450","1,440","25,88K","-0,69%"
"13/03/2023","1,450","1,450","1,450","1,450","14,69K","0,00%"
"10/03/2023","1,450","1,440","1,450","1,440","0,35K","-3,33%"
"09/03/2023","1,500","1,500","1,500","1,500","10,00K","-0,66%"
"08/03/2023","1,510","1,520","1,520","1,510","3,66K","-0,66%"
"07/03/2023","1,520","1,510","1,540","1,510","10,82K","0,66%"
"06/03/2023","1,510","1,520","1,520","1,510","2,97K","0,00%"
"03/03/2023","1,510","1,510","1,520","1,500","11,78K","0,67%"
"02/03/2023","1,500","1,500","1,500","1,500","16,15K","0,00%"
"28/02/2023","1,500","1,500","1,500","1,500","15,79K","0,00%"
"27/02/2023","1,500","1,500","1,500","1,500","0,04K","0,00%"
"24/02/2023","1,500","1,480","1,500","1,480","7,53K","0,00%"
"23/02/2023","1,500","1,510","1,510","1,500","6,06K","-1,96%"
"22/02/2023","1,530","1,500","1,530","1,500","2,16K","4,08%"
"20/02/2023","1,470","1,480","1,480","1,470","4,10K","-2,00%"
"17/02/2023","1,500","1,500","1,500","1,500","0,14K","-5,06%"
"16/02/2023","1,580","1,570","1,580","1,570","1,00K","0,64%"
"15/02/2023","1,570","1,570","1,570","1,570","1,96K","0,00%"
"14/02/2023","1,570","1,570","1,570","1,570","3,09K","0,00%"
"13/02/2023","1,570","1,500","1,570","1,500","5,91K","4,67%"
"10/02/2023","1,500","1,480","1,500","1,480","5,94K","1,35%"
"08/02/2023","1,480","1,430","1,480","1,430","8,31K","5,71%"
"07/02/2023","1,400","1,400","1,400","1,400","13,32K","0,00%"
"06/02/2023","1,400","1,400","1,400","1,400","46,88K","0,72%"
"03/02/2023","1,390","1,390","1,390","1,390","1,21K","-0,71%"
"31/01/2023","1,400","1,400","1,400","1,400","4,40K","-0,71%"
"27/01/2023","1,410","1,400","1,420","1,390","7,40K","-0,70%"
"26/01/2023","1,420","1,380","1,420","1,380","1,80K","2,90%"
"25/01/2023","1,380","1,380","1,380","1,380","3,17K","-0,72%"
"24/01/2023","1,390","1,390","1,390","1,390","1,50K","0,00%"
"23/01/2023","1,390","1,390","1,390","1,390","0,03K","1,46%"
"19/01/2023","1,370","1,370","1,370","1,370","0,61K","0,00%"
"18/01/2023","1,370","1,370","1,370","1,370","4,00K","0,00%"
