"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","3,35","3,43","3,43","3,35","0,26K","-2,62%"
"28/03/2023","3,44","3,35","3,44","3,30","0,32K","1,18%"
"27/03/2023","3,40","3,40","3,45","3,40","3,77K","-0,29%"
"24/03/2023","3,41","3,36","3,50","3,36","7,86K","2,71%"
"23/03/2023","3,32","3,32","3,34","3,29","10,13K","0,61%"
"22/03/2023","3,30","3,12","3,30","3,12","13,36K","5,77%"
"21/03/2023","3,12","3,12","3,12","3,12","0,20K","-3,70%"
"17/03/2023","3,24","3,20","3,28","3,20","4,04K","0,00%"
"16/03/2023","3,24","3,24","3,24","3,24","0,00K","2,53%"
"15/03/2023","3,16","3,18","3,20","3,13","3,01K","0,00%"
"14/03/2023","3,16","3,18","3,20","3,06","1,53K","-0,94%"
"13/03/2023","3,19","3,12","3,24","3,12","0,65K","-0,31%"
"10/03/2023","3,20","3,12","3,22","3,12","0,52K","-0,62%"
"09/03/2023","3,22","3,17","3,22","3,16","2,64K","-0,62%"
"08/03/2023","3,24","3,22","3,24","3,18","0,21K","0,00%"
"07/03/2023","3,24","3,30","3,30","3,21","4,32K","-2,70%"
"06/03/2023","3,33","3,33","3,33","3,33","0,00K","2,46%"
"03/03/2023","3,25","3,30","3,30","3,25","0,03K","0,93%"
"02/03/2023","3,22","3,30","3,30","3,20","0,47K","-3,01%"
"01/03/2023","3,32","3,36","3,36","3,25","0,69K","-0,60%"
"28/02/2023","3,34","3,28","3,35","3,24","0,61K","-1,18%"
"27/02/2023","3,38","3,38","3,38","3,38","0,83K","1,50%"
"24/02/2023","3,33","3,30","3,35","3,23","0,41K","1,52%"
"23/02/2023","3,28","3,28","3,33","3,22","4,37K","-2,67%"
"22/02/2023","3,37","3,31","3,37","3,29","2,36K","-0,30%"
"21/02/2023","3,38","3,28","3,43","3,28","6,14K","1,50%"
"20/02/2023","3,33","3,18","3,40","3,18","8,69K","1,52%"
"17/02/2023","3,28","3,23","3,28","3,20","5,08K","-0,30%"
"16/02/2023","3,29","3,24","3,29","3,24","0,96K","-0,30%"
"15/02/2023","3,30","3,25","3,30","3,22","9,66K","0,30%"
"14/02/2023","3,29","3,30","3,31","3,22","14,28K","1,23%"
"13/02/2023","3,25","3,07","3,32","3,07","21,84K","3,50%"
"10/02/2023","3,14","3,19","3,19","3,10","0,10K","-0,63%"
"09/02/2023","3,16","3,12","3,16","3,12","1,84K","-2,17%"
"08/02/2023","3,23","3,16","3,26","3,14","5,72K","1,89%"
"07/02/2023","3,17","3,15","3,20","3,14","5,20K","0,32%"
"06/02/2023","3,16","3,17","3,17","3,10","1,56K","-0,94%"
"03/02/2023","3,19","3,22","3,30","3,18","14,40K","2,24%"
"02/02/2023","3,12","3,08","3,13","3,04","9,96K","2,63%"
"01/02/2023","3,04","3,06","3,14","2,94","4,19K","1,33%"
"31/01/2023","3,00","2,91","3,00","2,91","0,46K","-1,96%"
"30/01/2023","3,06","3,09","3,09","2,98","1,08K","2,68%"
"27/01/2023","2,98","3,16","3,16","2,98","6,41K","-5,40%"
"26/01/2023","3,15","3,17","3,17","3,07","0,31K","0,00%"
"25/01/2023","3,15","3,11","3,23","3,11","6,38K","0,00%"
"24/01/2023","3,15","3,08","3,16","3,03","4,08K","2,27%"
"23/01/2023","3,08","3,09","3,09","3,03","0,03K","1,99%"
"20/01/2023","3,02","3,08","3,09","3,02","0,72K","-1,95%"
"19/01/2023","3,08","3,09","3,09","3,02","0,80K","1,32%"
"18/01/2023","3,04","2,92","3,09","2,91","17,52K","4,11%"
"17/01/2023","2,92","2,82","2,92","2,82","2,97K","3,18%"
"16/01/2023","2,83","2,80","2,83","2,77","7,74K","-1,74%"
"13/01/2023","2,88","2,84","2,88","2,84","0,64K","0,00%"
"12/01/2023","2,88","2,94","2,94","2,88","2,45K","-0,35%"
"11/01/2023","2,89","2,88","2,89","2,85","7,90K","0,35%"
"10/01/2023","2,88","2,90","2,90","2,85","14,49K","-1,71%"
"09/01/2023","2,93","2,90","2,93","2,86","2,67K","0,00%"
"06/01/2023","2,93","2,95","2,95","2,87","4,65K","-0,68%"
"05/01/2023","2,95","2,96","2,96","2,92","3,08K","-0,34%"
"04/01/2023","2,96","3,01","3,01","2,93","2,35K","-0,67%"
"03/01/2023","2,98","2,94","2,99","2,94","3,47K","1,02%"
"02/01/2023","2,95","3,03","3,03","2,94","1,29K","0,34%"
