"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/03/2023","2,190","2,190","2,190","2,190","0,05K","0,00%"
"16/03/2023","2,190","2,190","2,190","2,190","0,07K","-4,37%"
"14/03/2023","2,290","2,290","2,290","2,290","0,05K","0,00%"
"13/03/2023","2,290","2,290","2,290","2,290","0,05K","0,00%"
"10/03/2023","2,290","2,290","2,290","2,290","0,02K","0,00%"
"09/03/2023","2,290","2,290","2,290","2,290","0,03K","-4,18%"
"01/03/2023","2,390","2,390","2,390","2,390","0,00K","-29,71%"
"30/12/2022","3,400","3,400","3,400","3,400","7,90K","3,03%"
"28/12/2022","3,300","3,300","3,300","3,300","2,00K","-2,37%"
"26/12/2022","3,380","3,380","3,380","3,380","2,40K","-0,59%"
"22/12/2022","3,400","3,400","3,400","3,400","0,50K","0,29%"
"20/12/2022","3,390","3,390","3,390","3,390","4,89K","-0,29%"
"15/12/2022","3,400","3,400","3,400","3,400","0,01K","0,00%"
"14/12/2022","3,400","3,400","3,400","3,400","0,50K","7,94%"
"12/12/2022","3,150","3,150","3,150","3,150","1,00K","0,32%"
"04/10/2022","3,140","3,140","3,140","3,140","0,01K","-0,32%"
"03/10/2022","3,150","3,150","3,150","3,150","0,25K","0,64%"
"20/09/2022","3,130","3,130","3,130","3,130","0,95K","-0,32%"
"14/09/2022","3,140","3,140","3,140","3,140","0,79K","25,60%"
"07/09/2022","2,500","2,500","2,500","2,500","0,31K","-16,94%"
"31/08/2022","3,010","3,010","3,010","3,010","0,19K","-4,44%"
"03/08/2022","3,150","3,150","3,150","3,150","0,11K","0,64%"
"02/08/2022","3,130","3,130","3,130","3,130","0,05K","25,20%"
"22/07/2022","2,500","2,500","2,500","2,500","360,00K","-20,38%"
"28/06/2022","3,140","3,140","3,140","3,140","0,20K","0,00%"
"27/06/2022","3,140","3,140","3,140","3,140","1,00K","-0,32%"
"24/06/2022","3,150","3,150","3,150","3,150","0,12K","0,32%"
"23/06/2022","3,140","3,140","3,140","3,140","1,35K","0,00%"
"21/06/2022","3,140","3,140","3,140","3,140","0,68K","-0,32%"
"17/06/2022","3,150","3,150","3,150","3,150","0,10K","0,32%"
"16/06/2022","3,140","3,140","3,140","3,140","0,10K","-0,32%"
"10/06/2022","3,150","3,150","3,150","3,150","0,05K","2,61%"
"09/06/2022","3,070","3,070","3,070","3,070","0,50K","18,08%"
"02/06/2022","2,600","2,600","2,600","2,600","0,25K","4,42%"
"01/06/2022","2,490","2,490","2,490","2,490","0,40K","4,18%"
"23/05/2022","2,390","2,390","2,390","2,390","1,70K","0,00%"
"05/05/2022","2,390","2,390","2,390","2,390","0,50K","-8,43%"
"29/04/2022","2,610","2,610","2,610","2,610","0,65K","-12,42%"
"26/04/2022","2,980","2,980","2,980","2,980","1,00K","-3,87%"
"25/04/2022","3,100","3,100","3,100","3,100","0,60K","-1,27%"
"11/01/2022","3,140","3,140","3,140","3,140","0,10K","-0,32%"
"06/01/2022","3,150","3,150","3,150","3,150","2,00K","0,00%"
"04/01/2022","3,150","3,150","3,150","3,150","0,08K","3,28%"
"29/12/2021","3,050","3,050","3,050","3,050","4,85K","-3,17%"
"01/11/2021","3,150","3,150","3,150","3,150","7,50K","0,00%"
"07/10/2021","3,150","3,150","3,150","3,150","1,25K","0,00%"
"30/09/2021","3,150","3,150","3,150","3,150","0,15K","1,61%"
"23/09/2021","3,100","3,100","3,100","3,100","0,10K","-3,13%"
"25/08/2021","3,200","3,200","3,200","3,200","0,72K","1,59%"
"06/07/2021","3,150","3,150","3,150","3,150","4,97K","-2,78%"
"02/07/2021","3,240","3,240","3,240","3,240","1,34K","-2,70%"
"07/06/2021","3,330","3,330","3,330","3,330","0,10K","0,00%"
"01/06/2021","3,330","3,330","3,330","3,330","2,50K","0,00%"
"04/05/2021","3,330","3,330","3,330","3,330","0,50K","0,00%"
"05/04/2021","3,330","3,330","3,330","3,330","1,00K","-0,60%"
"04/03/2021","3,350","3,350","3,350","3,350","0,07K","2,13%"
"27/01/2021","3,280","3,280","3,280","3,280","1,00K","-2,96%"
"22/01/2021","3,380","3,380","3,380","3,380","0,20K","-4,25%"
"08/01/2021","3,530","3,530","3,530","3,530","1,46K","0,00%"
"07/01/2021","3,530","3,530","3,530","3,530","0,15K","-0,28%"
"09/12/2020","3,540","3,540","3,540","3,540","0,20K","2,61%"
"02/12/2020","3,450","3,450","3,450","3,450","1,77K","0,00%"
"01/12/2020","3,450","3,450","3,450","3,450","0,40K","2,99%"
"18/11/2020","3,350","3,350","3,350","3,350","0,00K","1,52%"
