"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","3,69","3,60","3,69","3,60","0,48K","1,93%"
"28/03/2023","3,62","3,59","3,62","3,59","1,82K","-0,55%"
"27/03/2023","3,64","3,64","3,64","3,64","0,20K","-0,27%"
"24/03/2023","3,65","3,65","3,65","3,65","0,07K","-1,08%"
"23/03/2023","3,69","3,69","3,70","3,69","0,50K","2,50%"
"22/03/2023","3,60","3,57","3,60","3,57","3,72K","-2,70%"
"21/03/2023","3,70","3,74","3,75","3,70","0,80K","-0,54%"
"17/03/2023","3,72","3,76","3,76","3,67","0,39K","-1,06%"
"16/03/2023","3,76","3,76","3,76","3,70","0,80K","0,27%"
"15/03/2023","3,75","3,80","3,80","3,70","0,79K","-0,53%"
"14/03/2023","3,77","3,73","3,79","3,70","7,32K","0,80%"
"13/03/2023","3,74","3,67","3,75","3,60","11,07K","4,47%"
"10/03/2023","3,58","3,67","3,67","3,55","4,57K","-2,45%"
"09/03/2023","3,67","3,67","3,67","3,67","0,10K","1,94%"
"08/03/2023","3,60","3,62","3,62","3,59","1,66K","-1,64%"
"07/03/2023","3,66","3,66","3,66","3,66","0,04K","-0,54%"
"06/03/2023","3,68","3,82","3,82","3,68","0,13K","-2,13%"
"02/03/2023","3,76","3,75","3,76","3,75","1,00K","0,00%"
"01/03/2023","3,76","3,76","3,76","3,76","1,21K","-1,83%"
"28/02/2023","3,83","3,80","3,85","3,75","2,49K","1,06%"
"27/02/2023","3,79","3,80","3,80","3,75","9,96K","-1,56%"
"24/02/2023","3,85","3,85","3,85","3,75","2,89K","0,00%"
"23/02/2023","3,85","3,69","3,85","3,68","28,75K","5,19%"
"22/02/2023","3,66","3,69","3,69","3,60","9,16K","-0,81%"
"21/02/2023","3,69","3,52","3,69","3,46","20,18K","4,53%"
"20/02/2023","3,53","3,54","3,54","3,53","0,38K","-0,56%"
"17/02/2023","3,55","3,51","3,55","3,50","8,62K","0,00%"
"16/02/2023","3,55","3,55","3,56","3,55","2,10K","-0,56%"
"15/02/2023","3,57","3,43","3,57","3,43","0,61K","0,28%"
"14/02/2023","3,56","3,50","3,57","3,50","3,29K","-0,28%"
"13/02/2023","3,57","3,47","3,57","3,47","0,39K","0,00%"
"10/02/2023","3,57","3,50","3,57","3,47","10,50K","2,00%"
"09/02/2023","3,50","3,58","3,58","3,50","2,72K","-2,23%"
"08/02/2023","3,58","3,58","3,58","3,57","2,15K","-1,10%"
"07/02/2023","3,62","3,63","3,63","3,56","1,86K","-1,09%"
"06/02/2023","3,66","3,61","3,66","3,51","15,80K","-0,54%"
"02/02/2023","3,68","3,61","3,68","3,50","7,18K","0,00%"
"01/02/2023","3,68","3,69","3,69","3,65","13,02K","-0,27%"
"31/01/2023","3,69","3,66","3,69","3,66","3,94K","0,00%"
"30/01/2023","3,69","3,66","3,69","3,66","4,97K","0,00%"
"27/01/2023","3,69","3,70","3,70","3,65","7,70K","0,27%"
"26/01/2023","3,68","3,59","3,70","3,50","39,28K","2,22%"
"25/01/2023","3,60","3,60","3,60","3,52","34,42K","1,69%"
"24/01/2023","3,54","3,54","3,60","3,53","16,67K","-3,28%"
"23/01/2023","3,66","3,54","3,66","3,54","2,17K","-0,54%"
"20/01/2023","3,68","3,60","3,68","3,58","35,24K","0,00%"
"19/01/2023","3,68","3,61","3,69","3,60","7,93K","-0,27%"
"18/01/2023","3,69","3,70","3,70","3,60","3,28K","0,00%"
"17/01/2023","3,69","3,65","3,69","3,60","13,54K","1,10%"
"16/01/2023","3,65","3,78","3,78","3,59","6,45K","-2,14%"
"13/01/2023","3,73","3,80","3,81","3,60","2,08K","-0,53%"
"12/01/2023","3,75","3,68","3,75","3,54","11,44K","3,31%"
"11/01/2023","3,63","3,80","3,80","3,56","21,43K","0,00%"
"10/01/2023","3,63","3,70","3,70","3,63","28,40K","-1,63%"
"09/01/2023","3,69","3,60","3,69","3,55","6,58K","3,94%"
"06/01/2023","3,55","3,47","3,55","3,42","15,50K","2,01%"
"05/01/2023","3,48","3,48","3,50","3,44","14,36K","-1,97%"
"04/01/2023","3,55","3,44","3,58","3,44","13,89K","-0,84%"
