"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","13,50","13,50","13,50","13,50","0,01K","0,00%"
"28/03/2023","13,50","13,60","13,60","13,50","0,01K","-1,17%"
"27/03/2023","13,66","13,38","13,66","13,38","0,12K","2,25%"
"24/03/2023","13,36","13,30","13,38","13,30","0,04K","0,45%"
"23/03/2023","13,30","13,40","13,40","13,30","0,00K","0,76%"
"22/03/2023","13,20","13,40","13,40","13,20","0,27K","-1,49%"
"21/03/2023","13,40","12,95","13,40","12,94","1,52K","3,47%"
"17/03/2023","12,95","12,90","12,95","12,90","5,13K","0,39%"
"16/03/2023","12,90","12,94","12,94","12,90","0,05K","0,00%"
"15/03/2023","12,90","12,90","12,90","12,90","0,62K","1,49%"
"14/03/2023","12,71","12,90","12,90","12,71","0,04K","-1,47%"
"13/03/2023","12,90","12,90","12,90","12,90","0,00K","0,39%"
"10/03/2023","12,85","12,90","12,90","12,75","0,30K","-0,39%"
"09/03/2023","12,90","12,95","12,95","12,90","0,01K","0,78%"
"08/03/2023","12,80","12,79","12,95","12,79","0,48K","0,79%"
"07/03/2023","12,70","12,79","12,79","12,70","1,46K","-0,39%"
"06/03/2023","12,75","12,70","12,79","12,70","0,10K","0,39%"
"03/03/2023","12,70","12,70","12,70","12,70","0,80K","0,08%"
"02/03/2023","12,69","12,70","12,70","12,60","0,15K","-0,08%"
"28/02/2023","12,70","12,75","12,75","12,70","0,68K","0,00%"
"27/02/2023","12,70","12,70","12,70","12,61","0,51K","0,00%"
"24/02/2023","12,70","12,60","12,70","12,60","0,17K","-0,39%"
"23/02/2023","12,75","12,65","12,75","12,65","1,07K","1,19%"
"22/02/2023","12,60","12,70","12,70","12,60","0,71K","-0,79%"
"21/02/2023","12,70","12,70","12,70","12,61","2,56K","0,00%"
"20/02/2023","12,70","12,70","12,70","12,70","2,22K","-0,70%"
"17/02/2023","12,79","12,78","12,79","12,78","0,55K","1,51%"
"16/02/2023","12,60","12,65","12,65","12,60","0,17K","-1,41%"
"15/02/2023","12,78","12,78","12,78","12,78","0,01K","1,43%"
"14/02/2023","12,60","12,60","12,60","12,60","4,84K","-1,49%"
"13/02/2023","12,79","12,65","12,79","12,65","3,54K","0,00%"
"10/02/2023","12,79","12,79","12,79","12,79","1,15K","0,00%"
"09/02/2023","12,79","12,79","12,79","12,79","0,10K","-0,70%"
"08/02/2023","12,88","12,89","12,89","12,87","0,89K","1,82%"
"07/02/2023","12,65","12,70","12,70","12,65","1,39K","-1,33%"
"06/02/2023","12,82","12,90","12,90","12,66","0,01K","0,00%"
"03/02/2023","12,82","12,82","12,82","12,82","0,00K","-0,08%"
"02/02/2023","12,83","12,72","12,84","12,65","0,35K","-0,08%"
"31/01/2023","12,84","12,78","12,85","12,78","1,36K","0,47%"
"30/01/2023","12,78","12,90","12,90","12,54","0,59K","0,00%"
"27/01/2023","12,78","12,95","12,95","12,70","2,06K","-1,31%"
"26/01/2023","12,95","12,75","12,95","12,75","0,16K","0,00%"
"25/01/2023","12,95","12,80","12,95","12,70","1,31K","-1,07%"
"24/01/2023","13,09","13,00","13,09","13,00","0,13K","-0,08%"
"23/01/2023","13,10","12,98","13,10","12,79","0,54K","1,55%"
"20/01/2023","12,90","12,70","12,90","12,70","3,99K","1,57%"
"19/01/2023","12,70","12,39","12,70","12,39","1,82K","2,50%"
"18/01/2023","12,39","12,39","12,39","12,39","0,00K","0,73%"
"17/01/2023","12,30","12,39","12,39","12,30","0,60K","-0,73%"
"16/01/2023","12,39","12,30","12,40","12,30","0,88K","0,00%"
"13/01/2023","12,39","12,39","12,39","12,39","0,17K","0,00%"
"12/01/2023","12,39","12,39","12,39","12,38","1,61K","0,00%"
"11/01/2023","12,39","12,40","12,40","12,30","0,37K","-0,08%"
"10/01/2023","12,40","12,20","12,40","12,15","0,78K","0,81%"
"09/01/2023","12,30","12,15","12,30","12,15","3,92K","0,82%"
"06/01/2023","12,20","12,40","12,40","12,15","1,92K","0,41%"
"05/01/2023","12,15","12,20","12,20","12,15","1,70K","0,00%"
"04/01/2023","12,15","12,22","12,22","12,15","5,48K","-2,02%"
"03/01/2023","12,40","12,40","12,40","12,22","0,66K","-0,16%"
"02/01/2023","12,42","12,42","12,42","12,42","0,02K","0,08%"
"30/12/2022","12,41","12,40","12,41","12,40","0,09K","0,00%"
"29/12/2022","12,41","12,41","12,41","12,20","0,06K","-0,08%"
"28/12/2022","12,42","12,42","12,42","12,42","0,00K","0,00%"
"27/12/2022","12,42","12,20","12,42","12,11","1,52K","2,22%"
"26/12/2022","12,15","12,20","12,20","12,15","0,65K","-0,16%"
"23/12/2022","12,17","12,20","12,20","12,17","1,11K","-0,25%"
"22/12/2022","12,20","12,42","12,42","12,20","0,03K","0,00%"
"21/12/2022","12,20","12,12","12,20","12,12","1,71K","-0,81%"
"20/12/2022","12,30","12,30","12,30","12,30","20,04K","-0,97%"
"19/12/2022","12,42","12,42","12,42","12,42","0,01K","-0,16%"
"15/12/2022","12,44","12,43","12,44","12,43","0,07K","0,00%"
"14/12/2022","12,44","12,42","12,44","12,22","2,57K","0,16%"
"13/12/2022","12,42","12,12","12,42","12,12","1,71K","2,56%"
"12/12/2022","12,11","12,11","12,11","12,11","1,70K","0,08%"
"09/12/2022","12,10","12,10","12,10","12,10","0,03K","-0,82%"
"08/12/2022","12,20","12,15","12,20","12,05","1,24K","0,41%"
"07/12/2022","12,15","12,09","12,15","12,09","0,57K","0,50%"
"06/12/2022","12,09","12,10","12,10","12,06","10,85K","-0,58%"
"05/12/2022","12,16","12,20","12,20","12,11","0,59K","-0,33%"
"02/12/2022","12,20","12,20","12,20","12,20","0,25K","0,00%"
"01/12/2022","12,20","12,20","12,21","12,20","1,21K","0,00%"
"30/11/2022","12,20","12,43","12,43","12,20","3,96K","0,00%"
"29/11/2022","12,20","12,20","12,44","12,20","3,02K","-1,93%"
"28/11/2022","12,44","12,20","12,44","12,20","3,00K","1,55%"
"25/11/2022","12,25","12,25","12,30","12,25","1,11K","0,41%"
"24/11/2022","12,20","12,20","12,20","12,20","0,06K","0,00%"
"23/11/2022","12,20","12,20","12,20","12,10","2,04K","-1,61%"
"22/11/2022","12,40","12,20","12,40","12,20","0,67K","0,00%"
"18/11/2022","12,40","12,20","12,40","12,18","0,10K","1,47%"
"17/11/2022","12,22","12,45","12,45","12,20","2,10K","0,00%"
"16/11/2022","12,22","12,26","12,26","12,22","0,76K","-2,24%"
"15/11/2022","12,50","12,26","12,50","12,26","2,00K","0,00%"
"14/11/2022","12,50","12,89","12,90","12,22","5,47K","-1,19%"
"11/11/2022","12,65","12,31","12,90","12,31","10,28K","1,12%"
"10/11/2022","12,51","12,99","12,99","12,22","20,91K","-3,62%"
"09/11/2022","12,98","12,99","12,99","12,55","5,01K","0,00%"
"08/11/2022","12,98","12,60","12,98","12,60","0,10K","3,02%"
"07/11/2022","12,60","12,55","12,80","12,55","0,72K","-0,79%"
"04/11/2022","12,70","12,55","12,80","12,55","0,04K","0,00%"
"03/11/2022","12,70","12,70","12,70","12,70","0,07K","1,52%"
"02/11/2022","12,51","12,74","12,74","12,51","0,35K","-3,70%"
"01/11/2022","12,99","12,99","12,99","12,99","0,00K","-0,08%"
"28/10/2022","13,00","13,00","13,00","13,00","0,02K","0,00%"
"27/10/2022","13,00","12,99","13,00","12,99","0,22K","0,00%"
"25/10/2022","13,00","13,00","13,00","13,00","0,01K","0,00%"
"24/10/2022","13,00","13,00","13,00","13,00","0,01K","0,78%"
"21/10/2022","12,90","12,90","12,90","12,90","0,01K","0,39%"
"20/10/2022","12,85","12,85","12,85","12,85","0,01K","0,39%"
"19/10/2022","12,80","13,00","13,00","12,80","0,28K","0,00%"
"18/10/2022","12,80","12,81","12,82","12,55","2,54K","-0,78%"
"17/10/2022","12,90","12,90","12,90","12,90","0,09K","0,00%"
"14/10/2022","12,90","12,90","13,05","12,80","0,21K","-1,83%"
"13/10/2022","13,14","13,14","13,14","12,90","0,50K","-0,08%"
"12/10/2022","13,15","13,15","13,15","12,95","0,25K","1,54%"
"11/10/2022","12,95","12,95","12,95","12,95","0,05K","-1,52%"
"10/10/2022","13,15","12,95","13,15","12,95","0,10K","0,08%"
"07/10/2022","13,14","12,95","13,17","12,95","0,16K","-0,30%"
"06/10/2022","13,18","13,11","13,19","13,00","0,54K","0,23%"
"05/10/2022","13,15","13,15","13,19","13,15","1,52K","0,00%"
"04/10/2022","13,15","13,10","13,15","13,10","0,83K","0,00%"
"30/09/2022","13,15","13,20","13,20","13,10","0,41K","-0,38%"
"29/09/2022","13,20","13,09","13,20","13,09","0,35K","0,00%"
"28/09/2022","13,20","13,20","13,20","13,15","0,55K","0,00%"
"27/09/2022","13,20","13,04","13,20","13,00","1,39K","0,15%"
"26/09/2022","13,18","13,18","13,18","13,18","0,01K","0,23%"
"23/09/2022","13,15","13,20","13,20","13,04","1,58K","-0,38%"
