"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/09/2022","9,59","9,40","9,60","9,40","8,58K","2,02%"
"26/09/2022","9,40","9,49","9,49","9,38","24,75K","-0,84%"
"23/09/2022","9,48","9,37","9,50","9,37","22,48K","1,07%"
"22/09/2022","9,38","9,31","9,38","9,30","26,12K","0,00%"
"21/09/2022","9,38","9,37","9,38","9,28","3,78K","0,86%"
"20/09/2022","9,30","9,36","9,37","9,30","15,83K","0,00%"
"19/09/2022","9,30","9,33","9,37","9,30","15,42K","-0,85%"
"16/09/2022","9,38","9,33","9,39","9,32","10,20K","0,54%"
"15/09/2022","9,33","9,50","9,50","9,27","9,68K","-0,74%"
"14/09/2022","9,40","9,38","9,50","9,38","11,35K","0,21%"
"13/09/2022","9,38","9,49","9,49","9,37","10,49K","0,11%"
"12/09/2022","9,37","9,35","9,50","9,31","40,27K","0,75%"
"09/09/2022","9,30","9,35","9,40","9,20","9,05K","-0,53%"
"08/09/2022","9,35","9,20","9,35","9,15","29,22K","1,63%"
"07/09/2022","9,20","9,20","9,20","9,10","33,74K","0,11%"
"06/09/2022","9,19","9,32","9,34","9,05","20,11K","-1,08%"
"05/09/2022","9,29","9,01","9,50","9,01","72,52K","3,45%"
"02/09/2022","8,98","9,15","9,25","8,88","20,69K","-2,39%"
"01/09/2022","9,20","9,27","9,28","9,15","8,74K","0,00%"
"31/08/2022","9,20","9,00","9,20","9,00","32,65K","1,66%"
"30/08/2022","9,05","8,81","9,10","8,81","54,57K","2,72%"
"29/08/2022","8,81","8,82","8,84","8,65","16,50K","-0,11%"
"26/08/2022","8,82","8,48","8,95","8,48","25,35K","4,38%"
"25/08/2022","8,45","8,26","8,45","8,26","22,03K","1,20%"
"24/08/2022","8,35","8,27","8,35","8,27","23,47K","1,21%"
"23/08/2022","8,25","8,19","8,27","8,19","8,79K","0,00%"
"22/08/2022","8,25","8,28","8,28","8,24","3,39K","-0,36%"
"19/08/2022","8,28","8,28","8,28","8,20","6,98K","0,98%"
"18/08/2022","8,20","8,30","8,30","8,20","21,02K","-0,97%"
"17/08/2022","8,28","8,27","8,29","8,20","9,26K","0,00%"
"16/08/2022","8,28","8,29","8,36","8,28","26,01K","-0,24%"
"15/08/2022","8,30","8,30","8,35","8,30","14,58K","-0,60%"
"12/08/2022","8,35","8,35","8,37","8,27","2,37K","-0,24%"
"11/08/2022","8,37","8,32","8,37","8,28","1,65K","0,60%"
"10/08/2022","8,32","8,32","8,39","8,28","0,53K","0,24%"
"09/08/2022","8,30","8,32","8,39","8,30","7,66K","-0,24%"
"08/08/2022","8,32","8,31","8,38","8,30","3,61K","-1,42%"
"05/08/2022","8,44","8,30","8,45","8,26","8,18K","0,84%"
"04/08/2022","8,37","8,38","8,38","8,25","6,93K","0,84%"
"03/08/2022","8,30","8,40","8,40","8,30","6,53K","0,48%"
"02/08/2022","8,26","8,45","8,45","8,16","11,97K","-2,71%"
"01/08/2022","8,49","8,49","8,50","8,49","0,90K","0,12%"
"29/07/2022","8,48","8,30","8,50","8,30","2,05K","3,41%"
"28/07/2022","8,20","8,19","8,20","8,00","5,72K","4,20%"
"27/07/2022","7,87","8,04","8,04","7,87","10,98K","-1,69%"
"26/07/2022","8,00","8,11","8,12","8,00","8,78K","-0,42%"
"22/07/2022","8,04","8,12","8,12","7,86","2,24K","-1,96%"
"21/07/2022","8,20","8,26","8,38","8,20","44,38K","-1,02%"
"20/07/2022","8,28","8,21","8,29","8,20","7,62K","1,03%"
"19/07/2022","8,20","8,21","8,28","8,04","28,56K","0,94%"
"18/07/2022","8,12","8,05","8,28","8,05","11,93K","1,05%"
"15/07/2022","8,04","7,99","8,05","7,99","15,37K","0,64%"
"14/07/2022","7,99","7,90","8,01","7,87","30,08K","2,05%"
"13/07/2022","7,83","7,84","7,94","7,79","23,03K","0,00%"
"12/07/2022","7,83","7,95","7,95","7,83","16,17K","-1,39%"
"11/07/2022","7,94","7,95","7,96","7,93","15,01K","-0,32%"
"08/07/2022","7,96","7,93","7,97","7,91","13,77K","0,43%"
"07/07/2022","7,93","7,94","7,94","7,91","9,12K","-0,11%"
"06/07/2022","7,94","7,87","7,95","7,87","9,21K","0,97%"
"05/07/2022","7,86","7,84","7,87","7,74","19,66K","0,87%"
"04/07/2022","7,79","7,69","7,85","7,69","10,71K","1,21%"
"01/07/2022","7,70","7,62","7,74","7,62","16,36K","1,11%"
"30/06/2022","7,62","7,53","7,68","7,53","35,40K","0,00%"
"29/06/2022","7,62","7,65","7,66","7,54","10,71K","0,11%"
"28/06/2022","7,61","7,70","7,70","7,49","18,16K","-0,11%"
"27/06/2022","7,62","7,45","7,62","7,45","31,98K","2,27%"
"24/06/2022","7,45","7,04","7,45","7,04","29,46K","5,77%"
"23/06/2022","7,04","6,90","7,04","6,90","17,87K","1,96%"
"22/06/2022","6,90","6,86","6,90","6,85","14,51K","0,62%"
"21/06/2022","6,86","6,85","6,91","6,85","13,47K","-0,49%"
"20/06/2022","6,90","6,85","6,90","6,85","13,08K","0,49%"
"17/06/2022","6,86","6,86","6,87","6,84","8,88K","0,00%"
"16/06/2022","6,86","6,87","6,87","6,85","22,56K","0,12%"
"15/06/2022","6,85","6,85","6,90","6,85","14,27K","-0,25%"
"14/06/2022","6,87","6,92","6,92","6,82","3,90K","0,25%"
"13/06/2022","6,85","6,90","6,94","6,85","13,67K","-0,25%"
"10/06/2022","6,87","6,88","6,90","6,86","5,03K","0,00%"
"09/06/2022","6,87","6,88","6,88","6,85","3,34K","0,25%"
"08/06/2022","6,85","6,91","6,91","6,85","4,01K","-0,86%"
"07/06/2022","6,91","6,93","6,93","6,86","9,31K","-0,12%"
"06/06/2022","6,92","6,93","6,93","6,86","8,62K","-0,12%"
"03/06/2022","6,93","6,95","6,95","6,90","10,18K","-0,97%"
"02/06/2022","7,00","7,04","7,10","6,95","23,08K","-0,12%"
"01/06/2022","7,01","6,91","7,04","6,91","19,41K","1,47%"
"31/05/2022","6,90","6,90","6,91","6,90","12,39K","-0,12%"
"30/05/2022","6,91","6,85","6,94","6,85","95,14K","0,86%"
"27/05/2022","6,85","6,78","6,85","6,77","18,99K","1,25%"
"26/05/2022","6,77","6,62","6,80","6,62","27,82K","4,30%"
"25/05/2022","6,49","6,50","6,50","6,49","9,03K","-0,13%"
"24/05/2022","6,50","6,48","6,50","6,46","1,48K","0,39%"
"23/05/2022","6,47","6,42","6,50","6,42","3,49K","0,00%"
"20/05/2022","6,47","6,47","6,47","6,43","0,54K","0,00%"
"19/05/2022","6,47","6,51","6,51","6,47","3,42K","-0,26%"
"18/05/2022","6,49","6,46","6,52","6,41","6,71K","1,99%"
"17/05/2022","6,36","6,41","6,41","6,35","8,94K","0,27%"
"16/05/2022","6,35","6,41","6,41","6,35","12,59K","-1,19%"
"13/05/2022","6,42","6,41","6,44","6,35","9,36K","1,20%"
"12/05/2022","6,35","6,33","6,35","6,33","4,55K","0,27%"
"11/05/2022","6,33","6,43","6,43","6,33","3,72K","-1,32%"
"10/05/2022","6,41","6,36","6,41","6,36","0,68K","0,00%"
"09/05/2022","6,41","6,41","6,44","6,39","2,72K","-0,39%"
"06/05/2022","6,44","6,46","6,46","6,35","5,83K","0,13%"
"05/05/2022","6,43","6,45","6,46","6,40","19,51K","-0,26%"
"04/05/2022","6,45","6,45","6,45","6,45","1,31K","0,00%"
"29/04/2022","6,45","6,38","6,45","6,38","3,38K","0,93%"
"28/04/2022","6,39","6,35","6,48","6,35","7,06K","0,53%"
"27/04/2022","6,35","6,35","6,54","6,35","8,76K","0,81%"
