"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","0,41","0,41","0,41","0,41","12,13K","2,50%"
"24/03/2023","0,40","0,40","0,40","0,40","6,00K","2,56%"
"22/03/2023","0,39","0,39","0,39","0,39","0,89K","0,00%"
"21/03/2023","0,39","0,39","0,39","0,39","32,00K","-2,50%"
"17/03/2023","0,40","0,40","0,40","0,40","4,99K","0,00%"
"16/03/2023","0,40","0,40","0,40","0,40","34,50K","-2,44%"
"15/03/2023","0,41","0,41","0,41","0,41","52,21K","0,00%"
"14/03/2023","0,41","0,41","0,41","0,41","30,48K","-2,38%"
"13/03/2023","0,42","0,42","0,42","0,42","3,88K","0,00%"
"10/03/2023","0,42","0,42","0,42","0,42","2,00K","0,00%"
"09/03/2023","0,42","0,42","0,42","0,42","9,08K","0,00%"
"08/03/2023","0,42","0,42","0,42","0,42","5,87K","0,00%"
"07/03/2023","0,42","0,42","0,42","0,42","8,93K","0,00%"
"06/03/2023","0,42","0,42","0,42","0,42","25,00K","-2,33%"
"03/03/2023","0,43","0,43","0,43","0,43","24,01K","-2,27%"
"02/03/2023","0,44","0,44","0,44","0,44","7,85K","0,00%"
"01/03/2023","0,44","0,44","0,44","0,44","24,58K","0,00%"
"28/02/2023","0,44","0,44","0,44","0,44","0,68K","0,00%"
"27/02/2023","0,44","0,44","0,44","0,44","0,04K","2,33%"
"24/02/2023","0,43","0,43","0,43","0,43","18,80K","-2,27%"
"22/02/2023","0,44","0,44","0,44","0,44","4,81K","0,00%"
"21/02/2023","0,44","0,44","0,44","0,44","0,24K","2,33%"
"16/02/2023","0,43","0,43","0,43","0,43","7,03K","-4,44%"
"15/02/2023","0,45","0,45","0,45","0,45","14,54K","0,00%"
"14/02/2023","0,45","0,45","0,45","0,45","0,10K","0,00%"
"13/02/2023","0,45","0,45","0,45","0,45","5,09K","0,00%"
"10/02/2023","0,45","0,45","0,45","0,45","23,54K","0,00%"
"09/02/2023","0,45","0,45","0,45","0,45","8,01K","0,00%"
"08/02/2023","0,45","0,45","0,45","0,45","10,07K","0,00%"
"07/02/2023","0,45","0,45","0,45","0,45","0,10K","2,27%"
"06/02/2023","0,44","0,44","0,44","0,44","2,20K","0,00%"
"03/02/2023","0,44","0,44","0,44","0,44","5,97K","2,33%"
"02/02/2023","0,43","0,43","0,43","0,43","3,50K","-2,27%"
"01/02/2023","0,44","0,44","0,44","0,44","27,74K","0,00%"
"31/01/2023","0,44","0,44","0,44","0,44","5,12K","0,00%"
"30/01/2023","0,44","0,44","0,44","0,44","6,46K","2,33%"
"27/01/2023","0,43","0,43","0,43","0,43","70,40K","0,00%"
"26/01/2023","0,43","0,43","0,43","0,43","7,02K","0,00%"
"25/01/2023","0,43","0,43","0,43","0,43","10,00K","2,38%"
"24/01/2023","0,42","0,42","0,42","0,42","19,93K","-2,33%"
"23/01/2023","0,43","0,43","0,43","0,43","1,00K","2,38%"
"20/01/2023","0,42","0,42","0,42","0,42","34,86K","-2,33%"
"19/01/2023","0,43","0,43","0,43","0,43","22,89K","2,38%"
"18/01/2023","0,42","0,42","0,42","0,42","42,41K","-2,33%"
"17/01/2023","0,43","0,43","0,43","0,43","14,36K","-2,27%"
"16/01/2023","0,44","0,44","0,44","0,44","67,11K","0,00%"
"13/01/2023","0,44","0,44","0,44","0,44","35,10K","-4,35%"
"12/01/2023","0,46","0,46","0,46","0,46","19,57K","0,00%"
"11/01/2023","0,46","0,46","0,46","0,46","49,60K","-2,13%"
"10/01/2023","0,47","0,47","0,47","0,47","27,06K","-2,08%"
"09/01/2023","0,48","0,48","0,48","0,48","20,04K","0,00%"
"06/01/2023","0,48","0,48","0,48","0,48","3,01K","4,35%"
"05/01/2023","0,46","0,46","0,46","0,46","10,22K","-2,13%"
"04/01/2023","0,47","0,47","0,47","0,47","3,55K","2,17%"
"03/01/2023","0,46","0,46","0,46","0,46","5,66K","0,00%"
"02/01/2023","0,46","0,46","0,46","0,46","10,80K","-4,17%"
"30/12/2022","0,48","0,48","0,48","0,48","3,57K","2,13%"
"29/12/2022","0,47","0,47","0,47","0,47","0,19K","0,00%"
"28/12/2022","0,47","0,47","0,47","0,47","3,25K","0,00%"
"27/12/2022","0,47","0,47","0,47","0,47","2,01K","-4,08%"
"26/12/2022","0,49","0,49","0,49","0,49","0,76K","0,00%"
