"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","0,59","0,59","0,59","0,58","15,45K","-3,28%"
"27/03/2023","0,61","0,60","0,61","0,59","12,45K","-1,61%"
"24/03/2023","0,62","0,62","0,62","0,62","0,01K","0,00%"
"23/03/2023","0,62","0,60","0,62","0,59","207,04K","0,00%"
"22/03/2023","0,62","0,61","0,62","0,61","9,38K","0,00%"
"21/03/2023","0,62","0,62","0,63","0,62","4,70K","-1,59%"
"17/03/2023","0,63","0,63","0,63","0,61","32,62K","-1,56%"
"16/03/2023","0,64","0,62","0,64","0,62","5,20K","-1,54%"
"15/03/2023","0,65","0,63","0,65","0,63","12,03K","0,00%"
"14/03/2023","0,65","0,66","0,66","0,63","9,74K","-1,52%"
"13/03/2023","0,66","0,66","0,66","0,66","0,65K","0,00%"
"10/03/2023","0,66","0,64","0,67","0,64","12,05K","0,00%"
"09/03/2023","0,66","0,65","0,66","0,65","67,99K","0,00%"
"08/03/2023","0,66","0,66","0,66","0,63","25,58K","3,13%"
"07/03/2023","0,64","0,66","0,66","0,64","1,48K","-1,54%"
"06/03/2023","0,65","0,66","0,66","0,63","25,87K","-1,52%"
"03/03/2023","0,66","0,66","0,66","0,65","9,36K","1,54%"
"02/03/2023","0,65","0,65","0,66","0,64","76,62K","-1,52%"
"01/03/2023","0,66","0,66","0,66","0,65","25,46K","1,54%"
"28/02/2023","0,65","0,63","0,65","0,63","102,46K","4,84%"
"27/02/2023","0,62","0,59","0,63","0,59","8,33K","1,64%"
"24/02/2023","0,61","0,60","0,62","0,59","18,20K","1,67%"
"23/02/2023","0,60","0,60","0,60","0,60","1,13K","-3,23%"
"22/02/2023","0,62","0,57","0,62","0,57","27,59K","5,08%"
"21/02/2023","0,59","0,58","0,59","0,58","3,66K","0,00%"
"20/02/2023","0,59","0,59","0,59","0,58","36,72K","-1,67%"
"17/02/2023","0,60","0,61","0,61","0,58","11,83K","1,69%"
"16/02/2023","0,59","0,59","0,61","0,58","68,95K","0,00%"
"15/02/2023","0,59","0,61","0,61","0,59","128,68K","-4,84%"
"14/02/2023","0,62","0,61","0,62","0,61","5,98K","0,00%"
"13/02/2023","0,62","0,61","0,62","0,61","27,85K","-1,59%"
"10/02/2023","0,63","0,65","0,65","0,62","6,86K","-1,56%"
"09/02/2023","0,64","0,64","0,64","0,62","10,19K","0,00%"
"08/02/2023","0,64","0,64","0,66","0,63","58,58K","0,00%"
"07/02/2023","0,64","0,63","0,64","0,61","59,98K","4,92%"
"06/02/2023","0,61","0,63","0,63","0,61","60,28K","-4,69%"
"03/02/2023","0,64","0,66","0,66","0,62","95,42K","-1,54%"
"02/02/2023","0,65","0,68","0,68","0,64","25,22K","-2,99%"
"01/02/2023","0,67","0,68","0,70","0,67","6,00K","-2,90%"
"31/01/2023","0,69","0,70","0,70","0,66","11,61K","-1,43%"
"30/01/2023","0,70","0,71","0,71","0,69","19,28K","-2,78%"
"27/01/2023","0,72","0,70","0,72","0,69","251,87K","4,35%"
"26/01/2023","0,69","0,67","0,70","0,66","150,54K","2,99%"
"25/01/2023","0,67","0,66","0,67","0,65","2,59K","1,52%"
"24/01/2023","0,66","0,66","0,66","0,64","11,18K","0,00%"
"23/01/2023","0,66","0,66","0,66","0,66","0,49K","0,00%"
"20/01/2023","0,66","0,66","0,66","0,64","1,09K","-1,49%"
"19/01/2023","0,67","0,67","0,67","0,67","0,41K","1,52%"
"18/01/2023","0,66","0,67","0,68","0,66","10,62K","-1,49%"
"17/01/2023","0,67","0,66","0,67","0,66","5,85K","1,52%"
"16/01/2023","0,66","0,67","0,68","0,65","19,76K","-1,49%"
"13/01/2023","0,67","0,66","0,68","0,64","120,14K","1,52%"
"12/01/2023","0,66","0,68","0,68","0,63","129,95K","0,00%"
"11/01/2023","0,66","0,64","0,66","0,64","34,15K","6,45%"
"10/01/2023","0,62","0,61","0,63","0,60","35,21K","3,33%"
"09/01/2023","0,60","0,62","0,62","0,60","7,24K","0,00%"
"06/01/2023","0,60","0,60","0,60","0,59","7,02K","0,00%"
"05/01/2023","0,60","0,62","0,62","0,60","2,65K","0,00%"
"04/01/2023","0,60","0,62","0,62","0,60","4,25K","-3,23%"
"03/01/2023","0,62","0,62","0,63","0,61","9,03K","0,00%"
"02/01/2023","0,62","0,61","0,63","0,60","18,56K","3,33%"
"30/12/2022","0,60","0,60","0,60","0,60","146,22K","3,45%"
"28/12/2022","0,58","0,58","0,58","0,58","44,28K","11,54%"
"23/12/2022","0,52","0,52","0,52","0,52","2,15K","0,00%"
"22/12/2022","0,52","0,52","0,52","0,52","0,96K","0,00%"
"21/12/2022","0,52","0,52","0,52","0,52","8,06K","-1,89%"
"20/12/2022","0,53","0,53","0,53","0,53","1,74K","-1,85%"
"15/12/2022","0,54","0,54","0,54","0,54","5,00K","0,00%"
"12/12/2022","0,54","0,54","0,54","0,54","2,50K","1,89%"
"09/12/2022","0,53","0,53","0,53","0,53","6,00K","-3,64%"
"07/12/2022","0,55","0,55","0,55","0,55","0,66K","-1,79%"
"02/12/2022","0,56","0,56","0,56","0,56","0,06K","1,82%"
"01/12/2022","0,55","0,55","0,55","0,55","0,50K","-1,79%"
"29/11/2022","0,56","0,56","0,56","0,56","5,66K","3,70%"
"28/11/2022","0,54","0,54","0,54","0,54","58,16K","-1,82%"
"24/11/2022","0,55","0,55","0,55","0,55","0,50K","0,00%"
"23/11/2022","0,55","0,55","0,55","0,55","0,01K","1,85%"
"22/11/2022","0,54","0,54","0,54","0,54","44,41K","-1,82%"
"21/11/2022","0,55","0,55","0,55","0,55","10,41K","-1,79%"
"16/11/2022","0,56","0,56","0,56","0,56","0,52K","0,00%"
"15/11/2022","0,56","0,56","0,56","0,56","0,45K","0,00%"
"14/11/2022","0,56","0,56","0,56","0,56","9,22K","-1,75%"
"11/11/2022","0,57","0,57","0,57","0,57","15,60K","3,64%"
"10/11/2022","0,55","0,55","0,55","0,55","29,28K","-3,51%"
"09/11/2022","0,57","0,57","0,57","0,57","18,20K","0,00%"
"08/11/2022","0,57","0,57","0,57","0,57","10,00K","3,64%"
"07/11/2022","0,55","0,55","0,55","0,55","12,29K","0,00%"
"04/11/2022","0,55","0,55","0,55","0,55","4,10K","-1,79%"
"03/11/2022","0,56","0,56","0,56","0,56","1,33K","0,00%"
"02/11/2022","0,56","0,56","0,56","0,56","7,00K","0,00%"
"01/11/2022","0,56","0,56","0,56","0,56","0,01K","-1,75%"
"28/10/2022","0,57","0,57","0,57","0,57","0,41K","1,79%"
"27/10/2022","0,56","0,56","0,56","0,56","1,75K","3,70%"
"26/10/2022","0,54","0,54","0,54","0,54","182,70K","-3,57%"
"25/10/2022","0,56","0,56","0,56","0,56","61,22K","-3,45%"
"24/10/2022","0,58","0,58","0,58","0,58","4,45K","-3,33%"
"21/10/2022","0,60","0,60","0,60","0,60","10,20K","0,00%"
"20/10/2022","0,60","0,60","0,60","0,60","6,66K","3,45%"
"19/10/2022","0,58","0,58","0,58","0,58","31,12K","0,00%"
"18/10/2022","0,58","0,58","0,58","0,58","2,90K","-1,69%"
"17/10/2022","0,59","0,59","0,59","0,59","3,00K","1,72%"
"14/10/2022","0,58","0,58","0,58","0,58","73,30K","1,75%"
"13/10/2022","0,57","0,57","0,57","0,57","27,71K","3,64%"
"12/10/2022","0,55","0,55","0,55","0,55","44,69K","0,00%"
"11/10/2022","0,55","0,55","0,55","0,55","1,00K","0,00%"
"10/10/2022","0,55","0,55","0,55","0,55","20,94K","-3,51%"
"07/10/2022","0,57","0,57","0,57","0,57","2,50K","-3,39%"
"06/10/2022","0,59","0,59","0,59","0,59","2,54K","3,51%"
"05/10/2022","0,57","0,57","0,57","0,57","23,16K","3,64%"
"04/10/2022","0,55","0,55","0,55","0,55","17,70K","-6,78%"
"29/09/2022","0,59","0,59","0,59","0,59","0,31K","0,00%"
"28/09/2022","0,59","0,59","0,59","0,59","32,20K","3,51%"
"27/09/2022","0,57","0,57","0,57","0,57","36,41K","-3,39%"
"26/09/2022","0,59","0,59","0,59","0,59","14,00K","1,72%"
"23/09/2022","0,58","0,58","0,58","0,58","14,10K","-3,33%"
"22/09/2022","0,60","0,60","0,60","0,60","86,04K","-6,25%"
"20/09/2022","0,64","0,64","0,64","0,64","7,50K","3,23%"
"19/09/2022","0,62","0,62","0,62","0,62","0,22K","3,33%"
"16/09/2022","0,60","0,60","0,60","0,60","28,33K","0,00%"
"15/09/2022","0,60","0,60","0,60","0,60","30,04K","-3,23%"
"14/09/2022","0,62","0,62","0,62","0,62","20,31K","0,00%"
"13/09/2022","0,62","0,62","0,62","0,62","2,50K","3,33%"
"09/09/2022","0,60","0,60","0,60","0,60","138,42K","-1,64%"
"08/09/2022","0,61","0,61","0,61","0,61","16,13K","-1,61%"
"07/09/2022","0,62","0,62","0,62","0,62","10,29K","-3,12%"
"06/09/2022","0,64","0,64","0,64","0,64","10,00K","0,00%"
"05/09/2022","0,64","0,64","0,64","0,64","1,30K","1,59%"
"02/09/2022","0,63","0,63","0,63","0,63","24,44K","1,61%"
"01/09/2022","0,62","0,62","0,62","0,62","36,34K","-1,59%"
"31/08/2022","0,63","0,63","0,63","0,63","12,60K","-3,08%"
"30/08/2022","0,65","0,65","0,65","0,65","10,02K","1,56%"
"29/08/2022","0,64","0,64","0,64","0,64","6,65K","-3,03%"
"25/08/2022","0,66","0,66","0,66","0,66","19,00K","3,13%"
"24/08/2022","0,64","0,64","0,64","0,64","32,47K","-3,03%"
"23/08/2022","0,66","0,66","0,66","0,66","1,45K","-2,94%"
"22/08/2022","0,68","0,68","0,68","0,68","5,88K","-2,86%"
"15/08/2022","0,70","0,70","0,70","0,70","5,19K","1,45%"
"11/08/2022","0,69","0,69","0,69","0,69","0,37K","1,47%"
"10/08/2022","0,68","0,68","0,68","0,68","4,37K","3,03%"
"09/08/2022","0,66","0,66","0,66","0,66","2,50K","-1,49%"
"08/08/2022","0,67","0,67","0,67","0,67","20,26K","-2,90%"
"05/08/2022","0,69","0,69","0,69","0,69","10,44K","-1,43%"
"03/08/2022","0,70","0,70","0,70","0,70","3,79K","0,00%"
"02/08/2022","0,70","0,70","0,70","0,70","8,00K","0,00%"
"01/08/2022","0,70","0,70","0,70","0,70","3,40K","2,94%"
"28/07/2022","0,68","0,68","0,68","0,68","6,06K","0,00%"
"26/07/2022","0,68","0,68","0,68","0,68","1,41K","3,03%"
"22/07/2022","0,66","0,66","0,66","0,66","7,80K","0,00%"
"21/07/2022","0,66","0,66","0,66","0,66","121,53K","0,00%"
"20/07/2022","0,66","0,66","0,66","0,66","51,42K","0,00%"
"19/07/2022","0,66","0,66","0,66","0,66","108,08K","-4,35%"
"18/07/2022","0,69","0,69","0,69","0,69","0,00K","0,00%"
"15/07/2022","0,69","0,69","0,69","0,69","0,41K","0,00%"
"14/07/2022","0,69","0,69","0,69","0,69","2,50K","-1,43%"
"12/07/2022","0,70","0,70","0,70","0,70","2,54K","7,69%"
"08/07/2022","0,65","0,65","0,65","0,65","6,21K","0,00%"
"07/07/2022","0,65","0,65","0,65","0,65","5,68K","-2,99%"
"06/07/2022","0,67","0,67","0,67","0,67","0,06K","6,35%"
"04/07/2022","0,63","0,63","0,63","0,63","6,78K","-3,08%"
"01/07/2022","0,65","0,65","0,65","0,65","80,87K","-2,99%"
"30/06/2022","0,67","0,67","0,67","0,67","33,22K","-4,29%"
"29/06/2022","0,70","0,70","0,70","0,70","0,03K","2,94%"
"28/06/2022","0,68","0,68","0,68","0,68","8,12K","-1,45%"
"27/06/2022","0,69","0,69","0,69","0,69","2,90K","0,00%"
"24/06/2022","0,69","0,69","0,69","0,69","0,00K","2,99%"
"23/06/2022","0,67","0,67","0,67","0,67","6,90K","-1,47%"
"22/06/2022","0,68","0,68","0,68","0,68","0,50K","0,00%"
"21/06/2022","0,68","0,68","0,68","0,68","3,41K","1,49%"
"20/06/2022","0,67","0,67","0,67","0,67","2,92K","-4,29%"
"14/06/2022","0,70","0,70","0,70","0,70","1,02K","0,00%"
"13/06/2022","0,70","0,70","0,70","0,70","0,83K","2,94%"
"10/06/2022","0,68","0,68","0,68","0,68","2,53K","0,00%"
"08/06/2022","0,68","0,68","0,68","0,68","12,62K","-4,23%"
"07/06/2022","0,71","0,71","0,71","0,71","0,08K","2,90%"
"06/06/2022","0,69","0,69","0,69","0,69","0,70K","-2,82%"
"03/06/2022","0,71","0,71","0,71","0,71","0,10K","1,43%"
"02/06/2022","0,70","0,70","0,70","0,70","0,00K","0,00%"
"31/05/2022","0,70","0,70","0,70","0,70","0,06K","0,00%"
"30/05/2022","0,70","0,70","0,70","0,70","6,20K","2,94%"
"27/05/2022","0,68","0,68","0,68","0,68","21,03K","-2,86%"
"26/05/2022","0,70","0,70","0,70","0,70","11,48K","-1,41%"
"25/05/2022","0,71","0,71","0,71","0,71","9,66K","10,94%"
"20/05/2022","0,64","0,64","0,64","0,64","12,63K","3,23%"
"18/05/2022","0,62","0,62","0,62","0,62","109,56K","-3,12%"
"17/05/2022","0,64","0,64","0,64","0,64","71,60K","-3,03%"
"16/05/2022","0,66","0,66","0,66","0,66","22,25K","-2,94%"
"13/05/2022","0,68","0,68","0,68","0,68","1,36K","-1,45%"
"12/05/2022","0,69","0,69","0,69","0,69","0,06K","2,99%"
"11/05/2022","0,67","0,67","0,67","0,67","12,28K","0,00%"
"10/05/2022","0,67","0,67","0,67","0,67","61,47K","0,00%"
"09/05/2022","0,67","0,67","0,67","0,67","41,52K","-4,29%"
"06/05/2022","0,70","0,70","0,70","0,70","15,13K","0,00%"
"05/05/2022","0,70","0,70","0,70","0,70","13,69K","-1,41%"
"04/05/2022","0,71","0,71","0,71","0,71","30,56K","-2,74%"
"26/04/2022","0,73","0,73","0,73","0,73","0,03K","2,82%"
"25/04/2022","0,71","0,71","0,71","0,71","17,70K","-2,74%"
"21/04/2022","0,73","0,73","0,73","0,73","0,11K","1,39%"
"20/04/2022","0,72","0,72","0,72","0,72","3,75K","1,41%"
"19/04/2022","0,71","0,71","0,71","0,71","36,57K","-1,39%"
"18/04/2022","0,72","0,72","0,72","0,72","42,68K","-2,70%"
"15/04/2022","0,74","0,74","0,74","0,74","0,06K","1,37%"
"14/04/2022","0,73","0,73","0,73","0,73","50,69K","1,39%"
"13/04/2022","0,72","0,72","0,72","0,72","11,54K","0,00%"
"12/04/2022","0,72","0,72","0,72","0,72","0,09K","-1,37%"
"08/04/2022","0,73","0,73","0,73","0,73","0,02K","2,82%"
"07/04/2022","0,71","0,71","0,71","0,71","3,60K","-2,74%"
"01/04/2022","0,73","0,73","0,73","0,73","0,01K","1,39%"
"31/03/2022","0,72","0,72","0,72","0,72","2,17K","-1,37%"
"29/03/2022","0,73","0,73","0,73","0,73","0,07K","0,00%"
"28/03/2022","0,73","0,73","0,73","0,73","0,00K","-1,35%"
"25/03/2022","0,74","0,74","0,74","0,74","1,14K","1,37%"
"24/03/2022","0,73","0,73","0,73","0,73","12,00K","-1,35%"
"23/03/2022","0,74","0,74","0,74","0,74","0,06K","1,37%"
"22/03/2022","0,73","0,73","0,73","0,73","5,70K","-1,35%"
"21/03/2022","0,74","0,74","0,74","0,74","17,53K","0,00%"
"18/03/2022","0,74","0,74","0,74","0,74","1,01K","0,00%"
"17/03/2022","0,74","0,74","0,74","0,74","4,20K","0,00%"
"16/03/2022","0,74","0,74","0,74","0,74","0,97K","0,00%"
"15/03/2022","0,74","0,74","0,74","0,74","2,70K","0,00%"
"14/03/2022","0,74","0,74","0,74","0,74","2,52K","1,37%"
"11/03/2022","0,73","0,73","0,73","0,73","17,48K","2,82%"
"10/03/2022","0,71","0,71","0,71","0,71","28,27K","0,00%"
"09/03/2022","0,71","0,71","0,71","0,71","33,00K","-2,74%"
"08/03/2022","0,73","0,73","0,73","0,73","1,10K","0,00%"
"07/03/2022","0,73","0,73","0,73","0,73","6,65K","0,00%"
"04/03/2022","0,73","0,73","0,73","0,73","11,21K","0,00%"
"03/03/2022","0,73","0,73","0,73","0,73","32,42K","4,29%"
"02/03/2022","0,70","0,70","0,70","0,70","28,00K","0,00%"
"01/03/2022","0,70","0,70","0,70","0,70","13,00K","0,00%"
"28/02/2022","0,70","0,70","0,70","0,70","16,25K","0,00%"
"25/02/2022","0,70","0,70","0,70","0,70","3,00K","0,00%"
"24/02/2022","0,70","0,70","0,70","0,70","50,58K","-4,11%"
"23/02/2022","0,73","0,73","0,73","0,73","6,96K","2,82%"
"22/02/2022","0,71","0,71","0,71","0,71","9,58K","1,43%"
"21/02/2022","0,70","0,70","0,70","0,70","58,58K","-4,11%"
"18/02/2022","0,73","0,73","0,73","0,73","3,86K","0,00%"
"17/02/2022","0,73","0,73","0,73","0,73","40,26K","0,00%"
"16/02/2022","0,73","0,73","0,73","0,73","1,49K","4,29%"
"15/02/2022","0,70","0,70","0,70","0,70","4,87K","1,45%"
"14/02/2022","0,69","0,69","0,69","0,69","88,70K","-1,43%"
"11/02/2022","0,70","0,70","0,70","0,70","44,18K","0,00%"
"10/02/2022","0,70","0,70","0,70","0,70","43,95K","0,00%"
"09/02/2022","0,70","0,70","0,70","0,70","20,36K","0,00%"
"08/02/2022","0,70","0,70","0,70","0,70","39,57K","-1,41%"
"07/02/2022","0,71","0,71","0,71","0,71","9,94K","-1,39%"
"04/02/2022","0,72","0,72","0,72","0,72","5,22K","0,00%"
"03/02/2022","0,72","0,72","0,72","0,72","16,39K","-2,70%"
"02/02/2022","0,74","0,74","0,74","0,74","1,22K","0,00%"
