"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"23/03/2023","9,05","8,97","9,05","8,97","0,35K","8,25%"
"21/03/2023","8,36","8,36","8,36","8,36","1,00K","0,00%"
"16/03/2023","8,36","8,36","8,36","8,36","0,97K","0,00%"
"15/03/2023","8,36","8,36","8,36","8,36","0,03K","4,50%"
"13/03/2023","8,00","8,00","8,00","8,00","0,10K","0,00%"
"09/03/2023","8,00","8,00","8,00","8,00","0,10K","-3,38%"
"08/03/2023","8,28","8,28","8,28","8,28","0,15K","-8,61%"
"18/01/2023","9,06","9,06","9,06","9,06","0,20K","4,50%"
"10/01/2023","8,67","8,67","8,67","8,67","4,39K","4,46%"
"05/01/2023","8,30","8,30","8,30","8,30","0,82K","-1,19%"
"30/12/2022","8,40","8,40","8,40","8,40","0,23K","4,09%"
"29/12/2022","8,07","8,07","8,07","8,07","0,18K","4,40%"
"28/12/2022","7,73","7,73","7,73","7,73","0,05K","4,46%"
"26/12/2022","7,40","7,40","7,40","7,40","0,20K","4,23%"
"16/12/2022","7,10","6,78","7,10","6,78","0,77K","0,42%"
"15/12/2022","7,07","7,07","7,07","7,07","0,50K","0,00%"
"12/12/2022","7,07","6,78","7,07","6,78","0,28K","-0,14%"
"07/12/2022","7,08","7,08","7,08","7,08","0,65K","-0,14%"
"01/12/2022","7,09","7,09","7,09","7,09","0,00K","2,60%"
"29/11/2022","6,91","6,91","6,91","6,91","0,17K","8,99%"
"25/11/2022","6,34","6,34","6,34","6,34","0,02K","9,12%"
"23/11/2022","5,81","5,82","5,82","5,81","0,06K","4,31%"
"22/11/2022","5,57","5,57","5,57","5,57","42,91K","-4,46%"
"15/11/2022","5,83","6,01","6,01","5,83","0,01K","-3,00%"
"09/11/2022","6,01","6,01","6,01","6,01","0,28K","0,17%"
"08/11/2022","6,00","6,00","6,00","6,00","0,21K","-3,38%"
"03/11/2022","6,21","6,21","6,21","6,21","0,01K","-4,46%"
"31/10/2022","6,50","6,50","6,50","6,50","0,01K","0,00%"
"28/10/2022","6,50","6,50","6,50","6,50","0,01K","2,20%"
"26/10/2022","6,36","6,36","6,36","6,36","0,13K","0,00%"
"24/10/2022","6,36","6,36","6,36","6,36","0,23K","-4,36%"
"21/10/2022","6,65","6,65","6,65","6,65","0,21K","-4,45%"
"27/09/2022","6,96","6,96","6,96","6,96","0,17K","-4,40%"
"12/09/2022","7,28","7,28","7,28","7,28","0,03K","0,00%"
"06/09/2022","7,28","7,28","7,28","7,28","0,00K","4,00%"
"25/08/2022","7,00","7,00","7,00","7,00","0,08K","0,00%"
"17/08/2022","7,00","7,00","7,00","7,00","0,05K","-6,67%"
"03/08/2022","7,50","7,50","7,50","7,50","0,08K","-3,72%"
"01/08/2022","7,79","7,79","7,79","7,79","1,20K","-0,13%"
"26/07/2022","7,80","7,80","7,80","7,80","0,05K","4,00%"
"22/07/2022","7,50","7,50","7,50","7,50","0,32K","0,00%"
"15/07/2022","7,50","7,50","7,50","7,50","0,15K","-6,25%"
"28/06/2022","8,00","8,00","8,00","8,00","0,32K","0,00%"
"27/06/2022","8,00","8,00","8,00","8,00","0,06K","0,00%"
"24/06/2022","8,00","8,00","8,00","8,00","0,17K","0,00%"
"21/06/2022","8,00","8,00","8,00","8,00","0,06K","-1,84%"
"17/06/2022","8,15","8,15","8,15","8,15","0,43K","-1,21%"
"14/06/2022","8,25","8,25","8,25","8,25","0,39K","-3,85%"
"27/05/2022","8,58","8,58","8,58","8,58","0,01K","0,00%"
"26/05/2022","8,58","8,58","8,58","8,58","0,07K","-0,23%"
"23/05/2022","8,60","8,60","8,60","8,60","1,05K","0,00%"
