"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","8,71","8,71","8,71","8,71","0,23K","0,00%"
"28/03/2023","8,71","8,71","8,71","8,71","0,05K","2,96%"
"24/03/2023","8,46","8,19","8,46","8,19","1,72K","-5,69%"
"21/03/2023","8,97","8,97","8,97","8,97","0,10K","-0,22%"
"17/03/2023","8,99","9,00","9,00","8,99","0,54K","-0,11%"
"16/03/2023","9,00","9,00","9,00","9,00","0,62K","-4,15%"
"10/03/2023","9,39","9,39","9,39","9,39","0,05K","0,00%"
"01/03/2023","9,39","9,39","9,39","9,39","0,00K","1,84%"
"28/02/2023","9,22","9,22","9,22","9,22","1,10K","-1,81%"
"13/02/2023","9,39","9,39","9,39","9,39","0,01K","1,40%"
"10/02/2023","9,26","9,26","9,26","9,26","12,49K","0,11%"
"09/02/2023","9,25","9,25","9,25","9,25","0,00K","0,00%"
"08/02/2023","9,25","9,25","9,25","9,25","0,05K","-1,60%"
"01/02/2023","9,40","9,40","9,40","9,40","0,06K","-1,05%"
"27/01/2023","9,50","9,50","9,50","9,50","0,60K","-0,52%"
"26/01/2023","9,55","9,55","9,55","9,55","0,13K","1,60%"
"25/01/2023","9,40","9,40","9,40","9,40","0,50K","-1,57%"
"24/01/2023","9,55","9,55","9,55","9,55","0,01K","1,49%"
"23/01/2023","9,41","9,41","9,41","9,41","0,40K","0,00%"
"20/01/2023","9,41","9,50","9,50","9,41","0,23K","-0,95%"
"18/01/2023","9,50","9,40","9,50","9,40","0,45K","1,06%"
"17/01/2023","9,40","9,30","9,40","9,30","3,02K","0,00%"
"16/01/2023","9,40","9,40","9,40","9,40","0,51K","-2,08%"
"13/01/2023","9,60","9,60","9,60","9,60","2,15K","1,05%"
"12/01/2023","9,50","9,50","9,50","9,50","0,28K","-1,04%"
"09/01/2023","9,60","9,60","9,60","9,60","0,01K","0,00%"
"03/01/2023","9,60","9,60","9,60","9,60","0,16K","0,00%"
"02/01/2023","9,60","9,60","9,60","9,60","0,01K","2,13%"
"30/12/2022","9,40","9,40","9,40","9,40","0,15K","-4,37%"
"29/12/2022","9,83","9,83","9,83","9,83","0,01K","3,47%"
"28/12/2022","9,50","9,50","9,50","9,50","0,10K","0,00%"
"23/12/2022","9,50","9,50","9,50","9,50","0,45K","0,00%"
"22/12/2022","9,50","9,50","9,50","9,50","0,02K","0,00%"
"21/12/2022","9,50","9,50","9,50","9,50","0,75K","-2,46%"
"20/12/2022","9,74","9,74","9,74","9,74","0,35K","0,00%"
"19/12/2022","9,74","9,74","9,74","9,74","0,03K","0,00%"
"16/12/2022","9,74","9,74","9,74","9,74","0,00K","1,67%"
"15/12/2022","9,58","9,58","9,58","9,58","0,12K","-2,24%"
"09/12/2022","9,80","9,80","9,80","9,80","0,15K","-0,91%"
"08/12/2022","9,89","9,89","9,89","9,89","0,00K","2,81%"
"07/12/2022","9,62","9,62","9,62","9,62","0,02K","-3,70%"
"01/12/2022","9,99","9,99","9,99","9,99","0,13K","0,00%"
"30/11/2022","9,99","9,99","9,99","9,99","0,00K","1,52%"
"29/11/2022","9,84","9,84","9,84","9,84","0,05K","-1,50%"
"25/11/2022","9,99","9,99","9,99","9,99","0,00K","0,40%"
"24/11/2022","9,95","9,95","9,95","9,95","0,00K","-0,40%"
"23/11/2022","9,99","9,99","9,99","9,99","0,00K","0,91%"
"22/11/2022","9,90","9,90","9,90","9,90","0,02K","4,21%"
"21/11/2022","9,50","9,90","9,90","9,50","9,91K","-4,04%"
"18/11/2022","9,90","10,00","10,00","9,90","1,24K","-1,00%"
"17/11/2022","10,00","10,00","10,00","10,00","0,35K","0,00%"
"16/11/2022","10,00","10,00","10,00","10,00","0,20K","1,01%"
"15/11/2022","9,90","9,90","9,90","9,90","0,47K","-1,00%"
"14/11/2022","10,00","10,00","10,00","10,00","0,39K","-0,99%"
"08/11/2022","10,10","10,10","10,10","10,10","0,10K","-0,79%"
"28/10/2022","10,18","10,18","10,18","10,18","0,30K","-0,20%"
"20/10/2022","10,20","10,20","10,20","10,20","0,01K","-2,86%"
"17/10/2022","10,50","10,50","10,50","10,50","0,00K","4,06%"
"14/10/2022","10,09","10,09","10,09","10,09","74,26K","-1,08%"
"11/10/2022","10,20","10,20","10,20","10,20","0,01K","0,00%"
"07/10/2022","10,20","10,00","10,20","10,00","0,07K","0,00%"
"06/10/2022","10,20","10,20","10,20","10,20","0,70K","-3,77%"
"04/10/2022","10,60","10,60","10,60","10,60","0,01K","-0,84%"
"03/10/2022","10,69","10,69","10,69","10,69","0,01K","1,71%"
"30/09/2022","10,51","10,51","10,51","10,51","0,17K","-4,45%"
"20/09/2022","11,00","11,00","11,00","11,00","0,02K","-1,52%"
"14/09/2022","11,17","11,17","11,17","11,17","1,70K","-0,09%"
"13/09/2022","11,18","11,18","11,18","11,18","0,01K","1,64%"
"12/09/2022","11,00","11,00","11,00","11,00","1,87K","1,85%"
"09/09/2022","10,80","10,65","10,80","10,65","1,34K","1,41%"
"08/09/2022","10,65","10,60","10,65","10,60","3,33K","1,43%"
"07/09/2022","10,50","10,50","10,50","10,50","2,20K","0,96%"
"02/09/2022","10,40","10,10","10,40","10,10","3,10K","2,97%"
"01/09/2022","10,10","10,18","10,18","10,10","3,82K","0,00%"
"31/08/2022","10,10","10,00","10,10","10,00","3,54K","3,06%"
"29/08/2022","9,80","9,80","9,80","9,80","0,01K","0,00%"
"26/08/2022","9,80","9,46","9,80","9,46","1,44K","3,59%"
"24/08/2022","9,46","9,20","9,46","9,20","0,01K","0,64%"
"18/08/2022","9,40","9,40","9,40","9,40","0,05K","-0,63%"
"12/08/2022","9,46","9,46","9,46","9,46","0,12K","0,00%"
"10/08/2022","9,46","9,46","9,46","9,46","1,00K","1,72%"
"09/08/2022","9,30","9,30","9,30","9,30","0,60K","-1,06%"
"04/08/2022","9,40","9,40","9,40","9,40","0,03K","-0,63%"
"27/07/2022","9,46","9,46","9,46","9,46","0,01K","2,83%"
"26/07/2022","9,20","9,20","9,20","9,20","0,09K","-3,16%"
"15/07/2022","9,50","9,50","9,50","9,50","0,01K","0,00%"
"08/07/2022","9,50","9,50","9,50","9,50","10,20K","0,00%"
"07/07/2022","9,50","9,50","9,50","9,50","21,94K","1,06%"
"06/07/2022","9,40","9,00","9,40","9,00","30,71K","4,44%"
