"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","4,34","4,34","4,34","4,31","7,89K","-0,23%"
"28/03/2023","4,35","4,32","4,35","4,31","37,74K","0,23%"
"27/03/2023","4,34","4,35","4,35","4,34","2,00K","0,46%"
"24/03/2023","4,32","4,33","4,33","4,32","11,89K","-1,37%"
"23/03/2023","4,38","4,39","4,39","4,38","6,10K","0,00%"
"22/03/2023","4,38","4,39","4,39","4,35","2,78K","-0,23%"
"21/03/2023","4,39","4,39","4,39","4,39","0,07K","0,92%"
"17/03/2023","4,35","4,40","4,40","4,31","17,10K","-1,14%"
"16/03/2023","4,40","4,40","4,40","4,35","37,34K","0,23%"
"15/03/2023","4,39","4,36","4,39","4,30","66,26K","1,39%"
"14/03/2023","4,33","4,28","4,35","4,28","33,45K","1,17%"
"13/03/2023","4,28","4,27","4,29","4,27","4,80K","0,23%"
"10/03/2023","4,27","4,23","4,27","4,23","16,54K","0,95%"
"09/03/2023","4,23","4,21","4,23","4,20","2,53K","0,71%"
"08/03/2023","4,20","4,22","4,22","4,17","3,07K","-0,71%"
"07/03/2023","4,23","4,23","4,24","4,23","2,47K","0,00%"
"06/03/2023","4,23","4,20","4,23","4,20","10,97K","0,71%"
"03/03/2023","4,20","4,17","4,20","4,16","15,33K","-0,47%"
"02/03/2023","4,22","4,16","4,22","4,16","28,11K","0,48%"
"01/03/2023","4,20","4,20","4,22","4,20","3,58K","0,96%"
"28/02/2023","4,16","4,18","4,18","4,12","17,00K","-0,24%"
"27/02/2023","4,17","4,15","4,18","4,10","7,84K","1,21%"
"24/02/2023","4,12","4,10","4,12","4,10","0,65K","-0,72%"
"23/02/2023","4,15","4,15","4,16","4,10","1,57K","1,22%"
"22/02/2023","4,10","4,10","4,10","4,10","6,50K","-1,20%"
"21/02/2023","4,15","4,10","4,15","4,10","11,73K","0,24%"
"20/02/2023","4,14","4,15","4,16","4,10","25,53K","0,98%"
"17/02/2023","4,10","4,13","4,15","4,09","19,50K","0,49%"
"16/02/2023","4,08","4,15","4,17","4,08","20,75K","-1,69%"
"15/02/2023","4,15","4,11","4,17","4,11","11,49K","0,73%"
"14/02/2023","4,12","4,15","4,15","4,11","19,22K","0,49%"
"13/02/2023","4,10","4,10","4,14","4,10","1,50K","0,00%"
"10/02/2023","4,10","4,18","4,18","4,10","8,76K","-0,97%"
"09/02/2023","4,14","4,18","4,19","4,13","33,96K","0,49%"
"08/02/2023","4,12","4,15","4,15","4,12","8,46K","-0,72%"
"07/02/2023","4,15","4,15","4,20","4,15","6,28K","-0,95%"
"06/02/2023","4,19","4,18","4,20","4,15","4,78K","1,70%"
"03/02/2023","4,12","4,18","4,18","4,12","0,25K","-1,67%"
"02/02/2023","4,19","4,19","4,19","4,19","0,18K","0,48%"
"01/02/2023","4,17","4,12","4,17","4,10","7,17K","0,48%"
"31/01/2023","4,15","4,12","4,15","4,12","3,34K","0,00%"
"30/01/2023","4,15","4,12","4,15","4,12","0,88K","0,00%"
"27/01/2023","4,15","4,10","4,15","4,10","3,46K","1,22%"
"26/01/2023","4,10","4,05","4,10","4,05","1,18K","1,49%"
"25/01/2023","4,04","4,05","4,05","4,00","8,86K","-0,25%"
"24/01/2023","4,05","4,08","4,08","4,00","5,33K","1,25%"
"23/01/2023","4,00","4,10","4,10","3,95","22,03K","0,00%"
"20/01/2023","4,00","4,10","4,10","3,98","8,54K","0,00%"
"19/01/2023","4,00","4,05","4,10","4,00","5,99K","-1,23%"
"18/01/2023","4,05","3,98","4,10","3,98","8,17K","1,25%"
"17/01/2023","4,00","4,09","4,09","4,00","0,17K","0,00%"
"16/01/2023","4,00","3,99","4,10","3,99","7,10K","-1,23%"
"13/01/2023","4,05","4,05","4,10","4,05","1,57K","1,25%"
"12/01/2023","4,00","4,00","4,00","3,99","5,90K","0,00%"
"11/01/2023","4,00","4,00","4,03","3,99","8,20K","0,25%"
"10/01/2023","3,99","4,00","4,00","3,98","13,58K","-0,25%"
"09/01/2023","4,00","4,00","4,05","3,99","12,30K","0,00%"
"06/01/2023","4,00","4,00","4,00","3,98","13,23K","0,00%"
"05/01/2023","4,00","4,00","4,09","3,98","26,63K","-0,50%"
"04/01/2023","4,02","4,07","4,07","4,00","24,15K","-1,23%"
"03/01/2023","4,07","4,14","4,14","4,05","3,92K","-1,69%"
"02/01/2023","4,14","4,15","4,15","4,07","0,84K","-0,48%"
"30/12/2022","4,16","4,08","4,16","4,05","47,32K","1,71%"
"29/12/2022","4,09","4,12","4,12","4,04","16,87K","-0,49%"
"28/12/2022","4,11","4,04","4,11","4,04","6,27K","0,24%"
"27/12/2022","4,10","4,06","4,10","4,06","0,71K","0,99%"
"26/12/2022","4,06","4,12","4,12","4,06","4,59K","0,00%"
"23/12/2022","4,06","4,06","4,08","4,06","4,93K","0,00%"
"22/12/2022","4,06","4,10","4,10","4,05","3,16K","-0,98%"
"21/12/2022","4,10","4,01","4,10","4,01","4,76K","1,23%"
"20/12/2022","4,05","4,17","4,17","4,00","250,49K","-3,11%"
"19/12/2022","4,18","4,20","4,20","4,10","66,00K","-0,48%"
"16/12/2022","4,20","4,20","4,20","4,17","3,69K","0,72%"
"15/12/2022","4,17","4,20","4,20","4,17","2,09K","-0,71%"
"14/12/2022","4,20","4,25","4,25","4,17","3,50K","-1,64%"
"13/12/2022","4,27","4,23","4,30","4,23","1,66K","-0,70%"
"12/12/2022","4,30","4,30","4,30","4,30","0,01K","0,00%"
"09/12/2022","4,30","4,23","4,30","4,23","3,43K","1,18%"
"07/12/2022","4,25","4,30","4,30","4,23","2,66K","-1,16%"
"06/12/2022","4,30","4,30","4,30","4,30","0,63K","0,00%"
"02/12/2022","4,30","4,30","4,30","4,30","0,35K","1,18%"
"01/12/2022","4,25","4,30","4,30","4,25","8,17K","-1,16%"
"30/11/2022","4,30","4,30","4,30","4,30","4,18K","1,18%"
"29/11/2022","4,25","4,31","4,31","4,25","5,88K","0,00%"
"28/11/2022","4,25","4,28","4,29","4,25","2,64K","-1,16%"
"25/11/2022","4,30","4,30","4,30","4,30","0,20K","0,00%"
"24/11/2022","4,30","4,38","4,38","4,30","5,80K","-1,83%"
"23/11/2022","4,38","4,30","4,38","4,30","12,20K","1,86%"
