"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","23,00","23,00","23,00","23,00","2,00K","0,00%"
"28/03/2023","23,00","22,85","23,20","22,85","3,00K","0,66%"
"27/03/2023","22,85","22,85","22,85","22,85","0,37K","-1,89%"
"24/03/2023","23,29","23,50","23,50","23,29","2,00K","-0,89%"
"23/03/2023","23,50","23,30","23,50","23,30","56,40K","1,73%"
"22/03/2023","23,10","23,20","23,35","23,00","5,07K","-1,24%"
"21/03/2023","23,39","23,39","23,39","23,39","2,00K","0,00%"
"17/03/2023","23,39","23,30","23,39","23,30","0,76K","-0,04%"
"15/03/2023","23,40","23,40","23,40","23,40","1,02K","-0,21%"
"14/03/2023","23,45","23,50","23,50","23,45","2,05K","-0,64%"
"13/03/2023","23,60","23,60","23,60","23,60","1,50K","-0,04%"
"10/03/2023","23,61","23,60","23,61","23,60","2,00K","0,04%"
"09/03/2023","23,60","23,60","23,65","23,60","4,03K","-0,21%"
"08/03/2023","23,65","23,66","23,75","23,65","3,02K","-0,59%"
"07/03/2023","23,79","23,80","23,80","23,65","2,13K","-0,04%"
"06/03/2023","23,80","23,66","23,98","23,65","5,22K","-0,04%"
"03/03/2023","23,81","23,72","23,81","23,72","2,94K","-0,17%"
"02/03/2023","23,85","23,80","23,85","23,80","15,76K","0,55%"
"01/03/2023","23,72","23,80","24,00","23,65","3,90K","-0,42%"
"28/02/2023","23,82","23,80","24,00","23,80","5,51K","0,08%"
"27/02/2023","23,80","23,65","23,80","23,65","2,27K","-0,75%"
"24/02/2023","23,98","23,70","23,98","23,70","0,31K","1,18%"
"23/02/2023","23,70","23,65","23,70","23,65","0,48K","0,21%"
"22/02/2023","23,65","23,66","23,66","23,65","4,83K","-1,42%"
"21/02/2023","23,99","23,90","23,99","23,66","1,51K","0,38%"
"20/02/2023","23,90","23,85","23,90","23,85","4,19K","0,00%"
"17/02/2023","23,90","23,90","23,96","23,90","1,26K","-0,25%"
"16/02/2023","23,96","23,90","23,96","23,90","2,03K","0,25%"
"15/02/2023","23,90","23,88","23,90","23,88","1,01K","0,00%"
"14/02/2023","23,90","23,90","23,90","23,49","0,36K","1,88%"
"13/02/2023","23,46","23,99","24,00","23,46","1,31K","-2,25%"
"10/02/2023","24,00","23,80","24,00","23,80","109,81K","0,84%"
"09/02/2023","23,80","23,33","23,80","23,33","0,24K","0,00%"
"08/02/2023","23,80","23,80","23,80","23,33","1,28K","-0,79%"
"07/02/2023","23,99","24,00","24,10","23,99","4,67K","-0,04%"
"06/02/2023","24,00","24,21","24,21","24,00","4,74K","-1,92%"
"03/02/2023","24,47","24,00","24,47","24,00","0,35K","1,96%"
"02/02/2023","24,00","24,00","24,01","24,00","6,37K","-0,83%"
"01/02/2023","24,20","24,30","24,30","24,20","2,00K","-0,41%"
"31/01/2023","24,30","24,30","24,30","24,20","0,46K","-0,21%"
"30/01/2023","24,35","24,48","24,48","24,35","0,06K","-0,53%"
"27/01/2023","24,48","24,30","24,49","24,20","4,00K","-0,04%"
"26/01/2023","24,49","24,30","24,49","24,21","0,24K","0,78%"
"25/01/2023","24,30","24,00","24,40","24,00","7,42K","0,41%"
"24/01/2023","24,20","24,40","24,40","24,20","3,57K","0,00%"
"23/01/2023","24,20","24,36","24,49","24,20","2,56K","-0,62%"
"20/01/2023","24,35","24,31","24,50","24,30","4,74K","-0,61%"
"19/01/2023","24,50","24,30","24,70","24,30","1,52K","0,82%"
"18/01/2023","24,30","24,71","24,71","24,30","2,78K","-1,62%"
"17/01/2023","24,70","24,99","24,99","24,60","1,00K","-1,20%"
"16/01/2023","25,00","25,42","25,45","24,74","2,52K","-1,92%"
"13/01/2023","25,49","25,70","25,70","25,41","8,83K","-0,82%"
"12/01/2023","25,70","24,90","25,70","24,90","32,03K","4,90%"
"11/01/2023","24,50","24,50","24,70","24,11","1,79K","-0,41%"
"10/01/2023","24,60","24,60","24,90","24,15","4,97K","-0,40%"
"09/01/2023","24,70","24,62","24,90","24,62","4,52K","0,41%"
"06/01/2023","24,60","24,25","24,90","24,20","3,90K","1,23%"
"05/01/2023","24,30","24,49","24,49","24,30","0,33K","-0,78%"
"04/01/2023","24,49","24,31","24,49","24,31","2,89K","0,00%"
"03/01/2023","24,49","24,25","24,49","24,25","0,98K","0,99%"
"02/01/2023","24,25","24,00","24,25","24,00","1,49K","1,04%"
"30/12/2022","24,00","23,74","24,16","23,70","3,32K","0,00%"
"29/12/2022","24,00","23,72","24,20","23,71","8,44K","1,22%"
"28/12/2022","23,71","24,20","24,25","23,71","8,02K","-2,23%"
"27/12/2022","24,25","23,85","24,25","23,85","3,60K","1,04%"
"26/12/2022","24,00","24,00","24,00","23,70","1,74K","0,00%"
"23/12/2022","24,00","23,95","24,01","23,95","32,01K","-0,70%"
"22/12/2022","24,17","23,90","24,18","23,89","4,51K","0,50%"
"21/12/2022","24,05","23,85","24,05","23,85","4,73K","0,21%"
"20/12/2022","24,00","23,40","24,00","23,40","358,74K","3,45%"
"19/12/2022","23,20","23,40","23,40","23,20","0,60K","-1,07%"
"16/12/2022","23,45","23,51","23,70","23,45","1,26K","-1,05%"
"15/12/2022","23,70","23,15","23,70","23,15","10,36K","2,60%"
"14/12/2022","23,10","23,01","23,15","23,00","1,49K","0,00%"
"13/12/2022","23,10","23,15","23,15","23,10","0,16K","-0,43%"
"12/12/2022","23,20","23,01","23,20","23,01","0,28K","0,83%"
"09/12/2022","23,01","23,00","23,15","23,00","0,75K","0,04%"
"08/12/2022","23,00","23,00","23,19","23,00","20,74K","0,00%"
"07/12/2022","23,00","23,09","23,18","22,99","1,77K","-1,08%"
"06/12/2022","23,25","23,30","23,30","23,11","3,44K","-0,43%"
"05/12/2022","23,35","23,20","23,35","23,20","12,08K","0,78%"
