"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","7,30","7,30","7,30","7,30","0,59K","-0,54%"
"28/03/2023","7,34","7,44","7,44","7,32","1,07K","-1,34%"
"27/03/2023","7,44","7,34","7,44","7,32","1,40K","-0,53%"
"24/03/2023","7,48","7,32","7,50","7,23","6,27K","2,05%"
"23/03/2023","7,33","7,30","7,33","7,30","1,85K","0,55%"
"22/03/2023","7,29","7,04","7,30","7,04","4,90K","1,53%"
"21/03/2023","7,18","7,17","7,18","7,17","1,00K","0,00%"
"16/03/2023","7,18","7,06","7,18","7,05","0,03K","1,84%"
"15/03/2023","7,05","7,09","7,09","7,05","3,58K","-0,56%"
"14/03/2023","7,09","7,09","7,09","7,09","0,00K","0,57%"
"13/03/2023","7,05","7,10","7,23","7,05","3,53K","-0,70%"
"10/03/2023","7,10","7,24","7,24","7,05","2,23K","0,00%"
"08/03/2023","7,10","7,13","7,13","7,10","3,80K","-2,20%"
"07/03/2023","7,26","7,26","7,26","7,26","0,17K","-0,14%"
"06/03/2023","7,27","7,27","7,27","7,27","1,00K","0,00%"
"03/03/2023","7,27","7,25","7,28","7,20","6,12K","-0,14%"
"02/03/2023","7,28","7,29","7,29","7,20","2,52K","-0,14%"
"01/03/2023","7,29","7,10","7,29","7,10","6,88K","1,25%"
"28/02/2023","7,20","7,07","7,20","7,05","13,77K","1,41%"
"27/02/2023","7,10","7,07","7,10","7,05","12,06K","0,28%"
"24/02/2023","7,08","7,10","7,20","7,08","15,18K","-0,28%"
"23/02/2023","7,10","7,11","7,11","7,05","21,35K","-2,07%"
"22/02/2023","7,25","7,09","7,25","7,09","1,78K","1,40%"
"21/02/2023","7,15","7,15","7,15","7,09","25,17K","0,00%"
"20/02/2023","7,15","7,12","7,27","7,11","1,33K","0,70%"
"17/02/2023","7,10","7,10","7,20","7,10","2,18K","-1,93%"
"16/02/2023","7,24","7,10","7,24","7,10","1,96K","1,97%"
"15/02/2023","7,10","7,24","7,28","7,10","2,91K","-2,74%"
"13/02/2023","7,30","7,32","7,32","7,30","0,50K","-0,41%"
"10/02/2023","7,33","7,18","7,33","7,18","0,04K","3,09%"
"09/02/2023","7,11","7,19","7,19","7,11","1,91K","-3,00%"
"08/02/2023","7,33","7,30","7,34","7,18","4,06K","-0,14%"
"07/02/2023","7,34","7,26","7,34","7,13","1,00K","-0,41%"
"06/02/2023","7,37","7,38","7,40","7,30","2,03K","-0,14%"
"03/02/2023","7,38","7,11","7,39","7,11","6,14K","3,51%"
"02/02/2023","7,13","7,10","7,13","6,91","3,68K","-0,14%"
"01/02/2023","7,14","7,14","7,14","7,06","3,49K","0,00%"
"31/01/2023","7,14","7,12","7,15","7,05","3,43K","-0,14%"
"30/01/2023","7,15","7,02","7,15","7,02","4,38K","1,85%"
"27/01/2023","7,02","7,08","7,08","6,80","6,31K","-0,99%"
"26/01/2023","7,09","7,00","7,10","7,00","6,13K","0,14%"
"25/01/2023","7,08","7,04","7,08","6,90","2,21K","0,00%"
"24/01/2023","7,08","6,79","7,09","6,79","6,93K","4,27%"
"23/01/2023","6,79","6,79","6,79","6,70","1,83K","0,00%"
"20/01/2023","6,79","6,70","6,90","6,68","2,75K","1,34%"
"19/01/2023","6,70","6,72","6,80","6,68","14,02K","-1,47%"
"18/01/2023","6,80","6,80","6,87","6,70","5,26K","-1,02%"
"17/01/2023","6,87","6,75","6,87","6,75","2,82K","-0,29%"
"16/01/2023","6,89","6,94","6,94","6,80","4,47K","-0,72%"
"13/01/2023","6,94","6,61","6,94","6,61","12,42K","4,20%"
"12/01/2023","6,66","6,65","6,75","6,61","3,37K","-0,60%"
"11/01/2023","6,70","6,74","6,78","6,70","2,99K","-1,18%"
"10/01/2023","6,78","6,78","6,78","6,70","1,99K","-0,15%"
"09/01/2023","6,79","6,80","6,80","6,79","1,01K","1,34%"
"06/01/2023","6,70","6,76","6,80","6,65","49,36K","-1,03%"
"05/01/2023","6,77","6,78","6,80","6,75","11,73K","-0,44%"
"04/01/2023","6,80","6,80","6,90","6,76","10,81K","-1,45%"
"03/01/2023","6,90","6,93","6,93","6,81","53,49K","-1,29%"
"02/01/2023","6,99","7,12","7,12","6,99","3,38K","-1,83%"
"30/12/2022","7,12","7,12","7,12","7,12","0,01K","-0,28%"
"29/12/2022","7,14","7,10","7,14","7,04","2,11K","0,14%"
"28/12/2022","7,13","7,15","7,15","7,00","1,40K","-0,28%"
"27/12/2022","7,15","6,80","7,15","6,80","5,21K","3,62%"
"26/12/2022","6,90","6,82","6,90","6,81","1,79K","-1,29%"
"23/12/2022","6,99","6,99","6,99","6,89","0,08K","0,00%"
"22/12/2022","6,99","7,00","7,00","6,99","2,01K","-0,14%"
"21/12/2022","7,00","7,00","7,00","6,99","0,74K","-1,41%"
"20/12/2022","7,10","7,15","7,15","7,00","2,70K","-0,42%"
"19/12/2022","7,13","7,05","7,13","6,90","7,45K","0,42%"
"16/12/2022","7,10","7,10","7,10","7,02","1,37K","0,00%"
"15/12/2022","7,10","7,10","7,10","7,10","3,37K","0,00%"
"14/12/2022","7,10","7,15","7,15","7,10","4,66K","-1,80%"
"13/12/2022","7,23","7,24","7,24","7,23","0,41K","-0,28%"
"12/12/2022","7,25","7,24","7,25","7,15","0,70K","0,14%"
"09/12/2022","7,24","7,15","7,25","7,15","2,47K","-0,14%"
"08/12/2022","7,25","7,25","7,25","7,25","0,00K","0,69%"
"07/12/2022","7,20","7,21","7,21","7,20","0,21K","-0,69%"
"06/12/2022","7,25","7,25","7,25","7,25","2,03K","-0,68%"
"05/12/2022","7,30","7,40","7,40","7,25","5,44K","-1,35%"
"02/12/2022","7,40","7,50","7,50","7,40","0,01K","0,00%"
"01/12/2022","7,40","7,50","7,50","7,26","1,36K","0,00%"
"30/11/2022","7,40","7,30","7,50","7,29","6,91K","3,35%"
"29/11/2022","7,16","7,29","7,30","7,16","3,85K","-1,92%"
"28/11/2022","7,30","7,30","7,30","7,20","0,51K","0,14%"
"25/11/2022","7,29","7,29","7,29","7,16","0,16K","1,25%"
"24/11/2022","7,20","7,20","7,24","7,16","4,47K","0,00%"
"23/11/2022","7,20","7,20","7,20","7,20","0,01K","-1,37%"
"22/11/2022","7,30","7,30","7,30","7,30","0,00K","0,27%"
"21/11/2022","7,28","7,29","7,29","7,11","48,15K","-0,14%"
"18/11/2022","7,29","7,30","7,30","7,20","6,19K","-0,14%"
"17/11/2022","7,30","7,20","7,30","7,17","0,44K","1,39%"
"16/11/2022","7,20","7,20","7,20","7,20","0,64K","0,00%"
"15/11/2022","7,20","7,35","7,35","7,18","6,94K","-1,91%"
"11/11/2022","7,34","7,25","7,34","7,25","0,26K","-0,14%"
"10/11/2022","7,35","7,30","7,35","7,24","1,41K","-0,68%"
"09/11/2022","7,40","7,40","7,40","7,40","0,25K","0,41%"
"08/11/2022","7,37","7,49","7,49","7,37","0,00K","0,27%"
"07/11/2022","7,35","7,22","7,35","7,20","3,30K","0,00%"
"04/11/2022","7,35","7,35","7,35","7,35","0,07K","2,08%"
"03/11/2022","7,20","7,20","7,30","7,20","5,37K","-1,37%"
"02/11/2022","7,30","7,40","7,40","7,20","7,10K","-1,35%"
"01/11/2022","7,40","7,27","7,45","7,27","0,63K","0,41%"
"31/10/2022","7,37","7,45","7,49","7,30","7,50K","-0,94%"
"28/10/2022","7,44","7,40","7,44","7,40","1,12K","0,54%"
"27/10/2022","7,40","7,40","7,40","7,32","3,30K","0,00%"
"26/10/2022","7,40","7,30","7,40","7,30","0,56K","0,00%"
"25/10/2022","7,40","7,40","7,49","7,30","0,96K","-1,20%"
"24/10/2022","7,49","7,58","7,58","7,49","0,05K","1,22%"
"21/10/2022","7,40","7,50","7,50","7,35","0,90K","1,37%"
"20/10/2022","7,30","7,35","7,35","7,30","3,37K","-0,68%"
"19/10/2022","7,35","7,36","7,48","7,33","3,93K","-0,14%"
"18/10/2022","7,36","7,55","7,55","7,36","0,65K","-1,74%"
"17/10/2022","7,49","7,50","7,55","7,45","1,22K","-1,45%"
"14/10/2022","7,60","7,54","7,60","7,54","0,50K","0,66%"
"13/10/2022","7,55","7,45","7,55","7,41","0,35K","0,00%"
"12/10/2022","7,55","7,55","7,57","7,40","6,12K","2,03%"
"11/10/2022","7,40","7,55","7,56","7,40","3,06K","-0,27%"
"10/10/2022","7,42","7,52","7,55","7,40","2,24K","-1,59%"
"07/10/2022","7,54","7,55","7,55","7,45","2,20K","1,21%"
"06/10/2022","7,45","7,50","7,55","7,45","1,24K","-1,32%"
"05/10/2022","7,55","7,60","7,60","7,44","2,37K","-0,66%"
"04/10/2022","7,60","7,60","7,60","7,44","1,47K","1,88%"
"03/10/2022","7,46","7,59","7,59","7,46","0,11K","-1,71%"
"30/09/2022","7,59","7,40","7,59","7,40","0,17K","1,20%"
"29/09/2022","7,50","7,65","7,67","7,50","9,65K","-2,22%"
"28/09/2022","7,67","7,68","7,68","7,30","3,18K","0,92%"
"27/09/2022","7,60","7,60","7,69","7,51","1,43K","-1,30%"
"26/09/2022","7,70","7,70","7,76","7,60","5,46K","0,00%"
"23/09/2022","7,70","7,70","7,75","7,70","6,29K","0,00%"
"22/09/2022","7,70","7,55","7,70","7,55","0,20K","-0,65%"
"21/09/2022","7,75","7,50","7,75","7,50","4,24K","0,39%"
"20/09/2022","7,72","7,35","7,72","7,35","2,89K","5,03%"
"19/09/2022","7,35","7,42","7,42","7,34","3,00K","-0,68%"
"16/09/2022","7,40","7,41","7,41","7,34","0,93K","-0,13%"
"15/09/2022","7,41","7,41","7,44","7,34","2,45K","-0,54%"
"14/09/2022","7,45","7,55","7,55","7,35","18,71K","-4,24%"
"13/09/2022","7,78","7,78","7,80","7,65","1,11K","0,78%"
"12/09/2022","7,72","7,75","7,75","7,50","9,44K","-0,90%"
"09/09/2022","7,79","7,80","7,85","7,67","7,55K","0,52%"
"08/09/2022","7,75","7,89","7,90","7,70","9,37K","-1,65%"
"07/09/2022","7,88","7,88","7,88","7,76","1,15K","0,90%"
"06/09/2022","7,81","7,88","7,92","7,80","2,83K","-1,76%"
"05/09/2022","7,95","7,96","7,96","7,81","0,12K","0,63%"
"02/09/2022","7,90","7,80","8,00","7,80","7,30K","1,28%"
"01/09/2022","7,80","7,82","7,89","7,65","15,54K","-1,27%"
"31/08/2022","7,90","8,10","8,10","7,90","3,05K","-2,47%"
"30/08/2022","8,10","7,95","8,10","7,95","17,84K","1,89%"
"29/08/2022","7,95","7,95","7,97","7,88","13,68K","2,05%"
"26/08/2022","7,79","7,72","7,84","7,72","4,90K","1,17%"
"25/08/2022","7,70","7,55","7,70","7,49","14,93K","2,80%"
"24/08/2022","7,49","7,49","7,55","7,49","2,42K","0,54%"
"23/08/2022","7,45","7,54","7,54","7,45","2,05K","-1,19%"
"22/08/2022","7,54","7,55","7,55","7,50","3,05K","-0,13%"
"19/08/2022","7,55","7,45","7,55","7,45","1,29K","2,03%"
"18/08/2022","7,40","7,45","7,45","7,35","0,63K","0,14%"
"17/08/2022","7,39","7,40","7,49","7,39","2,85K","-3,02%"
"16/08/2022","7,62","7,60","7,62","7,40","1,55K","-0,78%"
"15/08/2022","7,68","7,74","7,74","7,68","3,80K","-0,78%"
"12/08/2022","7,74","7,80","7,80","7,68","3,05K","-0,77%"
"11/08/2022","7,80","7,60","7,80","7,60","6,23K","2,90%"
"10/08/2022","7,58","7,30","7,58","7,30","11,29K","4,55%"
"09/08/2022","7,25","7,18","7,30","7,18","6,75K","0,42%"
"08/08/2022","7,22","7,18","7,22","7,18","1,61K","-0,14%"
"05/08/2022","7,23","7,24","7,24","7,17","3,70K","-0,55%"
"04/08/2022","7,27","7,20","7,27","7,20","10,32K","0,97%"
"03/08/2022","7,20","7,25","7,25","7,16","0,21K","-0,28%"
"02/08/2022","7,22","7,24","7,25","7,17","13,39K","-0,41%"
"01/08/2022","7,25","7,27","7,27","7,25","0,08K","-0,28%"
"29/07/2022","7,27","7,17","7,28","7,10","33,18K","1,25%"
"27/07/2022","7,18","7,19","7,20","7,10","2,63K","-0,28%"
"26/07/2022","7,20","7,20","7,20","7,13","3,71K","0,14%"
"22/07/2022","7,19","7,10","7,24","7,10","8,84K","1,27%"
"21/07/2022","7,10","7,27","7,27","7,10","3,02K","-2,74%"
"20/07/2022","7,30","7,20","7,30","7,16","1,38K","0,27%"
"19/07/2022","7,28","7,28","7,28","7,28","0,24K","-0,27%"
"18/07/2022","7,30","7,20","7,30","7,20","6,73K","0,00%"
"15/07/2022","7,30","7,29","7,30","7,29","15,25K","0,00%"
"14/07/2022","7,30","7,34","7,34","7,30","0,30K","0,27%"
"13/07/2022","7,28","7,35","7,38","7,15","1,99K","-1,36%"
"12/07/2022","7,38","7,25","7,38","7,25","10,54K","1,79%"
"11/07/2022","7,25","7,05","7,25","7,05","13,99K","2,84%"
"08/07/2022","7,05","7,05","7,10","7,05","13,27K","0,00%"
"07/07/2022","7,05","7,00","7,05","6,95","9,96K","0,71%"
"06/07/2022","7,00","6,99","7,10","6,95","14,20K","-3,85%"
"05/07/2022","7,28","7,27","7,30","7,27","2,31K","0,00%"
"04/07/2022","7,28","7,28","7,28","7,28","0,36K","0,00%"
"01/07/2022","7,28","7,19","7,28","7,15","2,93K","1,96%"
"30/06/2022","7,14","7,14","7,17","7,14","6,02K","-0,42%"
"29/06/2022","7,17","7,18","7,18","7,15","1,46K","-0,28%"
"28/06/2022","7,19","7,20","7,20","7,19","1,00K","-1,10%"
"27/06/2022","7,27","7,33","7,33","7,20","3,87K","-0,27%"
"24/06/2022","7,29","7,25","7,35","7,20","18,63K","-2,02%"
"23/06/2022","7,44","7,39","7,44","7,39","19,52K","0,68%"
"22/06/2022","7,39","7,34","7,39","7,25","23,01K","0,68%"
"21/06/2022","7,34","7,24","7,35","7,20","34,26K","1,94%"
"20/06/2022","7,20","6,90","7,24","6,90","40,39K","4,35%"
"17/06/2022","6,90","6,90","6,90","6,86","15,48K","0,00%"
"16/06/2022","6,90","6,95","6,99","6,90","5,41K","-1,29%"
"15/06/2022","6,99","7,00","7,09","6,90","19,72K","0,72%"
"14/06/2022","6,94","6,97","6,97","6,80","31,68K","2,51%"
"13/06/2022","6,77","6,80","6,80","6,77","0,76K","-1,74%"
"10/06/2022","6,89","6,89","6,89","6,89","0,75K","0,00%"
"09/06/2022","6,89","6,99","6,99","6,80","10,38K","1,32%"
"08/06/2022","6,80","6,80","6,95","6,80","4,64K","-2,72%"
"07/06/2022","6,99","6,87","6,99","6,85","3,57K","1,75%"
"06/06/2022","6,87","6,90","6,98","6,87","1,07K","-1,58%"
"03/06/2022","6,98","6,97","6,98","6,97","1,62K","0,43%"
"02/06/2022","6,95","6,95","6,95","6,95","1,32K","0,00%"
"01/06/2022","6,95","6,95","6,95","6,90","0,11K","-0,71%"
"31/05/2022","7,00","6,99","7,00","6,88","0,86K","0,14%"
"30/05/2022","6,99","6,95","7,05","6,91","10,43K","1,16%"
"27/05/2022","6,91","6,87","7,00","6,87","4,14K","0,58%"
"26/05/2022","6,87","7,00","7,00","6,87","2,73K","-1,58%"
"25/05/2022","6,98","7,08","7,08","6,85","6,81K","-0,29%"
"24/05/2022","7,00","7,00","7,00","7,00","6,72K","0,72%"
"23/05/2022","6,95","7,08","7,08","6,95","9,18K","-2,11%"
"19/05/2022","7,10","6,95","7,10","6,95","0,18K","1,43%"
"18/05/2022","7,00","6,97","7,00","6,95","0,36K","0,43%"
"17/05/2022","6,97","6,96","7,00","6,96","1,79K","-0,43%"
"16/05/2022","7,00","7,00","7,08","7,00","5,53K","-1,41%"
"13/05/2022","7,10","7,05","7,10","7,00","1,08K","-1,11%"
"12/05/2022","7,18","6,96","7,18","6,90","2,43K","2,57%"
"10/05/2022","7,00","7,00","7,00","7,00","16,60K","0,00%"
"09/05/2022","7,00","7,07","7,10","7,00","2,94K","-1,41%"
"06/05/2022","7,10","7,20","7,20","7,06","2,04K","0,00%"
"05/05/2022","7,10","7,20","7,20","7,10","1,86K","-0,70%"
"04/05/2022","7,15","7,10","7,15","7,10","1,01K","-0,69%"
"29/04/2022","7,20","7,20","7,20","7,20","0,50K","0,00%"
"28/04/2022","7,20","7,15","7,20","7,03","4,36K","1,41%"
"27/04/2022","7,10","7,10","7,10","7,10","1,27K","-1,66%"
"26/04/2022","7,22","7,15","7,23","7,10","9,52K","0,98%"
"25/04/2022","7,15","7,25","7,25","7,15","11,50K","0,00%"
"22/04/2022","7,15","7,31","7,31","7,15","1,45K","-0,69%"
"21/04/2022","7,20","7,25","7,25","7,15","3,21K","-0,69%"
"20/04/2022","7,25","7,25","7,34","7,15","3,14K","-1,23%"
"19/04/2022","7,34","7,25","7,34","7,25","4,48K","0,55%"
"18/04/2022","7,30","7,20","7,30","7,18","15,57K","0,00%"
"15/04/2022","7,30","7,25","7,30","7,20","1,42K","-0,68%"
"14/04/2022","7,35","7,18","7,35","7,18","0,96K","2,08%"
"13/04/2022","7,20","7,24","7,24","7,20","1,92K","-2,44%"
"12/04/2022","7,38","7,38","7,38","7,38","0,35K","0,00%"
"11/04/2022","7,38","7,40","7,40","7,22","4,61K","1,79%"
"08/04/2022","7,25","7,35","7,35","7,25","3,00K","0,00%"
"07/04/2022","7,25","7,26","7,26","7,25","0,84K","-0,14%"
"06/04/2022","7,26","7,26","7,26","7,26","0,01K","-1,22%"
"05/04/2022","7,35","7,35","7,35","7,35","0,01K","1,52%"
"04/04/2022","7,24","7,24","7,24","7,23","0,79K","-1,90%"
"01/04/2022","7,38","7,25","7,38","7,22","0,53K","-1,20%"
"30/03/2022","7,47","7,23","7,47","7,23","0,02K","3,03%"
"29/03/2022","7,25","7,24","7,35","7,24","22,93K","0,14%"
"28/03/2022","7,24","7,48","7,48","7,24","8,07K","-3,47%"
"25/03/2022","7,50","7,64","7,64","7,28","4,70K","2,04%"
"24/03/2022","7,35","7,30","7,35","7,30","0,81K","0,00%"
"23/03/2022","7,35","7,28","7,49","7,28","13,90K","0,68%"
"22/03/2022","7,30","7,31","7,31","7,28","8,50K","-0,68%"
"21/03/2022","7,35","7,50","7,50","7,35","4,08K","-1,87%"
"18/03/2022","7,49","7,38","7,49","7,38","0,23K","1,22%"
"17/03/2022","7,40","7,40","7,41","7,40","1,31K","-1,07%"
"16/03/2022","7,48","7,44","7,48","7,44","2,91K","0,54%"
"15/03/2022","7,44","7,35","7,44","7,30","21,85K","0,54%"
"14/03/2022","7,40","7,35","7,40","7,35","0,05K","-0,40%"
"11/03/2022","7,43","7,45","7,45","7,34","0,27K","0,81%"
"10/03/2022","7,37","7,37","7,40","7,37","1,24K","-1,07%"
"09/03/2022","7,45","7,49","7,49","7,40","4,71K","-0,53%"
"08/03/2022","7,49","7,48","7,50","7,37","5,00K","1,22%"
"07/03/2022","7,40","7,38","7,50","7,36","2,69K","-1,33%"
"04/03/2022","7,50","7,50","7,69","7,50","0,65K","-1,96%"
"03/03/2022","7,65","7,30","7,45","7,30","4,36K","2,00%"
"02/03/2022","7,50","7,50","7,50","7,35","0,58K","2,74%"
"01/03/2022","7,30","7,39","7,50","7,22","42,54K","0,00%"
"28/02/2022","7,30","7,39","7,39","7,23","6,54K","-1,22%"
"25/02/2022","7,39","7,29","7,39","7,24","6,76K","-0,67%"
"24/02/2022","7,44","7,35","7,49","7,30","2,65K","-0,80%"
"23/02/2022","7,50","7,32","7,54","7,32","0,53K","-0,53%"
"22/02/2022","7,54","7,32","7,54","7,32","7,80K","0,00%"
"21/02/2022","7,54","7,49","7,59","7,41","3,51K","-0,66%"
"18/02/2022","7,59","7,65","7,65","7,51","1,49K","-0,39%"
"17/02/2022","7,62","7,48","7,62","7,48","13,29K","1,60%"
"16/02/2022","7,50","7,27","7,50","7,27","5,61K","1,35%"
"15/02/2022","7,40","7,34","7,50","7,34","4,31K","0,68%"
"14/02/2022","7,35","7,35","7,35","7,35","0,10K","-0,54%"
"11/02/2022","7,39","7,40","7,40","7,22","4,14K","0,14%"
"10/02/2022","7,38","7,38","7,38","7,38","0,11K","0,00%"
"09/02/2022","7,38","7,30","7,38","7,29","5,81K","-0,27%"
"08/02/2022","7,40","7,29","7,45","7,29","12,13K","0,27%"
"07/02/2022","7,38","7,39","7,39","7,30","0,94K","0,54%"
"04/02/2022","7,34","7,29","7,35","7,19","1,85K","1,66%"
"03/02/2022","7,22","7,23","7,27","7,22","4,75K","-0,96%"
"02/02/2022","7,29","7,21","7,35","7,21","3,08K","0,00%"
"01/02/2022","7,29","7,21","7,32","7,20","5,74K","-0,41%"
"31/01/2022","7,32","7,23","7,35","7,20","3,29K","1,39%"
"28/01/2022","7,22","7,21","7,39","7,21","0,24K","-2,43%"
"27/01/2022","7,40","7,50","7,50","7,20","3,77K","-0,94%"
"26/01/2022","7,47","7,25","7,47","7,20","5,74K","-0,40%"
"25/01/2022","7,50","7,20","7,50","7,20","0,62K","3,45%"
"24/01/2022","7,25","7,50","7,50","7,16","0,52K","-8,23%"
"22/01/2022","7,90","7,90","7,90","7,90","","5,33%"
"21/01/2022","7,50","7,46","7,70","7,45","18,19K","0,67%"
"20/01/2022","7,45","7,47","7,47","7,43","2,56K","0,13%"
"19/01/2022","7,44","7,23","7,44","7,23","2,53K","3,05%"
"18/01/2022","7,22","7,10","7,22","7,09","84,55K","1,69%"
"17/01/2022","7,10","7,14","7,14","7,07","6,66K","-1,93%"
"14/01/2022","7,24","7,18","7,25","7,16","9,63K","-0,41%"
