"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/03/2023","3,0678","3,0667","3,0688","3,0552","","0,37%"
"29/03/2023","3,0565","3,0900","3,1000","3,0483","","-1,08%"
"28/03/2023","3,0900","3,1000","3,1000","3,0607","","-0,32%"
"27/03/2023","3,1000","3,0829","3,1003","3,0621","","0,00%"
"24/03/2023","3,1000","3,0569","3,1056","3,0470","","0,54%"
"23/03/2023","3,0835","3,0532","3,0841","3,0383","","0,98%"
"22/03/2023","3,0535","3,0704","3,1000","3,0471","","-0,54%"
"21/03/2023","3,0702","3,1010","3,1074","3,0657","","-0,99%"
"20/03/2023","3,1010","3,1181","3,1181","3,0978","","0,45%"
"17/03/2023","3,0871","3,1014","3,1328","3,0833","","-0,44%"
"16/03/2023","3,1008","3,1231","3,1486","3,0900","","-1,36%"
"15/03/2023","3,1436","3,1256","3,1689","3,0756","","0,57%"
"14/03/2023","3,1257","3,0936","3,1418","3,0835","","1,01%"
"13/03/2023","3,0945","3,1227","3,1227","3,0751","","-0,95%"
"10/03/2023","3,1242","3,1389","3,1496","3,0799","","-0,15%"
"09/03/2023","3,1289","3,1429","3,1744","3,0900","","-1,40%"
"08/03/2023","3,1733","3,1409","3,1747","3,1205","","0,39%"
"07/03/2023","3,1609","3,1068","3,1634","3,0818","","1,40%"
"06/03/2023","3,1172","3,1282","3,1523","3,0895","","-0,12%"
"03/03/2023","3,1211","3,1308","3,1572","3,0900","","-0,95%"
"02/03/2023","3,1510","3,1261","3,1571","3,1151","","0,77%"
"01/03/2023","3,1268","3,1352","3,1604","3,0900","","-0,91%"
"28/02/2023","3,1554","3,1264","3,1609","3,1188","","0,29%"
"27/02/2023","3,1464","3,1105","3,1650","3,0900","","0,85%"
"24/02/2023","3,1200","3,1106","3,1417","3,0900","","0,62%"
"23/02/2023","3,1008","3,1088","3,1424","3,0900","","0,06%"
"22/02/2023","3,0988","3,1171","3,1477","3,0864","","-1,53%"
"21/02/2023","3,1471","3,1113","3,1480","3,0809","","0,52%"
"20/02/2023","3,1309","3,0865","3,1411","3,0826","","1,47%"
"17/02/2023","3,0855","3,0900","3,1451","3,0841","","-0,12%"
"16/02/2023","3,0893","3,0959","3,1435","3,0755","","0,10%"
"15/02/2023","3,0862","3,1102","3,1357","3,0736","","-0,45%"
"14/02/2023","3,1002","3,0905","3,1307","3,0586","","-0,95%"
"13/02/2023","3,1298","3,1032","3,1347","3,0715","","0,70%"
"10/02/2023","3,1079","3,1059","3,1405","3,0740","","0,39%"
"09/02/2023","3,0959","3,1019","3,1233","3,0584","","-0,19%"
