16/02/2023,1.80,1.80,1.82,1.80,8 159,14 768,-1.10%
15/02/2023,1.82,1.82,1.82,1.82,1 800,3 276,0.00%
14/02/2023,1.82,1.82,1.82,1.80,31 272,56 602,0.00%
13/02/2023,1.82,1.82,1.83,1.81,16 982,30 907,-0.55%
10/02/2023,1.83,1.83,1.83,1.83,2 687,4 917,0.00%
09/02/2023,1.83,1.83,1.84,1.81,4 700,8 578,-0.54%
08/02/2023,1.84,1.84,1.86,1.82,6 101,11 226,-1.08%
06/02/2023,1.86,1.86,1.86,1.83,58,107,0.54%
03/02/2023,1.85,1.85,1.86,1.83,15 553,28 695,-0.54%
02/02/2023,1.86,1.86,1.86,1.83,46 901,86 532,0.54%
01/02/2023,1.85,1.85,1.86,1.83,67 400,124 353,-0.54%
31/01/2023,1.86,1.86,1.87,1.83,25 380,46 953,-0.53%
30/01/2023,1.87,1.87,1.89,1.85,1 494,2 794,-0.53%
27/01/2023,1.88,1.88,1.89,1.83,36 985,68 792,1.08%
26/01/2023,1.86,1.86,1.86,1.84,44 779,82 841,0.00%
25/01/2023,1.86,1.86,1.86,1.84,4 710,8 714,0.54%
24/01/2023,1.85,1.85,1.87,1.85,18 182,33 819,-1.07%
23/01/2023,1.87,1.87,1.89,1.87,1 220,2 294,-1.06%
20/01/2023,1.89,1.89,1.91,1.89,845,1 606,-1.05%
19/01/2023,1.91,1.91,1.91,1.89,3 355,6 375,0.53%
18/01/2023,1.90,1.90,1.91,1.89,52 755,100 235,0.00%
17/01/2023,1.90,1.90,1.91,1.87,391 532,739 995,1.60%
16/01/2023,1.87,1.87,1.87,1.84,138 255,256 463,0.00%
13/01/2023,1.87,1.87,1.89,1.86,9 346,17 524,-1.06%
12/01/2023,1.89,1.89,1.89,1.83,72 488,134 828,0.53%
11/01/2023,1.88,1.88,1.91,1.87,4 284,8 097,-1.57%
10/01/2023,1.91,1.91,1.91,1.87,47 357,89 505,0.53%
09/01/2023,1.90,1.90,1.92,1.88,33 357,63 378,-1.04%
06/01/2023,1.92,1.92,1.92,1.88,46 967,89 237,0.52%
05/01/2023,1.91,1.91,1.91,1.88,64 782,122 762,0.00%
04/01/2023,1.91,1.91,1.91,1.88,86 796,164 478,0.53%
03/01/2023,1.90,1.90,1.91,1.88,99 353,188 274,0.00%
02/01/2023,1.90,1.90,1.90,1.87,62 392,117 609,0.00%
30/12/2022,1.90,1.90,1.90,1.82,218 910,407 173,1.06%
29/12/2022,1.88,1.88,1.88,1.83,17 292,32 077,-0.53%
28/12/2022,1.89,1.89,1.89,1.80,57 831,106 698,2.16%
27/12/2022,1.85,1.85,1.89,1.80,219 994,405 889,-2.12%
26/12/2022,1.89,1.89,1.89,1.86,15 830,29 681,0.00%
23/12/2022,1.89,1.89,1.90,1.85,84 105,157 697,-0.53%
