16/02/2023,1.24,1.24,1.24,1.24,39,48,0.00%
15/02/2023,1.24,1.24,1.29,1.24,2 662,3 367,-3.88%
13/02/2023,1.29,1.29,1.29,1.29,50,65,0.00%
09/02/2023,1.29,1.29,1.30,1.29,2 550,3 302,-0.77%
07/02/2023,1.30,1.30,1.30,1.29,342,443,0.78%
03/02/2023,1.29,1.29,1.29,1.27,2 000,2 560,1.57%
02/02/2023,1.27,1.27,1.27,1.26,2 825,3 574,0.79%
01/02/2023,1.26,1.26,1.31,1.26,16,21,-3.82%
26/01/2023,1.31,1.31,1.31,1.26,158,203,0.00%
24/01/2023,1.31,1.31,1.37,1.31,1 350,1 809,-8.39%
13/01/2023,1.43,1.43,1.43,1.38,18 687,26 255,3.62%
12/01/2023,1.38,1.38,1.38,1.33,67 923,92 036,3.76%
11/01/2023,1.33,1.33,1.39,1.33,3 835,5 216,-7.64%
10/01/2023,1.44,1.44,1.45,1.44,229,331,-4.64%
06/01/2023,1.51,1.51,1.54,1.51,7 700,11 743,-1.95%
05/01/2023,1.54,1.54,1.61,1.54,400,630,-12.00%
28/12/2022,1.75,1.75,1.75,1.75,5 000,8 750,0.00%
27/12/2022,1.75,1.75,1.78,1.75,3 620,6 389,-1.69%
23/12/2022,1.78,1.78,1.78,1.78,500,890,0.00%
22/12/2022,1.78,1.78,1.78,1.75,2 088,3 685,1.71%
21/12/2022,1.75,1.75,1.75,1.75,1 000,1 750,0.00%
20/12/2022,1.75,1.75,1.75,1.74,1 500,2 618,0.57%
19/12/2022,1.74,1.74,1.74,1.70,500,860,2.35%
16/12/2022,1.70,1.70,1.70,1.68,1 000,1 690,1.19%
15/12/2022,1.68,1.68,1.68,1.68,324,544,0.00%
14/12/2022,1.68,1.68,1.68,1.67,85,142,0.60%
13/12/2022,1.67,1.67,1.67,1.60,40,65,4.37%
12/12/2022,1.60,1.60,1.60,1.55,411,647,3.23%
09/12/2022,1.55,1.55,1.55,1.49,810,1 231,4.03%
08/12/2022,1.49,1.49,1.54,1.49,3 646,5 524,-3.25%
07/12/2022,1.54,1.54,1.54,1.49,2 447,3 707,3.36%
06/12/2022,1.49,1.49,1.49,1.49,1 209,1 801,0.00%
05/12/2022,1.49,1.49,1.49,1.48,728,1 081,0.68%
02/12/2022,1.48,1.48,1.48,1.44,841,1 228,2.78%
01/12/2022,1.44,1.44,1.44,1.40,4 950,7 029,2.86%
30/11/2022,1.40,1.40,1.40,1.35,778,1 070,3.70%
29/11/2022,1.35,1.35,1.35,1.35,604,815,0.00%
28/11/2022,1.35,1.35,1.35,1.35,124,167,0.00%
25/11/2022,1.35,1.35,1.35,1.33,850,1 139,1.50%
24/11/2022,1.33,1.33,1.33,1.28,147,192,3.91%
22/11/2022,1.28,1.28,1.28,1.23,221,277,8.47%
17/11/2022,1.20,1.20,1.20,1.20,269,323,0.00%
14/11/2022,1.20,1.20,1.20,1.20,30,36,0.00%
11/11/2022,1.20,1.20,1.20,1.20,6 760,8 112,0.00%
10/11/2022,1.20,1.20,1.20,1.20,722,866,0.00%
09/11/2022,1.20,1.20,1.20,1.20,2 517,3 020,0.00%
07/11/2022,1.20,1.20,1.20,1.20,100,120,0.00%
04/11/2022,1.20,1.20,1.24,1.20,246,300,-3.23%
24/10/2022,1.24,1.24,1.28,1.24,998,1 257,-3.13%
21/10/2022,1.28,1.28,1.31,1.28,202,262,-2.29%
19/10/2022,1.31,1.31,1.34,1.31,1 284,1 701,-2.24%
18/10/2022,1.34,1.34,1.34,1.34,534,716,0.00%
17/10/2022,1.34,1.34,1.34,1.29,40,53,3.88%
14/10/2022,1.29,1.29,1.29,1.28,1 858,2 388,4.03%
12/10/2022,1.24,1.24,1.24,1.24,1 185,1 469,0.00%
11/10/2022,1.24,1.24,1.26,1.24,2 634,3 293,-9.49%
06/10/2022,1.37,1.37,1.38,1.37,600,825,-0.72%
05/10/2022,1.38,1.38,1.38,1.36,550,754,1.47%
04/10/2022,1.36,1.36,1.36,1.33,100,135,2.26%
03/10/2022,1.33,1.33,1.33,1.29,20,26,7.26%
29/09/2022,1.24,1.24,1.24,1.24,1 836,2 277,0.00%
27/09/2022,1.24,1.24,1.24,1.24,50,62,0.00%
23/09/2022,1.24,1.24,1.24,1.23,797,984,0.00%
22/09/2022,1.24,1.24,1.29,1.24,553,700,-8.15%
20/09/2022,1.35,1.35,1.35,1.30,585,775,3.85%
14/09/2022,1.30,1.30,1.34,1.30,10,13,-7.14%
09/09/2022,1.40,1.40,1.40,1.39,20,28,0.72%
08/09/2022,1.39,1.39,1.39,1.38,619,857,0.72%
07/09/2022,1.38,1.38,1.38,1.38,508,701,0.00%
06/09/2022,1.38,1.38,1.38,1.35,23,31,2.22%
05/09/2022,1.35,1.35,1.35,1.30,59,78,3.85%
02/09/2022,1.30,1.30,1.30,1.25,40,51,4.00%
01/09/2022,1.25,1.25,1.25,1.25,286,358,0.00%
31/08/2022,1.25,1.25,1.29,1.24,620,784,-3.10%
30/08/2022,1.29,1.29,1.29,1.29,100,129,0.00%
26/08/2022,1.29,1.29,1.30,1.29,311,403,-0.77%
25/08/2022,1.30,1.30,1.30,1.26,31,40,3.17%
23/08/2022,1.26,1.26,1.26,1.25,1 894,2 377,0.80%
18/08/2022,1.23,1.23,1.28,1.23,4 881,6 126,-3.91%
17/08/2022,1.28,1.28,1.31,1.28,539,698,-2.29%
16/08/2022,1.31,1.31,1.31,1.31,15,20,0.00%
15/08/2022,1.31,1.31,1.31,1.31,21,28,0.00%
12/08/2022,1.31,1.31,1.31,1.31,1,1,0.00%
11/08/2022,1.31,1.31,1.31,1.31,15,20,0.00%
10/08/2022,1.31,1.31,1.31,1.31,103,135,0.00%
09/08/2022,1.31,1.31,1.31,1.30,33,43,0.77%
08/08/2022,1.30,1.30,1.30,1.28,1,1,1.56%
05/08/2022,1.28,1.28,1.28,1.23,1,1,4.07%
04/08/2022,1.23,1.23,1.28,1.23,362,454,-3.91%
03/08/2022,1.28,1.28,1.34,1.28,3 898,5 106,-4.48%
02/08/2022,1.34,1.34,1.40,1.34,1 304,1 786,-4.29%
01/08/2022,1.40,1.40,1.46,1.40,1 221,1 746,-7.89%
27/07/2022,1.52,1.52,1.59,1.52,1,2,-4.40%
26/07/2022,1.59,1.59,1.60,1.59,3,5,-0.63%
22/07/2022,1.60,1.60,1.64,1.60,358,580,-2.44%
21/07/2022,1.64,1.64,1.64,1.58,1,2,3.80%
20/07/2022,1.58,1.58,1.58,1.52,1,2,3.95%
19/07/2022,1.52,1.52,1.53,1.52,110,168,-0.65%
18/07/2022,1.53,1.53,1.58,1.53,416,647,-3.16%
15/07/2022,1.58,1.58,1.64,1.58,450,725,-3.66%
14/07/2022,1.64,1.64,1.71,1.64,1 880,3 149,-4.09%
11/07/2022,1.71,1.71,1.72,1.71,54,93,-0.58%
08/07/2022,1.72,1.72,1.72,1.65,4,7,4.24%
07/07/2022,1.65,1.65,1.65,1.58,2,3,4.43%
06/07/2022,1.58,1.58,1.68,1.58,70,114,-2.47%
05/07/2022,1.62,1.62,1.62,1.61,1,2,0.62%
04/07/2022,1.61,1.61,1.62,1.61,10,16,-0.62%
01/07/2022,1.62,1.62,1.63,1.62,81,132,-0.61%
30/06/2022,1.63,1.63,1.70,1.63,1,2,-4.12%
28/06/2022,1.70,1.70,1.70,1.70,1,2,0.00%
27/06/2022,1.70,1.70,1.70,1.70,2,3,0.00%
23/06/2022,1.70,1.70,1.70,1.66,4,7,18.88%
10/06/2022,1.43,1.43,1.43,1.41,340,483,-0.69%
09/06/2022,1.44,1.44,1.47,1.44,310,451,-8.86%
08/06/2022,1.58,1.58,1.58,1.53,14,22,3.27%
07/06/2022,1.53,1.53,1.53,1.49,2,3,-1.92%
06/06/2022,1.56,1.56,1.56,1.56,27,42,0.00%
03/06/2022,1.56,1.56,1.56,1.54,48,74,0.00%
30/05/2022,1.56,1.56,1.56,1.50,2,3,4.00%
19/05/2022,1.50,1.50,1.50,1.44,1 000,1 470,-9.64%
16/05/2022,1.66,1.66,1.66,1.64,1,2,9.93%
12/05/2022,1.51,1.51,1.51,1.51,1 890,2 854,-4.43%
11/05/2022,1.58,1.58,1.58,1.58,30,47,-8.14%
10/05/2022,1.72,1.72,1.72,1.65,1,2,0.00%
09/05/2022,1.72,1.72,1.72,1.72,73,126,-4.44%
05/05/2022,1.80,1.80,1.80,1.80,3 042,5 476,2.27%
29/04/2022,1.76,1.76,1.76,1.70,129,223,3.53%
28/04/2022,1.70,1.70,1.70,1.63,588,979,4.29%
27/04/2022,1.63,1.63,1.63,1.56,1 042,1 662,4.49%
26/04/2022,1.56,1.56,1.56,1.50,2 186,3 345,1.96%
25/04/2022,1.53,1.53,1.56,1.53,107,165,-1.92%
22/04/2022,1.56,1.56,1.70,1.56,109,178,-8.24%
18/04/2022,1.70,1.70,1.70,1.63,7 560,12 587,4.29%
15/04/2022,1.63,1.63,1.63,1.56,580,925,-4.12%
12/04/2022,1.70,1.70,1.70,1.70,119,202,8.97%
07/04/2022,1.56,1.56,1.56,1.56,928,1 448,0.00%
06/04/2022,1.56,1.56,1.63,1.56,633,1 010,-4.29%
05/04/2022,1.63,1.63,1.69,1.63,1 267,2 103,-11.89%
17/03/2022,1.85,1.85,1.85,1.84,200,369,0.54%
16/03/2022,1.84,1.84,1.84,1.76,2 950,5 310,0.00%
15/03/2022,1.84,1.84,1.85,1.84,12 200,22 509,-0.54%
11/03/2022,1.85,1.85,1.85,1.85,185,342,0.00%
09/03/2022,1.85,1.85,1.85,1.85,2 315,4 283,0.00%
03/03/2022,1.85,1.85,1.85,1.84,200,369,0.54%
02/03/2022,1.84,1.84,1.84,1.83,76,139,0.55%
01/03/2022,1.83,1.83,1.86,1.80,313,573,1.67%
25/02/2022,1.80,1.80,1.80,1.80,2,4,0.00%
24/02/2022,1.80,1.80,1.81,1.80,255,460,0.00%
23/02/2022,1.80,1.80,1.81,1.80,604,1 090,-0.55%
22/02/2022,1.81,1.81,1.81,1.81,632,1 144,0.00%
21/02/2022,1.81,1.81,1.81,1.81,291,527,0.00%
17/02/2022,1.74,1.74,1.74,1.67,106,181,4.19%
16/02/2022,1.67,1.67,1.67,1.67,401,670,0.00%
15/02/2022,1.67,1.67,1.67,1.60,2 709,4 429,4.37%
11/02/2022,1.60,1.60,1.66,1.60,507,826,-3.61%
