16/02/2023,21.50,21.50,21.60,21.50,350,7 543,-0.46%
15/02/2023,21.60,21.60,21.60,21.50,690,14 870,0.47%
14/02/2023,21.50,21.50,21.51,21.50,374,8 043,0.00%
13/02/2023,21.50,21.50,21.50,21.50,22,473,0.00%
10/02/2023,21.50,21.50,21.50,21.20,957,20 432,1.42%
09/02/2023,21.20,21.20,21.20,21.20,955,20 246,0.00%
08/02/2023,21.20,21.20,21.50,21.20,340,7 259,-1.40%
07/02/2023,21.50,21.50,21.50,21.20,232,4 953,0.00%
06/02/2023,21.50,21.50,21.50,21.17,561,11 969,0.00%
03/02/2023,21.50,21.50,21.60,21.49,487,10 492,0.00%
02/02/2023,21.50,21.50,21.60,21.37,202,4 340,-0.46%
01/02/2023,21.60,21.60,21.60,21.60,275,5 940,0.00%
31/01/2023,21.60,21.60,22.00,21.50,4 794,104 270,-0.92%
30/01/2023,21.80,21.80,22.18,21.80,1 135,24 959,-1.71%
27/01/2023,22.18,22.18,22.19,21.80,385,8 468,-0.05%
25/01/2023,22.19,22.19,22.25,22.00,281,6 217,-0.27%
24/01/2023,22.25,22.25,22.30,22.25,57,1 270,-0.22%
23/01/2023,22.30,22.30,22.30,21.80,482,10 628,1.36%
20/01/2023,22.00,22.00,22.30,22.00,12 643,280 042,-1.35%
19/01/2023,22.30,22.30,22.30,21.99,3 694,81 804,1.41%
18/01/2023,21.99,21.99,22.00,21.99,235,5 169,-0.05%
16/01/2023,22.00,22.00,22.30,21.40,772,16 868,-1.30%
13/01/2023,22.29,22.29,22.29,21.50,7 050,154 360,1.78%
12/01/2023,21.90,21.90,22.52,21.90,459,10 194,-2.75%
11/01/2023,22.52,22.52,22.52,22.00,3 148,70 074,0.00%
10/01/2023,22.52,22.52,22.52,22.14,878,19 606,0.00%
09/01/2023,22.52,22.52,22.52,22.29,2 094,46 916,0.00%
06/01/2023,22.52,22.52,22.52,22.10,5 454,121 679,0.00%
05/01/2023,22.52,22.52,23.50,22.09,74,1 687,-4.17%
04/01/2023,23.50,23.50,23.80,23.50,1 221,28 877,-1.26%
03/01/2023,23.80,23.80,23.90,23.80,2 231,53 209,-0.42%
02/01/2023,23.90,23.90,24.20,23.90,1 312,31 554,-1.24%
30/12/2022,24.20,24.20,24.20,23.95,7 375,177 553,0.83%
29/12/2022,24.00,24.00,24.20,23.88,6 995,168 160,0.42%
28/12/2022,23.90,23.90,23.90,23.20,6 571,154 747,3.02%
27/12/2022,23.20,23.20,23.20,22.15,4 110,93 194,4.74%
26/12/2022,22.15,22.15,22.15,20.90,2 916,62 767,5.98%
23/12/2022,20.90,20.90,21.00,20.89,4 343,90 964,0.05%
