"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/02/2023","35,50","35,50","35,50","35,50","0,01K","0,00%"
"06/02/2023","35,50","35,50","35,50","35,50","0,01K","4,41%"
"13/01/2023","34,00","34,00","34,00","34,00","0,06K","0,00%"
"11/01/2023","34,00","34,00","34,00","34,00","0,04K","0,00%"
"10/01/2023","34,00","34,00","34,00","34,00","0,02K","-2,86%"
"02/01/2023","35,00","35,00","35,00","35,00","0,05K","-1,49%"
"30/12/2022","35,53","35,53","35,53","35,53","0,55K","4,50%"
"29/12/2022","34,00","34,00","34,00","34,00","0,04K","-3,95%"
"26/12/2022","35,40","35,40","35,40","35,40","0,00K","0,37%"
"23/12/2022","35,27","35,27","35,27","35,27","0,09K","-0,23%"
"21/12/2022","35,35","35,35","35,35","35,35","0,08K","4,49%"
"19/12/2022","33,83","33,83","33,83","33,83","0,10K","-4,49%"
"15/12/2022","35,42","35,42","35,42","35,42","0,14K","-0,20%"
"13/12/2022","35,49","35,49","35,49","35,49","0,05K","1,40%"
"12/12/2022","35,00","35,00","35,00","35,00","0,04K","4,48%"
"09/12/2022","33,50","33,50","33,50","33,50","0,06K","-5,61%"
"07/12/2022","35,49","35,49","35,49","35,49","0,27K","1,40%"
"05/12/2022","35,00","35,00","35,00","35,00","0,05K","4,48%"
"30/11/2022","33,50","33,50","33,50","33,50","0,33K","0,00%"
"25/11/2022","33,50","33,50","33,50","33,50","0,18K","3,08%"
"24/11/2022","32,50","32,50","32,50","32,50","0,01K","4,40%"
"23/11/2022","31,13","31,13","31,13","31,13","0,04K","9,19%"
"10/11/2022","28,51","28,51","28,51","28,51","0,01K","-3,36%"
"20/10/2022","29,50","29,50","29,50","29,50","0,01K","0,00%"
"18/10/2022","29,50","29,50","29,50","29,50","0,09K","-0,03%"
"17/10/2022","29,51","29,51","29,51","29,51","0,02K","0,03%"
"03/10/2022","29,50","29,50","29,50","29,50","0,09K","0,00%"
"23/09/2022","29,50","29,50","29,50","29,50","0,02K","-3,91%"
"22/09/2022","30,70","30,70","30,70","30,70","0,03K","-4,06%"
"21/09/2022","32,00","32,00","32,00","32,00","0,03K","-4,48%"
"19/09/2022","33,50","33,50","33,50","33,50","0,03K","-1,47%"
"15/09/2022","34,00","34,00","34,00","34,00","0,03K","-2,83%"
"14/09/2022","34,99","34,99","34,99","34,99","0,02K","3,28%"
"26/08/2022","33,88","33,88","33,88","33,88","0,01K","1,13%"
"23/08/2022","33,50","33,50","33,50","33,50","0,01K","0,00%"
"18/08/2022","33,50","33,50","33,50","33,50","0,01K","0,00%"
"16/08/2022","33,50","33,50","33,50","33,50","0,00K","3,43%"
"04/08/2022","32,39","32,39","32,39","32,39","0,00K","4,48%"
"27/07/2022","31,00","31,00","31,00","31,00","0,02K","-4,26%"
"05/07/2022","32,38","32,38","32,38","32,38","0,04K","-4,48%"
"28/06/2022","33,90","33,90","33,90","33,90","0,08K","-0,03%"
"14/06/2022","33,91","33,91","33,91","33,91","0,03K","-4,48%"
"08/06/2022","35,50","35,50","35,50","35,50","0,13K","1,43%"
"24/05/2022","35,00","35,00","35,00","35,00","0,15K","-1,27%"
"20/05/2022","35,45","35,45","35,45","35,45","0,06K","0,00%"
"19/05/2022","35,45","35,45","35,45","35,45","0,02K","-0,14%"
"18/05/2022","35,50","35,50","35,50","35,50","0,04K","0,00%"
"17/05/2022","35,50","35,50","35,50","35,50","0,05K","0,00%"
"13/05/2022","35,50","35,50","35,50","35,50","0,09K","0,00%"
"12/05/2022","35,50","35,50","35,50","35,50","0,03K","0,00%"
"11/05/2022","35,50","35,50","35,50","35,50","0,06K","0,00%"
"06/05/2022","35,50","35,50","35,50","35,50","0,25K","3,26%"
"26/04/2022","34,38","34,38","34,38","34,38","0,05K","-4,50%"
"19/04/2022","36,00","36,00","36,00","36,00","0,02K","-1,37%"
"06/04/2022","36,50","36,50","36,50","36,50","0,04K","0,00%"
"05/04/2022","36,50","36,50","36,50","36,50","0,01K","0,00%"
"18/02/2022","36,50","36,50","36,50","36,50","0,06K","-10,12%"
"10/02/2022","40,61","40,61","40,61","40,61","0,01K","0,00%"
"08/02/2022","40,61","40,61","40,61","40,61","0,01K","0,00%"
"07/02/2022","40,61","40,61","40,61","40,61","0,00K","0,00%"
"19/01/2022","40,61","40,61","40,61","40,61","0,02K","-6,00%"
"06/01/2022","43,20","43,20","43,20","43,20","0,05K","-0,02%"
"05/01/2022","43,21","43,21","43,21","43,21","0,11K","4,15%"
"04/01/2022","41,49","41,49","41,49","41,49","0,02K","0,00%"
"31/12/2021","41,49","41,49","41,49","41,49","0,20K","9,18%"
"29/12/2021","38,00","38,00","38,00","38,00","0,20K","0,00%"
"16/12/2021","38,00","38,00","38,00","38,00","0,01K","0,00%"
"15/12/2021","38,00","38,00","38,00","38,00","0,02K","0,00%"
"14/12/2021","38,00","38,00","38,00","38,00","0,03K","0,00%"
