"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","5,25","5,25","5,25","5,25","0,16K","-0,38%"
"28/03/2023","5,27","5,01","5,27","5,01","3,95K","5,40%"
"27/03/2023","5,00","5,01","5,01","5,00","0,25K","-0,20%"
"24/03/2023","5,01","5,01","5,01","4,95","8,73K","0,00%"
"23/03/2023","5,01","5,01","5,01","5,01","0,01K","0,20%"
"22/03/2023","5,00","5,01","5,01","4,95","1,29K","-0,20%"
"21/03/2023","5,01","5,01","5,01","4,97","2,51K","0,20%"
"17/03/2023","5,00","5,01","5,01","4,97","1,34K","0,00%"
"16/03/2023","5,00","5,01","5,01","5,00","0,57K","0,00%"
"15/03/2023","5,00","5,00","5,01","5,00","3,51K","0,00%"
"14/03/2023","5,00","5,01","5,01","5,00","2,33K","0,00%"
"13/03/2023","5,00","5,00","5,00","5,00","3,70K","0,00%"
"10/03/2023","5,00","5,00","5,00","5,00","0,45K","-1,77%"
"09/03/2023","5,09","5,01","5,09","5,01","18,06K","1,60%"
"08/03/2023","5,01","5,02","5,09","5,00","5,98K","-0,60%"
"07/03/2023","5,04","5,09","5,09","5,04","0,91K","-0,98%"
"06/03/2023","5,09","5,09","5,09","5,09","0,28K","1,39%"
"03/03/2023","5,02","5,01","5,09","5,01","5,52K","-1,38%"
"02/03/2023","5,09","5,02","5,09","5,02","0,71K","0,00%"
"01/03/2023","5,09","5,00","5,09","5,00","0,20K","0,20%"
"28/02/2023","5,08","5,09","5,09","5,00","2,57K","1,60%"
"27/02/2023","5,00","5,09","5,09","4,99","4,88K","-1,77%"
"24/02/2023","5,09","5,10","5,10","5,01","2,06K","1,60%"
"23/02/2023","5,01","5,01","5,01","5,00","2,99K","0,00%"
"22/02/2023","5,01","5,01","5,01","5,00","3,86K","-1,57%"
"21/02/2023","5,09","5,09","5,09","5,01","0,96K","0,00%"
"20/02/2023","5,09","5,04","5,09","4,98","1,68K","-0,20%"
"17/02/2023","5,10","5,13","5,13","5,00","1,56K","-0,58%"
"15/02/2023","5,13","5,04","5,13","5,04","0,73K","-0,19%"
"14/02/2023","5,14","5,16","5,16","5,05","0,16K","1,38%"
"13/02/2023","5,07","5,07","5,07","5,02","100,44K","0,00%"
"10/02/2023","5,07","5,07","5,07","5,07","5,14K","0,00%"
