"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","1,05","1,04","1,05","1,03","14,62K","0,96%"
"28/03/2023","1,04","1,04","1,05","1,03","36,65K","0,00%"
"27/03/2023","1,04","1,05","1,05","1,03","25,22K","0,00%"
"24/03/2023","1,04","1,04","1,05","1,03","20,06K","0,00%"
"23/03/2023","1,04","1,03","1,04","1,02","22,20K","0,00%"
"22/03/2023","1,04","1,04","1,04","1,02","30,84K","0,00%"
"21/03/2023","1,04","1,04","1,04","1,02","18,81K","-0,95%"
"17/03/2023","1,05","1,04","1,05","1,04","0,51K","0,00%"
"16/03/2023","1,05","1,05","1,05","1,04","8,40K","0,00%"
"15/03/2023","1,05","1,05","1,05","1,04","3,91K","0,00%"
"14/03/2023","1,05","1,05","1,05","1,04","31,81K","0,00%"
"13/03/2023","1,05","1,08","1,08","1,05","10,61K","-0,94%"
"10/03/2023","1,06","1,08","1,08","1,05","8,25K","0,00%"
"09/03/2023","1,06","1,08","1,08","1,06","6,92K","-1,85%"
"08/03/2023","1,08","1,10","1,10","1,06","2,66K","0,00%"
"07/03/2023","1,08","1,07","1,08","1,06","3,06K","0,00%"
"06/03/2023","1,08","1,08","1,08","1,06","2,05K","0,00%"
"03/03/2023","1,08","1,07","1,08","1,07","3,94K","0,00%"
"02/03/2023","1,08","1,08","1,08","1,06","0,44K","0,00%"
"01/03/2023","1,08","1,06","1,10","1,06","5,50K","-0,92%"
"28/02/2023","1,09","1,10","1,11","1,07","4,71K","-0,91%"
"27/02/2023","1,10","1,09","1,10","1,09","1,00K","1,85%"
"24/02/2023","1,08","1,06","1,08","1,06","0,02K","1,89%"
"23/02/2023","1,06","1,07","1,07","1,06","5,69K","-1,85%"
"22/02/2023","1,08","1,09","1,09","1,07","2,98K","-0,92%"
"21/02/2023","1,09","1,08","1,09","1,08","1,02K","0,00%"
"20/02/2023","1,09","1,08","1,10","1,08","2,48K","-0,91%"
"17/02/2023","1,10","1,10","1,13","1,09","23,41K","0,92%"
"16/02/2023","1,09","1,06","1,12","1,06","56,80K","2,83%"
"15/02/2023","1,06","1,06","1,06","1,05","1,22K","1,92%"
"14/02/2023","1,04","1,06","1,06","1,04","36,49K","-1,89%"
"13/02/2023","1,06","1,05","1,06","1,05","10,01K","1,92%"
"10/02/2023","1,04","1,06","1,06","1,04","24,52K","-0,95%"
"09/02/2023","1,05","1,07","1,07","1,05","16,96K","-1,87%"
"08/02/2023","1,07","1,07","1,07","1,05","23,02K","0,00%"
"07/02/2023","1,07","1,06","1,07","1,05","17,34K","-0,93%"
"06/02/2023","1,08","1,08","1,08","1,05","31,95K","-1,82%"
"03/02/2023","1,10","1,06","1,10","1,05","15,41K","-0,90%"
"02/02/2023","1,11","1,12","1,14","1,08","24,62K","-0,89%"
"01/02/2023","1,12","1,15","1,15","1,11","36,74K","-1,75%"
"31/01/2023","1,14","1,14","1,14","1,12","1,64K","0,00%"
"30/01/2023","1,14","1,14","1,17","1,12","51,05K","0,88%"
"27/01/2023","1,13","1,11","1,15","1,09","37,54K","2,73%"
"26/01/2023","1,10","1,09","1,14","1,09","46,36K","1,85%"
"25/01/2023","1,08","1,03","1,08","1,03","159,16K","5,88%"
"24/01/2023","1,02","1,04","1,04","1,02","16,33K","-1,92%"
"23/01/2023","1,04","1,04","1,04","1,01","22,70K","0,00%"
"20/01/2023","1,04","1,04","1,04","1,03","6,05K","0,00%"
"19/01/2023","1,04","1,04","1,04","1,02","17,06K","0,00%"
"18/01/2023","1,04","1,04","1,04","1,04","1,25K","-0,95%"
"17/01/2023","1,05","1,06","1,06","1,03","5,59K","0,00%"
"16/01/2023","1,05","1,04","1,05","1,03","21,13K","0,00%"
"13/01/2023","1,05","1,03","1,06","1,03","13,09K","0,96%"
"12/01/2023","1,04","1,02","1,05","1,02","19,25K","-0,95%"
"11/01/2023","1,05","1,04","1,05","1,01","11,10K","0,00%"
"10/01/2023","1,05","1,04","1,05","1,01","11,49K","-0,94%"
"09/01/2023","1,06","1,07","1,07","1,05","2,32K","0,00%"
"06/01/2023","1,06","1,03","1,07","1,03","7,94K","0,00%"
"05/01/2023","1,06","1,04","1,06","1,03","16,85K","0,95%"
"04/01/2023","1,05","1,05","1,07","1,03","27,03K","-1,87%"
"03/01/2023","1,07","1,05","1,07","1,04","4,35K","0,00%"
"02/01/2023","1,07","1,08","1,08","1,07","5,82K","-1,83%"
"30/12/2022","1,09","1,05","1,09","1,04","46,14K","3,81%"
"29/12/2022","1,05","1,05","1,05","1,04","18,16K","1,94%"
"28/12/2022","1,03","1,08","1,08","1,03","75,32K","-2,83%"
"27/12/2022","1,06","1,09","1,09","1,06","38,44K","-1,85%"
"26/12/2022","1,08","1,09","1,10","1,07","38,71K","0,00%"
"23/12/2022","1,08","1,08","1,10","1,07","70,71K","0,00%"
"22/12/2022","1,08","1,09","1,09","1,08","19,05K","-0,92%"
"21/12/2022","1,09","1,10","1,10","1,08","28,32K","-1,80%"
"20/12/2022","1,11","1,11","1,12","1,08","20,83K","0,00%"
"19/12/2022","1,11","1,11","1,14","1,11","1,54K","-2,63%"
"16/12/2022","1,14","1,13","1,14","1,13","0,12K","0,00%"
"15/12/2022","1,14","1,13","1,14","1,12","6,13K","0,00%"
"14/12/2022","1,14","1,13","1,15","1,13","4,26K","0,88%"
"13/12/2022","1,13","1,09","1,14","1,08","43,49K","3,67%"
"12/12/2022","1,09","1,09","1,12","1,07","28,90K","0,00%"
"09/12/2022","1,09","1,12","1,12","1,09","22,09K","-0,91%"
"08/12/2022","1,10","1,10","1,12","1,09","16,20K","-1,79%"
"07/12/2022","1,12","1,12","1,13","1,10","14,44K","0,00%"
"06/12/2022","1,12","1,12","1,12","1,12","0,79K","-0,88%"
"05/12/2022","1,13","1,16","1,16","1,13","12,02K","-2,59%"
"02/12/2022","1,16","1,17","1,17","1,14","8,55K","-0,85%"
"01/12/2022","1,17","1,16","1,17","1,16","47,60K","0,00%"
"30/11/2022","1,17","1,15","1,17","1,15","4,66K","0,00%"
"29/11/2022","1,17","1,20","1,20","1,17","6,61K","-1,68%"
"28/11/2022","1,19","1,16","1,19","1,16","62,57K","4,39%"
"25/11/2022","1,14","1,13","1,15","1,13","1,87K","-0,87%"
"24/11/2022","1,15","1,13","1,15","1,13","3,69K","1,77%"
"23/11/2022","1,13","1,15","1,15","1,13","17,95K","-1,74%"
"22/11/2022","1,15","1,15","1,15","1,13","32,97K","0,00%"
"21/11/2022","1,15","1,15","1,16","1,15","4,56K","-0,86%"
"18/11/2022","1,16","1,14","1,16","1,14","8,61K","0,00%"
"17/11/2022","1,16","1,15","1,17","1,14","12,55K","-0,85%"
"16/11/2022","1,17","1,17","1,17","1,15","18,69K","0,00%"
"15/11/2022","1,17","1,17","1,17","1,15","3,32K","0,00%"
"14/11/2022","1,17","1,17","1,17","1,15","5,41K","0,86%"
"11/11/2022","1,16","1,17","1,18","1,14","41,40K","-1,69%"
"10/11/2022","1,18","1,17","1,19","1,17","1,12K","0,00%"
"09/11/2022","1,18","1,19","1,19","1,16","7,38K","0,00%"
"08/11/2022","1,18","1,18","1,18","1,16","11,63K","0,85%"
"07/11/2022","1,17","1,18","1,18","1,15","0,93K","0,00%"
"04/11/2022","1,17","1,17","1,17","1,17","0,50K","-0,85%"
"03/11/2022","1,18","1,17","1,18","1,17","0,59K","0,00%"
"02/11/2022","1,18","1,15","1,18","1,15","4,86K","0,00%"
"01/11/2022","1,18","1,15","1,18","1,15","6,19K","-0,84%"
"31/10/2022","1,19","1,17","1,19","1,16","39,29K","0,00%"
"28/10/2022","1,19","1,17","1,19","1,16","19,73K","0,85%"
"27/10/2022","1,18","1,18","1,20","1,17","17,11K","-1,67%"
"26/10/2022","1,20","1,20","1,20","1,18","6,22K","1,69%"
"25/10/2022","1,18","1,18","1,20","1,18","9,75K","-2,48%"
"24/10/2022","1,21","1,20","1,21","1,20","9,59K","0,00%"
"21/10/2022","1,21","1,21","1,22","1,20","22,25K","-1,63%"
"20/10/2022","1,23","1,23","1,23","1,20","3,40K","0,00%"
"19/10/2022","1,23","1,20","1,23","1,20","27,55K","0,82%"
"18/10/2022","1,22","1,24","1,24","1,19","3,09K","-0,81%"
"17/10/2022","1,23","1,19","1,23","1,19","29,23K","1,65%"
