"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/03/2023","55,80","55,80","55,80","55,80","0,15K","0,00%"
"22/03/2023","55,80","55,80","55,80","55,80","0,11K","0,00%"
"21/03/2023","55,80","55,80","55,80","55,80","0,05K","0,00%"
"17/03/2023","55,80","55,80","55,80","55,80","0,08K","0,00%"
"15/03/2023","55,80","55,80","55,80","55,80","0,16K","0,00%"
"14/03/2023","55,80","55,80","55,80","55,80","0,25K","0,02%"
"13/03/2023","55,79","55,79","55,79","55,79","0,29K","0,00%"
"10/03/2023","55,79","55,79","55,79","55,79","0,33K","-0,02%"
"09/03/2023","55,80","55,80","55,80","55,80","0,21K","0,00%"
"08/03/2023","55,80","55,80","55,80","55,80","0,27K","0,00%"
"07/03/2023","55,80","55,80","55,80","55,80","0,03K","-0,32%"
"27/02/2023","55,98","55,98","55,98","55,98","0,86K","0,25%"
"22/02/2023","55,84","55,84","55,84","55,84","0,24K","4,37%"
"21/02/2023","53,50","53,50","53,50","53,50","0,12K","-4,24%"
"16/02/2023","55,87","55,87","55,87","55,87","0,06K","-0,20%"
"30/01/2023","55,98","55,98","55,98","55,98","0,30K","0,00%"
"25/01/2023","55,98","55,98","55,98","55,98","0,33K","0,00%"
"24/01/2023","55,98","55,98","55,98","55,98","0,50K","-0,02%"
"20/01/2023","55,99","55,99","55,99","55,99","0,50K","0,00%"
"19/01/2023","55,99","55,99","55,99","55,99","1,50K","4,32%"
"18/01/2023","53,67","53,67","53,67","53,67","0,12K","-4,48%"
"13/01/2023","56,19","56,19","56,19","56,19","4,21K","-0,02%"
"12/01/2023","56,20","56,20","56,20","56,20","1,50K","-0,16%"
"09/01/2023","56,29","56,29","56,29","56,29","0,21K","0,00%"
"05/01/2023","56,29","56,29","56,29","56,29","0,10K","-0,37%"
"02/01/2023","56,50","56,50","56,50","56,50","0,56K","0,89%"
"29/12/2022","56,00","56,10","56,10","56,00","1,20K","-0,48%"
"23/12/2022","56,27","56,29","56,34","56,27","8,85K","-0,21%"
"19/12/2022","56,39","56,49","56,49","56,35","2,14K","-0,53%"
"13/12/2022","56,69","56,79","56,79","56,20","4,07K","-0,37%"
"12/12/2022","56,90","56,79","56,90","56,79","3,00K","1,43%"
"09/12/2022","56,10","56,10","56,10","56,10","0,10K","-1,53%"
"08/12/2022","56,97","56,97","56,97","56,97","2,00K","-0,04%"
"07/12/2022","56,99","56,95","56,99","56,70","8,06K","0,00%"
"06/12/2022","56,99","56,40","57,00","56,40","10,54K","0,89%"
"05/12/2022","56,49","53,50","56,71","53,50","14,01K","5,59%"
"02/12/2022","53,50","53,50","53,50","53,50","0,05K","-5,09%"
"29/11/2022","56,37","56,37","56,37","56,37","0,32K","-0,04%"
"24/11/2022","56,39","56,37","56,39","56,37","0,04K","0,02%"
"22/11/2022","56,38","54,61","56,38","51,34","3,05K","3,24%"
"21/11/2022","54,61","54,61","54,61","54,61","0,01K","-3,16%"
"15/11/2022","56,39","54,51","56,39","54,51","0,01K","-0,14%"
"09/11/2022","56,47","56,47","56,47","56,47","0,03K","0,00%"
"04/11/2022","56,47","56,47","56,47","56,47","0,00K","0,09%"
"02/11/2022","56,42","56,42","56,42","56,42","0,00K","-0,05%"
"28/10/2022","56,45","56,45","56,45","56,45","11,25K","-0,02%"
"27/10/2022","56,46","55,90","56,47","55,90","3,34K","1,00%"
"25/10/2022","55,90","56,00","56,00","55,90","0,12K","-0,18%"
"20/10/2022","56,00","56,00","56,00","56,00","0,05K","0,00%"
"11/10/2022","56,00","56,00","56,00","55,00","0,06K","2,73%"
"10/10/2022","54,51","54,51","54,51","54,51","0,22K","-2,66%"
"06/10/2022","56,00","56,00","56,00","56,00","0,00K","1,82%"
"05/10/2022","55,00","55,00","55,00","55,00","0,05K","-1,61%"
"04/10/2022","55,90","55,00","55,90","55,00","0,04K","1,64%"
"03/10/2022","55,00","55,00","55,00","55,00","0,04K","-1,79%"
"30/09/2022","56,00","55,00","56,00","55,00","0,01K","2,73%"
"29/09/2022","54,51","54,50","54,51","54,50","0,23K","-0,91%"
"28/09/2022","55,01","55,00","55,01","55,00","0,20K","-2,52%"
"23/09/2022","56,43","55,01","56,43","54,50","1,00K","1,68%"
"21/09/2022","55,50","55,50","55,50","55,50","1,23K","-1,68%"
"20/09/2022","56,45","56,45","56,45","56,45","0,00K","1,71%"
"19/09/2022","55,50","55,50","55,50","55,50","0,13K","-1,72%"
"12/09/2022","56,47","56,47","56,47","56,47","3,00K","-0,02%"
"09/09/2022","56,48","55,50","56,48","55,50","0,12K","-0,04%"
"06/09/2022","56,50","56,50","56,50","56,50","3,13K","-0,70%"
"31/08/2022","56,90","56,89","56,90","56,89","9,82K","0,00%"
"30/08/2022","56,90","56,50","56,90","56,50","0,73K","0,71%"
"29/08/2022","56,50","56,50","56,50","56,50","0,09K","-0,88%"
"26/08/2022","57,00","57,00","57,00","57,00","0,05K","0,00%"
"25/08/2022","57,00","57,00","57,00","57,00","0,20K","-0,87%"
"22/08/2022","57,50","56,50","57,50","56,50","0,81K","0,35%"
"19/08/2022","57,30","55,01","57,30","55,01","0,71K","0,00%"
"18/08/2022","57,30","56,00","57,30","55,90","1,31K","0,53%"
"17/08/2022","57,00","56,00","57,25","56,00","2,37K","-1,72%"
"12/08/2022","58,00","56,00","58,00","56,00","1,22K","2,47%"
"11/08/2022","56,60","55,95","56,60","55,95","1,68K","1,16%"
"09/08/2022","55,95","55,90","55,95","55,90","0,25K","0,00%"
"08/08/2022","55,95","55,00","55,95","54,90","0,84K","-0,62%"
"28/07/2022","56,30","55,00","56,30","55,00","0,48K","-0,09%"
"27/07/2022","56,35","55,00","56,35","55,00","0,28K","2,45%"
"26/07/2022","55,00","56,00","56,00","55,00","0,55K","-1,79%"
"22/07/2022","56,00","55,99","56,00","55,99","0,09K","-0,69%"
"18/07/2022","56,39","56,39","56,39","56,39","0,01K","-0,19%"
"12/07/2022","56,50","55,50","56,50","55,50","1,07K","-0,18%"
"07/07/2022","56,60","56,60","56,60","56,60","0,00K","0,53%"
"06/07/2022","56,30","56,30","56,30","56,30","0,50K","-0,71%"
"04/07/2022","56,70","56,70","56,70","56,70","0,00K","1,98%"
"01/07/2022","55,60","56,74","56,74","55,60","6,05K","-2,03%"
"30/06/2022","56,75","56,00","56,75","56,00","0,30K","1,34%"
"29/06/2022","56,00","56,00","56,00","56,00","0,40K","-1,32%"
"24/06/2022","56,75","56,74","56,75","56,74","0,20K","0,44%"
"22/06/2022","56,50","55,00","56,79","55,00","0,90K","-0,53%"
"21/06/2022","56,80","56,79","56,80","56,79","0,45K","0,00%"
"17/06/2022","56,80","56,40","56,80","56,40","0,47K","0,00%"
"16/06/2022","56,80","55,10","57,00","55,10","0,58K","3,09%"
"15/06/2022","55,10","57,50","57,50","55,10","0,56K","-4,09%"
"13/06/2022","57,45","57,45","57,45","57,45","0,02K","-0,26%"
"09/06/2022","57,60","57,60","57,60","57,60","0,36K","0,88%"
"08/06/2022","57,10","55,50","57,10","55,50","0,29K","1,96%"
"07/06/2022","56,00","56,51","56,51","56,00","0,38K","-2,86%"
"02/06/2022","57,65","57,70","57,70","57,65","0,02K","-0,57%"
"01/06/2022","57,98","57,98","57,98","57,98","0,05K","-3,35%"
"31/05/2022","59,99","59,00","59,99","59,00","5,42K","0,00%"
"30/05/2022","59,99","57,88","59,99","57,88","2,00K","3,47%"
"26/05/2022","57,98","57,70","58,00","57,70","0,92K","0,35%"
"25/05/2022","57,78","57,76","57,78","57,00","0,60K","2,03%"
"24/05/2022","56,63","57,78","57,78","56,21","2,75K","-2,02%"
"20/05/2022","57,80","57,84","57,84","57,80","1,25K","-0,14%"
"19/05/2022","57,88","57,90","57,90","57,88","2,90K","-0,21%"
"18/05/2022","58,00","58,00","58,00","58,00","0,40K","0,00%"
"17/05/2022","58,00","57,50","58,00","57,00","0,92K","0,00%"
"16/05/2022","58,00","58,00","58,00","58,00","0,30K","0,00%"
"13/05/2022","58,00","58,50","58,50","57,98","0,73K","-0,85%"
"12/05/2022","58,50","57,90","58,70","57,90","2,24K","0,86%"
"11/05/2022","58,00","57,00","58,00","57,00","0,88K","0,00%"
"10/05/2022","58,00","57,00","58,00","57,00","0,62K","1,75%"
"09/05/2022","57,00","57,00","57,00","57,00","0,50K","-3,06%"
"05/05/2022","58,80","58,30","58,80","58,00","0,34K","-0,34%"
"04/05/2022","59,00","59,00","59,00","59,00","0,10K","-0,84%"
"29/04/2022","59,50","59,50","59,50","59,50","0,00K","-0,65%"
"27/04/2022","59,89","59,89","59,89","59,89","0,28K","1,51%"
"26/04/2022","59,00","59,99","59,99","57,34","2,65K","-3,28%"
"21/04/2022","61,00","57,00","61,00","57,00","0,59K","5,35%"
"20/04/2022","57,90","57,90","57,90","57,90","0,45K","0,00%"
"19/04/2022","57,90","57,88","57,90","57,88","1,80K","0,00%"
"18/04/2022","57,90","57,70","57,90","57,70","0,73K","0,00%"
"13/04/2022","57,90","57,89","57,90","57,00","0,38K","0,02%"
"12/04/2022","57,89","57,75","57,89","57,75","0,25K","0,02%"
"11/04/2022","57,88","56,00","57,88","56,00","1,27K","-0,03%"
"30/03/2022","57,90","57,00","57,90","57,00","0,60K","1,58%"
"29/03/2022","57,00","55,50","57,00","55,50","0,69K","2,70%"
"28/03/2022","55,50","55,50","55,50","55,50","0,60K","-4,15%"
"24/03/2022","57,90","57,00","57,90","57,00","0,11K","-0,17%"
"21/03/2022","58,00","58,00","58,00","57,98","0,40K","2,04%"
"18/03/2022","56,84","56,84","56,84","56,84","0,01K","-1,98%"
"16/03/2022","57,99","57,99","57,99","57,99","0,01K","-0,02%"
"15/03/2022","58,00","57,00","58,00","57,00","0,73K","0,03%"
"14/03/2022","57,98","56,00","57,98","56,00","0,25K","0,02%"
"10/03/2022","57,97","57,00","57,97","57,00","0,30K","-0,05%"
"08/03/2022","58,00","56,00","58,00","56,00","0,87K","0,00%"
"07/03/2022","58,00","57,99","58,00","57,99","0,25K","0,00%"
"04/03/2022","58,00","57,00","58,00","57,00","0,40K","0,00%"
"03/03/2022","58,00","57,99","58,00","57,99","0,35K","0,00%"
"02/03/2022","58,00","56,00","58,00","56,00","0,31K","3,57%"
"01/03/2022","56,00","57,00","57,99","56,00","1,20K","-3,45%"
"28/02/2022","58,00","58,00","58,00","58,00","0,25K","0,00%"
"25/02/2022","58,00","58,20","58,20","58,00","0,32K","-2,42%"
"24/02/2022","59,44","59,44","59,44","59,44","0,40K","-0,23%"
"23/02/2022","59,58","59,59","59,59","59,58","0,57K","-0,03%"
"22/02/2022","59,60","59,65","59,65","59,60","0,49K","-0,30%"
"21/02/2022","59,78","59,70","59,78","59,70","0,60K","0,00%"
"18/02/2022","59,78","59,00","59,78","59,00","0,18K","0,47%"
"17/02/2022","59,50","57,51","59,50","57,51","0,00K","0,03%"
"16/02/2022","59,48","59,00","59,48","59,00","0,45K","-0,62%"
"15/02/2022","59,85","58,80","59,85","57,63","0,07K","-0,25%"
"10/02/2022","60,00","60,00","60,00","60,00","0,08K","-1,32%"
"09/02/2022","60,80","61,75","61,75","60,80","0,03K","-0,33%"
"07/02/2022","61,00","61,00","61,00","61,00","0,06K","-1,36%"
"04/02/2022","61,84","61,01","61,84","61,01","0,26K","-0,37%"
"02/02/2022","62,07","61,99","62,09","61,99","0,77K","-0,21%"
"01/02/2022","62,20","61,00","62,20","61,00","0,01K","-0,14%"
"31/01/2022","62,29","62,29","62,29","62,29","0,00K","-0,02%"
"28/01/2022","62,30","61,25","62,30","61,25","0,83K","-0,32%"
"27/01/2022","62,50","62,33","62,50","62,30","1,10K","0,00%"
"26/01/2022","62,50","61,53","62,50","61,53","0,68K","-0,48%"
"22/01/2022","62,80","62,80","62,80","62,80","","0,03%"
"19/01/2022","62,78","62,78","62,78","62,50","0,31K","4,46%"
"18/01/2022","60,10","60,10","60,10","60,10","0,00K","-4,36%"
"17/01/2022","62,84","61,50","62,84","60,30","1,46K","0,54%"
"14/01/2022","62,50","61,80","62,50","61,80","0,23K","-0,79%"
"13/01/2022","63,00","62,00","63,09","61,00","0,62K","3,28%"
"12/01/2022","61,00","63,00","63,00","61,00","0,61K","-3,17%"
"11/01/2022","63,00","62,00","63,00","61,00","0,63K","0,80%"
"10/01/2022","62,50","62,50","62,50","62,50","0,48K","-1,57%"
"07/01/2022","63,50","63,50","63,50","63,50","0,10K","1,68%"
"06/01/2022","62,45","63,88","63,88","62,45","0,16K","-0,08%"
"05/01/2022","62,50","62,61","62,61","62,50","0,49K","-2,16%"
"31/12/2021","63,88","63,89","63,89","63,88","0,35K","-0,14%"
"30/12/2021","63,97","63,00","64,00","63,00","23,52K","-0,02%"
"28/12/2021","63,98","63,00","63,98","63,00","0,46K","-0,03%"
"23/12/2021","64,00","64,10","64,10","63,99","0,26K","-0,48%"
"14/12/2021","64,31","64,24","64,32","64,24","1,61K","0,09%"
"10/12/2021","64,25","61,78","64,25","61,78","0,53K","-0,14%"
"08/12/2021","64,34","64,30","64,34","64,30","2,18K","0,00%"
"07/12/2021","64,34","63,50","64,35","63,50","2,17K","0,00%"
"06/12/2021","64,34","64,33","64,35","64,33","2,01K","0,00%"
"03/12/2021","64,34","63,98","64,35","63,98","1,89K","0,53%"
