"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"23/03/2023","47,42","47,42","47,42","47,42","0,30K","0,00%"
"21/03/2023","47,42","47,42","47,42","47,42","0,20K","0,00%"
"14/03/2023","47,42","47,42","47,42","47,42","0,10K","0,00%"
"07/03/2023","47,42","47,42","47,42","47,42","0,20K","0,00%"
"03/03/2023","47,42","47,42","47,42","47,42","0,70K","0,04%"
"02/03/2023","47,40","47,40","47,40","47,40","0,70K","0,00%"
"28/02/2023","47,40","47,40","47,40","47,40","0,10K","0,00%"
"24/02/2023","47,40","47,40","47,40","47,40","0,10K","-0,04%"
"15/02/2023","47,42","47,42","47,42","47,42","0,50K","0,04%"
"10/02/2023","47,40","47,40","47,40","47,40","0,00K","0,00%"
"08/02/2023","47,40","47,40","47,40","47,40","0,11K","-0,04%"
"30/01/2023","47,42","47,42","47,42","47,42","0,00K","-4,49%"
"23/01/2023","49,65","49,65","49,65","49,65","0,02K","-0,02%"
"16/01/2023","49,66","49,66","49,66","49,66","0,25K","-4,50%"
"28/12/2022","52,00","52,00","52,00","52,00","0,05K","-3,70%"
"14/12/2022","54,00","54,00","54,00","54,00","0,01K","-1,10%"
"09/12/2022","54,60","54,60","54,60","54,60","0,01K","0,00%"
"06/12/2022","54,60","54,60","54,60","54,60","0,01K","0,00%"
"05/12/2022","54,60","54,60","54,60","54,60","0,01K","1,13%"
"22/11/2022","53,99","53,99","53,99","53,99","0,07K","-0,02%"
"21/11/2022","54,00","54,00","54,00","54,00","0,00K","3,85%"
"01/11/2022","52,00","52,00","52,00","52,00","0,00K","0,00%"
"24/10/2022","52,00","52,00","52,00","52,00","0,20K","0,00%"
"18/10/2022","52,00","52,00","52,00","52,00","0,00K","0,00%"
"17/10/2022","52,00","52,00","52,00","52,00","0,40K","-0,02%"
"14/10/2022","52,01","53,80","53,80","52,01","0,37K","-3,69%"
"30/09/2022","54,00","54,00","54,00","54,00","0,02K","0,00%"
"28/09/2022","54,00","54,00","54,00","54,00","0,20K","0,00%"
"20/09/2022","54,00","54,00","54,00","54,00","0,20K","-0,74%"
"12/09/2022","54,40","54,40","54,40","54,40","0,30K","-0,37%"
"02/09/2022","54,60","54,60","54,60","54,60","1,20K","0,00%"
"01/09/2022","54,60","54,60","54,60","54,60","0,52K","0,00%"
"30/08/2022","54,60","54,60","54,60","54,60","0,02K","0,00%"
"29/08/2022","54,60","54,60","54,60","54,60","0,50K","0,00%"
"26/08/2022","54,60","54,60","54,60","54,60","0,50K","0,00%"
"25/08/2022","54,60","54,60","54,60","54,60","1,00K","0,00%"
"24/08/2022","54,60","54,60","54,60","54,60","0,60K","0,00%"
"23/08/2022","54,60","54,60","54,60","54,60","0,20K","0,00%"
"09/08/2022","54,60","54,60","54,60","54,60","0,02K","0,00%"
"13/07/2022","54,60","54,60","54,60","54,60","0,01K","0,00%"
"11/07/2022","54,60","54,60","54,60","54,60","0,76K","-4,93%"
"13/06/2022","57,43","57,43","57,43","57,43","0,49K","0,00%"
"06/06/2022","57,43","57,43","57,43","57,43","0,01K","0,00%"
"03/06/2022","57,43","57,43","57,43","57,43","0,01K","0,02%"
"31/05/2022","57,42","57,42","57,42","57,42","5,43K","-0,02%"
