"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","3,450","3,350","3,450","3,350","3,33K","2,99%"
"28/03/2023","3,350","3,310","3,350","3,310","3,00K","0,00%"
"27/03/2023","3,350","3,350","3,350","3,340","1,52K","0,00%"
"24/03/2023","3,350","3,340","3,350","3,330","90,60K","0,00%"
"23/03/2023","3,350","3,300","3,350","3,300","19,54K","0,00%"
"22/03/2023","3,350","3,300","3,350","3,300","9,20K","0,00%"
"21/03/2023","3,350","3,310","3,350","3,310","5,12K","0,30%"
"17/03/2023","3,340","3,300","3,340","3,300","0,31K","0,91%"
"16/03/2023","3,310","3,400","3,400","3,310","7,92K","-2,65%"
"15/03/2023","3,400","3,380","3,400","3,380","0,57K","0,59%"
"14/03/2023","3,380","3,300","3,380","3,300","23,20K","0,90%"
"13/03/2023","3,350","3,350","3,350","3,300","8,65K","0,00%"
"10/03/2023","3,350","3,350","3,350","3,350","0,50K","-0,89%"
"09/03/2023","3,380","3,380","3,380","3,380","0,00K","0,90%"
"08/03/2023","3,350","3,350","3,350","3,300","8,47K","0,00%"
"07/03/2023","3,350","3,300","3,350","3,300","4,10K","1,52%"
"06/03/2023","3,300","3,300","3,300","3,300","0,04K","-1,49%"
"03/03/2023","3,350","3,330","3,350","3,270","1,42K","0,00%"
"02/03/2023","3,350","3,350","3,350","3,310","4,14K","-1,18%"
"01/03/2023","3,390","3,390","3,390","3,350","2,73K","-0,88%"
"28/02/2023","3,420","3,350","3,440","3,350","5,87K","0,29%"
"27/02/2023","3,410","3,400","3,420","3,400","6,43K","-1,16%"
"24/02/2023","3,450","3,460","3,460","3,400","0,35K","-0,29%"
"23/02/2023","3,460","3,460","3,460","3,460","2,22K","-0,29%"
"22/02/2023","3,470","3,410","3,470","3,410","5,28K","0,87%"
"21/02/2023","3,440","3,440","3,440","3,400","1,79K","0,00%"
"20/02/2023","3,440","3,400","3,440","3,400","5,45K","0,00%"
"17/02/2023","3,440","3,420","3,440","3,400","1,84K","0,58%"
"16/02/2023","3,420","3,460","3,460","3,400","3,49K","-0,58%"
"15/02/2023","3,440","3,460","3,460","3,400","1,02K","-0,58%"
"14/02/2023","3,460","3,340","3,460","3,340","27,42K","3,59%"
"13/02/2023","3,340","3,300","3,340","3,270","7,91K","1,21%"
"10/02/2023","3,300","3,300","3,340","3,300","2,70K","0,00%"
"09/02/2023","3,300","3,300","3,330","3,300","0,58K","-0,90%"
"08/02/2023","3,330","3,300","3,330","3,300","1,98K","0,00%"
"07/02/2023","3,330","3,300","3,330","3,300","9,56K","-0,30%"
"06/02/2023","3,340","3,300","3,340","3,300","5,70K","0,00%"
"03/02/2023","3,340","3,340","3,340","3,300","1,08K","0,30%"
"02/02/2023","3,330","3,330","3,330","3,300","4,09K","0,00%"
"01/02/2023","3,330","3,300","3,330","3,300","7,95K","-0,60%"
"31/01/2023","3,350","3,350","3,350","3,300","3,74K","0,30%"
"30/01/2023","3,340","3,260","3,350","3,250","13,40K","1,52%"
"27/01/2023","3,290","3,200","3,310","3,200","4,84K","2,49%"
"26/01/2023","3,210","3,310","3,310","3,200","3,13K","-1,23%"
"25/01/2023","3,250","3,350","3,350","3,250","21,37K","0,00%"
"24/01/2023","3,250","3,220","3,300","3,220","18,52K","1,56%"
"23/01/2023","3,200","3,170","3,200","3,100","7,43K","0,95%"
