"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","13,20","12,91","13,25","12,91","9,17K","5,60%"
"28/03/2023","12,50","12,50","12,50","12,50","1,49K","-3,40%"
"24/03/2023","12,94","12,94","12,94","12,94","0,63K","-0,08%"
"23/03/2023","12,95","12,75","12,95","12,75","2,03K","0,00%"
"22/03/2023","12,95","12,75","12,95","12,75","0,30K","1,57%"
"21/03/2023","12,75","12,75","12,75","12,75","0,39K","-1,92%"
"16/03/2023","13,00","13,00","13,00","13,00","0,26K","0,00%"
"15/03/2023","13,00","13,39","13,40","13,00","0,42K","-2,99%"
"14/03/2023","13,40","13,39","13,40","13,39","0,18K","-0,59%"
"13/03/2023","13,48","13,48","13,48","13,48","0,01K","-0,15%"
"08/03/2023","13,50","13,50","13,50","13,50","0,01K","0,00%"
"07/03/2023","13,50","13,50","13,50","13,50","0,23K","-0,52%"
"06/03/2023","13,57","13,57","13,57","13,57","0,36K","-0,15%"
"03/03/2023","13,59","13,60","13,60","13,59","1,28K","-1,02%"
"01/03/2023","13,73","13,78","13,78","13,73","0,55K","-0,44%"
"27/02/2023","13,79","13,79","13,79","13,79","0,28K","-0,07%"
"23/02/2023","13,80","13,50","13,95","13,50","10,36K","-1,08%"
"22/02/2023","13,95","13,94","13,95","13,94","0,84K","0,43%"
"21/02/2023","13,89","13,90","13,90","13,89","0,40K","-0,07%"
"20/02/2023","13,90","13,95","13,95","13,89","1,39K","-0,14%"
"17/02/2023","13,92","13,80","13,92","13,60","2,05K","0,14%"
"16/02/2023","13,90","13,87","13,90","13,80","4,79K","0,07%"
"15/02/2023","13,89","13,40","13,89","13,40","0,26K","-0,07%"
"14/02/2023","13,90","13,92","13,92","13,90","1,55K","0,07%"
"13/02/2023","13,89","13,92","13,92","13,89","0,79K","-0,29%"
"10/02/2023","13,93","13,94","13,94","13,93","1,08K","0,65%"
"09/02/2023","13,84","13,84","13,84","13,84","0,15K","0,00%"
"08/02/2023","13,84","13,84","13,84","13,84","0,04K","-0,79%"
"07/02/2023","13,95","13,99","13,99","13,84","1,22K","-0,36%"
"06/02/2023","14,00","13,81","14,00","13,81","1,13K","0,07%"
"03/02/2023","13,99","13,99","13,99","13,99","0,44K","-0,07%"
"02/02/2023","14,00","13,92","14,00","13,92","1,49K","0,57%"
"01/02/2023","13,92","14,09","14,09","13,91","0,99K","-1,83%"
"31/01/2023","14,18","14,20","14,20","14,18","0,65K","3,20%"
"30/01/2023","13,74","14,38","14,38","13,74","3,34K","-4,45%"
"27/01/2023","14,38","14,38","14,38","14,08","0,80K","0,00%"
"26/01/2023","14,38","14,40","14,40","14,37","0,12K","-0,42%"
"25/01/2023","14,44","14,44","14,44","14,16","1,34K","0,00%"
"24/01/2023","14,44","14,25","14,50","14,25","0,71K","1,33%"
"23/01/2023","14,25","14,59","14,59","14,25","1,36K","-1,72%"
"20/01/2023","14,50","14,59","14,59","14,30","1,40K","1,97%"
"19/01/2023","14,22","14,50","14,50","14,22","0,84K","-1,93%"
"18/01/2023","14,50","14,49","14,59","14,30","2,60K","0,00%"
"17/01/2023","14,50","14,89","14,89","14,48","5,19K","-2,62%"
"16/01/2023","14,89","14,60","14,90","14,60","9,66K","1,99%"
"13/01/2023","14,60","14,50","14,60","14,20","8,27K","0,69%"
"12/01/2023","14,50","14,03","14,50","14,01","2,55K","1,75%"
"11/01/2023","14,25","14,25","14,25","14,00","1,24K","-1,59%"
"10/01/2023","14,48","14,25","14,50","14,25","8,83K","1,61%"
"09/01/2023","14,25","14,49","14,49","14,20","1,56K","-1,45%"
"06/01/2023","14,46","14,50","14,50","14,45","0,92K","-0,21%"
"05/01/2023","14,49","13,99","14,49","13,99","3,35K","3,65%"
"04/01/2023","13,98","14,24","14,24","13,98","1,50K","-0,14%"
"03/01/2023","14,00","14,27","14,27","14,00","0,30K","-2,10%"
"02/01/2023","14,30","14,33","14,33","14,02","3,97K","5,46%"
"30/12/2022","13,56","13,99","14,00","13,56","4,24K","-3,07%"
"29/12/2022","13,99","13,97","13,99","13,97","0,66K","-0,07%"
"28/12/2022","14,00","14,00","14,00","13,92","4,49K","-1,75%"
"27/12/2022","14,25","14,30","14,30","14,20","1,01K","-1,04%"
"26/12/2022","14,40","14,40","14,70","14,40","0,93K","0,00%"
"23/12/2022","14,40","14,40","14,78","14,40","0,56K","-2,57%"
"22/12/2022","14,78","14,40","14,78","14,40","0,23K","0,00%"
"21/12/2022","14,78","14,30","14,78","14,30","0,03K","2,71%"
"20/12/2022","14,39","14,78","14,78","14,39","3,48K","-2,64%"
"19/12/2022","14,78","14,78","14,78","14,78","0,01K","0,00%"
"16/12/2022","14,78","14,78","14,78","14,78","0,01K","-0,14%"
"15/12/2022","14,80","14,94","14,94","14,40","2,22K","0,00%"
"14/12/2022","14,80","14,40","14,80","14,40","4,07K","2,07%"
"13/12/2022","14,50","14,42","14,51","14,40","107,35K","0,69%"
"12/12/2022","14,40","14,50","14,50","14,36","4,45K","0,35%"
"09/12/2022","14,35","14,40","14,51","14,10","0,89K","-1,24%"
"08/12/2022","14,53","14,54","14,56","14,53","2,99K","-0,48%"
"07/12/2022","14,60","14,71","14,80","14,50","5,37K","-1,42%"
"06/12/2022","14,81","14,80","14,84","14,75","2,14K","-0,87%"
"05/12/2022","14,94","15,00","15,00","14,80","0,97K","-0,27%"
"02/12/2022","14,98","15,00","15,00","14,83","0,96K","0,07%"
"01/12/2022","14,97","15,00","15,00","14,82","0,72K","0,00%"
"30/11/2022","14,97","14,98","14,98","14,82","2,23K","-0,07%"
"29/11/2022","14,98","14,98","14,98","14,80","0,27K","0,00%"
"28/11/2022","14,98","15,30","15,30","14,80","3,45K","-0,13%"
"25/11/2022","15,00","14,95","15,00","14,95","3,83K","0,33%"
"24/11/2022","14,95","14,80","14,95","14,80","0,01K","0,07%"
"23/11/2022","14,94","14,94","14,94","14,94","0,24K","0,00%"
"22/11/2022","14,94","14,94","14,94","14,94","0,30K","-0,07%"
"21/11/2022","14,95","14,94","14,95","14,94","0,50K","0,00%"
"18/11/2022","14,95","14,70","14,95","14,70","0,54K","-0,33%"
"17/11/2022","15,00","15,00","15,00","15,00","0,01K","0,33%"
"16/11/2022","14,95","14,99","14,99","14,95","0,07K","-0,27%"
"15/11/2022","14,99","15,00","15,00","14,99","0,18K","-0,07%"
"14/11/2022","15,00","15,00","15,00","14,90","0,53K","-0,66%"
"11/11/2022","15,10","14,84","15,28","14,84","2,14K","1,75%"
"10/11/2022","14,84","14,89","14,89","14,84","0,58K","-1,07%"
"09/11/2022","15,00","15,00","15,10","14,60","0,67K","0,00%"
"08/11/2022","15,00","15,44","15,44","15,00","0,14K","-3,16%"
"07/11/2022","15,49","15,61","15,61","15,49","0,41K","3,06%"
"04/11/2022","15,03","15,68","15,98","15,03","87,90K","-5,94%"
"03/11/2022","15,98","15,98","16,97","15,98","85,81K","3,97%"
"01/11/2022","15,37","14,94","15,37","14,94","17,04K","6,00%"
"31/10/2022","14,50","14,50","14,50","14,49","1,05K","0,14%"
"28/10/2022","14,48","14,48","14,48","14,48","1,20K","-0,14%"
"27/10/2022","14,50","14,50","14,50","14,50","0,01K","0,42%"
"26/10/2022","14,44","14,40","14,44","14,40","1,29K","-0,07%"
"25/10/2022","14,45","14,49","14,49","14,17","1,46K","-0,21%"
"24/10/2022","14,48","14,48","14,48","14,48","0,31K","-0,14%"
"20/10/2022","14,50","14,23","14,50","14,23","3,93K","0,07%"
"19/10/2022","14,49","14,21","14,49","14,21","3,36K","0,00%"
"18/10/2022","14,49","14,49","14,49","14,49","0,68K","0,00%"
"17/10/2022","14,49","14,49","14,49","14,49","0,22K","-0,07%"
"14/10/2022","14,50","14,49","14,50","14,49","0,35K","0,00%"
"13/10/2022","14,50","14,49","14,50","14,49","2,39K","0,00%"
"12/10/2022","14,50","14,44","14,50","14,44","5,84K","0,00%"
"11/10/2022","14,50","14,50","14,50","14,50","0,15K","0,00%"
"10/10/2022","14,50","14,60","14,77","14,49","1,39K","-1,36%"
"07/10/2022","14,70","14,20","14,70","14,20","0,04K","-0,14%"
"06/10/2022","14,72","14,74","14,74","14,70","1,23K","-0,54%"
"05/10/2022","14,80","14,72","14,80","14,72","2,58K","0,41%"
"04/10/2022","14,74","14,27","14,80","14,27","1,29K","-0,74%"
"03/10/2022","14,85","14,89","14,89","14,60","0,18K","0,41%"
"30/09/2022","14,79","14,95","14,95","14,79","0,12K","-1,07%"
"29/09/2022","14,95","14,95","14,95","14,90","0,98K","0,00%"
"28/09/2022","14,95","14,96","14,96","14,60","1,14K","0,00%"
"27/09/2022","14,95","14,51","14,95","14,51","2,16K","1,01%"
"26/09/2022","14,80","14,89","14,89","14,70","1,58K","-1,07%"
"23/09/2022","14,96","14,90","14,97","14,70","1,31K","-0,20%"
"22/09/2022","14,99","15,00","15,00","14,80","0,31K","-0,07%"
"21/09/2022","15,00","14,90","15,00","14,90","0,40K","0,00%"
"20/09/2022","15,00","14,89","15,00","14,89","1,71K","0,67%"
"19/09/2022","14,90","14,61","14,90","14,61","0,72K","0,00%"
"16/09/2022","14,90","14,90","15,00","14,90","1,71K","0,00%"
"15/09/2022","14,90","15,18","15,18","14,90","7,57K","-1,84%"
"14/09/2022","15,18","15,20","15,20","15,18","1,27K","-0,72%"
"13/09/2022","15,29","15,21","15,30","15,20","5,72K","-0,07%"
"12/09/2022","15,30","15,30","15,30","15,20","8,08K","0,00%"
"09/09/2022","15,30","15,27","15,30","15,01","4,10K","0,66%"
"08/09/2022","15,20","15,00","15,35","15,00","45,83K","1,33%"
"07/09/2022","15,00","14,60","15,00","14,43","28,57K","3,45%"
"06/09/2022","14,50","13,16","14,82","13,16","28,87K","3,65%"
"05/09/2022","13,99","13,50","14,00","13,22","2,03K","4,40%"
"02/09/2022","13,40","13,10","13,50","13,00","6,13K","1,52%"
"26/08/2022","13,20","13,19","13,20","13,19","1,06K","0,00%"
"25/08/2022","13,20","13,20","13,20","13,20","0,08K","-0,38%"
"24/08/2022","13,25","13,24","13,25","13,22","1,20K","0,08%"
"23/08/2022","13,24","12,99","13,25","12,99","0,84K","-0,08%"
"22/08/2022","13,25","13,50","13,50","13,25","0,35K","-1,85%"
"19/08/2022","13,50","13,50","13,50","13,25","1,88K","-1,10%"
"18/08/2022","13,65","13,00","13,65","12,64","7,09K","4,20%"
"17/08/2022","13,10","12,63","13,13","12,38","1,71K","1,71%"
"16/08/2022","12,88","12,00","12,88","12,00","8,63K","5,92%"
