"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","50,00","50,00","50,00","50,00","0,01K","0,00%"
"03/03/2023","50,00","50,00","50,00","50,00","0,00K","-0,02%"
"07/02/2023","50,01","50,01","50,01","50,01","0,03K","0,02%"
"30/01/2023","50,00","50,00","50,00","50,00","0,02K","0,00%"
"23/01/2023","50,00","50,00","50,00","50,00","0,83K","0,00%"
"18/01/2023","50,00","50,00","50,00","50,00","0,20K","0,00%"
"11/01/2023","50,00","50,00","50,00","50,00","0,45K","0,00%"
"10/01/2023","50,00","50,00","50,00","50,00","0,03K","0,00%"
"28/12/2022","50,00","50,00","50,00","50,00","0,02K","0,00%"
"27/12/2022","50,00","50,00","50,00","50,00","0,00K","-0,02%"
"14/12/2022","50,01","50,01","50,01","50,01","1,00K","0,02%"
"03/11/2022","50,00","50,00","50,00","50,00","0,04K","0,00%"
"01/11/2022","50,00","50,00","50,00","50,00","0,02K","0,00%"
"19/10/2022","50,00","50,00","50,00","50,00","0,20K","2,04%"
"17/10/2022","49,00","49,00","49,00","49,00","0,10K","0,00%"
"14/10/2022","49,00","49,00","49,00","49,00","0,03K","0,00%"
"07/10/2022","49,00","49,00","49,00","49,00","0,01K","0,00%"
"06/10/2022","49,00","49,00","49,00","49,00","0,01K","0,00%"
"30/09/2022","49,00","49,00","49,00","49,00","0,01K","0,00%"
"23/09/2022","49,00","49,00","49,00","49,00","0,01K","0,00%"
"19/09/2022","49,00","49,00","49,00","49,00","1,06K","0,00%"
"16/09/2022","49,00","49,00","49,00","49,00","0,01K","1,03%"
"02/09/2022","48,50","48,50","48,50","48,50","0,05K","0,00%"
"01/09/2022","48,50","48,50","48,50","48,50","0,01K","0,00%"
"24/08/2022","48,50","48,50","48,50","48,50","0,01K","0,00%"
"22/08/2022","48,50","48,50","48,50","48,50","0,03K","0,00%"
"16/08/2022","48,50","48,50","48,50","48,50","0,01K","0,00%"
"02/08/2022","48,50","48,50","48,50","48,50","0,04K","0,00%"
"14/06/2022","48,50","48,50","48,50","48,50","0,01K","2,11%"
"04/05/2022","47,50","47,50","47,50","47,50","0,25K","0,00%"
"12/04/2022","47,50","47,50","47,50","47,50","0,12K","0,00%"
"16/03/2022","47,50","50,35","50,35","47,50","0,22K","0,00%"
"14/03/2022","47,50","47,50","47,50","47,50","0,29K","0,00%"
"01/03/2022","47,50","47,50","47,50","47,50","0,02K","0,00%"
"22/02/2022","47,50","47,50","47,50","47,50","0,03K","0,00%"
"17/02/2022","47,50","47,50","47,50","47,50","0,02K","-3,08%"
"17/01/2022","49,01","49,01","49,01","49,01","0,16K","3,18%"
"05/01/2022","47,50","47,50","47,50","47,50","0,00K","0,00%"
"09/12/2021","47,50","47,50","47,50","47,50","0,01K","0,00%"
"02/12/2021","47,50","47,50","47,50","47,50","0,03K","-3,06%"
"09/11/2021","49,00","49,00","49,00","49,00","0,02K","1,03%"
