"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"22/03/2023","2,480","2,480","2,480","2,480","0,00K","2,90%"
"21/03/2023","2,410","2,370","2,410","2,230","8,09K","1,69%"
"15/03/2023","2,370","2,370","2,370","2,370","0,09K","0,85%"
"14/03/2023","2,350","2,360","2,360","2,350","3,07K","-5,62%"
"13/03/2023","2,490","2,360","2,490","2,350","2,02K","-0,40%"
"10/03/2023","2,500","2,480","2,600","2,370","2,66K","0,81%"
"08/03/2023","2,480","2,480","2,480","2,480","0,02K","1,64%"
"07/03/2023","2,440","2,440","2,440","2,440","0,19K","-5,79%"
"06/03/2023","2,590","2,350","2,600","2,350","0,32K","3,60%"
"02/03/2023","2,500","2,500","2,500","2,500","0,00K","-3,85%"
"01/03/2023","2,600","2,610","2,610","2,600","0,25K","2,36%"
"28/02/2023","2,540","2,420","2,540","2,420","3,95K","5,83%"
"27/02/2023","2,400","2,290","2,400","2,290","0,28K","5,73%"
"24/02/2023","2,270","2,270","2,270","2,150","1,03K","-0,44%"
"23/02/2023","2,280","2,280","2,280","2,280","0,01K","0,00%"
"22/02/2023","2,280","2,220","2,280","2,220","2,82K","0,88%"
"21/02/2023","2,260","2,260","2,260","2,260","0,10K","0,89%"
"20/02/2023","2,240","2,240","2,240","2,070","0,01K","1,82%"
"17/02/2023","2,200","2,200","2,200","2,150","0,09K","0,00%"
"16/02/2023","2,200","2,070","2,200","2,070","2,00K","0,00%"
