"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","92,81","92,08","93,00","92,08","0,74K","-0,73%"
"28/03/2023","93,49","93,00","93,83","92,50","3,57K","0,53%"
"27/03/2023","93,00","91,50","93,00","91,50","1,12K","2,18%"
"24/03/2023","91,02","91,40","91,50","91,00","1,37K","0,01%"
"23/03/2023","91,01","90,01","91,48","90,00","2,68K","1,11%"
"22/03/2023","90,01","90,00","91,00","88,52","2,54K","-0,10%"
"21/03/2023","90,10","91,48","91,48","89,20","4,43K","-1,53%"
"17/03/2023","91,50","91,00","91,50","89,00","34,58K","0,55%"
"16/03/2023","91,00","91,11","91,96","91,00","6,55K","-0,75%"
"15/03/2023","91,69","91,10","91,69","91,00","4,50K","0,10%"
"14/03/2023","91,60","91,10","91,74","91,10","3,07K","0,66%"
"13/03/2023","91,00","91,80","92,00","91,00","2,92K","-1,09%"
"10/03/2023","92,00","92,50","92,50","91,82","1,42K","-0,54%"
"09/03/2023","92,50","92,00","93,00","91,80","1,08K","0,54%"
"08/03/2023","92,00","91,71","92,40","91,50","1,91K","0,00%"
"07/03/2023","92,00","92,70","92,70","91,70","0,90K","-0,76%"
"06/03/2023","92,70","91,45","94,50","91,45","1,29K","1,38%"
"03/03/2023","91,44","91,45","91,45","91,00","1,32K","0,48%"
"02/03/2023","91,00","90,20","91,45","90,20","2,34K","0,89%"
"01/03/2023","90,20","90,68","90,94","90,10","3,04K","0,17%"
"28/02/2023","90,05","91,00","91,00","90,00","0,59K","-1,04%"
"27/02/2023","91,00","89,50","91,00","89,00","2,40K","0,55%"
"24/02/2023","90,50","90,50","90,75","90,01","5,31K","0,00%"
"23/02/2023","90,50","90,90","90,90","90,01","1,60K","-0,28%"
"22/02/2023","90,75","91,70","91,70","89,50","2,45K","-0,27%"
"21/02/2023","91,00","91,98","91,98","90,50","1,68K","-0,55%"
"20/02/2023","91,50","92,00","92,00","91,10","2,77K","-1,07%"
"17/02/2023","92,49","91,50","92,49","91,00","1,77K","0,53%"
"16/02/2023","92,00","92,00","92,70","91,90","2,94K","0,00%"
"15/02/2023","92,00","93,70","93,70","92,00","3,45K","-1,87%"
"14/02/2023","93,75","92,98","94,00","92,00","7,88K","2,84%"
"13/02/2023","91,16","86,50","91,16","86,00","6,81K","6,00%"
"10/02/2023","86,00","88,32","88,32","85,20","11,01K","-2,64%"
"09/02/2023","88,33","89,70","89,70","88,00","9,12K","-1,54%"
"08/02/2023","89,71","91,04","91,05","89,59","6,86K","-2,49%"
"07/02/2023","92,00","94,00","94,18","89,50","9,22K","-2,38%"
"06/02/2023","94,24","94,94","95,00","94,00","2,96K","-0,17%"
"03/02/2023","94,40","94,50","94,50","93,50","3,82K","-0,57%"
"02/02/2023","94,94","97,69","97,69","93,00","5,58K","-2,96%"
"01/02/2023","97,84","98,90","98,90","95,90","5,02K","-0,96%"
"31/01/2023","98,79","98,50","98,90","98,50","3,81K","-0,11%"
"30/01/2023","98,90","98,79","99,00","98,40","2,47K","0,00%"
"27/01/2023","98,90","99,00","99,00","98,00","2,26K","0,71%"
"26/01/2023","98,20","99,00","99,00","98,01","3,89K","-1,01%"
"25/01/2023","99,20","99,34","99,34","99,00","2,84K","-0,14%"
"24/01/2023","99,34","98,50","99,99","98,50","6,51K","0,85%"
"23/01/2023","98,50","98,50","98,50","98,00","5,50K","0,00%"
"20/01/2023","98,50","97,99","98,50","97,80","6,07K","0,72%"
"19/01/2023","97,80","98,00","98,00","97,30","1,57K","-0,09%"
"18/01/2023","97,89","98,00","98,20","97,11","2,33K","-0,30%"
"17/01/2023","98,18","98,90","98,90","97,80","3,42K","-0,73%"
"16/01/2023","98,90","99,50","99,60","98,45","4,36K","-0,43%"
"13/01/2023","99,33","98,41","99,95","98,41","6,70K","0,95%"
"12/01/2023","98,40","95,00","98,51","95,00","16,11K","3,59%"
"11/01/2023","94,99","93,20","94,99","93,20","10,65K","1,92%"
"10/01/2023","93,20","92,10","93,40","92,10","9,48K","1,30%"
"09/01/2023","92,00","89,70","92,00","89,70","7,36K","2,68%"
"06/01/2023","89,60","89,35","89,60","89,00","1,72K","0,22%"
"05/01/2023","89,40","89,30","89,49","89,30","3,25K","0,06%"
"04/01/2023","89,35","89,40","89,40","89,00","3,58K","-0,06%"
"03/01/2023","89,40","89,00","89,45","88,80","5,28K","0,45%"
"02/01/2023","89,00","89,40","89,60","88,20","2,72K","1,14%"
"30/12/2022","88,00","88,50","88,52","88,00","6,33K","-0,55%"
"29/12/2022","88,49","88,50","88,80","88,20","5,50K","-0,01%"
"28/12/2022","88,50","89,24","89,25","88,50","5,84K","-0,84%"
"27/12/2022","89,25","89,00","89,50","88,50","15,76K","0,51%"
"26/12/2022","88,80","88,95","89,00","88,50","3,11K","-0,17%"
"23/12/2022","88,95","88,30","88,95","88,30","1,80K","0,74%"
"22/12/2022","88,30","88,30","88,50","88,20","2,57K","0,00%"
"21/12/2022","88,30","88,69","88,80","88,30","12,21K","-0,11%"
"20/12/2022","88,40","88,70","88,70","88,01","9,14K","-0,34%"
"19/12/2022","88,70","88,00","89,00","88,00","1,00K","0,80%"
"16/12/2022","88,00","87,80","88,20","87,75","8,04K","0,23%"
"15/12/2022","87,80","87,80","87,85","87,63","3,40K","0,21%"
"14/12/2022","87,62","87,71","87,80","87,61","3,21K","0,01%"
"13/12/2022","87,61","87,70","87,70","87,00","3,17K","0,13%"
"12/12/2022","87,50","87,60","87,80","87,50","3,27K","-0,34%"
"09/12/2022","87,80","87,51","87,80","86,70","3,46K","0,00%"
"08/12/2022","87,80","87,49","87,85","87,49","2,84K","0,34%"
"07/12/2022","87,50","88,00","88,00","86,41","4,02K","-0,57%"
"06/12/2022","88,00","87,50","89,00","86,66","2,43K","0,40%"
