"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","5,02","5,02","5,02","5,02","1,99K","0,00%"
"28/03/2023","5,02","5,02","5,02","5,01","9,66K","0,00%"
"27/03/2023","5,02","5,00","5,02","5,00","8,88K","0,00%"
"24/03/2023","5,02","5,00","5,02","4,99","22,43K","0,40%"
"23/03/2023","5,00","5,00","5,02","5,00","27,54K","0,00%"
"22/03/2023","5,00","5,00","5,01","5,00","3,23K","-0,20%"
"21/03/2023","5,01","5,00","5,01","5,00","7,14K","0,20%"
"17/03/2023","5,00","5,01","5,01","5,00","4,29K","-0,20%"
"16/03/2023","5,01","5,00","5,01","4,92","13,13K","0,00%"
"15/03/2023","5,01","5,00","5,01","4,95","51,60K","0,20%"
"14/03/2023","5,00","5,00","5,00","4,99","15,00K","0,00%"
"13/03/2023","5,00","4,95","5,00","4,95","25,71K","0,00%"
"10/03/2023","5,00","5,00","5,00","5,00","15,27K","0,00%"
"09/03/2023","5,00","5,01","5,01","5,00","17,80K","0,00%"
"08/03/2023","5,00","5,00","5,00","4,99","29,64K","0,00%"
"07/03/2023","5,00","4,99","5,00","4,99","13,71K","0,00%"
"06/03/2023","5,00","4,98","5,00","4,98","21,65K","0,40%"
"03/03/2023","4,98","4,99","4,99","4,98","13,77K","-0,40%"
"02/03/2023","5,00","4,99","5,00","4,99","22,99K","0,00%"
"01/03/2023","5,00","5,00","5,00","4,95","5,56K","0,00%"
"28/02/2023","5,00","5,00","5,00","5,00","12,53K","0,00%"
"27/02/2023","5,00","4,99","5,00","4,99","31,26K","0,00%"
"24/02/2023","5,00","5,00","5,00","4,99","21,03K","0,00%"
"23/02/2023","5,00","5,00","5,00","4,99","10,81K","0,00%"
"22/02/2023","5,00","5,00","5,00","5,00","3,14K","0,00%"
"21/02/2023","5,00","5,00","5,00","4,99","21,88K","0,00%"
"20/02/2023","5,00","5,00","5,00","4,99","9,39K","0,00%"
"17/02/2023","5,00","5,00","5,00","4,99","30,52K","0,00%"
"16/02/2023","5,00","5,00","5,00","4,98","13,79K","-0,20%"
"15/02/2023","5,01","5,00","5,01","5,00","16,92K","0,00%"
"14/02/2023","5,01","5,00","5,01","5,00","20,18K","0,20%"
"13/02/2023","5,00","5,00","5,04","4,93","26,15K","-0,79%"
"10/02/2023","5,04","4,95","5,04","4,95","41,85K","-0,59%"
"09/02/2023","5,07","5,10","5,10","5,07","36,26K","-1,17%"
"08/02/2023","5,13","5,17","5,17","5,10","44,22K","-0,97%"
"07/02/2023","5,18","5,17","5,18","5,17","16,48K","0,00%"
"06/02/2023","5,18","5,19","5,19","5,17","24,04K","0,00%"
"03/02/2023","5,18","5,17","5,20","5,17","11,71K","0,00%"
"02/02/2023","5,18","5,18","5,19","5,10","28,02K","-0,38%"
"01/02/2023","5,20","5,18","5,20","5,17","79,48K","0,00%"
"31/01/2023","5,20","5,25","5,25","5,19","111,95K","-0,95%"
"30/01/2023","5,25","5,25","5,25","5,20","35,57K","0,00%"
"27/01/2023","5,25","5,25","5,25","5,23","45,35K","0,00%"
"26/01/2023","5,25","5,25","5,30","5,25","8,91K","0,00%"
"25/01/2023","5,25","5,24","5,25","5,23","24,82K","0,00%"
"24/01/2023","5,25","5,25","5,28","5,23","16,60K","0,00%"
"23/01/2023","5,25","5,28","5,30","5,25","18,79K","-0,94%"
"20/01/2023","5,30","5,30","5,34","5,26","44,81K","0,00%"
"19/01/2023","5,30","5,32","5,32","5,30","13,58K","-0,38%"
"18/01/2023","5,32","5,34","5,34","5,32","5,41K","0,00%"
"17/01/2023","5,32","5,32","5,34","5,32","10,88K","-0,37%"
"16/01/2023","5,34","5,38","5,38","5,31","28,02K","-0,74%"
"13/01/2023","5,38","5,30","5,39","5,30","23,60K","0,94%"
"12/01/2023","5,33","5,35","5,35","5,33","27,30K","-0,37%"
"11/01/2023","5,35","5,35","5,35","5,33","25,89K","0,00%"
"10/01/2023","5,35","5,33","5,39","5,30","27,53K","-0,74%"
"09/01/2023","5,39","5,31","5,43","5,31","13,70K","-0,74%"
"06/01/2023","5,43","5,44","5,44","5,37","7,23K","-0,73%"
"05/01/2023","5,47","5,23","5,48","5,23","24,91K","4,59%"
"04/01/2023","5,23","5,23","5,24","5,21","21,20K","0,00%"
"03/01/2023","5,23","5,18","5,24","5,18","14,17K","0,77%"
"02/01/2023","5,19","5,18","5,25","5,18","11,72K","0,19%"
"30/12/2022","5,18","5,16","5,18","5,14","23,83K","0,39%"
"29/12/2022","5,16","5,16","5,17","5,15","80,29K","0,00%"
"28/12/2022","5,16","5,16","5,16","5,16","1,69K","-0,19%"
"27/12/2022","5,17","5,15","5,17","5,15","29,34K","0,39%"
"26/12/2022","5,15","5,16","5,16","5,15","9,81K","-0,39%"
"23/12/2022","5,17","5,15","5,17","5,15","15,42K","0,19%"
"22/12/2022","5,16","5,15","5,16","5,15","14,27K","0,00%"
"21/12/2022","5,16","5,15","5,16","5,14","25,75K","0,19%"
"20/12/2022","5,15","5,18","5,18","5,15","69,35K","-0,58%"
"19/12/2022","5,18","5,15","5,18","5,15","432,25K","0,58%"
"16/12/2022","5,15","5,15","5,18","5,15","41,26K","-0,58%"
"15/12/2022","5,18","5,19","5,19","5,15","33,74K","-0,19%"
"14/12/2022","5,19","5,13","5,20","5,12","22,42K","1,17%"
"13/12/2022","5,13","5,14","5,14","5,12","16,22K","-0,19%"
"12/12/2022","5,14","5,14","5,14","5,10","13,74K","0,78%"
"09/12/2022","5,10","5,14","5,14","5,10","24,78K","0,00%"
"08/12/2022","5,10","5,14","5,14","5,10","17,16K","0,00%"
"07/12/2022","5,10","5,12","5,12","5,08","47,80K","-0,39%"
"06/12/2022","5,12","5,14","5,14","5,10","40,88K","-0,58%"
"05/12/2022","5,15","5,15","5,17","5,14","7,18K","0,00%"
"02/12/2022","5,15","5,15","5,15","5,14","21,84K","0,00%"
"01/12/2022","5,15","5,17","5,17","5,14","25,18K","0,00%"
"30/11/2022","5,15","5,15","5,15","5,14","80,35K","0,00%"
"29/11/2022","5,15","5,17","5,17","5,15","30,77K","-0,39%"
"28/11/2022","5,17","5,17","5,17","5,15","17,47K","0,39%"
"25/11/2022","5,15","5,15","5,16","5,15","20,04K","0,00%"
"24/11/2022","5,15","5,15","5,15","5,13","7,13K","0,00%"
