"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","1,750","1,730","1,750","1,720","11,60K","-1,13%"
"28/03/2023","1,770","1,720","1,770","1,720","35,56K","2,31%"
"27/03/2023","1,730","1,740","1,760","1,720","5,89K","0,58%"
"24/03/2023","1,720","1,750","1,750","1,700","31,84K","-1,71%"
"23/03/2023","1,750","1,750","1,750","1,740","12,54K","-0,57%"
"22/03/2023","1,760","1,760","1,760","1,750","8,74K","-0,56%"
"21/03/2023","1,770","1,760","1,770","1,760","5,25K","0,00%"
"17/03/2023","1,770","1,770","1,790","1,770","34,96K","-1,12%"
"16/03/2023","1,790","1,770","1,790","1,770","60,67K","-0,56%"
"15/03/2023","1,800","1,790","1,800","1,770","34,06K","0,56%"
"14/03/2023","1,790","1,790","1,810","1,780","2,61K","-1,10%"
"13/03/2023","1,810","1,810","1,810","1,790","5,31K","1,12%"
"10/03/2023","1,790","1,800","1,800","1,790","3,78K","-1,10%"
"09/03/2023","1,810","1,800","1,810","1,800","6,20K","0,00%"
"08/03/2023","1,810","1,810","1,820","1,800","5,89K","0,00%"
"07/03/2023","1,810","1,800","1,820","1,800","57,27K","0,00%"
"06/03/2023","1,810","1,790","1,810","1,780","18,13K","0,56%"
"03/03/2023","1,800","1,780","1,800","1,780","21,71K","0,56%"
"02/03/2023","1,790","1,790","1,800","1,790","19,53K","-0,56%"
"01/03/2023","1,800","1,800","1,820","1,800","67,75K","0,00%"
"28/02/2023","1,800","1,810","1,820","1,790","11,30K","0,00%"
"27/02/2023","1,800","1,770","1,800","1,770","12,52K","0,00%"
"24/02/2023","1,800","1,800","1,810","1,770","28,51K","0,00%"
"23/02/2023","1,800","1,770","1,800","1,770","220,65K","1,12%"
"22/02/2023","1,780","1,790","1,790","1,760","10,23K","-0,56%"
"21/02/2023","1,790","1,800","1,800","1,760","22,89K","-1,65%"
"20/02/2023","1,820","1,800","1,820","1,790","6,73K","0,00%"
"17/02/2023","1,820","1,800","1,820","1,800","29,68K","1,11%"
"16/02/2023","1,800","1,800","1,820","1,800","8,16K","-1,10%"
"15/02/2023","1,820","1,820","1,820","1,820","1,80K","0,00%"
"14/02/2023","1,820","1,820","1,820","1,800","31,27K","0,00%"
"13/02/2023","1,820","1,830","1,830","1,810","16,98K","-0,55%"
"10/02/2023","1,830","1,830","1,830","1,830","2,69K","0,00%"
"09/02/2023","1,830","1,830","1,830","1,810","4,70K","-0,54%"
"08/02/2023","1,840","1,850","1,850","1,820","6,10K","-1,08%"
"06/02/2023","1,860","1,830","1,860","1,830","0,06K","0,54%"
"03/02/2023","1,850","1,840","1,850","1,830","15,55K","-0,54%"
"02/02/2023","1,860","1,850","1,860","1,830","46,90K","0,54%"
"01/02/2023","1,850","1,860","1,860","1,830","67,40K","-0,54%"
"31/01/2023","1,860","1,850","1,860","1,830","25,38K","-0,53%"
"30/01/2023","1,870","1,890","1,890","1,850","1,49K","-0,53%"
"27/01/2023","1,880","1,860","1,890","1,830","39,99K","1,08%"
"26/01/2023","1,860","1,840","1,860","1,840","45,98K","0,00%"
"25/01/2023","1,860","1,840","1,860","1,840","4,74K","0,54%"
"24/01/2023","1,850","1,870","1,880","1,850","21,01K","-1,07%"
"23/01/2023","1,870","1,870","1,890","1,870","21,82K","-1,06%"
"20/01/2023","1,890","1,890","1,900","1,890","1,15K","-1,05%"
"19/01/2023","1,910","1,910","1,910","1,890","3,36K","0,53%"
"18/01/2023","1,900","1,890","1,910","1,890","65,21K","0,00%"
"17/01/2023","1,900","1,880","1,910","1,880","402,92K","1,60%"
"16/01/2023","1,870","1,840","1,870","1,840","138,26K","0,00%"
"13/01/2023","1,870","1,860","1,880","1,860","10,35K","-1,06%"
"12/01/2023","1,890","1,860","1,890","1,830","74,88K","0,53%"
"11/01/2023","1,880","1,880","1,900","1,870","4,28K","-1,57%"
"10/01/2023","1,910","1,910","1,910","1,870","47,46K","0,00%"
"09/01/2023","1,910","1,900","1,910","1,880","34,41K","-0,52%"
"06/01/2023","1,920","1,880","1,920","1,880","49,57K","0,52%"
"05/01/2023","1,910","1,890","1,910","1,880","66,38K","0,00%"
"04/01/2023","1,910","1,900","1,910","1,880","92,35K","0,53%"
"03/01/2023","1,900","1,890","1,910","1,880","101,62K","0,00%"
"02/01/2023","1,900","1,890","1,900","1,870","62,39K","0,00%"
"30/12/2022","1,900","1,820","1,900","1,820","275,24K","1,06%"
"29/12/2022","1,880","1,880","1,880","1,830","19,33K","0,00%"
"28/12/2022","1,880","1,800","1,890","1,800","60,31K","1,62%"
"27/12/2022","1,850","1,890","1,890","1,800","220,69K","-2,12%"
"26/12/2022","1,890","1,890","1,890","1,860","23,83K","0,00%"
"23/12/2022","1,890","1,890","1,900","1,850","85,25K","-0,53%"
"22/12/2022","1,900","1,870","1,900","1,870","53,37K","0,00%"
"21/12/2022","1,900","1,880","1,900","1,880","25,06K","-0,52%"
