"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","3,34","3,21","3,34","3,21","1,50K","4,05%"
"27/03/2023","3,21","3,21","3,21","3,21","0,04K","22,99%"
"17/03/2023","2,61","2,61","2,61","2,61","3,31K","-19,69%"
"09/03/2023","3,25","3,25","3,25","3,25","6,75K","-4,13%"
"07/03/2023","3,39","3,39","3,39","3,39","0,00K","2,73%"
"01/03/2023","3,30","3,30","3,30","3,30","2,50K","0,00%"
"28/02/2023","3,30","3,30","3,30","3,30","0,00K","1,54%"
"21/02/2023","3,25","3,25","3,25","3,25","0,50K","0,00%"
"17/02/2023","3,25","3,25","3,25","3,25","137,70K","3,50%"
"23/01/2023","3,14","3,14","3,14","3,14","0,51K","-1,87%"
"20/01/2023","3,20","3,20","3,20","3,20","2,57K","-4,48%"
"19/01/2023","3,35","3,35","3,35","3,35","0,00K","-1,47%"
"30/12/2022","3,40","3,40","3,40","3,40","0,01K","1,19%"
"28/12/2022","3,36","3,36","3,36","3,36","0,00K","2,13%"
"23/12/2022","3,29","3,29","3,29","3,29","0,00K","4,44%"
"22/12/2022","3,15","3,15","3,15","3,15","2,35K","-3,08%"
"21/12/2022","3,25","3,25","3,25","3,25","3,00K","-3,27%"
"13/12/2022","3,36","3,36","3,36","3,36","0,21K","-4,27%"
"02/12/2022","3,51","3,51","3,51","3,51","0,26K","1,15%"
"29/11/2022","3,47","3,47","3,47","3,47","0,00K","8,44%"
"25/11/2022","3,20","3,20","3,20","3,20","16,52K","0,00%"
"24/11/2022","3,20","3,20","3,20","3,20","2,50K","0,00%"
"22/11/2022","3,20","3,20","3,20","3,20","6,51K","0,00%"
"21/11/2022","3,20","3,20","3,20","3,20","1,00K","-2,74%"
"18/11/2022","3,29","3,29","3,29","3,29","0,00K","4,44%"
"17/11/2022","3,15","3,15","3,15","3,15","20,69K","0,00%"
"15/11/2022","3,15","3,15","3,15","3,15","4,92K","0,00%"
"11/11/2022","3,15","3,15","3,15","3,15","10,35K","0,00%"
"10/11/2022","3,15","3,15","3,15","3,15","9,66K","-4,26%"
"09/11/2022","3,29","3,29","3,29","3,29","0,50K","4,44%"
"08/11/2022","3,15","3,15","3,15","3,15","1,76K","-1,87%"
"04/11/2022","3,21","3,21","3,21","3,21","0,04K","-4,18%"
"03/11/2022","3,35","3,35","3,35","3,35","0,01K","-6,69%"
"31/10/2022","3,59","3,59","3,59","3,59","0,16K","4,36%"
"28/10/2022","3,44","3,44","3,44","3,44","0,01K","-0,86%"
"27/10/2022","3,47","3,47","3,47","3,47","1,67K","-0,86%"
"26/10/2022","3,50","3,50","3,50","3,50","0,51K","-3,58%"
"25/10/2022","3,63","3,63","3,63","3,63","0,25K","-0,82%"
"20/10/2022","3,66","3,66","3,66","3,66","0,00K","1,39%"
"18/10/2022","3,61","3,61","3,61","3,61","0,02K","-4,24%"
"11/10/2022","3,77","3,77","3,77","3,77","2,20K","-0,53%"
"05/10/2022","3,79","3,79","3,79","3,79","22,37K","-0,26%"
"03/10/2022","3,80","3,80","3,80","3,80","0,01K","-8,43%"
"12/09/2022","4,15","4,15","4,15","4,15","0,00K","2,22%"
"07/09/2022","4,06","4,06","4,06","4,06","4,75K","-8,56%"
"01/09/2022","4,44","4,44","4,44","4,44","0,02K","5,71%"
"25/08/2022","4,20","4,20","4,20","4,20","0,96K","0,24%"
"23/08/2022","4,19","4,19","4,19","4,19","0,01K","2,20%"
"22/08/2022","4,10","4,10","4,10","4,10","0,34K","-2,38%"
"19/08/2022","4,20","4,20","4,20","4,20","0,50K","2,44%"
"16/08/2022","4,10","4,10","4,10","4,10","0,76K","2,50%"
"15/08/2022","4,00","4,00","4,00","4,00","3,80K","0,00%"
"12/08/2022","4,00","4,00","4,00","4,00","2,10K","0,00%"
"10/08/2022","4,00","4,00","4,00","4,00","7,93K","0,00%"
"09/08/2022","4,00","4,00","4,00","4,00","5,00K","0,00%"
"04/08/2022","4,00","4,00","4,00","4,00","1,00K","2,56%"
"02/08/2022","3,90","3,90","3,90","3,90","0,02K","0,26%"
"01/08/2022","3,89","3,89","3,89","3,89","0,50K","5,14%"
"27/07/2022","3,70","3,70","3,70","3,70","27,84K","0,00%"
"22/07/2022","3,70","3,70","3,70","3,70","2,50K","0,00%"
"21/07/2022","3,70","3,70","3,70","3,70","0,26K","-8,19%"
"19/07/2022","4,03","4,03","4,03","4,03","0,01K","4,40%"
"15/07/2022","3,86","3,86","3,86","3,86","0,57K","-8,10%"
"07/07/2022","4,20","4,20","4,20","4,20","0,20K","-0,24%"
"22/06/2022","4,21","4,21","4,21","4,21","10,01K","-4,32%"
"21/06/2022","4,40","4,40","4,40","4,40","0,10K","-2,22%"
