"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","25,50","25,50","25,50","25,50","0,02K","0,00%"
"27/03/2023","25,50","25,50","25,50","25,50","0,08K","-0,43%"
"24/03/2023","25,61","25,00","25,61","25,00","1,68K","19,17%"
"16/03/2023","21,49","21,49","21,49","21,49","0,26K","2,82%"
"15/03/2023","20,90","20,90","20,90","20,90","0,18K","4,29%"
"10/03/2023","20,04","20,04","20,04","20,04","0,02K","0,10%"
"01/03/2023","20,02","20,02","20,02","20,02","4,60K","0,05%"
"28/02/2023","20,01","20,01","20,01","20,01","3,00K","-0,05%"
"27/02/2023","20,02","20,02","20,02","20,02","2,74K","0,00%"
"24/02/2023","20,02","20,01","20,02","20,01","3,17K","-2,34%"
"23/02/2023","20,50","20,03","20,50","20,03","0,17K","2,40%"
"22/02/2023","20,02","20,02","20,02","20,02","2,61K","-0,05%"
"21/02/2023","20,03","20,03","20,03","20,03","3,00K","0,05%"
"20/02/2023","20,02","20,02","20,02","20,02","3,26K","0,05%"
"17/02/2023","20,01","20,01","20,01","20,01","2,73K","0,05%"
"16/02/2023","20,00","20,00","20,00","20,00","2,36K","0,00%"
"15/02/2023","20,00","20,00","20,00","20,00","200,89K","-3,94%"
"14/02/2023","20,82","20,00","20,82","20,00","0,54K","4,00%"
"13/02/2023","20,02","20,02","20,02","20,02","6,34K","0,05%"
"10/02/2023","20,01","20,01","20,01","20,01","0,49K","0,05%"
"09/02/2023","20,00","20,00","20,00","20,00","1,59K","0,00%"
"08/02/2023","20,00","20,00","20,00","20,00","0,48K","0,00%"
"02/02/2023","20,00","20,00","20,00","20,00","6,00K","0,00%"
"26/01/2023","20,00","20,00","20,00","20,00","1,92K","0,00%"
"25/01/2023","20,00","20,00","20,00","20,00","33,36K","0,00%"
"23/01/2023","20,00","20,00","20,00","20,00","0,10K","-0,05%"
"20/01/2023","20,01","20,01","20,01","20,01","0,30K","-2,39%"
"19/01/2023","20,50","20,50","20,50","20,50","0,03K","2,50%"
"18/01/2023","20,00","20,00","20,00","20,00","0,50K","0,00%"
"17/01/2023","20,00","20,00","20,00","20,00","0,32K","0,00%"
"16/01/2023","20,00","20,00","20,00","20,00","1,57K","0,00%"
"13/01/2023","20,00","20,00","20,00","20,00","3,77K","0,00%"
"12/01/2023","20,00","20,00","20,00","20,00","0,00K","0,00%"
"11/01/2023","20,00","20,00","20,00","20,00","6,73K","0,00%"
"10/01/2023","20,00","20,00","20,00","20,00","0,86K","0,00%"
"05/01/2023","20,00","20,00","20,00","20,00","0,05K","0,05%"
"04/01/2023","19,99","19,99","19,99","19,99","0,00K","5,21%"
"02/01/2023","19,00","19,00","19,00","19,00","0,07K","-2,56%"
"30/12/2022","19,50","19,50","19,50","19,50","0,70K","2,63%"
"29/12/2022","19,00","19,00","19,00","19,00","0,04K","0,00%"
"28/12/2022","19,00","19,00","19,00","19,00","0,25K","-2,56%"
"22/12/2022","19,50","18,90","19,50","18,90","0,20K","3,17%"
"21/12/2022","18,90","18,90","18,90","18,90","0,00K","-2,58%"
"20/12/2022","19,40","19,40","19,40","19,40","0,16K","1,57%"
"19/12/2022","19,10","19,10","19,10","19,10","0,03K","0,53%"
"15/12/2022","19,00","19,00","19,00","19,00","0,26K","-2,56%"
"13/12/2022","19,50","19,50","19,50","19,50","0,03K","0,00%"
"12/12/2022","19,50","18,63","19,50","18,63","0,13K","0,00%"
"08/12/2022","19,50","19,50","19,50","19,50","0,00K","2,63%"
"07/12/2022","19,00","19,00","19,00","19,00","0,05K","-2,56%"
"05/12/2022","19,50","19,50","19,50","19,50","0,25K","0,00%"
"01/12/2022","19,50","19,10","19,50","19,10","0,27K","2,09%"
"29/11/2022","19,10","19,10","19,10","19,10","0,41K","-3,54%"
"28/11/2022","19,80","19,70","19,80","19,70","0,33K","0,00%"
"25/11/2022","19,80","19,80","19,80","19,80","0,01K","0,00%"
"24/11/2022","19,80","19,79","19,80","19,79","1,35K","0,00%"
"18/11/2022","19,80","19,80","19,80","19,80","0,26K","0,00%"
"17/11/2022","19,80","19,80","19,80","19,80","0,00K","0,00%"
"16/11/2022","19,80","19,80","19,80","19,80","0,15K","0,00%"
"03/11/2022","19,80","19,80","19,80","19,80","4,54K","0,00%"
"19/10/2022","19,80","18,91","19,80","18,91","0,60K","0,00%"
"14/10/2022","19,80","19,80","19,80","19,80","0,37K","0,00%"
"13/10/2022","19,80","19,80","19,80","19,80","0,23K","-1,00%"
"28/09/2022","20,00","20,00","20,00","20,00","0,01K","1,78%"
"27/09/2022","19,65","19,65","19,65","19,65","0,20K","0,00%"
"26/09/2022","19,65","19,50","19,65","19,50","0,13K","9,11%"
"01/09/2022","18,01","18,01","18,01","18,01","0,70K","0,06%"
"22/08/2022","18,00","18,00","18,00","18,00","0,30K","-7,69%"
"09/08/2022","19,50","19,50","19,50","19,50","0,00K","3,67%"
"29/07/2022","18,81","18,81","18,81","18,81","1,00K","0,00%"
"28/07/2022","18,81","18,81","18,81","18,81","0,01K","4,50%"
"21/07/2022","18,00","18,00","18,00","18,00","0,31K","0,00%"
"19/07/2022","18,00","18,00","18,00","18,00","0,00K","0,00%"
"18/07/2022","18,00","18,00","18,00","18,00","0,20K","-1,10%"
"06/07/2022","18,20","18,20","18,20","18,20","0,10K","0,00%"
"27/06/2022","18,20","18,20","18,20","18,20","0,00K","0,00%"
"24/06/2022","18,20","18,20","18,20","18,20","0,38K","0,00%"
"21/06/2022","18,20","18,20","18,20","18,20","0,20K","0,00%"
"20/06/2022","18,20","18,20","18,20","18,20","0,20K","0,00%"
"07/06/2022","18,20","18,20","18,20","18,20","0,20K","0,28%"
"30/05/2022","18,15","18,15","18,15","18,15","14,09K","-0,27%"
"19/05/2022","18,20","18,20","18,20","18,20","0,00K","0,00%"
