"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","12,41","12,50","12,50","12,40","1,19K","-0,72%"
"28/03/2023","12,50","12,40","12,50","12,40","1,62K","0,00%"
"27/03/2023","12,50","12,50","12,50","12,50","1,76K","1,13%"
"24/03/2023","12,36","12,30","12,50","12,30","4,25K","0,90%"
"23/03/2023","12,25","12,44","12,45","12,25","3,35K","-0,41%"
"22/03/2023","12,30","12,31","12,31","12,30","1,05K","-1,60%"
"21/03/2023","12,50","12,49","12,50","12,49","4,80K","0,00%"
"17/03/2023","12,50","12,44","12,50","12,27","8,96K","1,13%"
"15/03/2023","12,36","12,36","12,36","12,36","0,01K","0,00%"
"14/03/2023","12,36","12,38","12,38","12,36","2,51K","0,00%"
"13/03/2023","12,36","12,45","12,50","12,36","0,88K","-0,32%"
"10/03/2023","12,40","12,10","12,40","12,10","1,90K","2,48%"
"09/03/2023","12,10","12,10","12,10","12,10","0,89K","-3,20%"
"08/03/2023","12,50","12,14","12,50","12,14","1,85K","3,31%"
"07/03/2023","12,10","12,20","12,20","12,10","0,54K","-0,90%"
"06/03/2023","12,21","12,60","12,60","12,21","2,09K","-2,24%"
"03/03/2023","12,49","12,50","12,60","12,49","4,16K","-0,08%"
"02/03/2023","12,50","12,15","12,50","12,15","6,39K","2,88%"
"01/03/2023","12,15","12,15","12,15","12,15","0,10K","0,00%"
"28/02/2023","12,15","12,15","12,15","12,00","9,00K","1,67%"
"27/02/2023","11,95","11,95","12,00","11,95","3,89K","0,00%"
"24/02/2023","11,95","11,95","11,95","11,95","0,03K","-0,42%"
"23/02/2023","12,00","11,95","12,15","11,95","3,70K","0,00%"
"22/02/2023","12,00","12,00","12,01","12,00","10,21K","-1,23%"
"21/02/2023","12,15","12,15","12,15","12,15","1,00K","0,00%"
"20/02/2023","12,15","11,91","12,15","11,91","0,87K","2,02%"
"17/02/2023","11,91","11,91","11,91","11,91","0,04K","-2,14%"
"16/02/2023","12,17","12,17","12,17","12,17","0,21K","0,00%"
"15/02/2023","12,17","12,17","12,17","12,00","0,77K","-0,08%"
"14/02/2023","12,18","12,18","12,18","12,10","4,24K","0,00%"
"13/02/2023","12,18","12,18","12,18","12,17","2,41K","0,00%"
"10/02/2023","12,18","11,80","12,18","11,80","0,10K","-0,16%"
"09/02/2023","12,20","12,10","12,20","12,10","1,99K","0,41%"
"08/02/2023","12,15","12,02","12,15","11,90","8,28K","1,33%"
"07/02/2023","11,99","12,00","12,00","11,90","1,85K","-0,08%"
"06/02/2023","12,00","11,92","12,10","11,92","5,49K","2,56%"
"03/02/2023","11,70","11,71","11,72","11,63","2,74K","-0,85%"
"02/02/2023","11,80","11,71","11,80","11,71","0,88K","-1,26%"
"31/01/2023","11,95","11,61","12,00","11,61","4,20K","0,42%"
"30/01/2023","11,90","11,55","11,90","11,55","3,09K","3,48%"
"27/01/2023","11,50","11,50","11,60","11,50","3,07K","-0,86%"
"26/01/2023","11,60","11,60","11,60","11,60","0,00K","1,49%"
"25/01/2023","11,43","11,54","11,54","11,40","3,94K","-2,81%"
"24/01/2023","11,76","11,76","11,76","11,76","2,43K","0,00%"
"23/01/2023","11,76","11,53","11,76","11,53","2,01K","1,99%"
"20/01/2023","11,53","11,53","11,53","11,46","0,14K","-0,43%"
"19/01/2023","11,58","11,58","11,58","11,58","0,06K","1,05%"
"18/01/2023","11,46","11,46","11,60","11,46","0,73K","0,26%"
"17/01/2023","11,43","11,99","11,99","11,43","0,14K","-4,75%"
"16/01/2023","12,00","11,51","12,00","11,50","2,56K","4,26%"
"13/01/2023","11,51","11,40","11,51","11,31","2,31K","0,00%"
"12/01/2023","11,51","11,51","11,51","11,40","13,89K","-2,04%"
"11/01/2023","11,75","11,98","12,00","11,75","1,53K","-1,92%"
"10/01/2023","11,98","12,00","12,00","11,71","1,49K","-0,17%"
"09/01/2023","12,00","12,00","12,00","11,89","21,97K","-2,99%"
"06/01/2023","12,37","12,00","12,37","11,95","13,32K","3,08%"
"05/01/2023","12,00","11,91","12,01","11,91","1,76K","-3,23%"
"04/01/2023","12,40","12,50","12,50","12,40","15,02K","-0,80%"
"03/01/2023","12,50","12,60","12,60","12,41","5,30K","-2,34%"
"02/01/2023","12,80","12,60","12,80","12,60","1,00K","-0,62%"
"30/12/2022","12,88","12,86","12,88","12,75","1,23K","0,00%"
"29/12/2022","12,88","12,90","12,90","12,80","2,27K","-0,16%"
"28/12/2022","12,90","12,68","12,90","12,67","2,08K","1,98%"
"27/12/2022","12,65","12,65","12,65","12,50","1,36K","0,00%"
"26/12/2022","12,65","12,65","12,65","12,52","0,18K","-0,39%"
"23/12/2022","12,70","12,69","12,70","12,69","0,48K","0,00%"
"22/12/2022","12,70","12,59","12,70","12,51","1,20K","0,79%"
"21/12/2022","12,60","12,60","12,61","12,60","0,96K","-1,56%"
"20/12/2022","12,80","12,80","12,80","12,60","3,91K","0,00%"
"19/12/2022","12,80","12,80","12,80","12,80","0,20K","-0,78%"
"16/12/2022","12,90","12,90","12,90","12,80","0,12K","0,00%"
"15/12/2022","12,90","12,71","12,90","12,70","0,14K","0,78%"
"14/12/2022","12,80","12,80","12,80","12,80","0,10K","0,00%"
"13/12/2022","12,80","12,90","12,90","12,70","0,95K","0,00%"
"12/12/2022","12,80","12,90","12,90","12,80","2,37K","-0,78%"
"09/12/2022","12,90","12,90","12,90","12,80","0,53K","0,00%"
"08/12/2022","12,90","12,90","12,90","12,80","0,15K","1,26%"
"07/12/2022","12,74","12,74","12,74","12,74","0,15K","-1,92%"
"05/12/2022","12,99","13,00","13,00","12,90","0,62K","-2,18%"
"02/12/2022","13,28","13,29","13,29","12,80","0,41K","3,75%"
"01/12/2022","12,80","13,00","13,00","12,62","0,73K","-3,03%"
"30/11/2022","13,20","13,00","13,20","13,00","0,44K","1,62%"
"29/11/2022","12,99","13,00","13,00","12,99","0,69K","1,48%"
"28/11/2022","12,80","12,98","12,98","12,80","1,74K","-1,46%"
"25/11/2022","12,99","12,98","12,99","12,98","1,85K","-0,08%"
"24/11/2022","13,00","13,00","13,00","13,00","0,31K","0,00%"
"23/11/2022","13,00","13,00","13,00","12,99","0,54K","0,00%"
"22/11/2022","13,00","13,00","13,00","13,00","0,10K","2,20%"
"18/11/2022","12,72","12,90","12,90","12,70","0,74K","-1,40%"
"17/11/2022","12,90","13,00","13,00","12,90","0,09K","-0,77%"
"16/11/2022","13,00","13,04","13,04","13,00","1,32K","-3,70%"
"15/11/2022","13,50","13,50","13,50","13,20","0,98K","0,00%"
"14/11/2022","13,50","13,55","13,60","13,50","1,31K","-2,17%"
"11/11/2022","13,80","13,90","13,90","13,80","0,49K","0,00%"
"10/11/2022","13,80","14,00","14,00","13,80","0,19K","-0,72%"
"09/11/2022","13,90","13,71","13,90","13,70","0,58K","0,00%"
"08/11/2022","13,90","13,90","13,90","13,90","0,01K","0,00%"
"04/11/2022","13,90","13,90","13,90","13,85","3,85K","0,36%"
"03/11/2022","13,85","13,85","13,90","13,85","2,31K","-0,36%"
"02/11/2022","13,90","13,90","13,91","13,90","0,39K","0,00%"
"01/11/2022","13,90","13,85","13,90","13,85","1,01K","0,29%"
"31/10/2022","13,86","13,97","13,97","13,86","0,45K","-2,74%"
"28/10/2022","14,25","14,48","14,49","14,25","0,30K","0,00%"
