"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","21,00","21,42","21,42","21,00","30,13K","-2,10%"
"28/03/2023","21,45","21,85","21,85","21,15","17,81K","-2,05%"
"27/03/2023","21,90","21,20","22,00","21,00","4,82K","4,29%"
"24/03/2023","21,00","21,49","21,49","21,00","15,01K","-2,28%"
"23/03/2023","21,49","21,13","21,96","21,13","14,60K","-4,28%"
"22/03/2023","22,45","22,61","22,61","22,45","10,07K","-5,99%"
"21/03/2023","23,88","24,79","24,79","23,88","1,92K","-5,98%"
"17/03/2023","25,40","25,51","25,69","25,40","1,99K","-0,39%"
"16/03/2023","25,50","25,64","25,90","25,40","3,01K","-0,55%"
"15/03/2023","25,64","25,71","25,76","25,50","1,24K","-1,00%"
"14/03/2023","25,90","26,29","26,29","25,65","0,78K","0,78%"
"13/03/2023","25,70","25,91","25,91","25,65","3,36K","-1,04%"
"10/03/2023","25,97","26,00","26,00","25,82","1,03K","0,54%"
"09/03/2023","25,83","25,85","25,99","25,83","1,47K","-0,65%"
"08/03/2023","26,00","26,01","26,19","26,00","2,07K","-0,15%"
"07/03/2023","26,04","26,20","26,48","26,03","2,54K","-0,23%"
"06/03/2023","26,10","26,19","26,19","25,81","0,60K","0,00%"
"03/03/2023","26,10","26,20","26,20","26,05","1,98K","-0,34%"
"02/03/2023","26,19","26,00","26,29","25,65","1,63K","0,92%"
"01/03/2023","25,95","25,94","26,00","25,94","2,12K","0,00%"
"28/02/2023","25,95","25,70","25,95","25,50","11,05K","1,29%"
"27/02/2023","25,62","25,95","25,95","25,62","6,05K","-1,27%"
"24/02/2023","25,95","26,45","26,45","25,95","0,37K","-1,29%"
"23/02/2023","26,29","25,97","26,48","25,80","5,78K","1,31%"
"22/02/2023","25,95","25,91","25,97","25,90","2,68K","0,08%"
"21/02/2023","25,93","25,99","25,99","25,91","1,53K","-0,19%"
"20/02/2023","25,98","25,80","25,99","25,80","1,17K","0,66%"
"17/02/2023","25,81","26,68","26,68","25,80","4,55K","-0,73%"
"16/02/2023","26,00","25,80","26,19","25,79","2,83K","0,78%"
"15/02/2023","25,80","25,01","25,90","25,01","2,36K","2,38%"
"14/02/2023","25,20","25,20","25,29","25,00","14,88K","0,08%"
"13/02/2023","25,18","25,39","25,39","24,80","2,61K","-1,25%"
"10/02/2023","25,50","26,00","26,38","25,39","0,52K","-1,92%"
"09/02/2023","26,00","26,55","26,55","25,80","6,18K","-2,51%"
"08/02/2023","26,67","27,10","27,10","26,67","2,70K","-1,22%"
"07/02/2023","27,00","26,70","27,50","26,70","13,27K","1,31%"
"06/02/2023","26,65","25,15","26,65","25,15","7,82K","5,96%"
"03/02/2023","25,15","24,15","25,20","24,15","9,19K","4,18%"
"02/02/2023","24,14","24,40","24,40","24,00","6,89K","-0,45%"
"01/02/2023","24,25","24,00","24,45","24,00","8,02K","0,58%"
"31/01/2023","24,11","24,00","24,30","23,91","10,99K","-0,78%"
"30/01/2023","24,30","24,39","24,39","24,00","0,35K","-0,37%"
"27/01/2023","24,39","23,92","24,50","23,90","5,63K","1,62%"
"26/01/2023","24,00","24,00","24,05","23,92","4,97K","0,00%"
"25/01/2023","24,00","24,21","24,21","24,00","6,23K","-1,64%"
"24/01/2023","24,40","24,22","24,40","24,20","4,14K","0,00%"
"23/01/2023","24,40","24,40","24,50","24,26","4,08K","-0,41%"
"20/01/2023","24,50","24,39","24,68","24,20","7,60K","0,16%"
"19/01/2023","24,46","24,15","24,50","24,00","2,92K","1,28%"
"18/01/2023","24,15","24,50","24,51","24,02","3,81K","-1,39%"
"17/01/2023","24,49","23,71","24,69","23,71","6,25K","2,90%"
"16/01/2023","23,80","23,98","23,99","23,75","0,70K","-0,83%"
"13/01/2023","24,00","23,50","24,00","23,49","5,40K","0,00%"
"12/01/2023","24,00","24,02","24,02","23,49","8,16K","-0,54%"
"11/01/2023","24,13","24,13","24,50","24,02","4,87K","0,00%"
"10/01/2023","24,13","24,59","24,70","24,13","4,55K","-2,78%"
"09/01/2023","24,82","24,75","24,83","24,49","4,79K","-0,08%"
"06/01/2023","24,84","24,80","24,84","24,70","2,38K","-0,56%"
"05/01/2023","24,98","24,90","25,01","24,76","1,85K","0,32%"
"04/01/2023","24,90","25,19","25,19","24,90","3,00K","-0,40%"
"03/01/2023","25,00","25,00","25,20","24,91","1,50K","-0,79%"
"02/01/2023","25,20","25,70","25,70","24,91","2,85K","-1,95%"
"30/12/2022","25,70","25,46","25,78","25,00","3,28K","1,58%"
"29/12/2022","25,30","25,47","25,47","25,00","5,74K","-0,67%"
