"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/03/2023","0,34","0,34","0,34","0,34","0,30K","0,00%"
"27/03/2023","0,34","0,34","0,34","0,34","0,35K","-2,86%"
"22/03/2023","0,35","0,35","0,35","0,35","1,00K","0,00%"
"21/03/2023","0,35","0,35","0,35","0,35","0,06K","0,00%"
"17/03/2023","0,35","0,35","0,35","0,35","2,13K","2,94%"
"16/03/2023","0,34","0,34","0,34","0,34","4,88K","-2,86%"
"13/03/2023","0,35","0,35","0,35","0,35","2,10K","0,00%"
"10/03/2023","0,35","0,35","0,35","0,35","8,21K","-7,89%"
"06/03/2023","0,38","0,38","0,38","0,38","5,35K","-7,32%"
"28/02/2023","0,41","0,41","0,41","0,41","1,11K","-2,38%"
"27/02/2023","0,42","0,42","0,42","0,42","0,00K","2,44%"
"24/02/2023","0,41","0,41","0,41","0,41","0,30K","0,00%"
"23/02/2023","0,41","0,41","0,41","0,41","0,00K","2,50%"
"22/02/2023","0,40","0,40","0,40","0,40","2,30K","2,56%"
"21/02/2023","0,39","0,39","0,39","0,39","3,26K","-2,50%"
"20/02/2023","0,40","0,40","0,40","0,40","13,90K","-2,44%"
"17/02/2023","0,41","0,41","0,41","0,41","0,09K","0,00%"
"16/02/2023","0,41","0,41","0,41","0,41","6,88K","-2,38%"
"10/02/2023","0,42","0,42","0,42","0,42","1,89K","2,44%"
"07/02/2023","0,41","0,41","0,41","0,41","4,00K","0,00%"
"06/02/2023","0,41","0,41","0,41","0,41","2,92K","-2,38%"
"03/02/2023","0,42","0,42","0,42","0,42","2,46K","0,00%"
"01/02/2023","0,42","0,42","0,42","0,42","0,92K","-2,33%"
"30/01/2023","0,43","0,43","0,43","0,43","3,51K","0,00%"
"27/01/2023","0,43","0,43","0,43","0,43","13,29K","0,00%"
"26/01/2023","0,43","0,43","0,43","0,43","2,01K","2,38%"
"25/01/2023","0,42","0,42","0,42","0,42","1,55K","2,44%"
"24/01/2023","0,41","0,41","0,41","0,41","1,58K","0,00%"
"23/01/2023","0,41","0,41","0,41","0,41","5,52K","-2,38%"
"20/01/2023","0,42","0,42","0,42","0,42","0,26K","0,00%"
"19/01/2023","0,42","0,42","0,42","0,42","0,06K","2,44%"
"18/01/2023","0,41","0,41","0,41","0,41","3,80K","-2,38%"
"16/01/2023","0,42","0,42","0,42","0,42","0,14K","0,00%"
"13/01/2023","0,42","0,42","0,42","0,42","2,57K","0,00%"
"12/01/2023","0,42","0,42","0,42","0,42","4,50K","2,44%"
"11/01/2023","0,41","0,41","0,41","0,41","5,44K","0,00%"
"10/01/2023","0,41","0,41","0,41","0,41","0,00K","0,00%"
"09/01/2023","0,41","0,41","0,41","0,41","1,10K","2,50%"
"05/01/2023","0,40","0,40","0,40","0,40","2,11K","0,00%"
"04/01/2023","0,40","0,40","0,40","0,40","12,56K","0,00%"
"03/01/2023","0,40","0,40","0,40","0,40","1,06K","0,00%"
"02/01/2023","0,40","0,40","0,40","0,40","8,58K","-9,09%"
"16/12/2022","0,44","0,44","0,44","0,44","0,05K","-2,22%"
"14/12/2022","0,45","0,45","0,45","0,45","0,01K","7,14%"
"09/12/2022","0,42","0,42","0,42","0,42","0,63K","0,00%"
"08/12/2022","0,42","0,42","0,42","0,42","0,54K","0,00%"
"07/12/2022","0,42","0,42","0,42","0,42","1,05K","0,00%"
"06/12/2022","0,42","0,42","0,42","0,42","0,40K","5,00%"
"01/12/2022","0,40","0,40","0,40","0,40","5,90K","0,00%"
"29/11/2022","0,40","0,40","0,40","0,40","7,89K","-2,44%"
"28/11/2022","0,41","0,41","0,41","0,41","5,16K","-2,38%"
"25/11/2022","0,42","0,42","0,42","0,42","0,10K","0,00%"
"24/11/2022","0,42","0,42","0,42","0,42","5,58K","-2,33%"
"23/11/2022","0,43","0,43","0,43","0,43","0,55K","-2,27%"
"22/11/2022","0,44","0,44","0,44","0,44","0,25K","0,00%"
"18/11/2022","0,44","0,44","0,44","0,44","1,05K","-8,33%"
"15/11/2022","0,48","0,48","0,48","0,48","0,10K","4,35%"
"14/11/2022","0,46","0,46","0,46","0,46","0,90K","-4,17%"
"09/11/2022","0,48","0,48","0,48","0,48","0,12K","4,35%"
"08/11/2022","0,46","0,46","0,46","0,46","5,00K","-4,17%"
"07/11/2022","0,48","0,48","0,48","0,48","0,36K","11,63%"
"01/11/2022","0,43","0,43","0,43","0,43","8,39K","-12,24%"
"26/10/2022","0,49","0,49","0,49","0,49","0,42K","0,00%"
"25/10/2022","0,49","0,49","0,49","0,49","0,80K","2,08%"
"24/10/2022","0,48","0,48","0,48","0,48","2,93K","2,13%"
"21/10/2022","0,47","0,47","0,47","0,47","3,68K","-4,08%"
"20/10/2022","0,49","0,49","0,49","0,49","0,52K","0,00%"
"19/10/2022","0,49","0,49","0,49","0,49","2,60K","4,26%"
"18/10/2022","0,47","0,47","0,47","0,47","0,87K","2,17%"
"12/10/2022","0,46","0,46","0,46","0,46","2,37K","2,22%"
"11/10/2022","0,45","0,45","0,45","0,45","0,66K","7,14%"
"06/10/2022","0,42","0,42","0,42","0,42","11,00K","-2,33%"
"05/10/2022","0,43","0,43","0,43","0,43","6,68K","-4,44%"
"04/10/2022","0,45","0,45","0,45","0,45","12,54K","-2,17%"
"03/10/2022","0,46","0,46","0,46","0,46","12,44K","2,22%"
"30/09/2022","0,45","0,45","0,45","0,45","12,07K","2,27%"
"29/09/2022","0,44","0,44","0,44","0,44","3,12K","-2,22%"
"27/09/2022","0,45","0,45","0,45","0,45","6,29K","-2,17%"
"26/09/2022","0,46","0,46","0,46","0,46","1,08K","-2,13%"
"23/09/2022","0,47","0,47","0,47","0,47","2,14K","-2,08%"
"22/09/2022","0,48","0,48","0,48","0,48","2,18K","0,00%"
"21/09/2022","0,48","0,48","0,48","0,48","5,41K","-2,04%"
"20/09/2022","0,49","0,49","0,49","0,49","0,57K","4,26%"
"19/09/2022","0,47","0,47","0,47","0,47","4,60K","0,00%"
"16/09/2022","0,47","0,47","0,47","0,47","14,08K","2,17%"
"15/09/2022","0,46","0,46","0,46","0,46","9,32K","-11,54%"
"12/09/2022","0,52","0,52","0,52","0,52","2,06K","4,00%"
"08/09/2022","0,50","0,50","0,50","0,50","7,68K","-3,85%"
"07/09/2022","0,52","0,52","0,52","0,52","3,93K","-1,89%"
"06/09/2022","0,53","0,53","0,53","0,53","5,05K","-1,85%"
"05/09/2022","0,54","0,54","0,54","0,54","12,12K","0,00%"
"02/09/2022","0,54","0,54","0,54","0,54","15,00K","1,89%"
"01/09/2022","0,53","0,53","0,53","0,53","5,70K","0,00%"
"31/08/2022","0,53","0,53","0,53","0,53","11,67K","-1,85%"
"30/08/2022","0,54","0,54","0,54","0,54","1,28K","-3,57%"
"29/08/2022","0,56","0,56","0,56","0,56","8,39K","1,82%"
"26/08/2022","0,55","0,55","0,55","0,55","7,01K","0,00%"
"25/08/2022","0,55","0,55","0,55","0,55","4,38K","3,77%"
