"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","4,50","4,50","4,50","4,50","2,00K","0,00%"
"17/03/2023","4,50","4,50","4,50","4,50","11,08K","0,00%"
"15/03/2023","4,50","4,50","4,50","4,50","1,86K","0,00%"
"09/03/2023","4,50","4,50","4,50","4,50","0,34K","0,00%"
"01/03/2023","4,50","4,50","4,50","4,50","1,65K","0,00%"
"27/02/2023","4,50","4,50","4,50","4,50","5,00K","0,00%"
"14/02/2023","4,50","4,50","4,50","4,50","0,50K","1,12%"
"10/02/2023","4,45","4,45","4,45","4,45","0,31K","3,49%"
"08/02/2023","4,30","4,30","4,30","4,30","7,00K","1,18%"
"07/02/2023","4,25","4,25","4,25","4,25","400,03K","0,00%"
"03/02/2023","4,25","4,25","4,25","4,25","0,11K","2,41%"
"02/02/2023","4,15","4,15","4,15","4,15","0,22K","-3,49%"
"01/02/2023","4,30","4,30","4,30","4,30","1,61K","-4,44%"
"31/01/2023","4,50","4,50","4,50","4,50","0,25K","0,00%"
"24/01/2023","4,50","4,50","4,50","4,50","0,01K","0,00%"
"23/01/2023","4,50","4,50","4,50","4,50","3,35K","-2,17%"
"19/01/2023","4,60","4,60","4,60","4,60","0,02K","3,37%"
"16/01/2023","4,45","4,45","4,45","4,45","1,18K","1,14%"
"10/01/2023","4,40","4,40","4,40","4,40","0,09K","0,00%"
"09/01/2023","4,40","4,40","4,40","4,40","3,79K","0,00%"
"02/01/2023","4,40","4,40","4,40","4,40","0,06K","0,00%"
"30/12/2022","4,40","4,40","4,40","4,40","0,95K","0,46%"
"29/12/2022","4,38","4,38","4,38","4,38","2,60K","4,29%"
"27/12/2022","4,20","4,20","4,20","4,20","2,22K","0,00%"
"26/12/2022","4,20","4,20","4,20","4,20","0,68K","1,20%"
"23/12/2022","4,15","4,20","4,20","4,15","2,18K","-5,68%"
"19/12/2022","4,40","4,40","4,40","4,40","0,18K","0,00%"
"16/12/2022","4,40","4,40","4,40","4,40","0,20K","-1,57%"
"12/12/2022","4,47","4,47","4,47","4,47","5,10K","4,44%"
"08/12/2022","4,28","4,15","4,28","4,15","0,05K","2,88%"
"07/12/2022","4,16","4,28","4,28","4,16","0,01K","-2,80%"
"30/11/2022","4,28","4,28","4,28","4,28","0,05K","3,13%"
"29/11/2022","4,15","4,15","4,15","4,15","1,13K","-3,26%"
"24/11/2022","4,29","4,29","4,29","4,29","0,00K","0,00%"
"21/11/2022","4,29","4,29","4,29","4,29","0,05K","4,13%"
"17/11/2022","4,12","4,30","4,30","4,12","0,04K","-4,19%"
"15/11/2022","4,30","4,30","4,30","4,30","0,80K","0,00%"
"10/11/2022","4,30","4,30","4,30","4,30","0,12K","0,00%"
"09/11/2022","4,30","4,20","4,30","4,20","5,20K","0,23%"
"04/11/2022","4,29","4,29","4,29","4,29","0,55K","4,38%"
"03/11/2022","4,11","4,11","4,11","4,11","6,25K","-4,42%"
"02/11/2022","4,30","4,30","4,30","4,30","7,10K","-5,49%"
