"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","99,50","99,51","99,98","99,50","0,28K","0,00%"
"28/03/2023","99,50","99,50","100,00","99,45","0,16K","0,00%"
"27/03/2023","99,50","99,35","99,50","99,35","0,12K","0,00%"
"24/03/2023","99,50","100,00","100,00","99,50","0,18K","-0,85%"
"23/03/2023","100,35","100,30","100,35","99,50","0,18K","0,05%"
"22/03/2023","100,30","100,40","100,40","99,55","0,53K","0,40%"
"21/03/2023","99,90","100,00","100,98","99,90","0,71K","-0,10%"
"17/03/2023","100,00","100,00","101,90","100,00","0,59K","0,00%"
"16/03/2023","100,00","100,00","101,95","100,00","0,89K","0,00%"
"15/03/2023","100,00","99,99","100,00","99,30","0,49K","0,39%"
"14/03/2023","99,61","99,70","99,98","99,50","0,21K","-0,38%"
"13/03/2023","99,99","99,99","100,00","99,98","0,36K","0,00%"
"10/03/2023","99,99","99,99","100,00","99,50","0,63K","0,00%"
"09/03/2023","99,99","99,70","100,00","99,65","1,25K","0,29%"
"08/03/2023","99,70","99,01","99,80","99,01","0,86K","0,30%"
"07/03/2023","99,40","98,50","100,00","98,50","1,21K","0,91%"
"06/03/2023","98,50","98,00","98,50","98,00","0,20K","0,00%"
"03/03/2023","98,50","97,80","98,50","97,00","0,84K","0,00%"
"02/03/2023","98,50","98,50","98,50","98,50","0,01K","-0,34%"
"01/03/2023","98,84","98,85","98,85","97,50","0,09K","-0,01%"
"28/02/2023","98,85","97,50","98,85","97,50","0,14K","0,00%"
"27/02/2023","98,85","98,89","98,89","97,50","0,20K","-0,04%"
"24/02/2023","98,89","97,99","98,89","96,01","1,40K","1,01%"
"23/02/2023","97,90","96,00","98,60","96,00","1,29K","1,98%"
"22/02/2023","96,00","96,00","96,00","95,50","0,31K","-0,92%"
"21/02/2023","96,89","95,50","96,89","95,40","0,30K","0,50%"
"20/02/2023","96,41","96,41","96,42","95,40","0,25K","1,27%"
"17/02/2023","95,20","96,33","96,50","95,00","0,74K","-1,17%"
"16/02/2023","96,33","96,30","96,33","95,50","0,78K","0,34%"
"15/02/2023","96,00","96,00","96,95","95,50","0,70K","0,00%"
"14/02/2023","96,00","95,50","96,00","95,50","0,03K","0,52%"
"13/02/2023","95,50","95,50","95,50","95,50","0,20K","0,41%"
"10/02/2023","95,11","95,50","95,99","95,11","0,19K","-0,92%"
"09/02/2023","95,99","95,50","95,99","95,50","0,03K","-0,01%"
"08/02/2023","96,00","95,30","96,00","95,00","0,68K","0,73%"
"07/02/2023","95,30","96,00","96,00","95,22","0,37K","-0,73%"
"06/02/2023","96,00","96,00","96,00","96,00","0,16K","-1,03%"
"03/02/2023","97,00","96,00","97,00","96,00","0,23K","1,89%"
"02/02/2023","95,20","97,27","97,27","95,20","0,62K","-2,16%"
"01/02/2023","97,30","95,21","97,30","95,20","0,44K","0,33%"
"31/01/2023","96,98","96,00","97,00","96,00","0,23K","0,81%"
"30/01/2023","96,20","95,30","96,99","95,30","0,34K","0,21%"
"27/01/2023","96,00","95,01","96,00","95,00","0,80K","0,00%"
"26/01/2023","96,00","96,00","97,00","95,01","0,65K","-1,42%"
"25/01/2023","97,38","97,38","97,38","97,38","0,00K","1,44%"
"24/01/2023","96,00","95,01","97,49","95,01","0,91K","1,04%"
"23/01/2023","95,01","97,48","97,48","95,01","0,60K","-2,55%"
"20/01/2023","97,50","98,00","98,50","97,00","3,15K","0,67%"
"19/01/2023","96,85","95,10","97,00","95,10","0,31K","-0,21%"
"18/01/2023","97,05","95,50","97,05","94,20","0,78K","1,52%"
"17/01/2023","95,60","96,00","96,00","94,50","0,65K","-0,42%"
"16/01/2023","96,00","96,50","97,00","95,10","0,14K","-1,03%"
"13/01/2023","97,00","97,65","97,65","95,03","0,88K","-0,87%"
"12/01/2023","97,85","95,03","97,85","95,02","1,22K","2,99%"
"11/01/2023","95,01","98,70","98,80","94,00","1,57K","-3,74%"
"10/01/2023","98,70","94,84","98,70","94,80","4,53K","4,00%"
"09/01/2023","94,90","93,60","94,90","93,60","0,24K","1,39%"
"06/01/2023","93,60","91,00","93,60","90,60","2,53K","2,87%"
"05/01/2023","90,99","90,95","91,00","90,50","0,73K","0,65%"
"04/01/2023","90,40","90,00","91,00","90,00","1,00K","0,41%"
"03/01/2023","90,03","90,00","90,04","90,00","0,23K","0,03%"
"02/01/2023","90,00","90,06","90,06","89,20","0,17K","-0,06%"
"30/12/2022","90,05","89,95","90,10","89,00","0,65K","0,11%"
"29/12/2022","89,95","88,10","89,95","88,10","0,05K","1,07%"
"28/12/2022","89,00","89,00","89,50","89,00","0,24K","-1,10%"
"27/12/2022","89,99","88,00","90,10","88,00","0,60K","0,21%"
"26/12/2022","89,80","89,50","89,80","88,00","0,21K","-0,17%"
"23/12/2022","89,95","89,96","89,96","89,95","0,09K","-0,01%"
"22/12/2022","89,96","89,96","89,96","89,95","0,20K","-0,03%"
"21/12/2022","89,99","89,99","89,99","89,99","0,01K","-0,01%"
"20/12/2022","90,00","88,40","90,00","88,26","0,04K","0,00%"
"19/12/2022","90,00","90,00","90,00","88,25","1,51K","0,00%"
"16/12/2022","90,00","89,90","90,00","89,90","0,21K","0,00%"
"15/12/2022","90,00","90,00","90,00","89,20","0,16K","0,00%"
"14/12/2022","90,00","89,21","90,00","89,20","0,59K","-0,11%"
