"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","5,040","5,000","5,040","5,000","2,05K","0,00%"
"28/03/2023","5,040","5,000","5,040","5,000","4,05K","-0,20%"
"27/03/2023","5,050","5,050","5,050","5,050","0,00K","0,00%"
"24/03/2023","5,050","5,050","5,060","5,050","0,16K","0,00%"
"23/03/2023","5,050","4,990","5,050","4,990","0,56K","1,00%"
"22/03/2023","5,000","4,980","5,040","4,980","0,72K","1,83%"
"21/03/2023","4,910","4,890","5,000","4,890","1,56K","1,24%"
"17/03/2023","4,850","4,860","4,880","4,750","1,09K","-2,02%"
"16/03/2023","4,950","4,770","4,950","4,770","14,50K","3,77%"
"14/03/2023","4,770","4,780","4,780","4,770","0,07K","3,02%"
"13/03/2023","4,630","4,780","4,780","4,630","0,05K","-3,14%"
"10/03/2023","4,780","4,650","4,780","4,650","2,67K","1,92%"
"09/03/2023","4,690","4,780","4,780","4,690","0,89K","-0,21%"
"08/03/2023","4,700","4,780","4,780","4,700","0,48K","0,00%"
"07/03/2023","4,700","4,800","4,800","4,700","3,24K","-2,08%"
"06/03/2023","4,800","4,800","4,800","4,700","4,61K","2,13%"
"03/03/2023","4,700","4,750","4,750","4,700","1,98K","-2,08%"
"02/03/2023","4,800","4,830","4,830","4,790","0,26K","-0,62%"
"01/03/2023","4,830","4,840","4,840","4,800","0,12K","0,62%"
"28/02/2023","4,800","4,830","4,830","4,800","0,55K","-0,83%"
"27/02/2023","4,840","4,840","4,840","4,800","0,37K","0,83%"
"24/02/2023","4,800","4,700","4,820","4,700","1,17K","0,00%"
"23/02/2023","4,800","4,800","4,800","4,800","0,20K","0,63%"
"22/02/2023","4,770","4,770","4,770","4,700","4,37K","-1,45%"
"21/02/2023","4,840","4,830","4,840","4,750","4,22K","2,76%"
"20/02/2023","4,710","4,830","4,840","4,710","9,40K","-2,48%"
"17/02/2023","4,830","4,800","4,830","4,800","0,45K","0,62%"
