"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"22/03/2023","1,310","1,310","1,310","1,310","0,00K","3,97%"
"21/03/2023","1,260","1,260","1,260","1,260","0,95K","-8,03%"
"15/03/2023","1,370","1,370","1,370","1,370","0,02K","0,00%"
"14/03/2023","1,370","1,370","1,370","1,370","0,12K","-4,20%"
"08/03/2023","1,430","1,430","1,430","1,430","0,10K","-1,38%"
"07/03/2023","1,450","1,450","1,450","1,450","0,10K","0,69%"
"03/03/2023","1,440","1,440","1,440","1,440","0,02K","2,13%"
"01/03/2023","1,410","1,410","1,410","1,410","1,00K","-2,76%"
"15/02/2023","1,450","1,450","1,450","1,450","0,05K","3,57%"
"10/02/2023","1,400","1,400","1,400","1,400","0,04K","0,00%"
"09/02/2023","1,400","1,400","1,400","1,400","0,10K","-4,11%"
"03/02/2023","1,460","1,460","1,460","1,460","0,03K","0,69%"
"02/02/2023","1,450","1,450","1,450","1,450","1,10K","4,32%"
"01/02/2023","1,390","1,390","1,390","1,390","0,33K","0,00%"
"27/01/2023","1,390","1,390","1,390","1,390","71,08K","0,00%"
"25/01/2023","1,390","1,390","1,390","1,390","0,39K","0,00%"
"23/01/2023","1,390","1,390","1,390","1,390","0,07K","-0,71%"
"12/01/2023","1,400","1,400","1,400","1,400","0,05K","1,45%"
"10/01/2023","1,380","1,380","1,380","1,380","0,78K","0,00%"
"06/01/2023","1,380","1,380","1,380","1,380","0,03K","-9,21%"
"02/01/2023","1,520","1,520","1,520","1,520","0,56K","-5,00%"
"30/12/2022","1,600","1,600","1,600","1,600","51,00K","0,00%"
"29/12/2022","1,600","1,600","1,600","1,600","2,50K","3,23%"
"27/12/2022","1,550","1,550","1,550","1,550","1,20K","4,03%"
"26/12/2022","1,490","1,490","1,490","1,490","5,00K","4,20%"
"07/12/2022","1,430","1,430","1,430","1,430","0,30K","4,38%"
"06/12/2022","1,370","1,370","1,370","1,370","0,10K","3,79%"
"02/12/2022","1,320","1,320","1,320","1,320","0,01K","3,94%"
"01/12/2022","1,270","1,270","1,270","1,270","0,14K","0,00%"
"30/11/2022","1,270","1,270","1,270","1,270","0,03K","4,10%"
"29/11/2022","1,220","1,220","1,220","1,220","1,13K","-15,28%"
"10/11/2022","1,440","1,440","1,440","1,440","0,03K","2,86%"
"09/11/2022","1,400","1,400","1,400","1,400","0,05K","-6,04%"
"31/10/2022","1,490","1,490","1,490","1,490","0,05K","2,76%"
"28/10/2022","1,450","1,450","1,450","1,450","0,20K","4,32%"
"27/10/2022","1,390","1,390","1,390","1,390","0,10K","3,73%"
"26/10/2022","1,340","1,310","1,340","1,310","0,20K","3,88%"
"25/10/2022","1,290","1,290","1,290","1,290","0,13K","0,00%"
"24/10/2022","1,290","1,290","1,290","1,290","0,02K","3,20%"
"21/10/2022","1,250","1,250","1,250","1,250","1,39K","4,17%"
"20/10/2022","1,200","1,200","1,200","1,200","0,02K","-4,00%"
"19/10/2022","1,250","1,250","1,250","1,250","0,11K","4,17%"
"18/10/2022","1,200","1,280","1,280","1,200","5,12K","-2,44%"
"17/10/2022","1,230","1,230","1,230","1,230","2,69K","-3,15%"
"14/10/2022","1,270","1,280","1,280","1,270","0,05K","3,25%"
"13/10/2022","1,230","1,230","1,230","1,230","0,36K","-2,38%"
"12/10/2022","1,260","1,260","1,260","1,260","0,24K","-3,82%"
"11/10/2022","1,310","1,310","1,310","1,310","0,01K","0,00%"
"07/10/2022","1,310","1,310","1,310","1,310","3,23K","-0,76%"
"06/10/2022","1,320","1,370","1,370","1,320","0,14K","-2,94%"
"05/10/2022","1,360","1,370","1,370","1,360","0,80K","-0,73%"
"04/10/2022","1,370","1,370","1,370","1,370","0,09K","-8,05%"
"28/09/2022","1,490","1,490","1,490","1,490","0,09K","2,76%"
"27/09/2022","1,450","1,450","1,450","1,450","0,01K","4,32%"
"26/09/2022","1,390","1,390","1,390","1,390","0,20K","-2,11%"
