"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","7,90","7,72","7,98","7,72","1,32K","-1,00%"
"28/03/2023","7,98","7,70","7,98","7,70","0,31K","0,00%"
"27/03/2023","7,98","7,98","7,98","7,98","0,00K","0,38%"
"24/03/2023","7,95","7,90","7,95","7,90","0,00K","0,76%"
"22/03/2023","7,89","7,89","7,89","7,89","0,01K","-0,75%"
"21/03/2023","7,95","7,95","7,95","7,95","0,00K","-0,38%"
"17/03/2023","7,98","7,75","7,98","7,70","2,85K","-0,13%"
"16/03/2023","7,99","7,99","7,99","7,75","0,40K","0,00%"
"15/03/2023","7,99","7,82","7,99","7,82","0,05K","-0,13%"
"14/03/2023","8,00","8,08","8,09","7,95","0,35K","-0,99%"
"13/03/2023","8,08","8,08","8,08","8,08","0,00K","4,94%"
"10/03/2023","7,70","8,08","8,09","7,70","0,02K","-4,70%"
"09/03/2023","8,08","7,80","8,09","7,80","0,05K","-1,22%"
"06/03/2023","8,18","7,99","8,18","7,99","1,07K","4,87%"
"03/03/2023","7,80","8,00","8,00","7,72","39,09K","-2,50%"
"02/03/2023","8,00","7,73","8,00","7,73","1,05K","1,27%"
"01/03/2023","7,90","8,00","8,10","7,90","0,09K","-1,25%"
"28/02/2023","8,00","7,95","8,00","7,95","0,46K","0,63%"
"27/02/2023","7,95","7,95","7,95","7,95","0,18K","-0,63%"
"24/02/2023","8,00","8,09","8,09","7,69","2,26K","-0,99%"
"23/02/2023","8,08","7,98","8,09","7,61","0,88K","4,94%"
"22/02/2023","7,70","7,98","7,98","7,65","0,10K","0,00%"
"21/02/2023","7,70","7,61","7,98","7,61","0,64K","1,32%"
"20/02/2023","7,60","7,71","7,79","7,60","35,72K","-3,18%"
"17/02/2023","7,85","7,85","7,85","7,85","0,00K","1,95%"
"16/02/2023","7,70","7,85","7,85","7,70","116,13K","0,65%"
"15/02/2023","7,65","7,85","7,85","7,65","1,14K","0,00%"
"14/02/2023","7,65","7,75","7,76","7,65","5,19K","-2,55%"
"13/02/2023","7,85","8,00","8,00","7,75","0,96K","0,13%"
"10/02/2023","7,84","7,94","7,94","7,70","2,92K","1,82%"
"09/02/2023","7,70","7,80","7,95","7,70","6,75K","-3,14%"
"08/02/2023","7,95","7,95","7,95","7,85","0,22K","0,38%"
"07/02/2023","7,92","7,90","7,92","7,90","0,01K","-0,38%"
"06/02/2023","7,95","7,95","7,95","7,95","0,01K","-0,13%"
"03/02/2023","7,96","7,70","7,96","7,70","0,51K","2,71%"
"02/02/2023","7,75","7,75","7,75","7,65","1,20K","-0,39%"
"01/02/2023","7,78","7,99","7,99","7,70","1,29K","0,00%"
"31/01/2023","7,78","7,89","7,89","7,75","1,34K","0,00%"
"30/01/2023","7,78","7,78","7,80","7,75","5,65K","-0,26%"
"27/01/2023","7,80","7,89","7,89","7,64","3,74K","0,00%"
"26/01/2023","7,80","7,82","7,90","7,53","20,35K","-0,26%"
"25/01/2023","7,82","8,10","8,10","7,77","3,30K","-2,25%"
"24/01/2023","8,00","8,00","8,00","7,90","0,14K","-1,23%"
"23/01/2023","8,10","8,11","8,11","7,99","0,44K","-0,12%"
"20/01/2023","8,11","7,97","8,11","7,96","10,06K","1,37%"
"19/01/2023","8,00","8,12","8,12","8,00","1,01K","3,23%"
"18/01/2023","7,75","7,71","7,90","7,69","57,62K","-5,26%"
"17/01/2023","8,18","8,11","8,18","8,11","0,01K","0,86%"
"16/01/2023","8,11","8,12","8,12","8,11","0,20K","-2,17%"
"13/01/2023","8,29","7,84","8,29","7,55","61,52K","5,61%"
"12/01/2023","7,85","7,70","7,85","7,50","37,31K","3,97%"
"11/01/2023","7,55","7,70","7,70","7,50","36,38K","-2,58%"
"10/01/2023","7,75","7,98","7,98","7,75","1,96K","-0,64%"
"09/01/2023","7,80","8,00","8,00","7,79","16,51K","-2,50%"
"06/01/2023","8,00","8,29","8,29","7,95","0,68K","0,00%"
"05/01/2023","8,00","8,10","8,10","7,97","1,70K","0,00%"
"04/01/2023","8,00","8,11","8,11","7,95","10,43K","-2,08%"
"03/01/2023","8,17","8,17","8,17","8,09","1,57K","-1,09%"
"02/01/2023","8,26","8,50","8,50","8,26","4,11K","-5,92%"
"30/12/2022","8,78","8,78","8,78","8,78","0,00K","0,00%"
"29/12/2022","8,78","8,95","8,95","8,78","5,01K","-1,13%"
"28/12/2022","8,88","8,83","9,10","8,83","3,29K","0,57%"
"27/12/2022","8,83","8,85","8,85","8,33","2,51K","-0,23%"
"26/12/2022","8,85","8,75","8,90","8,40","3,26K","1,14%"
"23/12/2022","8,75","8,75","8,75","8,75","1,35K","0,00%"
"22/12/2022","8,75","8,55","8,76","8,55","1,73K","2,46%"
"21/12/2022","8,54","8,12","8,54","8,11","0,38K","-0,12%"
"20/12/2022","8,55","8,53","8,55","8,11","0,00K","1,79%"
"19/12/2022","8,40","8,40","8,40","8,40","1,10K","-1,75%"
"16/12/2022","8,55","8,39","8,77","8,39","1,53K","1,91%"
"15/12/2022","8,39","8,40","8,40","8,17","1,93K","-0,12%"
"14/12/2022","8,40","8,40","8,67","8,40","1,11K","0,00%"
"13/12/2022","8,40","8,40","8,40","8,40","1,33K","-3,34%"
"12/12/2022","8,69","8,69","8,69","8,69","0,05K","3,45%"
"09/12/2022","8,40","8,40","8,40","8,40","0,49K","-1,18%"
"07/12/2022","8,50","8,50","8,50","8,27","1,18K","0,59%"
"06/12/2022","8,45","8,49","8,49","8,45","0,35K","-5,69%"
"05/12/2022","8,96","8,47","8,96","8,47","3,63K","5,79%"
"02/12/2022","8,47","8,47","8,47","8,47","0,00K","0,24%"
"01/12/2022","8,45","8,31","8,45","8,31","0,03K","-0,24%"
"30/11/2022","8,47","8,45","8,47","8,45","0,34K","-5,68%"
"28/11/2022","8,98","8,67","8,98","8,67","0,03K","3,58%"
"25/11/2022","8,67","8,67","8,67","8,67","0,00K","2,12%"
"24/11/2022","8,49","8,02","8,67","8,02","0,37K","1,68%"
"23/11/2022","8,35","8,55","8,55","8,35","41,85K","-2,68%"
"22/11/2022","8,58","8,75","8,75","8,58","1,23K","-4,45%"
"21/11/2022","8,98","8,98","8,98","8,98","0,05K","-0,22%"
"18/11/2022","9,00","8,60","9,00","8,50","5,00K","3,45%"
"16/11/2022","8,70","8,40","8,70","8,40","0,22K","3,57%"
"15/11/2022","8,40","8,40","8,40","8,40","0,10K","-0,94%"
"14/11/2022","8,48","8,70","8,70","8,16","18,41K","-0,24%"
"11/11/2022","8,50","8,50","8,50","8,49","59,12K","-4,92%"
"09/11/2022","8,94","8,80","8,94","8,80","0,20K","-0,67%"
"08/11/2022","9,00","8,99","9,00","8,99","0,20K","0,67%"
"07/11/2022","8,94","8,94","8,94","8,94","0,07K","-0,33%"
"04/11/2022","8,97","8,97","8,97","8,97","0,01K","1,93%"
"03/11/2022","8,80","8,55","9,00","8,55","2,29K","2,92%"
"02/11/2022","8,55","8,55","8,55","8,55","0,01K","0,00%"
"01/11/2022","8,55","8,45","8,55","8,44","0,82K","-0,58%"
"31/10/2022","8,60","8,60","8,89","8,51","70,53K","-3,37%"
"28/10/2022","8,90","8,90","8,90","8,90","0,01K","-1,11%"
"27/10/2022","9,00","9,00","9,00","8,80","1,50K","-1,10%"
"26/10/2022","9,10","9,13","9,13","9,10","0,22K","-0,33%"
"25/10/2022","9,13","9,10","9,13","9,10","0,54K","0,00%"
"24/10/2022","9,13","9,13","9,13","8,87","0,04K","3,05%"
"21/10/2022","8,86","8,85","9,12","8,85","1,02K","-0,45%"
"20/10/2022","8,90","8,90","8,95","8,90","10,21K","-2,52%"
"19/10/2022","9,13","8,85","9,13","8,85","0,01K","-0,22%"
"18/10/2022","9,15","9,15","9,15","8,98","1,78K","-3,38%"
"14/10/2022","9,47","9,18","9,47","9,18","0,31K","2,93%"
"13/10/2022","9,20","9,01","9,20","8,85","1,91K","2,22%"
"12/10/2022","9,00","9,02","9,18","9,00","1,03K","-3,74%"
"11/10/2022","9,35","9,58","9,58","9,00","0,56K","1,63%"
"10/10/2022","9,20","9,58","9,58","9,20","1,64K","0,00%"
"07/10/2022","9,20","9,20","9,58","9,20","2,08K","-4,17%"
"06/10/2022","9,60","9,35","9,60","9,35","0,53K","0,00%"
"05/10/2022","9,60","9,60","9,60","9,60","0,10K","2,67%"
"04/10/2022","9,35","9,60","9,60","9,16","0,43K","-1,58%"
"03/10/2022","9,50","9,50","9,50","9,50","0,01K","0,21%"
"30/09/2022","9,48","9,50","9,50","9,47","0,41K","-1,96%"
"29/09/2022","9,67","9,67","9,67","9,67","42,00K","-0,10%"
"28/09/2022","9,68","9,73","9,73","9,67","0,72K","2,98%"
"27/09/2022","9,40","9,68","9,68","9,02","1,28K","-0,11%"
"26/09/2022","9,41","9,60","9,60","9,23","2,60K","1,40%"
"23/09/2022","9,28","9,68","9,68","9,25","2,05K","-4,13%"
"22/09/2022","9,68","9,32","9,68","9,30","0,66K","0,10%"
"21/09/2022","9,67","9,67","9,67","9,67","0,01K","-0,10%"
"20/09/2022","9,68","9,69","9,69","9,50","0,50K","-0,62%"
"19/09/2022","9,74","9,77","9,77","9,60","0,82K","5,53%"
"16/09/2022","9,23","9,79","9,79","9,20","0,80K","-5,62%"
"15/09/2022","9,78","9,21","9,78","9,21","0,38K","-0,10%"
"14/09/2022","9,79","9,25","9,79","9,25","0,13K","5,84%"
"13/09/2022","9,25","9,97","9,97","9,09","8,85K","-2,63%"
"12/09/2022","9,50","10,19","10,19","9,50","2,94K","-5,94%"
"09/09/2022","10,10","10,13","10,20","9,90","0,83K","-0,49%"
"08/09/2022","10,15","9,91","10,15","9,91","0,06K","-1,93%"
"05/09/2022","10,35","10,34","10,35","10,34","0,05K","0,00%"
"02/09/2022","10,35","10,39","10,39","9,94","0,36K","-1,33%"
"01/09/2022","10,49","10,49","10,49","10,49","0,50K","-0,10%"
"31/08/2022","10,50","10,10","10,50","10,10","1,76K","0,00%"
"29/08/2022","10,50","10,10","10,70","10,10","1,07K","0,00%"
"26/08/2022","10,50","10,64","10,64","10,50","0,10K","-1,32%"
"24/08/2022","10,64","10,65","10,65","10,60","22,11K","-0,56%"
"23/08/2022","10,70","10,69","10,70","10,69","0,25K","-0,47%"
"22/08/2022","10,75","10,49","10,75","10,40","31,60K","0,00%"
"19/08/2022","10,75","10,75","10,75","10,75","1,20K","0,00%"
"18/08/2022","10,75","10,60","10,79","10,60","0,70K","5,39%"
"17/08/2022","10,20","10,00","10,37","10,00","1,38K","4,19%"
"16/08/2022","9,79","9,78","9,98","9,78","2,30K","0,10%"
"12/08/2022","9,78","9,78","9,79","9,78","1,00K","0,00%"
"11/08/2022","9,78","9,78","9,78","9,78","0,01K","-0,10%"
"09/08/2022","9,79","9,79","9,79","9,79","0,91K","0,00%"
"08/08/2022","9,79","9,79","9,79","9,79","0,92K","0,00%"
"05/08/2022","9,79","9,79","9,79","9,79","0,04K","0,00%"
"04/08/2022","9,79","9,79","9,79","9,79","1,15K","-0,91%"
"03/08/2022","9,88","9,88","9,88","9,88","1,00K","4,00%"
"02/08/2022","9,50","9,54","9,54","9,50","1,65K","-0,42%"
"01/08/2022","9,54","9,00","9,54","9,00","3,95K","6,00%"
"29/07/2022","9,00","9,00","9,00","9,00","1,00K","0,00%"
"28/07/2022","9,00","9,00","9,00","9,00","0,72K","0,00%"
"27/07/2022","9,00","9,00","9,00","9,00","1,00K","0,00%"
"26/07/2022","9,00","9,00","9,00","9,00","3,00K","0,00%"
"22/07/2022","9,00","9,00","9,00","9,00","0,80K","0,00%"
"21/07/2022","9,00","9,10","9,10","9,00","0,50K","0,00%"
"20/07/2022","9,00","9,10","9,10","9,00","1,15K","0,00%"
"19/07/2022","9,00","8,82","9,10","8,82","0,65K","-1,10%"
"18/07/2022","9,10","9,10","9,10","9,10","0,95K","-0,55%"
"15/07/2022","9,15","9,00","9,15","9,00","2,18K","0,00%"
"14/07/2022","9,15","9,20","9,28","9,15","2,65K","-0,33%"
"13/07/2022","9,18","9,00","9,18","9,00","0,15K","2,00%"
"12/07/2022","9,00","9,10","9,10","9,00","0,89K","-2,17%"
