"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","9,64","9,43","9,65","9,43","68,40K","2,55%"
"28/03/2023","9,40","9,48","9,48","9,36","48,62K","-0,84%"
"27/03/2023","9,48","9,50","9,79","9,40","82,44K","-0,11%"
"24/03/2023","9,49","9,09","9,50","9,09","131,29K","4,63%"
"23/03/2023","9,07","8,90","9,07","8,90","35,28K","1,23%"
"22/03/2023","8,96","8,80","8,98","8,80","23,96K","1,24%"
"21/03/2023","8,85","8,80","8,85","8,76","0,60K","-0,45%"
"17/03/2023","8,89","8,90","8,90","8,80","7,59K","-0,11%"
"16/03/2023","8,90","8,80","8,98","8,80","6,09K","0,00%"
"15/03/2023","8,90","8,90","8,90","8,80","9,58K","0,00%"
"14/03/2023","8,90","8,98","8,98","8,90","8,30K","-0,89%"
"13/03/2023","8,98","8,97","8,98","8,80","7,08K","0,00%"
"10/03/2023","8,98","8,90","8,98","8,81","12,00K","0,90%"
"09/03/2023","8,90","8,89","8,98","8,80","11,72K","0,00%"
"08/03/2023","8,90","8,90","8,90","8,75","10,88K","0,00%"
"07/03/2023","8,90","9,00","9,00","8,80","11,12K","-1,11%"
"06/03/2023","9,00","9,04","9,04","8,95","4,13K","-0,44%"
"03/03/2023","9,04","9,00","9,05","9,00","11,35K","0,44%"
"02/03/2023","9,00","8,95","9,04","8,95","30,55K","0,56%"
"01/03/2023","8,95","9,04","9,04","8,90","10,91K","-1,10%"
"28/02/2023","9,05","8,98","9,05","8,94","11,70K","1,34%"
"27/02/2023","8,93","8,85","8,93","8,70","6,50K","-0,56%"
"24/02/2023","8,98","8,87","9,00","8,87","3,72K","1,24%"
"23/02/2023","8,87","8,95","9,00","8,85","11,18K","-0,34%"
"22/02/2023","8,90","9,02","9,02","8,89","5,55K","-1,11%"
"21/02/2023","9,00","9,02","9,02","8,96","6,74K","0,00%"
"20/02/2023","9,00","9,00","9,08","8,95","14,27K","0,00%"
"17/02/2023","9,00","9,00","9,08","8,95","36,52K","-0,44%"
"16/02/2023","9,04","8,86","9,04","8,86","4,31K","2,03%"
"15/02/2023","8,86","9,06","9,06","8,82","10,07K","-2,21%"
"14/02/2023","9,06","8,78","9,15","8,72","68,57K","3,54%"
"13/02/2023","8,75","8,64","8,78","8,64","41,89K","1,27%"
"10/02/2023","8,64","8,65","8,65","8,64","12,34K","0,00%"
"09/02/2023","8,64","8,64","8,64","8,52","10,53K","1,05%"
"08/02/2023","8,55","8,60","8,60","8,52","4,95K","0,00%"
"07/02/2023","8,55","8,31","8,65","8,30","18,31K","2,40%"
"06/02/2023","8,35","8,45","8,45","8,31","5,09K","-1,07%"
"03/02/2023","8,44","8,49","8,49","8,40","3,21K","-0,59%"
"02/02/2023","8,49","8,51","8,51","8,48","9,09K","-0,70%"
"01/02/2023","8,55","8,51","8,64","8,51","14,69K","0,35%"
"31/01/2023","8,52","8,59","8,59","8,52","7,02K","-0,81%"
"30/01/2023","8,59","8,55","8,59","8,52","8,88K","-0,12%"
"27/01/2023","8,60","8,60","8,69","8,60","8,31K","0,00%"
"26/01/2023","8,60","8,64","8,64","8,55","14,17K","-0,46%"
"25/01/2023","8,64","8,66","8,70","8,60","8,72K","-0,23%"
"24/01/2023","8,66","8,59","8,70","8,54","11,13K","0,81%"
"23/01/2023","8,59","8,63","8,63","8,59","4,27K","-0,69%"
"20/01/2023","8,65","8,60","8,70","8,60","10,00K","-0,35%"
"19/01/2023","8,68","8,70","8,74","8,65","4,24K","-0,23%"
"18/01/2023","8,70","9,00","9,05","8,70","25,19K","-2,03%"
"17/01/2023","8,88","8,60","8,88","8,60","13,74K","3,02%"
"16/01/2023","8,62","8,51","8,65","8,49","59,53K","-0,69%"
"13/01/2023","8,68","8,50","8,68","8,47","29,24K","0,93%"
"12/01/2023","8,60","8,56","8,64","8,45","51,25K","0,00%"
"11/01/2023","8,60","8,60","8,76","8,56","17,65K","-1,04%"
"10/01/2023","8,69","8,68","8,80","8,68","17,09K","0,12%"
"09/01/2023","8,68","8,70","8,70","8,60","15,63K","-1,14%"
"06/01/2023","8,78","8,62","8,78","8,62","11,62K","0,57%"
"05/01/2023","8,73","8,75","8,80","8,65","12,80K","-0,23%"
"04/01/2023","8,75","8,71","8,82","8,71","16,26K","-1,02%"
"03/01/2023","8,84","8,84","8,90","8,80","26,55K","-1,01%"
"02/01/2023","8,93","9,00","9,00","8,93","2,02K","-1,87%"
"30/12/2022","9,10","9,01","9,15","9,00","25,02K","-0,55%"
"29/12/2022","9,15","9,15","9,18","8,90","15,34K","-0,44%"
"28/12/2022","9,19","9,20","9,20","9,00","13,53K","-0,11%"
"27/12/2022","9,20","8,82","9,20","8,81","28,12K","2,34%"
"26/12/2022","8,99","8,80","9,00","8,65","5,68K","0,11%"
"23/12/2022","8,98","8,99","9,00","8,65","4,22K","0,00%"
"22/12/2022","8,98","8,81","9,00","8,73","10,39K","0,90%"
"21/12/2022","8,90","8,90","8,90","8,86","6,90K","-1,55%"
