"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","2,85","2,80","2,89","2,80","5,02K","0,00%"
"28/03/2023","2,85","2,85","2,85","2,80","3,21K","0,71%"
"27/03/2023","2,83","2,90","2,90","2,80","6,40K","-2,08%"
"24/03/2023","2,89","2,90","2,90","2,84","1,52K","0,35%"
"23/03/2023","2,88","2,90","2,90","2,88","0,45K","0,00%"
"22/03/2023","2,88","2,90","2,90","2,84","1,14K","-0,69%"
"21/03/2023","2,90","2,88","2,90","2,88","0,20K","0,00%"
"17/03/2023","2,90","2,88","2,90","2,88","0,56K","0,69%"
"16/03/2023","2,88","2,89","2,89","2,88","0,03K","0,35%"
"15/03/2023","2,87","2,88","2,88","2,81","1,24K","-0,69%"
"14/03/2023","2,89","2,88","2,89","2,82","3,41K","0,35%"
"13/03/2023","2,88","2,88","2,89","2,87","2,56K","0,00%"
"10/03/2023","2,88","2,87","2,88","2,83","0,62K","1,77%"
"09/03/2023","2,83","2,88","2,90","2,80","4,61K","-1,74%"
"08/03/2023","2,88","2,89","2,89","2,82","3,47K","-0,35%"
"07/03/2023","2,89","2,85","2,90","2,80","7,12K","2,85%"
"06/03/2023","2,81","2,88","2,88","2,80","2,58K","-1,40%"
"03/03/2023","2,85","2,89","2,90","2,80","7,56K","1,79%"
"02/03/2023","2,80","2,86","2,89","2,80","2,21K","-3,45%"
"01/03/2023","2,90","2,91","2,91","2,84","3,77K","0,00%"
"28/02/2023","2,90","2,91","2,91","2,90","0,39K","0,00%"
"27/02/2023","2,90","2,86","2,90","2,85","1,49K","1,40%"
"24/02/2023","2,86","2,87","2,87","2,76","0,37K","0,00%"
"23/02/2023","2,86","2,81","2,87","2,80","0,60K","2,14%"
"22/02/2023","2,80","2,80","2,83","2,77","5,99K","1,08%"
"21/02/2023","2,77","2,83","2,83","2,76","2,07K","0,36%"
"20/02/2023","2,76","2,82","2,82","2,76","1,11K","-2,47%"
